DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	BGC_Size_Relaxed_and_Strict
COLOR	#000000
Martensiomyces_GCA_025201845.1	36300	110767
Chytriomyces_GCA_027604165.1	163938	205305
Yarrowia_GCA_000002525.1	0	186198
Thermothielavioides_GCF_000226115.1	1232024	859605
Linderina_GCF_002104995.1	64218	126726
Paecilomyces_GCA_003990805.1	1020290	1167117
Batrachochytrium_GCA_000203795.1	65626	127263
Neocallimastix_GCA_002104975.1	1539134	499592
Microbotryum_GCA_900120095.1	64901	162881
Piromyces_GCA_002104945.1	529033	97226
Mucor_GCA_000950595.1	64314	359117
Ophiognomonia_GCA_003671545.1	2866342	2444668
Terramyces_GCA_027603945.1	197948	95986
Coemansia_GCA_002705745.1	64152	81431
Hanseniaspora_GCA_900119595.1	0	118542
Fonticula_GCA_000388065.2	65349	48553
Kappamyces_GCA_027604465.1	84782	30923
Aspergillus_GCA_003574815.1	2573377	1050299
Pestalotiopsis_GCF_000516985.1	2991406	3129225
Geranomyces_GCA_027603065.1	350250	520570
Chytriomyces_GCA_027604085.1	154853	223771
Basidiobolus_GCA_002104905.1	972773	611745
Rozella_GCA_000442015.1	0	9832
Geranomyces_GCA_027601485.1	387621	369936
Entophlyctis_GCA_027604545.1	0	205570
Cystobasidiopsis_GCA_001599975.1	125971	300560
Chytridium_GCA_025449115.1	151969	160737
Thoreauomyces_GCA_027596035.1	249117	165405
Elaphomyces_GCA_002240705.1	394884	189860
Cladosporium_GCA_000261425.2	507078	766460
Umbelopsis_GCF_025399195.1	49587	383904
Endocalyx_GCA_001600455.1	4175582	2578895
Gorgonomyces_GCA_025526955.1	0	157542
Clohesyomyces_GCA_002105025.1	1984816	2218092
Pseudomassariella_GCF_002105095.1	2703443	1765585
Globomyces_GCA_027595885.1	281434	55957
Allomyces_GCA_000151295.1	0	329435
Uncinocarpus_GCA_000003515.2	962749	552021
Synchytrium_GCA_006535955.1	50274	86058
Neoconidiobolus_GCA_025603075.1	0	203739
Powellomyces_GCA_006536005.1	329979	233287
Gyalolechia_GCA_000442125.1	1623739	1464194
Microdochium_GCA_001566295.1	1529556	1284856
Entophlyctis_GCA_027603655.1	0	174823
Monosiga_GCA_000002865.1	62433	97493
Lepidopterella_GCA_001692735.1	895854	768013
Candida_GCA_001661425.1	0	127836
Coniella_GCA_003019895.1	1385172	1326910
Cladonia_GCA_002927785.1	1634510	1019549
Nowakowskiella_GCA_027600645.1	40354	255305
Trichoderma_GCF_001481775.2	1800029	1337731
Anaeromyces_GCA_002104895.1	1873127	316404
Geranomyces_GCA_027602705.1	256659	440735
Zygoascus_GCA_003707925.2	64173	90798
Ophioceras_GCA_003049485.1	989202	727251
Protomyces_GCF_002105105.1	76210	189797
Neurospora_GCA_000182925.2	724275	530789
Kockiozyma_GCA_003705835.2	87821	190328
Pseudozyma_GCF_000417875.1	160854	434157
Diaporthe_GCA_001447215.1	2996801	1510219
Paraphaeosphaeria_GCF_001642045.1	1892169	3653563
Conidiobolus_GCA_001566745.1	143660	273675
Hesseltinella_GCA_002104935.1	64441	338828
Helminthosporium_GCA_000498615.1	886670	812831
Synchytrium_GCF_006535985.1	0	213949
Arthrobotrys_GCA_004000055.1	337581	304871
Leptoxyphium_GCA_001660795.1	933366	497193
Arthonia_GCA_002989075.1	1064695	956593
Mucor_GCA_000401635.1	50438	449600
Allomyces_GCA_027604645.1	0	160241
Knufia_GCA_002319055.1	261596	530848
Paramicrosporidium_GCA_002794465.1	0	0
Cyphellophora_GCA_000365145.2	436010	1055592
Cordyceps_GCF_001636725.1	1577267	1556470
Aeminium_GCA_004216415.1	264168	409240
Entophlyctis_GCA_027604725.1	0	246603
Thielaviopsis_GCA_000968615.1	302336	225150
Hortaea_GCA_002127715.1	566362	1262549
Chytriomyces_GCA_006535975.1	141143	244579
Spizellomyces_GCA_006535965.1	211153	389436
Boothiomyces_GCA_027604185.1	104071	170513
Neolecta_GCA_001929475.1	60372	133126
Saccharomycopsis_GCA_004014935.1	0	127608
Proliferodiscus_GCA_003988795.1	2683526	2038657
Morchella_GCA_003790465.1	167393	508966
Coprinopsis_GCF_000182895.1	200480	700676
Endocarpon_GCF_000464535.1	1409448	579627
Dimargaris_GCA_003614675.1	466244	143542
Cyanodermella_GCA_900618795.1	1276017	3050088
Linnemannia_GCA_001651415.1	0	217495
Knoxdaviesia_GCA_001510565.1	343070	283631
Ogataea_GCA_003706095.1	0	145149
Coniochaeta_GCA_002798055.1	881251	603086
Clonostachys_GCA_000963775.2	3227797	975515
Powellomyces_GCA_025526995.1	340648	245402
Trigonopsis_GCA_003706805.2	78159	218163
Catenaria_GCA_002102555.1	0	202967
Hymenoscyphus_GCA_900536445.1	1812186	2189415
Elsinoe_GCA_003013795.1	649080	913446
Ramicandelaber_GCA_025201865.1	0	111132
Ramalina_GCA_001956345.1	1186457	743052
Zopfochytrium_GCA_025765615.1	452003	486503
Phycomyces_GCA_001638985.2	64436	320678
Wickerhamomyces_GCF_000313485.1	0	113671
Rhizophlyctis_GCA_027596075.1	201758	285560
Ramularia_GCA_004155245.1	2400576	525991
Rhizophlyctis_GCA_027596135.1	75402	123484
Blastocladiella_GCA_025349905.2	0	101913
Chytriomyces_GCA_027604745.1	160996	151306
Drosophila_GCA_000001215.4	81791	100410
Wallemia_GCF_000400465.1	73584	303111
Chytriomyces_GCA_025435555.1	223936	373729
Hysterium_GCA_000467715.1	1594342	1239659
Periconia_GCA_003073855.1	3874896	2825917
Pseudopyrenochaeta_GCA_003313425.1	2239503	1111546
Syncephalis_GCA_025786725.1	64770	173203
Venturia_GCA_000738655.1	781842	1558603
Terfezia_GCA_003788615.2	293089	145341
Globomyces_GCA_025399215.1	313731	71178
Malassezia_GCA_002818225.1	139974	160707
Chytriomyces_GCA_027604105.1	137064	207440
Phlyctochytrium_GCA_027597005.1	37632	90542
Neurospora_GCA_000604185.2	214312	363248
Piptocephalis_GCA_003614145.1	0	20024
Fonsecaea_GCF_000836435.1	551818	1385276
Trichophyton_GCA_003118255.1	1462723	668320
Piromyces_GCA_002157105.1	1325022	240288
Geranomyces_GCA_025399175.1	263005	362267
Chlorencoelia_GCA_003988815.1	1334545	1132726
Parastagonospora_GCA_000146915.2	1883216	1682933
Boothiomyces_GCA_027604345.1	96899	106522
Siphonaria_GCA_027596065.1	91865	122880
Quaeritorhiza_GCA_027596845.1	71540	125184
Puccinia_GCA_000149925.1	65714	155302
Ascosphaera_GCA_001636715.1	205940	544160
Phaeotremella_GCA_001599695.1	61703	224193
Beverwykella_GCA_001599595.1	2423817	1992681
Podochytrium_GCA_027596195.1	94003	45731
Fimicolochytrium_GCF_025526975.1	372571	223175
Pseudophaeomoniella_GCA_003868215.1	958021	887177
Umbelopsis_GCA_000697415.1	71625	562844
Umbilicaria_GCA_000611775.1	1203056	610535
Calocera_GCA_001630345.1	129253	721833
Graphilbum_GCA_001513895.1	823754	527502
Amorphotheca_GCF_003019875.1	626554	763985
Borealophlyctis_GCA_027604605.1	0	120199
Caulochytrium_GCA_003615045.1	0	153409
Dinochytrium_GCA_027604005.1	97284	119529
Saccharomyces_GCF_000146045.2	0	135159
Lobosporangium_GCF_002105155.1	64848	102033
Entophlyctis_GCA_025526915.1	0	160962
Paramyrothecium_GCA_003012165.1	2618066	1149127
Saksenaea_GCA_000697055.1	55282	194326
Cladochytrium_GCA_025526935.1	203320	415459
Pseudogymnoascus_GCF_001662655.1	1298561	933778
Phyllosticta_GCA_001604925.1	476936	721250
Sporopachydermia_GCA_003705295.1	0	128135
Priceomyces_GCA_003705335.1	0	120171
Zygosaccharomyces_GCA_000442885.1	0	170328
Gigaspora_GCA_003550325.1	394724	686253
Plenodomus_GCA_900465125.1	1166435	746006
Laccaria_GCF_000143565.1	66638	969002
Serpula_GCA_000218685.1	1059317	1232121
Stereum_GCF_000264905.1	442512	3097468
Punctularia_GCF_000264995.1	413509	1535521
Auricularia_GCA_000265015.1	229762	1952075
Coniophora_GCF_000271625.1	711501	1881651
Fibroporia_GCF_000313525.1	514605	1100382
Serendipita_GCA_000313545.1	0	218241
Volvariella_GCA_000349905.1	132475	964986
Papiliotrema_GCA_000442785.1	0	337802
Rhizoctonia_GCA_000524645.1	64079	443101
Jaapia_GCA_000697665.1	193336	809377
Botryobasidium_GCA_000697705.1	614892	822799
Tilletiaria_GCF_000711695.1	143363	157680
Phlebopus_GCA_000766925.2	633330	1500878
Plicaturopsis_GCA_000827205.1	67045	1437258
Sphaerobolus_GCA_000827215.1	1013913	3371202
Collybiopsis_GCA_000827265.1	835500	2388202
Piloderma_GCA_000827315.1	530988	1875987
Pisolithus_GCA_000827335.1	135118	856631
Hebeloma_GCA_000827355.1	238578	1072075
Scleroderma_GCA_000827425.1	272388	561576
Tulasnella_GCA_000827465.1	0	566508
Paxillus_GCA_000827475.1	645384	886014
Fistulina_GCA_000934395.1	251910	857541
Tremella_GCA_000987905.1	0	81774
Tilletia_GCA_001006505.1	158211	339059
Schizopora_GCA_001020605.1	108031	1509853
Golubevia_GCA_001599655.1	68028	377029
Naganishia_GCA_001599735.1	61766	244690
Symbiotaphrina_GCA_001599915.1	352695	634771
Cystobasidium_GCA_001599955.1	0	191297
Solicoccozyma_GCA_001600015.1	126676	130100
Bullera_GCA_001600095.1	122305	191641
Mrakia_GCA_001600395.1	0	162675
Dioszegia_GCA_001600615.1	0	339584
Leucosporidium_GCA_001600635.1	64675	182529
Exidia_GCA_001632375.1	388705	2223240
Neolentinus_GCA_001632425.1	276472	1779198
Grifola_GCA_001683735.1	300064	1139562
Cryptococcus_GCA_001720245.1	0	131020
Trametes_GCA_001895945.1	226946	1039454
Phanerodontia_GCA_001910725.1	405237	1751194
Kockovaella_GCF_002102565.1	0	337869
Naematelia_GCA_002105065.1	0	311737
Stromatinia_GCA_002162485.1	1805224	1977045
Armillaria_GCA_002307695.1	805723	2484024
Cutaneotrichosporon_GCA_002335625.1	0	131612
Amanita_GCA_002554575.1	120098	399452
Ganoderma_GCA_002760635.1	325926	1863951
Porodaedalea_GCA_002794775.1	294030	964296
Rhodotorula_GCA_002806785.1	68382	165155
Glaciozyma_GCA_002917775.1	44626	131199
Panaeolus_GCA_002938355.1	179689	707759
Gymnopilus_GCA_002938385.1	264714	1287625
Heterobasidion_GCA_002994785.1	73335	1548753
Takashimella_GCA_003116875.1	0	226010
Testicularia_GCA_003144125.1	138716	398467
Meira_GCF_003144205.1	179153	335359
Violaceomyces_GCA_003144235.1	224568	181671
Acaromyces_GCF_003144295.1	417739	600909
Pleurotus_GCA_003313735.1	167618	1349127
Sarcodon_GCA_003313825.1	209667	657612
Hygrophorus_GCA_003314125.1	222259	222766
Albatrellus_GCA_003314395.1	23971	290329
Coprinus_GCA_003316025.1	186689	578333
Thelephora_GCA_003316405.1	105057	201470
Hericium_GCA_003675405.1	165545	1390681
Saitozyma_GCA_003942215.1	0	291366
Quambalaria_GCA_004016185.1	192778	393543
Candolleomyces_GCA_004126415.1	200650	519703
Steccherinum_GCA_004332605.1	47435	1878519
Ceraceosorus_GCA_900000165.1	374472	528628
Thecaphora_GCA_900291925.1	168840	301710
