DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	NRPS_or_PKS_Sum
Pseudomassariella_GCF_002105095.1	3241489
Globomyces_GCA_027595885.1	281434
Allomyces_GCA_000151295.1	132599
Uncinocarpus_GCA_000003515.2	1093462
Synchytrium_GCA_006535955.1	78640
Neoconidiobolus_GCA_025603075.1	126979
Powellomyces_GCA_006536005.1	436826
Gyalolechia_GCA_000442125.1	2387478
Microdochium_GCA_001566295.1	1913802
Entophlyctis_GCA_027603655.1	76184
Monosiga_GCA_000002865.1	62433
Lepidopterella_GCA_001692735.1	1200963
Candida_GCA_001661425.1	64170
Coniella_GCA_003019895.1	1636209
Cladonia_GCA_002927785.1	1958945
Nowakowskiella_GCA_027600645.1	145301
Trichoderma_GCF_001481775.2	2549605
Anaeromyces_GCA_002104895.1	2156927
Geranomyces_GCA_027602705.1	560429
Zygoascus_GCA_003707925.2	64173
Ophioceras_GCA_003049485.1	1110338
Protomyces_GCF_002105105.1	140809
Neurospora_GCA_000182925.2	829447
Kockiozyma_GCA_003705835.2	215437
Pseudozyma_GCF_000417875.1	482078
Diaporthe_GCA_001447215.1	3499216
Paraphaeosphaeria_GCF_001642045.1	2431541
Conidiobolus_GCA_001566745.1	354535
Hesseltinella_GCA_002104935.1	196914
Helminthosporium_GCA_000498615.1	1163892
Synchytrium_GCF_006535985.1	64615
Arthrobotrys_GCA_004000055.1	402015
Leptoxyphium_GCA_001660795.1	1216019
Arthonia_GCA_002989075.1	1519785
Mucor_GCA_000401635.1	280389
Allomyces_GCA_027604645.1	81475
Knufia_GCA_002319055.1	576295
Paramicrosporidium_GCA_002794465.1	0
Cyphellophora_GCA_000365145.2	671920
Cordyceps_GCF_001636725.1	1844284
Aeminium_GCA_004216415.1	499323
Entophlyctis_GCA_027604725.1	78624
Thielaviopsis_GCA_000968615.1	411608
Hortaea_GCA_002127715.1	1269185
Chytriomyces_GCA_006535975.1	290775
Spizellomyces_GCA_006535965.1	517666
Boothiomyces_GCA_027604185.1	126828
Neolecta_GCA_001929475.1	89251
Saccharomycopsis_GCA_004014935.1	64005
Proliferodiscus_GCA_003988795.1	3225613
Morchella_GCA_003790465.1	486588
Coprinopsis_GCF_000182895.1	331262
Endocarpon_GCF_000464535.1	1609299
Dimargaris_GCA_003614675.1	533080
Cyanodermella_GCA_900618795.1	2211199
Linnemannia_GCA_001651415.1	83641
Knoxdaviesia_GCA_001510565.1	472427
Ogataea_GCA_003706095.1	64161
Coniochaeta_GCA_002798055.1	912601
Clonostachys_GCA_000963775.2	3800256
Powellomyces_GCA_025526995.1	462877
Trigonopsis_GCA_003706805.2	142421
Catenaria_GCA_002102555.1	64060
Hymenoscyphus_GCA_900536445.1	2344380
Elsinoe_GCA_003013795.1	1134747
Ramicandelaber_GCA_025201865.1	49548
Ramalina_GCA_001956345.1	1533317
Zopfochytrium_GCA_025765615.1	769925
Phycomyces_GCA_001638985.2	150247
Wickerhamomyces_GCF_000313485.1	64188
Rhizophlyctis_GCA_027596075.1	263338
Ramularia_GCA_004155245.1	2584896
Rhizophlyctis_GCA_027596135.1	93820
Blastocladiella_GCA_025349905.2	5096
Chytriomyces_GCA_027604745.1	218206
Drosophila_GCA_000001215.4	144767
Wallemia_GCF_000400465.1	278244
Chytriomyces_GCA_025435555.1	437588
Hysterium_GCA_000467715.1	1797060
Periconia_GCA_003073855.1	4491176
Pseudopyrenochaeta_GCA_003313425.1	2558545
Syncephalis_GCA_025786725.1	64770
Venturia_GCA_000738655.1	1166738
Terfezia_GCA_003788615.2	357615
Globomyces_GCA_025399215.1	313731
Malassezia_GCA_002818225.1	269010
Chytriomyces_GCA_027604105.1	276190
Phlyctochytrium_GCA_027597005.1	53929
Neurospora_GCA_000604185.2	233175
Piptocephalis_GCA_003614145.1	0
Fonsecaea_GCF_000836435.1	970123
Trichophyton_GCA_003118255.1	1629563
Piromyces_GCA_002157105.1	1520907
Geranomyces_GCA_025399175.1	512679
Chlorencoelia_GCA_003988815.1	1679377
Parastagonospora_GCA_000146915.2	2285447
Boothiomyces_GCA_027604345.1	117058
Siphonaria_GCA_027596065.1	111639
Quaeritorhiza_GCA_027596845.1	123230
Puccinia_GCA_000149925.1	130100
Ascosphaera_GCA_001636715.1	487641
Phaeotremella_GCA_001599695.1	189957
Beverwykella_GCA_001599595.1	2776083
Podochytrium_GCA_027596195.1	104525
Fimicolochytrium_GCF_025526975.1	501337
Pseudophaeomoniella_GCA_003868215.1	1402898
Umbelopsis_GCA_000697415.1	364370
Umbilicaria_GCA_000611775.1	1455808
Calocera_GCA_001630345.1	457245
Graphilbum_GCA_001513895.1	1057975
Amorphotheca_GCF_003019875.1	880535
Borealophlyctis_GCA_027604605.1	52433
Caulochytrium_GCA_003615045.1	122884
Dinochytrium_GCA_027604005.1	149522
Saccharomyces_GCF_000146045.2	64179
Lobosporangium_GCF_002105155.1	64848
Entophlyctis_GCA_025526915.1	64620
Paramyrothecium_GCA_003012165.1	3015628
Saksenaea_GCA_000697055.1	106953
Cladochytrium_GCA_025526935.1	460297
Pseudogymnoascus_GCF_001662655.1	1553071
Phyllosticta_GCA_001604925.1	911073
Sporopachydermia_GCA_003705295.1	64308
Priceomyces_GCA_003705335.1	64200
Zygosaccharomyces_GCA_000442885.1	64125
Gigaspora_GCA_003550325.1	815939
Plenodomus_GCA_900465125.1	1452729
Laccaria_GCF_000143565.1	332619
Serpula_GCA_000218685.1	1703441
Stereum_GCF_000264905.1	1606957
Punctularia_GCF_000264995.1	1151330
Auricularia_GCA_000265015.1	737316
Coniophora_GCF_000271625.1	1397478
Fibroporia_GCF_000313525.1	966636
Serendipita_GCA_000313545.1	126396
Volvariella_GCA_000349905.1	635103
Papiliotrema_GCA_000442785.1	202038
Rhizoctonia_GCA_000524645.1	372483
Jaapia_GCA_000697665.1	632861
Botryobasidium_GCA_000697705.1	966093
Tilletiaria_GCF_000711695.1	237512
Phlebopus_GCA_000766925.2	1381145
Plicaturopsis_GCA_000827205.1	761324
Sphaerobolus_GCA_000827215.1	2161312
Collybiopsis_GCA_000827265.1	2118770
Piloderma_GCA_000827315.1	1069392
Pisolithus_GCA_000827335.1	507663
Hebeloma_GCA_000827355.1	621943
Scleroderma_GCA_000827425.1	575240
Tulasnella_GCA_000827465.1	127802
Paxillus_GCA_000827475.1	1136964
Fistulina_GCA_000934395.1	750921
Tremella_GCA_000987905.1	27193
Tilletia_GCA_001006505.1	400245
Schizopora_GCA_001020605.1	609137
Golubevia_GCA_001599655.1	315021
Naganishia_GCA_001599735.1	253775
Symbiotaphrina_GCA_001599915.1	637367
Cystobasidium_GCA_001599955.1	127471
Solicoccozyma_GCA_001600015.1	189232
Bullera_GCA_001600095.1	249612
Mrakia_GCA_001600395.1	129895
Dioszegia_GCA_001600615.1	186526
Leucosporidium_GCA_001600635.1	131596
Exidia_GCA_001632375.1	850119
Neolentinus_GCA_001632425.1	1139105
Grifola_GCA_001683735.1	661799
Cryptococcus_GCA_001720245.1	64489
Trametes_GCA_001895945.1	545442
Phanerodontia_GCA_001910725.1	1427757
Kockovaella_GCF_002102565.1	191136
Naematelia_GCA_002105065.1	127982
Stromatinia_GCA_002162485.1	2431668
Armillaria_GCA_002307695.1	1778948
Cutaneotrichosporon_GCA_002335625.1	64291
Amanita_GCA_002554575.1	244511
Ganoderma_GCA_002760635.1	910568
Porodaedalea_GCA_002794775.1	577441
Rhodotorula_GCA_002806785.1	133171
Glaciozyma_GCA_002917775.1	109130
Panaeolus_GCA_002938355.1	309101
Gymnopilus_GCA_002938385.1	499139
Heterobasidion_GCA_002994785.1	663758
Takashimella_GCA_003116875.1	128366
Testicularia_GCA_003144125.1	439605
Meira_GCF_003144205.1	429915
Violaceomyces_GCA_003144235.1	334807
Acaromyces_GCF_003144295.1	920070
Pleurotus_GCA_003313735.1	609269
Sarcodon_GCA_003313825.1	495782
Hygrophorus_GCA_003314125.1	306413
Albatrellus_GCA_003314395.1	90824
Coprinus_GCA_003316025.1	365053
Thelephora_GCA_003316405.1	130297
Hericium_GCA_003675405.1	973227
Saitozyma_GCA_003942215.1	193273
Quambalaria_GCA_004016185.1	385968
Candolleomyces_GCA_004126415.1	314707
Steccherinum_GCA_004332605.1	916596
Ceraceosorus_GCA_900000165.1	745335
Thecaphora_GCA_900291925.1	356784
