DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Genome_Size
Endocalyx_GCA_001600455.1	44683250
Gorgonomyces_GCA_025526955.1	13983420
Clohesyomyces_GCA_002105025.1	49677730
Pseudomassariella_GCF_002105095.1	44711451
Globomyces_GCA_027595885.1	16104292
Allomyces_GCA_000151295.1	52624944
Uncinocarpus_GCA_000003515.2	22166369
Synchytrium_GCA_006535955.1	21374948
Neoconidiobolus_GCA_025603075.1	24606469
Powellomyces_GCA_006536005.1	26187520
Gyalolechia_GCA_000442125.1	34383966
Microdochium_GCA_001566295.1	38805954
Entophlyctis_GCA_027603655.1	25900143
Monosiga_GCA_000002865.1	38648792
Lepidopterella_GCA_001692735.1	45634574
Candida_GCA_001661425.1	13099731
Coniella_GCA_003019895.1	36366900
Cladonia_GCA_002927785.1	32851025
Nowakowskiella_GCA_027600645.1	22616348
Trichoderma_GCF_001481775.2	37907704
Anaeromyces_GCA_002104895.1	71677735
Geranomyces_GCA_027602705.1	23386681
Zygoascus_GCA_003707925.2	13045382
Ophioceras_GCA_003049485.1	42851467
Protomyces_GCF_002105105.1	12928838
Neurospora_GCA_000182925.2	41061603
Kockiozyma_GCA_003705835.2	14037781
Pseudozyma_GCF_000417875.1	22963180
Diaporthe_GCA_001447215.1	54751262
Paraphaeosphaeria_GCF_001642045.1	38084891
Conidiobolus_GCA_001566745.1	31710747
Hesseltinella_GCA_002104935.1	27216191
Helminthosporium_GCA_000498615.1	33028319
Synchytrium_GCF_006535985.1	26237362
Arthrobotrys_GCA_004000055.1	36645795
Leptoxyphium_GCA_001660795.1	24901912
Arthonia_GCA_002989075.1	33401249
Mucor_GCA_000401635.1	34134616
Allomyces_GCA_027604645.1	29927322
Knufia_GCA_002319055.1	27718321
Paramicrosporidium_GCA_002794465.1	7164192
Cyphellophora_GCA_000365145.2	28719617
Cordyceps_GCF_001636725.1	33399778
Aeminium_GCA_004216415.1	22581462
Entophlyctis_GCA_027604725.1	27691203
Thielaviopsis_GCA_000968615.1	27394489
Hortaea_GCA_002127715.1	49768822
Chytriomyces_GCA_006535975.1	35874199
Spizellomyces_GCA_006535965.1	22930083
Boothiomyces_GCA_027604185.1	15700521
Neolecta_GCA_001929475.1	12984181
Saccharomycopsis_GCA_004014935.1	16952356
Proliferodiscus_GCA_003988795.1	34008678
Morchella_GCA_003790465.1	47195706
Coprinopsis_GCF_000182895.1	36192556
Endocarpon_GCF_000464535.1	36775230
Dimargaris_GCA_003614675.1	30652850
Cyanodermella_GCA_900618795.1	28302436
Linnemannia_GCA_001651415.1	49697767
Knoxdaviesia_GCA_001510565.1	35138057
Ogataea_GCA_003706095.1	11245592
Coniochaeta_GCA_002798055.1	30791717
Clonostachys_GCA_000963775.2	54564997
Powellomyces_GCA_025526995.1	29428253
Trigonopsis_GCA_003706805.2	11206332
Catenaria_GCA_002102555.1	41337528
Hymenoscyphus_GCA_900536445.1	57164173
Elsinoe_GCA_003013795.1	23210997
Ramicandelaber_GCA_025201865.1	22015078
Ramalina_GCA_001956345.1	26808612
Zopfochytrium_GCA_025765615.1	81192468
Phycomyces_GCA_001638985.2	53368560
Wickerhamomyces_GCF_000313485.1	15885344
Rhizophlyctis_GCA_027596075.1	48126640
Ramularia_GCA_004155245.1	32739296
Rhizophlyctis_GCA_027596135.1	38858396
Blastocladiella_GCA_025349905.2	19020768
Chytriomyces_GCA_027604745.1	29545400
Drosophila_GCA_000001215.4	142470512
Wallemia_GCF_000400465.1	9624672
Chytriomyces_GCA_025435555.1	38100491
Hysterium_GCA_000467715.1	38112825
Periconia_GCA_003073855.1	53989243
Pseudopyrenochaeta_GCA_003313425.1	62731430
Syncephalis_GCA_025786725.1	29358178
Venturia_GCA_000738655.1	39145172
Terfezia_GCA_003788615.2	59614192
Globomyces_GCA_025399215.1	21545735
Malassezia_GCA_002818225.1	7581587
Chytriomyces_GCA_027604105.1	29515939
Phlyctochytrium_GCA_027597005.1	40169449
Neurospora_GCA_000604185.2	34340910
Piptocephalis_GCA_003614145.1	10747656
Fonsecaea_GCF_000836435.1	33428689
Trichophyton_GCA_003118255.1	22631310
Piromyces_GCA_002157105.1	42785546
Geranomyces_GCA_025399175.1	23655683
Chlorencoelia_GCA_003988815.1	42153480
Parastagonospora_GCA_000146915.2	37047270
Boothiomyces_GCA_027604345.1	14240447
Siphonaria_GCA_027596065.1	37595823
Quaeritorhiza_GCA_027596845.1	48206616
Puccinia_GCA_000149925.1	81594436
Ascosphaera_GCA_001636715.1	20034979
Phaeotremella_GCA_001599695.1	20507383
Beverwykella_GCA_001599595.1	44295518
Podochytrium_GCA_027596195.1	32060568
Fimicolochytrium_GCF_025526975.1	30619153
Pseudophaeomoniella_GCA_003868215.1	26600371
Umbelopsis_GCA_000697415.1	21858076
Umbilicaria_GCA_000611775.1	34592441
Calocera_GCA_001630345.1	28798163
Graphilbum_GCA_001513895.1	34074671
Amorphotheca_GCF_003019875.1	28460023
Borealophlyctis_GCA_027604605.1	38357164
Caulochytrium_GCA_003615045.1	21789741
Dinochytrium_GCA_027604005.1	31461064
Saccharomyces_GCF_000146045.2	12157105
Lobosporangium_GCF_002105155.1	42768949
Entophlyctis_GCA_025526915.1	30915201
Paramyrothecium_GCA_003012165.1	44736802
Saksenaea_GCA_000697055.1	41822797
Cladochytrium_GCA_025526935.1	50665862
Pseudogymnoascus_GCF_001662655.1	30157364
Phyllosticta_GCA_001604925.1	32358281
Sporopachydermia_GCA_003705295.1	16343406
Priceomyces_GCA_003705335.1	11041343
Zygosaccharomyces_GCA_000442885.1	10254824
Gigaspora_GCA_003550325.1	522850900
Plenodomus_GCA_900465125.1	34950111
Laccaria_GCF_000143565.1	58682807
Serpula_GCA_000218685.1	42400076
Stereum_GCF_000264905.1	45647470
Punctularia_GCF_000264995.1	33070030
Auricularia_GCA_000265015.1	69053342
Coniophora_GCF_000271625.1	41864232
Fibroporia_GCF_000313525.1	28216918
Serendipita_GCA_000313545.1	24831560
Volvariella_GCA_000349905.1	35597324
Papiliotrema_GCA_000442785.1	22729856
Rhizoctonia_GCA_000524645.1	46744031
Jaapia_GCA_000697665.1	43275178
Botryobasidium_GCA_000697705.1	45748674
Tilletiaria_GCF_000711695.1	18704010
Phlebopus_GCA_000766925.2	30248544
Plicaturopsis_GCA_000827205.1	33356897
Sphaerobolus_GCA_000827215.1	122311697
Collybiopsis_GCA_000827265.1	65218080
Piloderma_GCA_000827315.1	52312419
Pisolithus_GCA_000827335.1	61583381
Hebeloma_GCA_000827355.1	36208210
Scleroderma_GCA_000827425.1	52726854
Tulasnella_GCA_000827465.1	52040856
Paxillus_GCA_000827475.1	49094164
Fistulina_GCA_000934395.1	33507160
Tremella_GCA_000987905.1	23069408
Tilletia_GCA_001006505.1	20067784
Schizopora_GCA_001020605.1	44367805
Golubevia_GCA_001599655.1	27608265
Naganishia_GCA_001599735.1	20603200
Symbiotaphrina_GCA_001599915.1	23664885
Cystobasidium_GCA_001599955.1	21237208
Solicoccozyma_GCA_001600015.1	21927784
Bullera_GCA_001600095.1	19407185
Mrakia_GCA_001600395.1	28403616
Dioszegia_GCA_001600615.1	20474481
Leucosporidium_GCA_001600635.1	27430284
Exidia_GCA_001632375.1	71697007
Neolentinus_GCA_001632425.1	34346619
Grifola_GCA_001683735.1	39285133
Cryptococcus_GCA_001720245.1	15630362
Trametes_GCA_001895945.1	39547191
Phanerodontia_GCA_001910725.1	39180953
Kockovaella_GCF_002102565.1	17465713
Naematelia_GCA_002105065.1	19786307
Stromatinia_GCA_002162485.1	56060548
Armillaria_GCA_002307695.1	78368969
Cutaneotrichosporon_GCA_002335625.1	19940834
Amanita_GCA_002554575.1	33130127
Ganoderma_GCA_002760635.1	48447509
Porodaedalea_GCA_002794775.1	53346927
Rhodotorula_GCA_002806785.1	19918828
Glaciozyma_GCA_002917775.1	19606075
Panaeolus_GCA_002938355.1	42940516
Gymnopilus_GCA_002938385.1	45480477
Heterobasidion_GCA_002994785.1	37709264
Takashimella_GCA_003116875.1	25079161
Testicularia_GCA_003144125.1	20685001
Meira_GCF_003144205.1	17279528
Violaceomyces_GCA_003144235.1	27248639
Acaromyces_GCF_003144295.1	19314861
Pleurotus_GCA_003313735.1	38201413
Sarcodon_GCA_003313825.1	34490643
Hygrophorus_GCA_003314125.1	25767417
Albatrellus_GCA_003314395.1	113861943
Coprinus_GCA_003316025.1	29139504
Thelephora_GCA_003316405.1	26416793
Hericium_GCA_003675405.1	55905675
Saitozyma_GCA_003942215.1	29888215
Quambalaria_GCA_004016185.1	23304799
Candolleomyces_GCA_004126415.1	60557423
Steccherinum_GCA_004332605.1	35258958
Ceraceosorus_GCA_900000165.1	24178739
Thecaphora_GCA_900291925.1	20591595
