Chrom	Start	End	Stain	Arm
KN832002.1	0	367670	background	1
KN832003.1	0	366823	background	1
KN832004.1	0	366014	background	1
KN832005.1	0	343184	background	1
KN832006.1	0	355785	background	1
KN832007.1	0	102861	background	1
KN832007.1	102861	165986	bgc	1
KN832007.1	165986	335392	background	1
KN832008.1	0	324583	background	1
KN832009.1	0	323404	background	1
KN832010.1	0	318111	background	1
KN832011.1	0	316145	background	1
KN832012.1	0	311299	background	1
KN832013.1	0	312203	background	1
KN832014.1	0	319123	background	1
KN832015.1	0	321231	background	1
KN832016.1	0	305545	background	1
KN832017.1	0	309679	background	1
KN832018.1	0	302523	background	1
KN832019.1	0	284123	background	1
KN832020.1	0	68717	background	1
KN832020.1	68717	132900	bgc	1
KN832020.1	132900	289910	background	1
KN832021.1	0	276190	background	1
KN832022.1	0	265583	background	1
KN832023.1	0	270075	background	1
KN832024.1	0	261099	background	1
KN832025.1	0	242796	background	1
KN832026.1	0	244682	background	1
KN832027.1	0	235395	background	1
KN832028.1	0	235675	background	1
KN832029.1	0	233795	background	1
KN832030.1	0	235487	background	1
KN832031.1	0	245480	background	1
KN832032.1	0	231954	background	1
KN832033.1	0	243337	background	1
KN832034.1	0	221599	background	1
KN832035.1	0	216817	background	1
KN832036.1	0	222784	background	1
KN832037.1	0	213529	background	1
KN832038.1	0	210794	background	1
KN832039.1	0	201967	background	1
KN832040.1	0	201798	background	1
KN832041.1	0	192995	background	1
KN832042.1	0	210648	background	1
KN832043.1	0	213143	background	1
KN832044.1	0	200789	background	1
KN832045.1	0	198773	background	1
KN832046.1	0	188225	background	1
KN832047.1	0	190597	background	1
KN832048.1	0	183940	background	1
KN832049.1	0	189468	background	1
KN832050.1	0	164898	background	1
KN832051.1	0	165442	background	1
KN832052.1	0	165681	background	1
KN832053.1	0	161900	background	1
KN832054.1	0	172650	background	1
KN832055.1	0	161360	background	1
KN832056.1	0	156238	background	1
KN832057.1	0	154487	background	1
KN832058.1	0	160113	background	1
KN832059.1	0	94651	background	1
KN832059.1	94651	161783	bgc	1
KN832059.1	161783	169116	background	1
KN832060.1	0	154215	background	1
KN832061.1	0	154295	background	1
KN832062.1	0	149945	background	1
KN832063.1	0	156409	background	1
KN832064.1	0	146833	background	1
KN832065.1	0	144692	background	1
KN832066.1	0	140708	background	1
KN832067.1	0	140062	background	1
KN832068.1	0	141028	background	1
KN832069.1	0	134470	background	1
KN832070.1	0	136125	background	1
KN832071.1	0	140480	background	1
KN832072.1	0	135991	background	1
KN832073.1	0	129346	background	1
KN832074.1	0	129203	background	1
KN832075.1	0	129659	background	1
KN832076.1	0	130759	background	1
KN832077.1	0	120891	background	1
KN832078.1	0	120265	background	1
KN832079.1	0	122792	background	1
KN832080.1	0	117592	background	1
KN832081.1	0	117701	background	1
KN832082.1	0	128855	background	1
KN832083.1	0	119489	background	1
KN832084.1	0	116835	background	1
KN832085.1	0	109477	background	1
KN832086.1	0	108408	background	1
KN832087.1	0	101579	background	1
KN832088.1	0	104161	background	1
KN832089.1	0	114162	background	1
KN832090.1	0	107205	background	1
KN832091.1	0	104777	background	1
KN832092.1	0	102186	background	1
KN832093.1	0	108492	background	1
KN832094.1	0	97655	background	1
KN832095.1	0	99327	background	1
KN832096.1	0	95166	background	1
KN832097.1	0	95219	background	1
KN832098.1	0	115079	background	1
KN832099.1	0	94294	background	1
KN832100.1	0	90261	background	1
KN832101.1	0	90826	background	1
KN832102.1	0	82212	background	1
KN832103.1	0	87253	background	1
KN832104.1	0	87491	background	1
KN832105.1	0	86023	background	1
KN832106.1	0	81214	background	1
KN832107.1	0	86084	background	1
KN832108.1	0	80576	background	1
KN832109.1	0	23737	background	1
KN832109.1	23737	80502	bgc	1
KN832109.1	80502	80502	background	1
KN832110.1	0	80697	background	1
KN832111.1	0	78079	background	1
KN832112.1	0	68006	background	1
KN832113.1	0	74336	background	1
KN832114.1	0	75273	background	1
KN832115.1	0	71222	background	1
KN832116.1	0	67801	background	1
KN832117.1	0	67368	background	1
KN832118.1	0	68517	background	1
KN832119.1	0	65606	background	1
KN832120.1	0	70946	background	1
KN832121.1	0	65435	background	1
KN832122.1	0	59564	background	1
KN832123.1	0	78355	background	1
KN832124.1	0	61020	background	1
KN832125.1	0	54697	background	1
KN832126.1	0	62041	background	1
KN832127.1	0	59718	background	1
KN832128.1	0	61833	background	1
KN832129.1	0	62267	background	1
KN832130.1	0	57701	background	1
KN832131.1	0	43239	background	1
KN832131.1	43239	60894	bgc	1
KN832131.1	60894	60894	background	1
KN832132.1	0	54564	background	1
KN832133.1	0	48927	background	1
KN832134.1	0	57811	background	1
KN832135.1	0	61402	background	1
KN832136.1	0	49527	background	1
KN832137.1	0	47399	background	1
KN832138.1	0	52627	background	1
KN832139.1	0	45043	background	1
KN832140.1	0	64948	background	1
KN832141.1	0	47913	background	1
KN832142.1	0	43876	background	1
KN832143.1	0	50641	background	1
KN832144.1	0	42424	background	1
KN832145.1	0	48870	background	1
KN832146.1	0	38694	background	1
KN832147.1	0	38619	background	1
KN832148.1	0	37873	background	1
KN832149.1	0	36870	background	1
KN832150.1	0	36565	background	1
KN832151.1	0	37303	background	1
KN832152.1	0	36487	background	1
KN832153.1	0	33489	background	1
KN832154.1	0	38005	background	1
KN832155.1	0	50026	background	1
KN832156.1	0	28991	background	1
KN832157.1	0	36111	background	1
KN832158.1	0	35157	background	1
KN832159.1	0	35857	background	1
KN832160.1	0	32765	background	1
KN832161.1	0	30548	background	1
KN832162.1	0	37402	background	1
KN832163.1	0	30612	background	1
KN832164.1	0	30853	background	1
KN832165.1	0	28662	background	1
KN832166.1	0	27772	background	1
KN832167.1	0	31420	background	1
KN832168.1	0	33105	background	1
KN832169.1	0	27999	background	1
KN832170.1	0	27784	background	1
KN832171.1	0	32262	background	1
KN832172.1	0	25978	background	1
KN832173.1	0	25836	background	1
KN832174.1	0	30588	background	1
KN832175.1	0	194	background	1
KN832175.1	194	25730	bgc	1
KN832175.1	25730	25730	background	1
KN832176.1	0	24359	background	1
KN832177.1	0	29985	background	1
KN832178.1	0	25299	background	1
KN832179.1	0	24587	background	1
KN832180.1	0	28742	background	1
KN832181.1	0	22441	background	1
KN832182.1	0	23145	background	1
KN832183.1	0	29483	background	1
KN832184.1	0	22524	background	1
KN832185.1	0	24009	background	1
KN832186.1	0	21443	background	1
KN832187.1	0	17472	background	1
KN832188.1	0	17394	background	1
KN832189.1	0	20724	background	1
KN832190.1	0	20093	background	1
KN832191.1	0	18201	background	1
KN832192.1	0	21423	background	1
KN832193.1	0	18829	background	1
KN832194.1	0	19073	background	1
KN832195.1	0	14128	background	1
KN832196.1	0	21565	background	1
KN832197.1	0	12563	background	1
KN832198.1	0	18073	background	1
KN832199.1	0	18137	background	1
KN832200.1	0	17620	background	1
KN832201.1	0	17751	background	1
KN832202.1	0	17435	background	1
KN832203.1	0	16849	background	1
KN832204.1	0	16972	background	1
KN832205.1	0	17496	background	1
KN832206.1	0	15730	background	1
KN832207.1	0	13288	background	1
KN832208.1	0	15515	background	1
KN832209.1	0	13418	background	1
KN832210.1	0	14936	background	1
KN832211.1	0	14620	background	1
KN832212.1	0	13761	background	1
KN832213.1	0	14367	background	1
KN832214.1	0	14889	background	1
KN832215.1	0	13528	background	1
KN832216.1	0	13950	background	1
KN832217.1	0	9952	background	1
KN832218.1	0	13255	background	1
KN832219.1	0	13449	background	1
KN832220.1	0	21310	background	1
KN832221.1	0	13523	background	1
KN832222.1	0	8633	background	1
KN832223.1	0	7179	bgc	1
KN832223.1	7179	7179	background	1
KN832224.1	0	12604	background	1
KN832225.1	0	10100	background	1
KN832226.1	0	12288	background	1
KN832227.1	0	14205	background	1
KN832228.1	0	11982	background	1
KN832229.1	0	12736	background	1
KN832230.1	0	14038	background	1
KN832231.1	0	7380	background	1
KN832232.1	0	12957	background	1
KN832233.1	0	12022	background	1
KN832234.1	0	11861	background	1
KN832235.1	0	11110	background	1
KN832236.1	0	12143	background	1
KN832237.1	0	11567	background	1
KN832238.1	0	12768	background	1
KN832239.1	0	12170	background	1
KN832240.1	0	11406	background	1
KN832241.1	0	11108	background	1
KN832242.1	0	9820	background	1
KN832243.1	0	8120	background	1
KN832244.1	0	10779	background	1
KN832245.1	0	12337	background	1
KN832246.1	0	10731	background	1
KN832247.1	0	10674	background	1
KN832248.1	0	10609	background	1
KN832249.1	0	10582	background	1
KN832250.1	0	9519	background	1
KN832251.1	0	9068	background	1
KN832252.1	0	10771	background	1
KN832253.1	0	11951	background	1
KN832254.1	0	12637	background	1
KN832255.1	0	10664	background	1
KN832256.1	0	10620	background	1
KN832257.1	0	10588	background	1
KN832258.1	0	9981	background	1
KN832259.1	0	8700	background	1
KN832260.1	0	9709	background	1
KN832261.1	0	8858	background	1
KN832262.1	0	9474	background	1
KN832263.1	0	9319	background	1
KN832264.1	0	9138	background	1
KN832265.1	0	8679	background	1
KN832266.1	0	8258	background	1
KN832267.1	0	7873	background	1
KN832268.1	0	8021	background	1
KN832269.1	0	8249	background	1
KN832270.1	0	7923	background	1
KN832271.1	0	7793	background	1
KN832272.1	0	7652	background	1
KN832273.1	0	7709	background	1
KN832274.1	0	7620	background	1
KN832275.1	0	7435	background	1
KN832276.1	0	7606	background	1
KN832277.1	0	7489	background	1
KN832278.1	0	7452	background	1
KN832279.1	0	7452	background	1
KN832280.1	0	7411	background	1
KN832281.1	0	7349	background	1
KN832282.1	0	7326	background	1
KN832283.1	0	7187	background	1
KN832284.1	0	7164	background	1
KN832285.1	0	7065	background	1
KN832286.1	0	7056	background	1
KN832287.1	0	6917	background	1
KN832288.1	0	7415	background	1
KN832289.1	0	6437	background	1
KN832290.1	0	6568	background	1
KN832291.1	0	6490	background	1
KN832292.1	0	6486	background	1
KN832293.1	0	6486	background	1
KN832294.1	0	6462	background	1
KN832295.1	0	5922	background	1
KN832296.1	0	6393	background	1
KN832297.1	0	6347	background	1
KN832298.1	0	6265	background	1
KN832299.1	0	6651	background	1
KN832300.1	0	6089	background	1
KN832301.1	0	6023	background	1
KN832302.1	0	5875	background	1
KN832303.1	0	5887	background	1
KN832304.1	0	5873	background	1
KN832305.1	0	5746	background	1
KN832306.1	0	5583	background	1
KN832307.1	0	5551	background	1
KN832308.1	0	5424	background	1
KN832309.1	0	5119	background	1
KN832310.1	0	5246	background	1
KN832311.1	0	5243	background	1
KN832312.1	0	5187	background	1
KN832313.1	0	5099	background	1
KN832314.1	0	5058	background	1
KN832315.1	0	5054	background	1
KN832316.1	0	4882	background	1
KN832317.1	0	5002	background	1
KN832318.1	0	4751	background	1
KN832319.1	0	4917	background	1
KN832320.1	0	5002	background	1
KN832321.1	0	4954	background	1
KN832322.1	0	4861	background	1
KN832323.1	0	4733	background	1
KN832324.1	0	3175	background	1
KN832325.1	0	5036	background	1
KN832326.1	0	4631	background	1
KN832327.1	0	4730	background	1
KN832328.1	0	3458	background	1
KN832329.1	0	4131	background	1
KN832330.1	0	4610	background	1
KN832331.1	0	3145	background	1
KN832332.1	0	4477	background	1
KN832333.1	0	4467	background	1
KN832334.1	0	4409	background	1
KN832335.1	0	4203	background	1
KN832336.1	0	4001	background	1
KN832337.1	0	4143	background	1
KN832338.1	0	4040	background	1
KN832339.1	0	3923	background	1
KN832340.1	0	3889	background	1
KN832341.1	0	3815	background	1
KN832342.1	0	3784	background	1
KN832343.1	0	3766	background	1
KN832344.1	0	3733	background	1
KN832345.1	0	3722	background	1
KN832346.1	0	3710	background	1
KN832347.1	0	3695	background	1
KN832348.1	0	3617	background	1
KN832349.1	0	3590	background	1
KN832350.1	0	3581	background	1
KN832351.1	0	3501	background	1
KN832352.1	0	3514	background	1
KN832353.1	0	3444	background	1
KN832354.1	0	3404	background	1
KN832355.1	0	3377	background	1
KN832356.1	0	3300	background	1
KN832357.1	0	3276	background	1
KN832358.1	0	3212	background	1
KN832359.1	0	3106	background	1
KN832360.1	0	3088	background	1
KN832361.1	0	3056	background	1
KN832362.1	0	3020	background	1
KN832363.1	0	2995	background	1
KN832364.1	0	2978	background	1
KN832365.1	0	2975	background	1
KN832366.1	0	2955	background	1
KN832367.1	0	2926	background	1
KN832368.1	0	2911	background	1
KN832369.1	0	2892	background	1
KN832370.1	0	2862	background	1
KN832371.1	0	2803	background	1
KN832372.1	0	2825	background	1
KN832373.1	0	2813	background	1
KN832374.1	0	2768	background	1
KN832375.1	0	2766	background	1
KN832376.1	0	2742	background	1
KN832377.1	0	2727	background	1
KN832378.1	0	2697	background	1
KN832379.1	0	2671	background	1
KN832380.1	0	2639	background	1
KN832381.1	0	2584	background	1
KN832382.1	0	2581	background	1
KN832383.1	0	2529	background	1
KN832384.1	0	2497	background	1
KN832385.1	0	2504	background	1
KN832386.1	0	2503	background	1
KN832387.1	0	2399	background	1
KN832388.1	0	2416	background	1
KN832389.1	0	2469	background	1
KN832390.1	0	2444	background	1
KN832391.1	0	2438	background	1
KN832392.1	0	2423	background	1
KN832393.1	0	2410	background	1
KN832394.1	0	2392	background	1
KN832395.1	0	2389	background	1
KN832396.1	0	2383	background	1
KN832397.1	0	2372	background	1
KN832398.1	0	2370	background	1
KN832399.1	0	2356	background	1
KN832400.1	0	2348	background	1
KN832401.1	0	2336	background	1
KN832402.1	0	2320	background	1
KN832403.1	0	2315	background	1
KN832404.1	0	2295	background	1
KN832405.1	0	2231	background	1
KN832406.1	0	2258	background	1
KN832407.1	0	2235	background	1
KN832408.1	0	2273	background	1
KN832409.1	0	2238	background	1
KN832410.1	0	2269	background	1
KN832411.1	0	2204	background	1
KN832412.1	0	2257	background	1
KN832413.1	0	2255	background	1
KN832414.1	0	2245	background	1
KN832415.1	0	2239	background	1
KN832416.1	0	2233	background	1
KN832417.1	0	2163	background	1
KN832418.1	0	2195	background	1
KN832419.1	0	2193	background	1
KN832420.1	0	2170	background	1
KN832421.1	0	2115	background	1
KN832422.1	0	2118	background	1
KN832423.1	0	2135	background	1
KN832424.1	0	2133	background	1
KN832425.1	0	2114	background	1
KN832426.1	0	2118	background	1
KN832427.1	0	2112	background	1
KN832428.1	0	2059	background	1
KN832429.1	0	2104	background	1
KN832430.1	0	2081	background	1
KN832431.1	0	2056	background	1
KN832432.1	0	2032	background	1
KN832433.1	0	2019	background	1
KN832434.1	0	1962	background	1
KN832435.1	0	2017	background	1
KN832436.1	0	1944	background	1
KN832437.1	0	1995	background	1
KN832438.1	0	1988	background	1
KN832439.1	0	1928	background	1
KN832440.1	0	1966	background	1
KN832441.1	0	1950	background	1
KN832442.1	0	1945	background	1
KN832443.1	0	1928	background	1
KN832444.1	0	1928	background	1
KN832445.1	0	1916	background	1
KN832446.1	0	1900	background	1
KN832447.1	0	1887	background	1
KN832448.1	0	1872	background	1
KN832449.1	0	1831	background	1
KN832450.1	0	1806	background	1
KN832451.1	0	1860	background	1
KN832452.1	0	1851	background	1
KN832453.1	0	1845	background	1
KN832454.1	0	1837	background	1
KN832455.1	0	1832	background	1
KN832456.1	0	1827	background	1
KN832457.1	0	1770	background	1
KN832458.1	0	1783	background	1
KN832459.1	0	1768	background	1
KN832460.1	0	1773	background	1
KN832461.1	0	1771	background	1
KN832462.1	0	1767	background	1
KN832463.1	0	1765	background	1
KN832464.1	0	1757	background	1
KN832465.1	0	1752	background	1
KN832466.1	0	1744	background	1
KN832467.1	0	1738	background	1
KN832468.1	0	1737	background	1
KN832469.1	0	1730	background	1
KN832470.1	0	1727	background	1
KN832471.1	0	1666	background	1
KN832472.1	0	1723	background	1
KN832473.1	0	1719	background	1
KN832474.1	0	1718	background	1
KN832475.1	0	1696	background	1
KN832476.1	0	1691	background	1
KN832477.1	0	1688	background	1
KN832478.1	0	1686	background	1
KN832479.1	0	1650	background	1
KN832480.1	0	1644	background	1
KN832481.1	0	1641	background	1
KN832482.1	0	1638	background	1
KN832483.1	0	1621	background	1
KN832484.1	0	1619	background	1
KN832485.1	0	1557	background	1
KN832486.1	0	1616	background	1
KN832487.1	0	1612	background	1
KN832488.1	0	1609	background	1
KN832489.1	0	1587	background	1
KN832490.1	0	1529	background	1
KN832491.1	0	1560	background	1
KN832492.1	0	1500	background	1
KN832493.1	0	1547	background	1
KN832494.1	0	1545	background	1
KN832495.1	0	1528	background	1
KN832496.1	0	1532	background	1
KN832497.1	0	1525	background	1
KN832498.1	0	1519	background	1
KN832499.1	0	1518	background	1
KN832500.1	0	1451	background	1
KN832501.1	0	1504	background	1
KN832502.1	0	1497	background	1
KN832503.1	0	1485	background	1
KN832504.1	0	1466	background	1
KN832505.1	0	1480	background	1
KN832506.1	0	1477	background	1
KN832507.1	0	1478	background	1
KN832508.1	0	1455	background	1
KN832509.1	0	1422	background	1
KN832510.1	0	1418	background	1
KN832511.1	0	1399	background	1
KN832512.1	0	1418	background	1
KN832513.1	0	1400	background	1
KN832514.1	0	1391	background	1
KN832515.1	0	1391	background	1
KN832516.1	0	1386	background	1
KN832517.1	0	1377	background	1
KN832518.1	0	1363	background	1
KN832519.1	0	1354	background	1
KN832520.1	0	1276	background	1
KN832521.1	0	1294	background	1
KN832522.1	0	1346	background	1
KN832523.1	0	1323	background	1
KN832524.1	0	1316	background	1
KN832525.1	0	1313	background	1
KN832526.1	0	1304	background	1
KN832527.1	0	1309	background	1
KN832528.1	0	1305	background	1
KN832529.1	0	1277	background	1
KN832530.1	0	1294	background	1
KN832531.1	0	1273	background	1
KN832532.1	0	1273	background	1
KN832533.1	0	1271	background	1
KN832534.1	0	1251	background	1
KN832535.1	0	1249	background	1
KN832536.1	0	1195	background	1
KN832537.1	0	1231	background	1
KN832538.1	0	1231	background	1
KN832539.1	0	1222	background	1
KN832540.1	0	1211	background	1
KN832541.1	0	1184	background	1
KN832542.1	0	1186	background	1
KN832543.1	0	1181	background	1
KN832544.1	0	1155	background	1
KN832545.1	0	1149	background	1
KN832546.1	0	1139	background	1
KN832547.1	0	1137	background	1
KN832548.1	0	1137	background	1
KN832549.1	0	1094	background	1
KN832550.1	0	1116	background	1
KN832551.1	0	1091	background	1
KN832552.1	0	1072	background	1
KN832553.1	0	1003	background	1
