DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Conidiation-associated homologs
Chaetoscypha_palmicola_GCA_003988945	7
Paecilomyces_variotii_GCA_003990805	7
Arthrobotrys_flagrans_GCA_004000055	7
Saccharomycopsis_malanga_GCA_004014935	3
Ramularia_coccinea_GCA_004155245	6
Aeminium_ludgeri_GCA_004216415	6
Ascochyta_viciae-villosae_GCA_004335205	7
Synchytrium_endobioticum_GCA_006535955	1
Spizellomyces_sp._'palustris'_GCA_006535965	2
Chytriomyces_confervae_GCA_006535975	1
Synchytrium_microbalum_GCA_006535985	1
Powellomyces_hirtus_GCA_006536005	2
Olpidium_bornovanus_GCA_017911155	1
Chytriomyces_sp._MP71_GCA_025201725	1
Martensiomyces_pterosporus_GCA_025201845	1
Ramicandelaber_brevisporus_GCA_025201865	0
Blastocladiella_britannica_GCA_025349905	0
Geranomyces_variabilis_GCA_025399175	2
Umbelopsis_ramanniana_AG_GCA_025399195	1
Globomyces_pollinis-pini_GCA_025399215	1
Backusella_circina_FSU_941_GCA_025399235	2
Chytriomyces_cf._hyalinus_JEL632_GCA_025435555	1
Chytridium_lagenaria_GCA_025449115	1
Entophlyctis_helioformis_GCA_025526915	0
Cladochytrium_replicatum_GCA_025526935	1
Gorgonomyces_haynaldii_GCA_025526955	1
Fimicolochytrium_jonesii_GCA_025526975	2
Powellomyces_hirtus_GCA_025526995	2
Gaertneriomyces_semiglobifer_GCA_025558075	1
Hyaloraphidium_curvatum_GCA_025558095	0
Polychytrium_aggregatum_GCA_025602895	1
Phlyctochytrium_arcticum_GCA_025602905	2
Paraphysoderma_sedebokerense_GCA_025602915	0
Neoconidiobolus_thromboides_FSU_785_GCA_025603075	1
Obelidium_mucronatum_GCA_025765595	1
Zopfochytrium_polystomum_GCA_025765615	0
Syncephalis_fuscata_GCA_025786725	0
Coelomomyces_lativittatus_GCA_026937265	0
Cladochytrium_tenue_GCA_026954515	0
Nowakowskiella_sp._JEL0078_GCA_026955015	2
Globomyces_sp._JEL0801_GCA_027595885	1
Thoreauomyces_humboldtii_GCA_027596035	2
Siphonaria_sp._JEL0065_GCA_027596065	1
Rhizophlyctis_rosea_GCA_027596075	1
Rhizophlyctis_rosea_GCA_027596135	2
Rhizoclosmatium_hyalinum_GCA_027596175	1
Podochytrium_sp._JEL0797_GCA_027596195	1
Quaeritorhiza_haematococci_GCA_027596845	0
Physocladia_obscura_GCA_027596945	1
Phlyctochytrium_bullatum_GCA_027597005	1
Nowakowskiella_sp._JEL0407_GCA_027600645	0
Irineochytrium_annulatum_GCA_027600665	1
Phlyctochytrium_planicorne_GCA_027600675	0
Geranomyces_variabilis_GCA_027600685	2
Geranomyces_variabilis_GCA_027601485	2
Geranomyces_michiganensis_GCA_027602005	2
Geranomyces_variabilis_GCA_027602705	2
Geranomyces_variabilis_GCA_027603065	2
Gaertneriomyces_sp._JEL0708_GCA_027603645	1
Entophlyctis_luteolus_GCA_027603655	1
Terramyces_sp._JEL0728_GCA_027603945	0
Dinochytrium_kinnereticum_GCA_027604005	1
Clydaea_vesicula_GCA_027604065	0
Chytriomyces_hyalinus_GCA_027604085	1
Chytriomyces_hyalinus_GCA_027604105	1
Chytriomyces_hyalinus_GCA_027604165	1
Boothiomyces_macroporosus_GCA_027604185	0
Boothiomyces_sp._JEL0838_GCA_027604245	0
Chytridiales_sp._JEL_0842_GCA_027604305	1
Boothiomyces_sp._JEL0866_GCA_027604345	0
Rhizoclosmatium_sp._JEL0117_GCA_027604365	1
Kappamyces_sp._JEL0680_GCA_027604405	1
Kappamyces_sp._JEL0829_GCA_027604465	1
Gonapodya_sp._JEL0774_GCA_027604505	0
Entophlyctis_sp._JEL0112_GCA_027604545	1
Borealophlyctis_nickersoniae_GCA_027604605	2
Blyttiomyces_sp._JEL0837_GCA_027604625	0
Allomyces_javanicus_GCA_027604645	0
Polyrhizophydium_stewartii_GCA_027604665	1
Lobulomyces_angularis_GCA_027604685	0
Allomyces_arbusculus_GCA_027604705	0
Entophlyctis_luteolus_GCA_027604725	1
Chytriomyces_hyalinus_GCA_027604745	1
Phialocephala_subalpina_GCA_900073065	9
Hanseniaspora_guilliermondii_GCA_900119595	3
Microbotryum_silenes-dioicae_GCA_900120095	4
Podospora_comata_GCA_900290415	7
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	7
Hymenoscyphus_occultus_GCA_900536445	7
Cyanodermella_asteris_GCA_900618795	8
