gca	bgc_sum_norm
GCA_000498615	1.699501
GCA_006535985	0.213949
GCA_004000055	0.642452
GCA_001660795	1.430559
GCA_002989075	2.021288
GCA_000401635	0.500038
GCA_027604645	0.160241
GCA_002319055	0.792444
GCA_002794465	0.0
GCA_000365145	1.491602
GCA_001636725	3.133737
GCA_004216415	0.673408
GCA_027604725	0.246603
GCA_000968615	0.527486
GCA_002127715	1.828911
GCA_006535975	0.385722
GCA_006535965	0.600589
GCA_027604185	0.274584
GCA_001929475	0.193498
GCA_004014935	0.127608
GCA_003988795	4.722183
GCA_003790465	0.676359
GCA_000182895	0.901156
GCA_000464535	1.989075
GCA_003614675	0.609786
GCA_900618795	4.326105
GCA_001651415	0.217495
GCA_001510565	0.626701
GCA_003706095	0.145149
GCA_002798055	1.484337
GCA_000963775	4.203312
GCA_025526995	0.58605
GCA_003706805	0.296322
GCA_002102555	0.202967
GCA_900536445	4.001601
GCA_003013795	1.562526
GCA_025201865	0.111132
GCA_001956345	1.929509
GCA_025765615	0.938506
GCA_001638985	0.385114
GCA_000313485	0.113671
GCA_027596075	0.487318
GCA_004155245	2.926567
GCA_027596135	0.198886
GCA_025349905	0.101913
GCA_027604745	0.312302
GCA_000001215	0.182201
GCA_000400465	0.376695
GCA_025435555	0.597665
GCA_000467715	2.834001
GCA_003073855	6.700813
GCA_003313425	3.351049
GCA_025786725	0.237973
GCA_000738655	2.340445
GCA_003788615	0.43843
GCA_025399215	0.384909
GCA_002818225	0.300681
GCA_027604105	0.344504
GCA_027597005	0.128174
GCA_000604185	0.57756
GCA_003614145	0.020024
GCA_000836435	1.937094
GCA_003118255	2.131043
GCA_002157105	1.56531
GCA_025399175	0.625272
GCA_003988815	2.467271
GCA_000146915	3.566149
GCA_027604345	0.203421
GCA_027596065	0.214745
GCA_027596845	0.196724
GCA_000149925	0.221016
GCA_001636715	0.7501
GCA_001599695	0.285896
GCA_001599595	4.416498
GCA_027596195	0.139734
GCA_025526975	0.595746
GCA_003868215	1.845198
GCA_000697415	0.634469
GCA_000611775	1.813591
GCA_001630345	0.851086
GCA_001513895	1.351256
GCA_003019875	1.390539
GCA_027604605	0.120199
GCA_003615045	0.153409
GCA_027604005	0.216813
GCA_000146045	0.135159
GCA_002105155	0.166881
GCA_025526915	0.160962
GCA_003012165	3.767193
GCA_000697055	0.249608
GCA_025526935	0.618779
GCA_001662655	2.232339
GCA_001604925	1.198186
GCA_003705295	0.128135
GCA_003705335	0.120171
GCA_000442885	0.170328
GCA_003550325	1.080977
GCA_900465125	1.912441
GCA_000143565	1.03564
GCA_000218685	2.291438
GCA_000264905	3.53998
GCA_000264995	1.94903
GCA_000265015	2.181837
GCA_000271625	2.593152
GCA_000313525	1.614987
GCA_000313545	0.218241
GCA_000349905	1.097461
GCA_000442785	0.337802
GCA_000524645	0.50718
GCA_000697665	1.002713
GCA_000697705	1.437691
GCA_000711695	0.301043
GCA_000766925	2.134208
GCA_000827205	1.504303
GCA_000827215	4.385115
GCA_000827265	3.223702
GCA_000827315	2.406975
GCA_000827335	0.991749
GCA_000827355	1.310653
GCA_000827425	0.833964
GCA_000827465	0.566508
GCA_000827475	1.531398
GCA_000934395	1.109451
GCA_000987905	0.081774
GCA_001006505	0.49727
GCA_001020605	1.617884
GCA_001599655	0.445057
GCA_001599735	0.306456
GCA_001599915	0.987466
GCA_001599955	0.191297
GCA_001600015	0.256776
GCA_001600095	0.313946
GCA_001600395	0.162675
GCA_001600615	0.339584
GCA_001600635	0.247204
GCA_001632375	2.611945
GCA_001632425	2.05567
GCA_001683735	1.439626
GCA_001720245	0.13102
GCA_001895945	1.2664
GCA_001910725	2.156431
GCA_002102565	0.337869
GCA_002105065	0.311737
GCA_002162485	3.782269
GCA_002307695	3.289747
GCA_002335625	0.131612
GCA_002554575	0.51955
GCA_002760635	2.189877
GCA_002794775	1.258326
GCA_002806785	0.233537
GCA_002917775	0.175825
GCA_002938355	0.887448
GCA_002938385	1.552339
GCA_002994785	1.622088
GCA_003116875	0.22601
GCA_003144125	0.537183
GCA_003144205	0.514512
GCA_003144235	0.406239
GCA_003144295	1.018648
GCA_003313735	1.516745
GCA_003313825	0.867279
GCA_003314125	0.445025
GCA_003314395	0.3143
GCA_003316025	0.765022
GCA_003316405	0.306527
GCA_003675405	1.556226
GCA_003942215	0.291366
GCA_004016185	0.586321
GCA_004126415	0.720353
GCA_004332605	1.925954
GCA_900000165	0.9031
GCA_900291925	0.47055
