DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	ResFams
COLOR	#000000
FIELD_LABELS	RF0002	RF0003	RF0004	RF0005	RF0006	RF0007	RF0027	RF0029	RF0030	RF0033	RF0034	RF0042	RF0043	RF0047	RF0049	RF0050	RF0051	RF0052	RF0053	RF0054	RF0055	RF0056	RF0057	RF0059	RF0065	RF0066	RF0067	RF0068	RF0070	RF0071	RF0072	RF0080	RF0083	RF0084	RF0089	RF0090	RF0098	RF0099	RF0100	RF0104	RF0105	RF0107	RF0111	RF0113	RF0115	RF0121	RF0123	RF0124	RF0125	RF0126	RF0127	RF0128	RF0133	RF0134	RF0135	RF0136	RF0150	RF0153	RF0154	RF0155	RF0158	RF0159	RF0166	RF0172	RF0173	RF0174
Streptomycetaceae	0.8900035829451809	0	0	0	0	5.6105338588319595	0.0007165890361877463	0	0.08491580078824794	0.23539949838767465	0.010748835542816195	0	0.00035829451809387314	0	0	0.07595843783590112	1.249014690075242	0.0035829451809387316	1.4761734145467575	0.7925474740236474	0	0	0	0.00035829451809387314	0	0	0.07918308849874597	0.030096739519885347	0	0.00035829451809387314	0.5277678251522752	0	0.0007165890361877463	0	0.00035829451809387314	0.0017914725904693658	0	0	0	0.10139734862056611	0.4041562164098889	1.9648871372268004	0.00035829451809387314	0	0.00035829451809387314	0.0025080616266571123	1.10175564313866	0.39878179863848084	0.00035829451809387314	0.005374417771408097	0.00035829451809387314	0	0	0.10318882121103547	0	0	0	0	0.25008957362952344	0.40594768900035827	0.08670727337871731	0	0.0017914725904693658	0.13256897169473308	0.015406664278036546	0.0010748835542816195
Atopobiaceae	0	0	0	0	0	4.9316987740805605	0.0017513134851138354	0	0.0017513134851138354	0.0017513134851138354	0.0017513134851138354	0	0	0	0	0	0	0	0.11558669001751314	0.2171628721541156	0	0	0	0	0	0	0.0035026269702276708	0	0.0035026269702276708	0	0	0	0	0	0	0	0	0.0017513134851138354	0	0.0017513134851138354	0	0.024518388791593695	0	0	0	0	0.0035026269702276708	0.0017513134851138354	0.014010507880910683	0	0.0017513134851138354	0	0.050788091068301226	0.0017513134851138354	0.050788091068301226	0	0.0017513134851138354	0.0017513134851138354	0.014010507880910683	0.1436077057793345	0.0017513134851138354	0.07530647985989491	0.0017513134851138354	0.0017513134851138354	0	0
Streptosporangiaceae	0.41839080459770117	0	0	0	0	3.6873563218390806	0	0	0.03908045977011494	0.42298850574712643	0	0	0	0	0	0.004597701149425287	0.7241379310344828	0	2.340229885057471	0.7379310344827587	0	0.17471264367816092	0	0	0	0	0.41379310344827586	0.06206896551724138	0	0	0.05057471264367816	0	0	0	0	0	0.0022988505747126436	0	0	0.013793103448275862	0.4666666666666667	0.11264367816091954	0	0	0	0.004597701149425287	2.117241379310345	1.2988505747126438	0	0	0.0022988505747126436	0	0	0.041379310344827586	0	0	0	0	0.27586206896551724	0.496551724137931	0.029885057471264367	0	0	0.04827586206896552	0.006896551724137931	0.009195402298850575
S36-B12	0	0	0	0	0	0.7609756097560976	0	0	0	0.004878048780487805	0	0	0	0	0	0	0	0	0.01951219512195122	0.004878048780487805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00975609756097561	0	0	0.04878048780487805	0.024390243902439025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthellaceae	0.006791171477079796	0	0	0	0	3.2275042444821733	0.001697792869269949	0.010186757215619695	0.003395585738539898	0.06112054329371817	0.001697792869269949	0	0	0	0	0	0	0	0.07640067911714771	0.8862478777589134	0	0	0	0	0	0	0.011884550084889643	0	0.010186757215619695	0	0	0	0	0	0	0	0.001697792869269949	0	0	0.001697792869269949	0	0.6791171477079796	0	0	0.001697792869269949	0	0.0967741935483871	0.01697792869269949	0.003395585738539898	0	0	0	0.1697792869269949	0.008488964346349746	0.16468590831918506	0	0	0	0.011884550084889643	0.6757215619694398	0.011884550084889643	0.05602716468590832	0.011884550084889643	0.001697792869269949	0.025466893039049237	0
Gaiellaceae	0.031914893617021274	0.02127659574468085	0	0	0	2.6595744680851063	0	0	0	0.010638297872340425	0	0	0	0	0	0	0	0	0.06382978723404255	0.14893617021276595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09574468085106383	0.06382978723404255	0	0	0	0	0	0	0	0	0	0	0.0851063829787234	0.0851063829787234	0	0	0	0	0	0
Nanopelagicaceae	0.0033975084937712344	0	0	0	0	1.1415628539071347	0	0	0	0.0022650056625141564	0	0	0	0	0	0	0	0	0.009060022650056626	0.007927519818799546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011325028312570782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAHELV01	0	0	1	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geodermatophilaceae	0	0	0	0	0	2.517857142857143	0	0	0	0.22321428571428573	0	0	0	0	0	0	0	0	0.22321428571428573	0.1875	0	0	0	0	0	0	0.008928571428571428	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.13392857142857142	0.3392857142857143	0	0	0	0	1.3392857142857142	0.6071428571428571	0	0	0	0	0	0.0625	0	0	0	0	0.026785714285714284	0.125	0	0	0	0	0	0
Solirubrobacteraceae	0.005747126436781609	0	0	0	0	2.632183908045977	0	0	0	0	0	0	0	0	0	0	0.005747126436781609	0	0.08620689655172414	0.3505747126436782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005747126436781609	0	0	0.04597701149425287	0.011494252873563218	0.034482758620689655	0	0	0	0	0.367816091954023	0.09770114942528736	0	0	0	0	0	0.04597701149425287	0	0	0	0	0.07471264367816093	0.19540229885057472	0.022988505747126436	0	0	0	0	0
MedAcidi-G1	0	0	0	0	0	1.4971098265895955	0	0	0	0	0	0	0	0	0	0	0	0	0.005780346820809248	0.005780346820809248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7745664739884393	0.26011560693641617	0	0	0	0	0	0.16184971098265896	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacteriaceae	0.018915510718789406	0.012610340479192938	0	0	0	2.162673392181589	0.0037831021437578815	0	0.0012610340479192938	0.12610340479192939	0.0025220680958385876	0.0012610340479192938	0.0012610340479192938	0	0	0.0012610340479192938	0.021437578814627996	0	0.1021437578814628	0.8095838587641866	0	0	0	0	0	0	0.08575031525851198	0.011349306431273645	0	0	0.0025220680958385876	0	0	0	0.0012610340479192938	0	0.0012610340479192938	0	0	0.034047919293820936	0.0025220680958385876	0.03530895334174023	0.0025220680958385876	0	0.0012610340479192938	0	0.8965952080706179	0.01008827238335435	0	0.0012610340479192938	0	0	0.0037831021437578815	0.03783102143757881	0.0037831021437578815	0	0	0	0.006305170239596469	0.021437578814627996	0.0037831021437578815	0.0012610340479192938	0.006305170239596469	0.007566204287515763	0	0
QHCA01	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitriliruptoraceae	0	0	0	0	0	1.5671641791044777	0	0	0.014925373134328358	0.029850746268656716	0	0	0	0	0	0	0	0	0.04477611940298507	0.40298507462686567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208955223880597	0	0	0	0	0.582089552238806	0.05970149253731343	0	0	0	0	0	0	0	0	0	0	0	0.014925373134328358	0	0	0	0	0	0
UBA8139	0	0	0	0	0	1.9111111111111112	0	0	0	0	0	0	0	0	0	0	0	0	0.022222222222222223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044444444444444446	0	0	0	0	0.8666666666666667	0.044444444444444446	0	0	0	0	0	0.6222222222222222	0	0	0	0	0	0	0	0	0	0	0	0
Thermoleophilaceae	0	0	0	0	0	1.9090909090909092	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13636363636363635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045454545454545456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilumatobacteraceae	0.07580174927113703	0	0	0	0	2.206997084548105	0	0	0	0.011661807580174927	0	0	0	0	0	0	0	0	0.011661807580174927	0.01749271137026239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008746355685131196	0	0	0	0	0.45481049562682213	0.25072886297376096	0	0	0	0	0	0.41690962099125367	0	0	0	0	0.0058309037900874635	0.008746355685131196	0.008746355685131196	0	0	0	0	0
Miltoncostaeaceae	0	0	0	0	0	2.297872340425532	0	0	0	0.02127659574468085	0	0	0	0	0	0	0	0	0	0.02127659574468085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3829787234042553	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0425531914893617	0	0	0	0	0	0
Dermabacteraceae	0	0	0	0	0	3.8	0	0	0	0.1	0.01818181818181818	0	0	0	0	0	0.19090909090909092	0	0.43636363636363634	0	0	0	0	0	0	0	0.22727272727272727	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0.06363636363636363	0.00909090909090909	0.00909090909090909	0	0	0	0	0.08181818181818182	0.02727272727272727	0	0	0	0	0	0.06363636363636363	0	0	0	0	0	0.02727272727272727	0	0	0	0.06363636363636363	0.01818181818181818	0
Actinomycetaceae	0	0	0	0	0	1.506006006006006	0.012012012012012012	0.0045045045045045045	0.0015015015015015015	0.03003003003003003	0.003003003003003003	0	0	0	0	0.006006006006006006	0.018018018018018018	0	0.03303303303303303	0.04054054054054054	0	0	0	0	0	0	0.15465465465465467	0.009009009009009009	0	0.003003003003003003	0	0	0	0	0	0	0	0	0	0.02252252252252252	0	0.14714714714714713	0	0	0	0	0.024024024024024024	0.0045045045045045045	0	0	0.003003003003003003	0	0.11411411411411411	0.02252252252252252	0.1111111111111111	0	0	0	0	0.0045045045045045045	0	0	0.018018018018018018	0.003003003003003003	0.003003003003003003	0
Humimicrobiaceae	0.13333333333333333	0	0	0	0	1.1777777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022222222222222223	0.022222222222222223	0	0	0.022222222222222223	0	0	0	0	0	0	0	0	0	0	0	0.044444444444444446	0	0	0	0	0	0	0	0	0	0	0	0
RAAP-2	0.06037735849056604	0	0	0	0	2.8377358490566036	0	0	0	0.05849056603773585	0	0	0	0	0	0	0	0	0.06792452830188679	0.0037735849056603774	0	0	0	0	0	0	0.0018867924528301887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035849056603773584	0	0	0	0	0.13018867924528302	0.013207547169811321	0	0	0	0	0	0	0	0	0	0	0.0018867924528301887	0	0	0	0	0	0	0
Micromonosporaceae	0.9559118236472945	0	0	0	0	4.7374749498997994	0	0	0.006012024048096192	0.1402805611222445	0	0	0	0	0	0.002004008016032064	0.22044088176352705	0	1.6332665330661322	1.0701402805611222	0	0.012024048096192385	0	0	0	0	0.14228456913827656	0	0	0	0.01002004008016032	0	0	0	0.002004008016032064	0	0	0	0	0.002004008016032064	0.5230460921843687	0.03206412825651302	0	0	0	0	1.2605210420841684	0.533066132264529	0	0.002004008016032064	0	0	0	0.156312625250501	0	0	0	0	0.13827655310621242	0.2545090180360721	0.08016032064128256	0	0.004008016032064128	0.006012024048096192	0.002004008016032064	0.04408817635270541
UBA5976	0	0	0	0	0	0.8085106382978723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAIYMF01	0	0	0	0	0	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0
F1-60-MAGs149	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.038461538461538464	0.038461538461538464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34615384615384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacteriaceae	0	0	0	0	0	2.2033898305084745	0.005649717514124294	0	0.011299435028248588	0.13559322033898305	0.011299435028248588	0	0	0	0	0	0.423728813559322	0	1.1355932203389831	0.02824858757062147	0	0	0	0	0	0	0.6836158192090396	0.01694915254237288	0	0	0	0	0	0	0	0	0	0	0	0.1016949152542373	0.022598870056497175	0.062146892655367235	0	0	0	0	0.7457627118644068	0	0	0	0	0	0	0.1016949152542373	0	0	0	0	0.005649717514124294	0.14689265536723164	0.011299435028248588	0	0.01694915254237288	0.062146892655367235	0.022598870056497175	0
UBA2279	0	0.034482758620689655	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034482758620689655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4827586206896552	0	0	0	0	0	0	0	0	0	0	0	0
TK06	0.01694915254237288	0	0	0	0	2.23728813559322	0	0	0	0.00847457627118644	0	0	0	0	0	0	0	0	0	0.025423728813559324	0	0.00847457627118644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.9491525423728814	0.9152542372881356	0	0	0	0	0	0.00847457627118644	0	0	0	0	0	0	0	0	0	0	0	0
Rubrobacteraceae	0.3617021276595745	0	0.02127659574468085	0	0	3.6382978723404253	0	0	0	0	0	0	0	0	0	0	0	0	1.851063829787234	0.3617021276595745	0	0	0	0	0	0	0.02127659574468085	0	0	0	0	0	0	0	0	0	0.02127659574468085	0	0	0.0425531914893617	0	0.02127659574468085	0	0	0	0	0.10638297872340426	0.10638297872340426	0	0	0	0	0	0.2978723404255319	0	0	0	0	0	0	0	0	0	0	0	0
70-9	0.1044776119402985	0	0	0	0	1.7313432835820894	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23880597014925373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014925373134328358	0	0	0.04477611940298507	0	0	0.014925373134328358	0	0.208955223880597	0.04477611940298507	0	0	0	0	0	0	0	0	0	0	0.1044776119402985	0.11940298507462686	0.04477611940298507	0	0	0	0	0
JAAYBP01	0	0	0	0	0	4.375	0	0	0	0.0625	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0.0625	0	0.375	0	0	0	0	0.25	0.0625	0	0	0	0	0	0.1875	0	0	0	0	0	0.125	0	0	0	0	0	0
JABEUL01	0	0	0	0	0	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMGS124	0	0	0	0	0	2.823529411764706	0	0	0	0	0	0	0	0	0	0	0	0	0.9411764705882353	0.058823529411764705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7058823529411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058823529411764705	0.058823529411764705	0	0	0	0	0	0
UBA10347	1	0	0	0	0	5.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JACDCH01	0.3333333333333333	0	0	0	0	4.888888888888889	0	0	0	0.2222222222222222	0	0	0	0	0	0	0	0	0.1111111111111111	0.2222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5555555555555556	0.2222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palsa-688	0.06818181818181818	0	0	0	0	3.0454545454545454	0	0	0	0.13636363636363635	0	0	0	0	0	0	0	0	0.13636363636363635	0.20454545454545456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5909090909090909	0	0	0	0	0.3181818181818182	0.25	0	0	0	0	0	0.11363636363636363	0	0	0	0	0	0.11363636363636363	0.022727272727272728	0	0	0	0	0
Bog-793	0	0	0	0	0	2.361904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0.009523809523809525	0.0380952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.0761904761904762	0.01904761904761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA5794	0.029411764705882353	0	0	0	0	2.8529411764705883	0	0	0	0.029411764705882353	0	0	0	0	0	0	0	0	0	0.4411764705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058823529411764705	0	0	0	0	0.6470588235294118	0.47058823529411764	0	0	0	0	0	0.17647058823529413	0	0	0	0	0	0	0	0	0	0	0	0
Kineococcaceae	0.5	0.1	0	0	0	2.9	0	0	0	0.9	0	0	0	0	0	0	0	0	1.4	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.3	0.7	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0
Nakamurellaceae	0.11764705882352941	0	0	0	0	3.823529411764706	0	0	0	0.23529411764705882	0	0	0	0	0	0.11764705882352941	0	0	0.35294117647058826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47058823529411764	0	0.8235294117647058	0	0	0	0	0.5294117647058824	0.058823529411764705	0	0	0	0	0	0.47058823529411764	0	0	0	0	0	0	0	0	0	0	0	0
Beutenbergiaceae	0.03125	0	0	0	0	3.59375	0	0	0	0.34375	0	0	0	0	0	0.1875	0.1875	0	0.53125	0.09375	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0.09375	0	0	0	0	0	0	0.21875	0	0	0	0	0	0	0.09375	0	0	0	0	0.0625	0.375	0	0	0	0	0	0
Microtrichaceae	0	0.009174311926605505	0	0	0	1.8807339449541285	0	0	0	0.3302752293577982	0	0	0	0	0	0	0	0	0	0.01834862385321101	0	0.01834862385321101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009174311926605505	0	0	0	0	0.027522935779816515	0	0	0	0	0.11009174311926606	0.08256880733944955	0	0	0	0	0	0.045871559633027525	0	0	0	0	0	0.045871559633027525	0.027522935779816515	0	0	0	0	0
Egibacteraceae	0.13043478260869565	0	0	0	0	1.1304347826086956	0	0	0	0	0	0	0	0	0	0	0	0	0.08695652173913043	0.2608695652173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17391304347826086	0.13043478260869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin134	0	0	0	0	0	3.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0.125	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WLNW01	0	0	0	0	0	2.8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Demequinaceae	0	0	0	0	0	1.6666666666666667	0	0	0	0	0	0	0	0	0	0.0196078431372549	0	0	0.0392156862745098	0.0196078431372549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392156862745098	0	0	0	0	0	0	0	0	0	0	0	0
Jiangellaceae	0.32	0	0	0	0	6.24	0	0	0	0.76	0	0	0	0	0	0	0.88	0	3.72	0.28	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0	0	0.2	0.96	0	0	0	0.2	0.36	0.52	0	0	0	0	0	0	0	0	0	0	0.48	0.64	0.4	0	0	0	0	0
