DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Yeast prion homologs
Chaetoscypha_palmicola_GCA_003988945	15
Paecilomyces_variotii_GCA_003990805	9
Arthrobotrys_flagrans_GCA_004000055	8
Saccharomycopsis_malanga_GCA_004014935	7
Ramularia_coccinea_GCA_004155245	13
Aeminium_ludgeri_GCA_004216415	10
Ascochyta_viciae-villosae_GCA_004335205	10
Synchytrium_endobioticum_GCA_006535955	6
Spizellomyces_sp._'palustris'_GCA_006535965	7
Chytriomyces_confervae_GCA_006535975	9
Synchytrium_microbalum_GCA_006535985	8
Powellomyces_hirtus_GCA_006536005	7
Olpidium_bornovanus_GCA_017911155	28
Chytriomyces_sp._MP71_GCA_025201725	12
Martensiomyces_pterosporus_GCA_025201845	5
Ramicandelaber_brevisporus_GCA_025201865	11
Blastocladiella_britannica_GCA_025349905	6
Geranomyces_variabilis_GCA_025399175	10
Umbelopsis_ramanniana_AG_GCA_025399195	12
Globomyces_pollinis-pini_GCA_025399215	7
Backusella_circina_FSU_941_GCA_025399235	17
Chytriomyces_cf._hyalinus_JEL632_GCA_025435555	9
Chytridium_lagenaria_GCA_025449115	8
Entophlyctis_helioformis_GCA_025526915	10
Cladochytrium_replicatum_GCA_025526935	15
Gorgonomyces_haynaldii_GCA_025526955	7
Fimicolochytrium_jonesii_GCA_025526975	12
Powellomyces_hirtus_GCA_025526995	9
Gaertneriomyces_semiglobifer_GCA_025558075	5
Hyaloraphidium_curvatum_GCA_025558095	14
Polychytrium_aggregatum_GCA_025602895	7
Phlyctochytrium_arcticum_GCA_025602905	6
Paraphysoderma_sedebokerense_GCA_025602915	5
Neoconidiobolus_thromboides_FSU_785_GCA_025603075	12
Obelidium_mucronatum_GCA_025765595	8
Zopfochytrium_polystomum_GCA_025765615	10
Syncephalis_fuscata_GCA_025786725	5
Coelomomyces_lativittatus_GCA_026937265	4
Cladochytrium_tenue_GCA_026954515	9
Nowakowskiella_sp._JEL0078_GCA_026955015	10
Globomyces_sp._JEL0801_GCA_027595885	5
Thoreauomyces_humboldtii_GCA_027596035	11
Siphonaria_sp._JEL0065_GCA_027596065	7
Rhizophlyctis_rosea_GCA_027596075	15
Rhizophlyctis_rosea_GCA_027596135	10
Rhizoclosmatium_hyalinum_GCA_027596175	4
Podochytrium_sp._JEL0797_GCA_027596195	7
Quaeritorhiza_haematococci_GCA_027596845	7
Physocladia_obscura_GCA_027596945	7
Phlyctochytrium_bullatum_GCA_027597005	7
Nowakowskiella_sp._JEL0407_GCA_027600645	7
Irineochytrium_annulatum_GCA_027600665	8
Phlyctochytrium_planicorne_GCA_027600675	9
Geranomyces_variabilis_GCA_027600685	9
Geranomyces_variabilis_GCA_027601485	9
Geranomyces_michiganensis_GCA_027602005	9
Geranomyces_variabilis_GCA_027602705	11
Geranomyces_variabilis_GCA_027603065	9
Gaertneriomyces_sp._JEL0708_GCA_027603645	7
Entophlyctis_luteolus_GCA_027603655	8
Terramyces_sp._JEL0728_GCA_027603945	8
Dinochytrium_kinnereticum_GCA_027604005	8
Clydaea_vesicula_GCA_027604065	6
Chytriomyces_hyalinus_GCA_027604085	8
Chytriomyces_hyalinus_GCA_027604105	8
Chytriomyces_hyalinus_GCA_027604165	7
Boothiomyces_macroporosus_GCA_027604185	7
Boothiomyces_sp._JEL0838_GCA_027604245	5
Chytridiales_sp._JEL_0842_GCA_027604305	7
Boothiomyces_sp._JEL0866_GCA_027604345	10
Rhizoclosmatium_sp._JEL0117_GCA_027604365	7
Kappamyces_sp._JEL0680_GCA_027604405	7
Kappamyces_sp._JEL0829_GCA_027604465	5
Gonapodya_sp._JEL0774_GCA_027604505	12
Entophlyctis_sp._JEL0112_GCA_027604545	8
Borealophlyctis_nickersoniae_GCA_027604605	12
Blyttiomyces_sp._JEL0837_GCA_027604625	11
Allomyces_javanicus_GCA_027604645	6
Polyrhizophydium_stewartii_GCA_027604665	6
Lobulomyces_angularis_GCA_027604685	6
Allomyces_arbusculus_GCA_027604705	6
Entophlyctis_luteolus_GCA_027604725	8
Chytriomyces_hyalinus_GCA_027604745	8
Phialocephala_subalpina_GCA_900073065	19
Hanseniaspora_guilliermondii_GCA_900119595	4
Microbotryum_silenes-dioicae_GCA_900120095	12
Podospora_comata_GCA_900290415	7
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	10
Hymenoscyphus_occultus_GCA_900536445	13
Cyanodermella_asteris_GCA_900618795	15
