DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Het/vegetative incompatability genes
Sporopachydermia_GCA_003705295.1	0	9
Verticillium_GCA_000732205.1	35	21
Boothiomyces_GCA_027604185.1	0	44
Clonostachys_GCA_000963775.2	141	32
Sarcodon_GCA_003313825.1	0	30
Allomyces_GCA_027604705.1	0	26
Kappamyces_GCA_027604465.1	0	11
Mrakia_GCA_001600395.1	0	10
Wallemia_GCF_000400465.1	0	12
Rhizoclosmatium_GCA_002104985.1	7	22
Fragosphaeria_GCA_002778095.1	19	15
Mitosporidium_GCF_000760515.2	0	10
Gigaspora_GCA_003550325.1	0	158
Conidiobolus_GCA_001566745.1	0	29
Pseudophaeomoniella_GCA_003868215.1	52	16
Thermothielavioides_GCF_000226115.1	28	30
Ascosphaera_GCA_001636715.1	0	13
Naematelia_GCA_002105065.1	0	11
Hebeloma_GCA_000827355.1	0	22
Blastocladiella_GCA_025349905.2	0	22
Arthrobotrys_GCA_004000055.1	3	34
Coniella_GCA_003019895.1	29	18
Synchytrium_GCF_006535985.1	1	18
Phlyctochytrium_GCA_025602905.1	0	26
Blyttiomyces_GCA_027604625.1	4	19
Grifola_GCA_001683735.1	26	23
Microdochium_GCA_001566295.1	114	35
Schizosaccharomyces_GCA_000002945.2	0	9
Coniochaeta_GCA_002798055.1	41	28
Coprinus_GCA_003316025.1	0	17
Geranomyces_GCA_027603065.1	1	13
Trichophyton_GCA_003118255.1	2	17
Chaetoscypha_GCA_003988945.1	80	18
Lepidopterella_GCA_001692735.1	262	31
Tremella_GCA_000987905.1	0	11
Alloascoidea_GCA_001600815.1	0	20
Gymnopilus_GCA_002938385.1	37	37
Tolypocladium_GCA_002916505.1	7	22
Helminthosporium_GCA_000498615.1	26	12
Neolentinus_GCA_001632425.1	6	22
Neofusicoccum_GCA_000385595.1	27	16
Rhizoctonia_GCA_000524645.1	2	38
Gaertneriomyces_GCA_025558075.1	0	19
Microbotryum_GCA_900120095.1	0	184
Exidia_GCA_001632375.1	0	34
Cutaneotrichosporon_GCA_002335625.1	0	11
Boothiomyces_GCA_027604245.1	0	51
Scedosporium_GCA_000812075.1	77	23
Hysterium_GCA_000467715.1	134	19
Obelidium_GCA_025765595.1	4	26
Geranomyces_GCA_027601485.1	2	14
Linnemannia_GCA_001651415.1	1	21
Neurospora_GCA_000182925.2	29	18
Paraphysoderma_GCA_025602915.1	0	60
Entophlyctis_GCA_027604725.1	17	18
Chytriomyces_GCA_027604105.1	5	23
Evernia_GCA_003184365.1	58	27
Corynespora_GCA_003016335.1	140	24
Irineochytrium_GCA_027600665.1	0	14
Protomyces_GCF_002105105.1	0	16
Candida_GCA_001661425.1	0	9
Auricularia_GCA_000265015.1	0	29
Baudoinia_GCF_000338955.1	37	12
Entophlyctis_GCA_025526915.1	0	13
Paramyrothecium_GCA_003012165.1	126	33
Talaromyces_GCA_001270325.1	0	15
Pestalotiopsis_GCF_000516985.1	227	34
Paecilomyces_GCA_003990805.1	1	13
Geranomyces_GCA_027602705.1	0	16
Aeminium_GCA_004216415.1	0	15
Endocarpon_GCF_000464535.1	111	28
Phlyctochytrium_GCA_027597005.1	16	12
Elaphomyces_GCA_002240705.1	63	17
Thielaviopsis_GCA_000968615.1	3	14
Neurospora_GCA_000604185.2	26	17
Chytriomyces_GCA_027604085.1	4	26
Collybiopsis_GCA_000827265.1	5	34
Yarrowia_GCA_000002525.1	0	24
Neolecta_GCA_001929475.1	0	9
Hesseltinella_GCA_002104935.1	0	24
Solicoccozyma_GCA_001600015.1	0	11
Reticulascus_GCA_001557505.1	223	38
Mucor_GCA_000950595.1	0	34
Hyaloraphidium_GCA_025558095.1	0	15
Bipolaris_GCF_000354255.1	76	21
Piloderma_GCA_000827315.1	1	21
Ramicandelaber_GCA_025201865.1	0	24
Ascobolus_GCA_003788565.2	1	55
Golubevia_GCA_001599655.1	0	13
Valsa_GCA_003795315.1	61	30
Symbiotaphrina_GCA_001599915.1	12	14
Rhodotorula_GCA_002806785.1	0	11
Pseudomassariella_GCF_002105095.1	27	26
Botryobasidium_GCA_000697705.1	21	25
Ramularia_GCA_004155245.1	28	25
Colletotrichum_GCA_001563115.1	112	23
Ramichloridium_GCA_002368545.1	72	19
Batrachochytrium_GCA_000203795.1	0	12
Martensiomyces_GCA_025201845.1	0	20
Knufia_GCA_002319055.1	28	14
Serendipita_GCA_000313545.1	0	34
Cladonia_GCA_002927785.1	78	24
Cordyceps_GCF_001636725.1	13	25
Piromyces_GCA_002104945.1	0	46
Endocalyx_GCA_001600455.1	107	34
Rhizophlyctis_GCA_027596135.1	12	23
Metschnikowia_GCA_002374405.1	0	9
Serpula_GCA_000218685.1	14	19
Testicularia_GCA_003144125.1	0	16
