variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	k-samples	nk-samples	notes
HOG0002513	Belongs to the GMC oxidoreductase family=94; GMC oxidoreductase=10	E=56; J=48
HOG0032346	Tryptophan halogenase=38; monooxygenase activity=6; domain-containing protein=3; FAD-dependent small molecule halogenase=1	C=44; S=2; E=1; H=1
HOG0038060	ADP-ribosylglycohydrolase=17	S=17
HOG0035747	-=8	-=8
HOG0027261	-=77; Oxoglutarate iron-dependent oxygenase=8; F-box domain-containing protein=1	-=77; S=9
HOG0026116	Phosphotransferase enzyme family=56; Ecdysteroid kinase=12; serine-type carboxypeptidase activity=6; Protein of unknown function (DUF1679)=3; Choline/ethanolamine kinase=3; Phosphotransferase=2; Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). May act by forming a heterodimer with NCS6 that ligates sulfur from thiocarboxylated URM1 onto the uridine of tRNAs at wobble position. Prior mcm(5) tRNA modification by the elongator complex is required for 2-thiolation. May also be involved in protein urmylation=1	S=73; E=6; H=3; J=1
HOG0036861	-=7	-=7
HOG0043177	Pathogen effector; putative necrosis-inducing factor=6; -=3	S=6; -=3
HOG0024212	Heterokaryon incompatibility protein (HET)=32; HET domain protein=23; -=21; Het domain protein=5; Mycolic acid cyclopropane synthetase=1	S=60; -=21; I=1
HOG0035985	CorA-like Mg2+ transporter protein=6; -=2	S=6; -=2
HOG0038053	-=16	-=16
HOG0029768	-=59; Permease for cytosine/purines, uracil, thiamine, allantoin=1	-=59; F=1; H=1
HOG0036253	-=17	-=17
HOG0047727		
HOG0026779	FAD binding=94; fad binding domain-containing protein=6; FAD binding domain-containing protein=5; Cytochrome p-450=5; FAD binding domain=4; COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases=1	C=99; S=11; Q=5; H=3
HOG0029432	Protein of unknown function (DUF1593)=71; Cellulose-binding protein=22; Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain=1	S=94
HOG0030674	SnoaL-like domain=52; Ring hydroxylating beta subunit=1; -=1	S=51; Q=2; -=1
HOG0009688	FAD dependent oxidoreductase=29; D-amino acid oxidase=5	E=34
HOG0003065	Alcohol dehydrogenase GroES-like domain=44; alcohol dehydrogenase=30; Zinc-binding dehydrogenase=16; Alcohol dehydrogenase GroES-like domain-containing protein=3; Dehydrogenase=1	Q=94
HOG0035767	Belongs to the peptidase A1 family=22; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family=1	O=22; P=1
HOG0025846	-=140; Golgin subfamily A member 7/ERF4 family=2	-=140; S=2
HOG0037613	-=2	-=2
HOG0031796	Belongs to the peptidase M28 family=54; Belongs to the peptidase M28 family. M28B subfamily=1	O=34; E=21
HOG0035483	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=6; Transcription factor=2; btb poz domain protein=1	S=8; K=1
HOG0043459	-=2	-=2
HOG0029715	-=84	-=84
HOG0036859	-=17	-=17
HOG0007702	Zn_pept=35; Carboxypeptidase=23; Zinc carboxypeptidase=7; Carboxypeptidase A=3; Zinc carboxypeptidase A 1 precursor=3; Peptidase M14=1	O=72
HOG0030020	-=28	-=28
HOG0027542	proline-specific peptidase protein=58; Serine aminopeptidase, S33=22; Proline-specific peptidase=16; alpha/beta hydrolase fold=14; Belongs to the peptidase S33 family=4; Major Facilitator Superfamily=2; Alpha/beta hydrolase family=1	S=114; I=3
HOG0000412	Enoyl-(Acyl carrier protein) reductase=19; short-chain dehydrogenase=14; 3-oxoacyl- acyl-carrier protein reductase=11; KR domain=10; short-chain dehydrogenase reductase=8; Short-chain dehydrogenase=2; to unnamed=2; Oxidoreductase, short-chain dehydrogenase reductase family=1	Q=67
HOG0029264	-=71; Amino acid permease=1	-=71; E=1
HOG0032574	-=15; Repeat of unknown function (DUF346)=3; metalloendopeptidase activity=1	-=15; S=3; M=1
HOG0036737	-=18	-=18
HOG0031180	F-box domain containing protein=16; -=7; Small nucleolar ribonucleoprotein complex subunit=1	S=17; -=7
HOG0036300	-=11	-=11
HOG0009395	FAD dependent oxidoreductase=57; Sarcosine oxidase=38; sarcosine oxidase=11; Fructosyl amino acid=2; to sarcosine oxidase=2; Fructosyl amino acid oxidase=1; Glucose inhibited division protein A=1; sarcosine oxidase activity=1	E=113
HOG0028913	-=57	-=57
HOG0025711	Cytochrome p-450=63; Cytochrome P450=53; Belongs to the cytochrome P450 family=31; cytochrome P450=14; cytochrome P-450=7; iron ion binding=2; isomerase activity=1	Q=170; I=20; S=1
HOG0026988	-=89; NAD-P-binding protein=6; NmrA-like family=1; Encoded by=1; mitochondrial translation=1	-=89; S=8; J=1
HOG0029945	-=65	-=65
HOG0031374	NmrA-like family=31; Isoflavone reductase=11; to isoflavone reductase=8; Isoflavone reductase family protein=7; Phospholipid metabolism-related protein=1	S=55; G=3; M=3
HOG0027200	Isochorismatase family=46; Isochorismatase=29; Isochorismatase family hydrolase=3; Ycac protein=3	Q=71; G=10
HOG0031874	-=27; Fungal specific transcription factor domain=2	-=27; S=2
HOG0035755	-=12	-=12
HOG0038602	-=15	-=15
HOG0031220	Fungal specific transcription factor domain=22; Transcription factor=19; C6 transcription factor=9; -=8; fungal specific transcription factor=4	S=54; -=8
HOG0030788	Protein tyrosine kinase=11; Protein kinase domain=7; non-membrane spanning protein tyrosine kinase activity=4; NB-ARC domain=2; protein kinase activity=1; -=1	T=22; K=5; L=5; I=2; G=1; -=1
HOG0000615	-=11; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=11; Fungal specific transcription factor domain=6	-=11; S=10; L=4; K=1; P=1; B=1
HOG0035492	-=26	-=26
HOG0003159	polyketide synthase=8; PKS_KR=1; Beta-ketoacyl synthase=1; Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall=1	I=9; Q=2
HOG0008607	basic region leucin zipper=14; BZIP transcription factor=7; Basic region leucine zipper=3; Transcription factor=3; bZIP transcription factor=3; to Saccharomyces cerevisiae ACA1 (YER045C) and CST6 (YIL036W)=1; DNA-binding transcription factor activity=1	K=31; A=1
HOG0012222	Alpha galactosidase A=13	G=13
HOG0004590	O-methyltransferase=17; Dimerisation domain=4; Glycoside hydrolase family 29 protein=1	S=13; Q=5; O=2; G=1; H=1
HOG0042109	Domain of unknown function (DUF3425)=1	S=1
HOG0032889	Glycoside hydrolase family 2 protein=13; Glycosyl hydrolases family 2, sugar binding domain=12; glycoside hydrolase family 2=8; Glycoside hydrolase=4; Glycosyl hydrolase=3; Glycosyl hydrolases family 2=2; Glycoside hydrolase family 2=1	G=43
HOG0028452	-=67; ATPase family associated with various cellular activities (AAA)=3	-=67; O=3
HOG0029632	F-box-like=25; F-box domain-containing protein=21; -=16	S=46; -=16
HOG0026338	-=119; terpene cyclase ausL lead to the formation of protoaustinoid A. Protoaustinoid A is then oxidized to spiro-lactone preaustinoid A3 by the combined action of the FAD-binding monooxygenases ausB and ausC, and the dioxygenase ausE. Acid-catalyzed keto-rearrangement and ring contraction of the tetraketide portion of preaustinoid A3 by ausJ lead to the formation of preaustinoid A4. The aldo-keto reductase ausK, with the help of ausH, is involved in the next step by transforming preaustinoid A4 into isoaustinone which is in turn hydroxylated by the P450 monooxygenase ausI to form austinolide. Finally, the cytochrome P450 monooxygenase ausG modifies austinolide to austinol. Austinol can be further modified to dehydroaustinol which forms a diffusible complex with diorcinol that initiates conidiation=15; cytochrome P450=1	-=119; S=15; Q=1
HOG0004075	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain=58; SET domain=11; -domain-containing protein=7; domain-containing protein=6; Set domain-containing protein 5=5; Vps16, C-terminal region=4; methyltransferase activity=4; Oxysterol-binding protein=3; ABC transporter=1; SET domain-containing protein=1; protein lysine methyltransferase SET5=1; Set domain-containing protein=1; SET and MYND domain-containing protein=1; RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding=1	B=92; E=5; U=4; T=3; J=1
HOG0030122	-=82	-=82
HOG0032801	Belongs to the peptidase S1B family=15; Trypsin=10; -=4	O=20; E=5; -=4
HOG0025036	fungal specific transcription factor=47; -=42; Fungal specific transcription factor domain=34; Fungal specific transcription factor=15; c6 transcription factor=14; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=7; Transcription factor=3; GPI transamidase component PIG-U=1	L=89; -=42; K=15; B=15; S=1; Q=1
HOG0029393	Glycoside hydrolase family 2 protein=33; Beta-galactosidase=16; Domain of unknown function (DUF4982)=14; cytochrome P450=5; Glycosyl hydrolases family 2, sugar binding domain=1	G=64; Q=5
HOG0001893	Major Facilitator Superfamily=46; Major facilitator superfamily transporter=1	S=40; G=7
HOG0036238	Calpain family cysteine protease=12; Belongs to the peptidase C2 family=8; bacterial-type flagellum-dependent cell motility=3	S=20; N=3; U=3
HOG0040946		
HOG0019140	C6 zinc finger=77; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=54; -=30; Fungal specific transcription factor domain=28; C6 finger domain protein=12; Regulator of G protein signaling domain=1; zinc finger domain protein=1; Cytochrome p-450=1	L=86; K=40; B=34; -=30; S=12; P=1; Q=1
