n	n:500	L50	min	N75	N50	N25	E-size	max	sum	name
4864	4864	248	1000	15090	56761	132679	91006	530588	60.78e6	Genomes/GCA_000301015.1_CfCabog12_genomic.fna
1506	1144	90	506	72649	151055	269560	218984	1143446	48.76e6	Genomes/GCA_000302655.1_MphMS6_1.0_genomic.fna
281	281	2	502	8067396	8831634	11.68e6	9178563	11.68e6	36.93e6	Genomes/GCA_000303195.2_FP7_genomic.fna
12	12	4	421426	737985	1026670	1484635	1093921	1757339	11.13e6	Genomes/GCA_000304475.1_Ka_CBS2517_genomic.fna
2744	2253	281	502	20109	42567	75688	54883	283825	41.29e6	Genomes/GCA_000308955.1_ETyphina_1.0_genomic.fna
364	364	50	507	54856	98237	153014	119478	340075	15.9e6	Genomes/GCA_000313485.1_ASM31348v1_genomic.fna
861	861	114	2524	39617	80917	124144	89973	345519	28.22e6	Genomes/GCA_000313525.1_ASM31352v1_genomic.fna
1885	1885	132	1000	21111	52072	101552	67973	253987	24.83e6	Genomes/GCA_000313545.1_ASM31354v1_genomic.fna
54	54	5	2038	783927	1455643	2881501	2298009	5569759	24.91e6	Genomes/GCA_000315645.2_PdigPd1_v1_genomic.fna
8	8	3	601572	1441205	1622663	2405696	1893015	2899497	12.48e6	Genomes/GCA_000315875.1_ASM31587v1_genomic.fna
10	10	4	492909	1053522	1448821	2450468	1727936	2696728	14.05e6	Genomes/GCA_000315915.1_ASM31591v1_genomic.fna
311	309	53	711	58262	113553	183327	135978	479004	19.15e6	Genomes/GCA_000315935.1_NOKS_genome_assembly_20110720_genomic.fna
93	93	9	14113	271017	957836	1429100	971030	2548689	26.13e6	Genomes/GCA_000317355.2_ASM31735v2_genomic.fna
10	10	3	4151	2795612	3660033	6805132	4689512	6916777	31.77e6	Genomes/GCA_000317715.1_ophiu10_genomic.fna
72	72	5	2011	1734068	2021915	3569176	2668110	5039318	28.92e6	Genomes/GCA_000320565.2_Septoria_musiva_SO2202_v1.0_genomic.fna
15	15	6	8087	2114815	2572835	3433608	2628244	3591957	33.65e6	Genomes/GCA_000320585.2_Heterobasidion_irregulare_v2.0_genomic.fna
740	632	8	500	881104	1644738	2323937	1704893	3648078	37.83e6	Genomes/GCA_000320605.2_Ceriporiopsis_subvermispora_B_v1.0_genomic.fna
94	94	11	1037	350301	574416	935719	708393	1532102	20.18e6	Genomes/GCA_000320785.2_RHOziaDV1.0_genomic.fna
27	27	7	2211	604972	883984	1640170	1156993	2473901	19.64e6	Genomes/GCA_000328475.2_Umaydis521_2.0_genomic.fna
13	13	5	11588	2584494	3428278	3752427	3137773	3861944	34.17e6	Genomes/GCA_000328965.1_ASM32896v1_genomic.fna
745	745	64	1002	72557	179254	308961	215384	677837	38.42e6	Genomes/GCA_000331835.2_GD12v2_genomic.fna
19	19	7	2076	1221670	1299806	1799481	1480099	2026523	21.87e6	Genomes/GCA_000338955.1_Bauco1_genomic.fna
154	154	7	2011	1356112	1745590	2614853	1899030	3514409	33.21e6	Genomes/GCA_000338995.1_Cocsa1_genomic.fna
20	20	5	2271	1751021	2585404	3286636	2702808	5085740	30.07e6	Genomes/GCA_000340195.1_Dothistroma_septosporum_NZE10_v1.0_genomic.fna
56	56	5	2275	4161036	5874494	8775284	6017740	11.8e6	73.73e6	Genomes/GCA_000340215.1_Mycfi2_genomic.fna
348	348	7	2014	1628775	2475299	3770824	2583733	4998599	48.24e6	Genomes/GCA_000344635.1_Wolco1_genomic.fna
504	504	36	1004	163473	351953	506967	413844	1322583	39.6e6	Genomes/GCA_000344655.2_Fompi3_genomic.fna
442	442	7	1870	1435707	1675173	2963587	2029080	4049429	34.43e6	Genomes/GCA_000344685.1_Glotr1_1_genomic.fna
2947	2101	331	500	5808	11355	19301	14046	57658	12.56e6	Genomes/GCA_000344705.1_Cmaltosa_v01_genomic.fna
9	9	4	26062	3495414	3850754	4699286	4143292	5952752	30.14e6	Genomes/GCA_000346795.1_pde_v1.0_genomic.fna
191	191	25	2010	253958	415421	671438	457832	953099	30.9e6	Genomes/GCA_000347355.1_ASM34735v1_genomic.fna
420	414	57	605	100248	189821	297580	226464	732563	34.78e6	Genomes/GCA_000347475.1_Ppaxilli_v.1.0_genomic.fna
8239	5181	672	500	7219	14238	24857	18129	79323	32.96e6	Genomes/GCA_000347735.1_C_canescens_MTCC-10836_BHU_v01_genomic.fna
13	13	5	450632	724293	855641	1310059	949984	1410224	10.84e6	Genomes/GCA_000348985.1_ASM34898v1_genomic.fna
65	65	6	501	225044	510951	747712	466345	812980	7654640	Genomes/GCA_000349305.2_ASM34930v2_genomic.fna
2334	2008	237	500	36999	68823	116434	82002	263509	53.78e6	Genomes/GCA_000349385.1_UCREL1V03_genomic.fna
62	62	9	2834	639375	929502	2427105	1497659	3942248	35.6e6	Genomes/GCA_000349905.1_VVO_genomic.fna
355	162	13	501	1155810	2025931	3815266	2504393	5783449	87.89e6	Genomes/GCA_000350065.2_KSG_Corb_v2_genomic.fna
207	207	13	899	554801	960244	1364273	965590	2250620	32.09e6	Genomes/GCA_000354255.1_CocheC4_1_genomic.fna
407	407	8	1967	1402326	1904541	3178801	1973025	3665432	38.25e6	Genomes/GCA_000359705.1_Setospaeria_trucica_Et28A_v1.0_genomic.fna
19	19	5	2368	1737386	2379483	3694484	2497360	3760447	28.72e6	Genomes/GCA_000365145.2_Phia_euro_CBS_101466_V1_genomic.fna
19	19	4	1228	3078468	3197044	3633287	3253995	5725642	28.98e6	Genomes/GCA_000365165.2_Clad_carr_CBS_160_54_V1_genomic.fna
1181	1181	192	526	19639	38867	64454	47893	230372	24.94e6	Genomes/GCA_000372705.1_YLSCbra_1.0_genomic.fna
83777	58433	11285	500	1055	2096	4210	3412	100988	91.32e6	Genomes/GCA_000382605.1_LAG_Assembly_genomic.fna
1297	1193	148	502	43575	83655	144790	108465	480852	42.49e6	Genomes/GCA_000385595.1_UCRNP2V3_genomic.fna
214	214	4	1001	1543265	2631320	3337129	2349588	4161081	25.4e6	Genomes/GCA_000388065.2_Font_alba_ATCC_38817_V2_genomic.fna
399	398	56	505	88283	172950	280619	196910	512974	29.86e6	Genomes/GCA_000389695.3_Cfim3.0_genomic.fna
624	535	45	510	173955	334293	539772	413715	1628100	47.35e6	Genomes/GCA_000392275.1_UCRPA7V03_genomic.fna
82	82	9	643	269602	436658	553253	436343	792435	9624672	Genomes/GCA_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna
74	64	13	565	275214	445317	719062	566385	1398088	18.43e6	Genomes/GCA_000403515.1_ASM40351v1_genomic.fna
22	22	8	116898	1810772	2089504	2949815	2242957	3577693	39.17e6	Genomes/GCA_000409485.1_GLAREA_genomic.fna
45	45	8	8137	577870	1444141	2047675	1697906	4366329	32.5e6	Genomes/GCA_000410735.1_Opiceae_UAMHv01_genomic.fna
39	39	10	2219	647970	909735	1070176	936264	1968073	22.96e6	Genomes/GCA_000417875.1_Pflocc_1.0_genomic.fna
1111	1111	127	960	169392	326594	526701	369697	1316631	129.8e6	Genomes/GCA_000439145.3_ASM43914v3_genomic.fna
1279	1007	57	501	109102	190204	368782	266284	937433	39.41e6	Genomes/GCA_000441935.1_MHA_v2_genomic.fna
36	36	9	918	1500411	1692590	1956226	1751410	2812195	34.38e6	Genomes/GCA_000442125.1_Cafla_v1_genomic.fna
712	677	91	501	42625	71416	126342	97932	346987	22.77e6	Genomes/GCA_000442785.1_Cf_30_300r_Split10plusN_genomic.fna
27	27	4	11090	428067	931375	1451338	918516	1683839	10.25e6	Genomes/GCA_000442885.1_ZYBA0_genomic.fna
240	240	11	922	1051970	1429331	1679165	1406099	2222659	35.59e6	Genomes/GCA_000444155.1_Clmac_v1_genomic.fna
908	908	57	1769	82072	177944	336877	236389	799183	36.78e6	Genomes/GCA_000464535.1_EPUS_genomic.fna
54	54	8	2314	851085	1463698	2075614	1528514	2654556	32.22e6	Genomes/GCA_000465215.2_Pysem1.0_genomic.fna
1091	892	125	500	50853	90260	155792	110797	412304	38.18e6	Genomes/GCA_000467715.1_ASM46771v1_genomic.fna
3976	3254	442	500	14117	27049	45252	33171	132928	39.6e6	Genomes/GCA_000467735.1_ASM46773v1_genomic.fna
1003	1003	60	501	89981	188607	308028	212812	829589	35.17e6	Genomes/GCA_000472125.2_Hirsutella_thompsonii_MTCC6686_genomic.fna
30	30	10	2487	1269535	1574776	1902863	1587612	2363967	35.79e6	Genomes/GCA_000482085.2_C_metacorallifera_KoLRI002260_v2_genomic.fna
45	41	7	510	516403	720506	1427224	988671	2209416	17.32e6	Genomes/GCA_000497045.1_PSEUBRA1_genomic.fna
4516	3356	229	502	8387	25956	73122	70022	500105	30.14e6	Genomes/GCA_000497225.1_AmaJack1.0_genomic.fna
422	422	5	500	3082330	4138480	4751092	4006732	6187784	43.9e6	Genomes/GCA_000497325.3_ASM49732v3_genomic.fna
41	41	7	2049	414687	674080	838738	709387	1386278	12.71e6	Genomes/GCA_000497715.1_SpaArb1.0_genomic.fna
5686	2939	307	500	17076	33515	56087	40379	217806	33.68e6	Genomes/GCA_000498615.1_Hsolani1.0_genomic.fna
41096	40927	5053	500	1625	4217	9856	17765	590597	93.53e6	Genomes/GCA_000500245.1_Cro_ribi_1.0_genomic.fna
1241	1241	88	502	68434	130148	227192	166026	590720	39.24e6	Genomes/GCA_000503235.1_SBOR_1_genomic.fna
3263	3257	164	500	38345	80182	127183	100375	528484	43.36e6	Genomes/GCA_000504365.2_ASM50436v2_genomic.fna
