clade_comparison	clade	genome	bgcome_size
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Microbotryum_GCA_900120095.1	227782.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Paxillus_GCA_000827475.1	1531398.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Chytriomyces_GCA_025435555.1	597665.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Rhizoclosmatium_GCA_002104985.1	542899.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Schizosaccharomyces_GCA_000002945.2	233594.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Grifola_GCA_001683735.1	1439626.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Fibroporia_GCF_000313525.1	1614987.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Thoreauomyces_GCA_027596035.1	414522.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Linderina_GCF_002104995.1	190944.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Kockovaella_GCF_002102565.1	337869.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Naematelia_GCA_002105065.1	311737.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Heterobasidion_GCA_002994785.1	1622088.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Borealophlyctis_GCA_027604605.1	120199.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Gorgonomyces_GCA_025526955.1	157542.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Chytridium_GCA_025449115.1	312706.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Piromyces_GCA_002157105.1	1565310.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Tulasnella_GCA_000827465.1	566508.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Powellomyces_GCA_025526995.1	586050.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Hygrophorus_GCA_003314125.1	445025.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Backusella_GCA_025399235.1	488719.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Kockiozyma_GCA_003705835.2	278149.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Neolecta_GCA_001929475.1	193498.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Obelidium_GCA_025765595.1	512070.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Clydaea_GCA_027604065.1	109388.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Ascobolus_GCA_003788565.2	864709.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Pleurotus_GCA_003313735.1	1516745.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Pisolithus_GCA_000827335.1	991749.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Podochytrium_GCA_027596195.1	139734.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Cystobasidium_GCA_001599955.1	191297.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Physocladia_GCA_027596945.1	217739.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Catenaria_GCA_002102555.1	202967.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Gaertneriomyces_GCA_025558075.1	342256.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Sporopachydermia_GCA_003705295.1	128135.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Martensiomyces_GCA_025201845.1	147067.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Volvariella_GCA_000349905.1	1097461.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Auricularia_GCA_000265015.1	2181837.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Albatrellus_GCA_003314395.1	314300.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Thelephora_GCA_003316405.1	306527.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Piptocephalis_GCA_003614145.1	20024.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Stromatinia_GCA_002162485.1	3782269.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Gymnopilus_GCA_002938385.1	1552339.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Spizellomyces_GCA_000182565.2	765324.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Protomyces_GCF_002105105.1	266007.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Naganishia_GCA_001599735.1	306456.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Yarrowia_GCA_000002525.1	186198.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Ganoderma_GCA_002760635.1	2189877.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Cryptococcus_GCA_001720245.1	131020.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Globomyces_GCA_025399215.1	384909.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Terfezia_GCA_003788615.2	438430.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Lobosporangium_GCF_002105155.1	166881.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Zopfochytrium_GCA_025765615.1	938506.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Rhizoctonia_GCA_000524645.1	507180.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Siphonaria_GCA_027596065.1	214745.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Candolleomyces_GCA_004126415.1	720353.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Porodaedalea_GCA_002794775.1	1258326.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Hesseltinella_GCA_002104935.1	403269.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Symbiotaphrina_GCA_001599915.1	987466.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Batrachochytrium_GCA_000149865.1	268079.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Phanerodontia_GCA_001910725.1	2156431.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Rozella_GCA_000442015.1	9832.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Takashimella_GCA_003116875.1	226010.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Piloderma_GCA_000827315.1	2406975.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Schizopora_GCA_001020605.1	1617884.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Fimicolochytrium_GCF_025526975.1	595746.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Cephaloascus_GCA_003706495.1	87212.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Gigaspora_GCA_003550325.1	1080977.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Tremella_GCA_000987905.1	81774.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Trigonopsis_GCA_003706805.2	296322.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Coprinopsis_GCF_000182895.1	901156.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Quambalaria_GCA_004016185.1	586321.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Ascoidea_GCF_001661345.1	71698.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Blyttiomyces_GCA_027604625.1	55247.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Neolentinus_GCA_001632425.1	2055670.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Coprinus_GCA_003316025.1	765022.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Neocallimastix_GCA_002104975.1	2038726.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Rhizophlyctis_GCA_027596075.1	487318.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Stereum_GCF_000264905.1	3539980.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Hyaloraphidium_GCA_025558095.1	243785.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Nowakowskiella_GCA_027600645.1	295659.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Polychytrium_GCF_025602895.1	4288817.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Jaapia_GCA_000697665.1	1002713.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Amanita_GCA_002554575.1	519550.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Neoconidiobolus_GCA_025603075.1	203739.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Paraphysoderma_GCA_025602915.1	174597.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Saccharomycopsis_GCA_004014935.1	127608.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Saccharomyces_GCF_000146045.2	135159.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Chytridiales_GCA_027604305.1	167986.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Kappamyces_GCA_027604465.1	115705.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Oehlia_GCA_003833135.1	305816.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Conidiobolus_GCA_001566745.1	417335.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Phlyctochytrium_GCA_025602905.1	402159.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Saitozyma_GCA_003942215.1	291366.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Violaceomyces_GCA_003144235.1	406239.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Arthrobotrys_GCA_004000055.1	642452.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Mucor_GCA_000401635.1	500038.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Malassezia_GCA_002818225.1	300681.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Sphaerobolus_GCA_000827215.1	4385115.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Zygoascus_GCA_003707925.2	154971.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Laccaria_GCF_000143565.1	1035640.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Puccinia_GCA_000149925.1	221016.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Geranomyces_GCA_027603065.1	870820.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Alloascoidea_GCA_001600815.1	275433.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Priceomyces_GCA_003705335.1	120171.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Allomyces_GCA_000151295.1	329435.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Phlebopus_GCA_000766925.2	2134208.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Serpula_GCA_000218685.1	2291438.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Boothiomyces_GCA_027604185.1	274584.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Rhodotorula_GCA_002806785.1	233537.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Hanseniaspora_GCA_900119595.1	118542.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Tuber_GCF_000151645.1	451448.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Quaeritorhiza_GCA_027596845.1	196724.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Anaeromyces_GCA_002104895.1	2189531.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Cladochytrium_GCA_025526935.1	618779.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Syncephalastrum_GCA_002105135.1	539213.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Mixia_GCF_000708205.1	414063.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Glaciozyma_GCA_002917775.1	175825.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Morchella_GCA_003790465.1	676359.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Dimargaris_GCA_003614675.1	609786.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Fistulina_GCA_000934395.1	1109451.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Bifiguratus_GCA_002261195.1	322691.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Hebeloma_GCA_000827355.1	1310653.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Terramyces_GCA_027603945.1	293934.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Orbilia_GCF_000225545.1	1103214.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Rhizopus_GCA_000149305.1	669928.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Serendipita_GCA_000313545.1	218241.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Phycomyces_GCA_001638985.2	385114.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Plicaturopsis_GCA_000827205.1	1504303.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Bullera_GCA_001600095.1	313946.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Dinochytrium_GCA_027604005.1	216813.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Synchytrium_GCF_006535985.1	213949.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Tilletia_GCA_001006505.1	497270.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Cutaneotrichosporon_GCA_002335625.1	131612.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Ustilago_GCF_000328475.2	715389.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Candida_GCA_001661425.1	127836.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Leucosporidium_GCA_001600635.1	247204.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Polyrhizophydium_GCA_027604665.1	113093.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Panaeolus_GCA_002938355.1	887448.0
0. BGC-enriched Pezizomycotina vs. Other fungi	2. Other fungi	Calocera_GCA_001630345.1	851086.0
