name	domain_evalue	domain_score	meets_ga
GCA_002865625|CDS_4469|232|389	4.5e-33	122.0	True
GCA_001692915|CDS_5376|47|202	3.5e-33	122.4	True
GCA_002105025|CDS_332|197|329	3.9e-33	122.2	True
GCA_000354255|CDS_11003|67|224	2.9e-33	122.6	True
GCA_003988795|CDS_7937|41|191	5.8e-33	121.6	True
GCA_001642045|CDS_14585|45|205	4.9e-33	121.9	True
GCA_003313425|CDS_3196|91|234	8.3e-33	121.2	True
GCA_001557505|CDS_5807|135|298	4.5e-33	122.0	True
GCA_002865625|CDS_5749|251|397	4.5e-33	122.0	True
GCA_000963775|CDS_9001|330|481	9.8e-33	120.9	True
GCA_000464535|CDS_8459|81|217	4.4e-33	122.0	True
GCA_001600455|CDS_10265|151|288	4.8e-33	121.9	True
GCA_002927785|CDS_2911|127|269	5.6e-33	121.7	True
GCA_001692735|CDS_12589|62|199	3.9e-33	122.2	True
GCA_000146915|CDS_7663|82|232	6e-33	121.6	True
GCA_002865625|CDS_6807|49|184	6.7e-33	121.4	True
GCA_001692735|CDS_4393|47|204	4.9e-33	121.9	True
GCA_000467715|CDS_10000|51|206	5.8e-33	121.7	True
GCA_003073855|CDS_18004|52|195	5.6e-33	121.7	True
GCA_900073065|CDS_8450|50|183	7.1e-33	121.4	True
GCA_001692915|CDS_8216|86|249	1.1e-32	120.8	True
GCA_001447215|CDS_4774|47|198	6.9e-33	121.4	True
GCA_000467715|CDS_8986|46|199	9.3e-33	121.0	True
GCA_002368545|CDS_1915|22|111	1.4	16.6	False
GCA_002368545|CDS_1915|117|132	2.3e+02	9.4	False
GCA_002368545|CDS_1915|296|438	2.3e-25	97.0	True
GCA_001692735|CDS_2492|55|188	6.6e-33	121.5	True
GCA_000836295|CDS_70|48|283	8.6e-30	111.4	True
GCA_003988815|CDS_590|198|334	9.2e-33	121.0	True
GCA_000146915|CDS_7703|226|362	8.5e-33	121.1	True
GCA_000467715|CDS_8587|213|355	8.2e-33	121.2	True
GCA_001599595|CDS_2899|67|200	9.3e-33	121.0	True
GCA_000836435|CDS_3723|67|223	1e-32	120.9	True
GCA_000442125|CDS_8870|54|198	5.6e-33	121.7	True
GCA_001447215|CDS_10482|237|383	1e-32	120.8	True
GCA_000963775|CDS_3383|73|232	9.3e-33	121.0	True
GCA_001563115|CDS_2080|40|215	1.1e-32	120.8	True
GCA_900290415|CDS_8340|195|330	8.7e-33	121.1	True
GCA_002865625|CDS_12366|253|393	1e-32	120.9	True
GCA_002927785|CDS_4445|280|429	1.8e-32	120.1	True
GCA_001642045|CDS_7747|55|215	5.9e-33	121.6	True
GCA_003988945|CDS_5972|186|324	9.9e-33	120.9	True
GCA_900073065|CDS_10690|236|383	1.4e-32	120.4	True
GCA_900073065|CDS_8828|45|206	9.6e-33	121.0	True
GCA_001692915|CDS_4551|87|255	1.5e-32	120.3	True
GCA_900073065|CDS_2639|217|359	1.1e-32	120.7	True
GCA_003671545|CDS_11818|197|336	1.2e-32	120.6	True
GCA_000464535|CDS_946|176|318	1.1e-32	120.8	True
GCA_003016335|CDS_8476|181|329	1.3e-32	120.5	True
GCA_000738655|CDS_3545|149|299	1.5e-32	120.3	True
GCA_001563115|CDS_1343|54|197	1.3e-32	120.6	True
GCA_000467715|CDS_3876|59|223	1.8e-32	120.1	True
GCA_001692735|CDS_1113|53|186	1.5e-32	120.3	True
GCA_900290415|CDS_5708|82|246	1.6e-32	120.2	True
GCA_002865625|CDS_12254|68|234	1.3e-32	120.5	True
GCA_003313425|CDS_12125|43|204	1.5e-32	120.4	True
GCA_000516985|CDS_4291|262|407	1.8e-32	120.0	True
GCA_001599595|CDS_3155|358|502	2.1e-32	119.9	True
GCA_003313425|CDS_7121|85|235	1.3e-32	120.5	True
GCA_003016335|CDS_14510|108|245	1.4e-32	120.4	True
GCA_001599595|CDS_7732|93|240	1.4e-32	120.4	True
GCA_000963775|CDS_10300|64|218	1.3e-32	120.6	True
GCA_002081935|CDS_1724|178|321	1.3e-32	120.5	True
GCA_003016335|CDS_1277|55|195	1.3e-32	120.5	True
GCA_000442125|CDS_6113|246|393	1.8e-32	120.0	True
GCA_000464535|CDS_5876|49|197	1.5e-32	120.3	True
GCA_001692735|CDS_7904|114|244	9.1e-33	121.0	True
GCA_900073065|CDS_18693|214|367	1.6e-32	120.2	True
GCA_000442125|CDS_583|171|320	1.8e-32	120.1	True
GCA_001481775|CDS_5158|231|376	1.5e-32	120.3	True
GCA_003795315|CDS_7493|47|194	1.6e-32	120.3	True
GCA_900073065|CDS_7771|299|444	2.4e-32	119.7	True
GCA_002865625|CDS_12801|50|182	1.9e-32	120.0	True
GCA_900073065|CDS_14185|237|391	2.6e-32	119.5	True
GCA_000516985|CDS_2283|218|366	2.3e-32	119.7	True
GCA_001692915|CDS_8539|77|230	1.9e-32	120.0	True
GCA_900536445|CDS_10144|64|207	2.2e-32	119.8	True
GCA_002865625|CDS_1044|56|200	2.3e-32	119.7	True
GCA_002865625|CDS_15618|59|195	2.4e-32	119.7	True
GCA_003184365|CDS_10289|39|187	2.2e-32	119.8	True
GCA_000467715|CDS_1206|134|283	2.9e-32	119.4	True
GCA_000963775|CDS_831|46|206	3.1e-32	119.3	True
GCA_900073065|CDS_9236|217|364	2.5e-32	119.6	True
GCA_002162485|CDS_1192|50|260	2.6e-31	116.3	True
GCA_002105025|CDS_1795|3|146	1.9e-32	120.0	True
GCA_003988795|CDS_10199|126|270	1.7e-32	120.1	True
GCA_003671545|CDS_4018|93|253	2.9e-32	119.4	True
GCA_001481775|CDS_9614|76|209	4.7e-32	118.7	True
GCA_002778095|CDS_2889|205|342	3.7e-32	119.0	True
GCA_002865625|CDS_7691|51|182	2.4e-32	119.7	True
GCA_001692735|CDS_13124|130|282	3.6e-32	119.1	True
GCA_002865625|CDS_15241|38|188	3.4e-32	119.2	True
GCA_000516985|CDS_785|50|183	4.8e-32	118.7	True
GCA_000226115|CDS_2000|50|203	4.2e-32	118.9	True
GCA_003313425|CDS_4054|53|192	3.9e-32	119.0	True
GCA_000516985|CDS_10010|257|399	3.6e-32	119.1	True
GCA_000467715|CDS_3838|45|187	4.4e-32	118.8	True
GCA_002865625|CDS_8530|212|346	4.1e-32	118.9	True
GCA_000812075|CDS_3826|47|201	4e-32	118.9	True
GCA_001692915|CDS_5716|51|193	3.5e-32	119.1	True
GCA_001692915|CDS_10868|23|165	4e-32	118.9	True
GCA_900073065|CDS_10693|17|152	3.6e-32	119.1	True
GCA_000354255|CDS_11770|49|184	3.5e-32	119.1	True
GCA_000738655|CDS_5922|118|265	4.2e-32	118.9	True
GCA_900536445|CDS_11767|41|194	6.1e-32	118.3	True
GCA_001692735|CDS_12537|40|191	5.1e-32	118.6	True
GCA_000516985|CDS_13464|50|194	4.2e-32	118.9	True
GCA_002105025|CDS_883|99|243	4.8e-32	118.7	True
GCA_000836295|CDS_7395|43|192	4.5e-32	118.8	True
GCA_001642045|CDS_14092|61|212	5e-32	118.6	True
GCA_001557505|CDS_11648|46|201	5.2e-32	118.6	True
GCA_001692915|CDS_3213|19|166	4.5e-32	118.8	True
GCA_003016335|CDS_366|268|417	5.2e-32	118.6	True
GCA_003012165|CDS_2837|48|209	5.9e-32	118.4	True
GCA_002865625|CDS_11364|174|324	6.5e-32	118.3	True
GCA_003016335|CDS_11748|46|204	6.3e-32	118.3	True
GCA_003019875|CDS_3157|5|160	6.6e-32	118.2	True
GCA_001599595|CDS_11946|176|324	6e-32	118.4	True
GCA_000464535|CDS_2294|47|195	5.8e-32	118.4	True
GCA_000226115|CDS_7750|1|150	4.4e-32	118.8	True
GCA_003988795|CDS_9012|185|332	6e-32	118.4	True
GCA_002162485|CDS_8070|57|204	7.7e-32	118.0	True
GCA_000354255|CDS_12347|53|198	6.5e-32	118.2	True
GCA_900073065|CDS_10279|45|190	6.4e-32	118.3	True
GCA_001692735|CDS_13343|51|187	5.8e-32	118.4	True
GCA_900073065|CDS_14108|108|273	9.5e-32	117.7	True
GCA_001557505|CDS_9034|44|216	5.8e-32	118.4	True
GCA_003313425|CDS_1070|62|222	7.4e-32	118.1	True
GCA_001692735|CDS_4332|201|380	6.7e-32	118.2	True
GCA_000732205|CDS_4310|47|204	6.5e-32	118.2	True
GCA_001600455|CDS_8722|204|359	6.1e-32	118.3	True
GCA_900073065|CDS_17327|49|219	1e-31	117.6	True
GCA_900073065|CDS_1491|50|183	5e-32	118.6	True
GCA_000467715|CDS_5271|127|258	9.7e-32	117.7	True
GCA_002927785|CDS_6971|67|219	8.7e-32	117.9	True
GCA_900073065|CDS_17252|220|372	7.1e-32	118.1	True
GCA_003988795|CDS_2217|220|362	6.8e-32	118.2	True
GCA_000464535|CDS_7962|48|204	7.7e-32	118.0	True
GCA_001557505|CDS_258|44|203	6.2e-32	118.3	True
GCA_002865625|CDS_11647|60|192	6e-32	118.4	True
GCA_000313525|CDS_1707|293|428	8.4e-32	117.9	True
GCA_001692915|CDS_3673|106|265	6e-32	118.4	True
GCA_900073065|CDS_4982|53|207	7.3e-32	118.1	True
GCA_000226115|CDS_921|162|308	9.4e-32	117.7	True
GCA_000738655|CDS_5094|182|324	9.4e-32	117.7	True
GCA_000442125|CDS_3|118|283	7.5e-32	118.0	True
GCA_000516985|CDS_13896|62|205	6.7e-32	118.2	True
GCA_900073065|CDS_3480|56|247	3.8e-31	115.8	True
GCA_002865625|CDS_10831|162|300	7.3e-32	118.1	True
GCA_003184365|CDS_4383|190|339	1.5e-31	117.1	True
GCA_000467715|CDS_11629|103|247	1.2e-31	117.4	True
GCA_003184365|CDS_5287|15|156	1.1e-31	117.5	True
GCA_001557505|CDS_1235|188|319	8.2e-32	117.9	True
GCA_002240705|CDS_6129|218|368	9.5e-32	117.7	True
GCA_001636725|CDS_8870|224|365	9.8e-32	117.7	True
GCA_000464535|CDS_7306|46|205	8.8e-32	117.8	True
GCA_000467715|CDS_467|45|189	8.4e-32	117.9	True
GCA_000516985|CDS_3970|50|183	1.1e-31	117.5	True
GCA_000467715|CDS_3406|537|687	1.1e-31	117.5	True
GCA_001481775|CDS_7436|51|206	1e-31	117.6	True
GCA_001563115|CDS_13418|82|160	4.9	14.9	False
GCA_001563115|CDS_13418|258|407	1.2e-26	101.2	True
GCA_001599595|CDS_8939|18|172	9.8e-32	117.7	True
GCA_001481775|CDS_4784|30|202	1.7e-31	116.9	True
GCA_002127715|CDS_8650|53|201	1.2e-31	117.4	True
GCA_900073065|CDS_468|203|350	9.8e-32	117.7	True
GCA_000516985|CDS_13292|50|183	1e-31	117.6	True
GCA_001599915|CDS_6478|67|214	1.1e-31	117.5	True
GCA_001692915|CDS_9594|138|290	9.3e-32	117.7	True
GCA_000516985|CDS_970|50|183	6.1e-32	118.4	True
GCA_900536445|CDS_4446|50|198	1.1e-31	117.5	True
GCA_002162485|CDS_3495|45|174	1.3e-31	117.3	True
GCA_001481775|CDS_734|48|209	1.2e-31	117.3	True
GCA_000442125|CDS_2915|48|204	1.7e-31	116.9	True
GCA_003988795|CDS_4584|46|194	1.1e-31	117.5	True
GCA_003073855|CDS_15482|57|197	8.9e-32	117.8	True
GCA_003073855|CDS_12064|47|177	1.3e-31	117.3	True
GCA_000146915|CDS_7096|73|216	1.2e-31	117.4	True
GCA_001599595|CDS_9412|93|235	6.8e-32	118.2	True
GCA_900073065|CDS_5922|51|194	1e-31	117.7	True
GCA_003019895|CDS_773|60|225	9.6e-32	117.7	True
GCA_002865625|CDS_3487|183|329	1.1e-31	117.5	True
GCA_002105025|CDS_2195|43|181	9.4e-32	117.7	True
GCA_001692915|CDS_7503|49|255	1.3e-30	114.1	True
GCA_001692735|CDS_5943|84|235	1.2e-31	117.4	True
GCA_001692735|CDS_12752|202|333	1.4e-31	117.2	True
GCA_003073855|CDS_12634|52|217	1.7e-31	116.9	True
GCA_002081935|CDS_8621|212|361	1.2e-31	117.3	True
GCA_002105025|CDS_8197|99|247	3.8e-31	115.8	True
GCA_002865625|CDS_10730|133|288	1.1e-31	117.5	True
GCA_002798055|CDS_8375|46|195	1e-31	117.6	True
GCA_002865625|CDS_12257|52|184	1.1e-31	117.5	True
GCA_002865625|CDS_6085|27|169	1.3e-31	117.3	True
GCA_000766925|CDS_6271|292|427	1.4e-31	117.2	True
GCA_000963775|CDS_11479|65|215	5.6e-31	115.2	True
GCA_002865625|CDS_1021|45|191	1.1e-31	117.5	True
GCA_002162545|CDS_715|50|247	1.5e-30	113.9	True
GCA_002927785|CDS_260|47|213	1.5e-31	117.1	True
GCA_000963775|CDS_14096|38|191	1.4e-31	117.2	True
GCA_000182925|CDS_6484|170|324	1.6e-31	117.0	True
GCA_000963775|CDS_9759|49|238	3e-31	116.1	True
GCA_900073065|CDS_14082|157|291	1.5e-31	117.1	True
GCA_000146915|CDS_7226|49|182	2e-31	116.7	True
GCA_001662655|CDS_2742|210|346	1.6e-31	116.9	True
GCA_002865625|CDS_12443|117|279	1.7e-31	116.9	True
GCA_001557505|CDS_9949|525|672	2.1e-31	116.6	True
GCA_001692915|CDS_6004|43|183	1.3e-31	117.3	True
GCA_000467715|CDS_4926|105|252	2e-31	116.7	True
GCA_001513895|CDS_6011|55|203	2e-31	116.7	True
GCA_001692915|CDS_13408|48|208	2.2e-31	116.5	True
GCA_001642045|CDS_615|98|231	1.8e-31	116.8	True
GCA_900536445|CDS_244|311|451	2.1e-31	116.6	True
GCA_002105095|CDS_7660|184|332	1.9e-31	116.8	True
GCA_003988945|CDS_2712|177|322	2.1e-31	116.6	True
GCA_000498615|CDS_4254|70|216	1.9e-31	116.8	True
GCA_002105095|CDS_3176|196|344	1.9e-31	116.7	True
GCA_003988815|CDS_120|78|243	2.5e-31	116.4	True
GCA_002865625|CDS_12980|56|216	1.9e-31	116.8	True
GCA_001692735|CDS_8126|40|212	2.1e-31	116.6	True
GCA_000354255|CDS_9484|45|186	2.5e-31	116.4	True
GCA_002865625|CDS_483|290|463	1.3e-31	117.3	True
GCA_003049485|CDS_9264|44|188	1.7e-31	116.9	True
GCA_001600455|CDS_7496|74|243	2.2e-31	116.5	True
GCA_900290415|CDS_5712|200|349	2.6e-31	116.3	True
GCA_003073855|CDS_5907|1|140	1.5e-31	117.1	True
GCA_002865625|CDS_12233|54|214	2.5e-31	116.3	True
GCA_000827425|CDS_15091|221|367	2.6e-31	116.3	True
GCA_003385255|CDS_3167|59|207	2.4e-31	116.4	True
GCA_900073065|CDS_16469|76|227	2.4e-31	116.4	True
GCA_003184365|CDS_5540|271|419	2.3e-31	116.5	True
GCA_000836295|CDS_1932|60|204	2.3e-31	116.5	True
GCA_900290415|CDS_4449|205|358	2.3e-31	116.5	True
GCA_900618795|CDS_3550|101|268	3.1e-31	116.0	True
GCA_000732205|CDS_3864|248|385	2.6e-31	116.3	True
GCA_900465125|CDS_6046|164|300	4.7e-31	115.5	True
GCA_002865625|CDS_16057|146|302	3e-31	116.1	True
GCA_900073065|CDS_2196|51|183	6.9e-31	114.9	True
GCA_000516985|CDS_3369|176|327	3.8e-31	115.8	True
GCA_003073855|CDS_18117|96|232	2.8e-31	116.2	True
GCA_900073065|CDS_17294|273|409	3.2e-31	116.0	True
GCA_002105025|CDS_11654|20|180	2.3e-31	116.5	True
GCA_900290415|CDS_4389|180|316	2.7e-31	116.2	True
GCA_001642045|CDS_9732|79|221	1.7e-31	116.9	True
GCA_000354255|CDS_5223|80|240	3e-31	116.1	True
GCA_000516985|CDS_9900|220|377	2.9e-31	116.1	True
GCA_900073065|CDS_3644|62|201	2.8e-31	116.2	True
GCA_000464535|CDS_6413|211|358	3.5e-31	115.9	True
GCA_900073065|CDS_17555|216|363	3e-31	116.1	True
GCA_001642045|CDS_1326|48|199	2.8e-31	116.2	True
GCA_000766925|CDS_7640|120|268	3.7e-31	115.8	True
GCA_000442125|CDS_5719|14|175	3.5e-31	115.9	True
GCA_003012165|CDS_6016|186|333	3.6e-31	115.8	True
GCA_000766925|CDS_5196|40|185	3.3e-31	116.0	True
GCA_002105025|CDS_5437|53|183	2.6e-31	116.3	True
GCA_002865625|CDS_11078|6|154	2.4e-31	116.4	True
GCA_900073065|CDS_13887|268|415	3.3e-31	115.9	True
GCA_000836295|CDS_1451|153|321	3.5e-31	115.9	True
GCA_900073065|CDS_16118|44|196	3.7e-31	115.8	True
GCA_000464535|CDS_4541|52|220	3.5e-31	115.9	True
GCA_001692915|CDS_10618|85|235	3.1e-31	116.1	True
GCA_003385255|CDS_1825|100|261	3.4e-31	115.9	True
GCA_000354255|CDS_10035|52|219	3.5e-31	115.9	True
GCA_000516985|CDS_731|43|177	5.1e-31	115.3	True
GCA_001481775|CDS_3142|233|379	3.4e-31	115.9	True
GCA_003988795|CDS_2949|91|242	3.3e-31	116.0	True
GCA_001692915|CDS_630|72|221	3e-31	116.1	True
GCA_000516985|CDS_8851|48|222	6.1e-31	115.1	True
GCA_000963775|CDS_12184|111|261	4e-31	115.7	True
GCA_900073065|CDS_135|528|678	4.7e-31	115.5	True
GCA_003988795|CDS_9274|228|383	4.9e-31	115.4	True
GCA_001557505|CDS_4618|286|433	3.7e-31	115.8	True
GCA_001600455|CDS_3466|197|335	2.3e-31	116.4	True
GCA_900073065|CDS_93|670|811	5.8e-31	115.2	True
GCA_002865625|CDS_12658|50|187	4.6e-31	115.5	True
GCA_001692735|CDS_11966|93|248	3.8e-31	115.8	True
GCA_001557505|CDS_5274|49|200	4.1e-31	115.7	True
GCA_002162545|CDS_5997|49|201	4.4e-31	115.6	True
GCA_001692915|CDS_9178|45|184	2.9e-31	116.1	True
GCA_000467715|CDS_2887|202|348	6e-31	115.1	True
GCA_002927785|CDS_6201|40|193	4e-31	115.7	True
GCA_000442125|CDS_7532|132|265	4.9e-31	115.4	True
GCA_000467715|CDS_2022|27|173	4.6e-31	115.5	True
GCA_000349385|CDS_5331|115|266	3.9e-31	115.7	True
GCA_003795315|CDS_2017|118|270	4.5e-31	115.5	True
GCA_002865625|CDS_11835|247|389	4.9e-31	115.4	True
GCA_900073065|CDS_10205|316|462	5e-31	115.4	True
GCA_002162545|CDS_9320|45|174	5.5e-31	115.2	True
GCA_003795315|CDS_2651|141|282	3e-31	116.1	True
GCA_003988795|CDS_8196|187|333	6.1e-31	115.1	True
GCA_000963775|CDS_5108|199|348	5.9e-31	115.1	True
GCA_000365145|CDS_2109|305|448	5.7e-31	115.2	True
GCA_002865625|CDS_11983|215|363	4.5e-31	115.5	True
GCA_002105025|CDS_2887|173|319	8.2e-31	114.7	True
GCA_002798055|CDS_1050|266|431	5.5e-31	115.2	True
GCA_000385595|CDS_10066|55|199	4.2e-31	115.6	True
GCA_001563115|CDS_9046|45|198	3.4e-31	115.9	True
GCA_001692915|CDS_12420|46|193	4.1e-31	115.7	True
GCA_002105025|CDS_329|9|148	4.3e-31	115.6	True
GCA_000467715|CDS_9980|49|206	1e-30	114.4	True
GCA_000464535|CDS_3255|57|228	7.5e-31	114.8	True
GCA_001692735|CDS_12560|143|300	6.8e-31	114.9	True
GCA_001692915|CDS_11155|104|257	7e-31	114.9	True
GCA_001692735|CDS_11858|31|175	4.4e-31	115.6	True
GCA_003988945|CDS_3398|323|467	7.3e-31	114.8	True
GCA_003988795|CDS_3446|204|351	7e-31	114.9	True
GCA_000218685|CDS_5454|338|484	6.9e-31	114.9	True
GCA_003012165|CDS_3470|331|480	1.2e-30	114.1	True
GCA_000313525|CDS_3304|41|188	1.5e-30	113.8	True
GCA_002081935|CDS_11658|45|207	6.6e-31	115.0	True
GCA_900536445|CDS_6930|48|195	7.3e-31	114.8	True
GCA_001557505|CDS_35|44|203	6.4e-31	115.0	True
GCA_002865625|CDS_15813|51|186	6.9e-31	114.9	True
GCA_000442125|CDS_890|54|217	7.4e-31	114.8	True
GCA_002865625|CDS_10034|111|253	1.5e-30	113.8	True
GCA_001692735|CDS_8106|44|189	7.3e-31	114.8	True
GCA_001692915|CDS_5640|81|240	7.4e-31	114.8	True
GCA_001566295|CDS_8085|72|226	8.8e-31	114.6	True
GCA_002162545|CDS_2710|55|196	8.1e-31	114.7	True
GCA_001563115|CDS_14262|250|387	6.9e-31	114.9	True
GCA_000464535|CDS_2465|262|407	8.5e-31	114.6	True
GCA_000516985|CDS_6453|181|335	8.3e-31	114.7	True
GCA_003016335|CDS_7310|95|231	6.9e-31	114.9	True
GCA_001692915|CDS_7926|32|206	7.7e-31	114.8	True
GCA_900073065|CDS_6147|276|431	7.7e-31	114.8	True
GCA_001692915|CDS_12566|79|239	7.7e-31	114.8	True
GCA_001481775|CDS_923|45|253	1.3e-29	110.8	True
GCA_003264845|CDS_3518|195|342	8.5e-31	114.6	True
GCA_000963775|CDS_9778|62|237	9.1e-31	114.5	True
GCA_000442125|CDS_4083|47|184	9.7e-31	114.4	True
GCA_000467715|CDS_2869|478|624	5.3e-31	115.3	True
GCA_002865625|CDS_4782|57|206	1.2e-30	114.2	True
GCA_001956345|CDS_7155|398|546	9.2e-31	114.5	True
GCA_002865625|CDS_16281|202|353	1.3e-30	114.0	True
GCA_003313425|CDS_5276|60|193	9.5e-31	114.5	True
GCA_001956345|CDS_630|28|176	9.9e-31	114.4	True
GCA_900073065|CDS_10000|140|299	1.4e-30	114.0	True
GCA_900536445|CDS_10455|75|229	9.4e-31	114.5	True
GCA_002865625|CDS_124|50|204	8.1e-31	114.7	True
GCA_000516985|CDS_10118|310|458	1.2e-30	114.2	True
GCA_001481775|CDS_6521|160|302	9.6e-31	114.5	True
GCA_001692735|CDS_6296|17|168	6.7e-31	115.0	True
GCA_000963775|CDS_13632|58|215	5.8e-31	115.2	True
GCA_002865625|CDS_15167|1|131	2.1e-29	110.1	True
GCA_000516985|CDS_3287|135|285	1.1e-30	114.3	True
GCA_003988815|CDS_9065|221|373	9.4e-31	114.5	True
GCA_000827215|CDS_3076|221|374	9.1e-31	114.5	True
GCA_000516985|CDS_2367|49|184	6e-31	115.1	True
GCA_002162485|CDS_10475|280|423	1.6e-30	113.8	True
