homolog_group	empirical_pvalue	lean	clade1_proportion_with_og	clade2_proportion_with_og	clade1_median_copy_count	clade2_median_copy_count	query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
OG0000165	1.999980000199998e-05	Focal	0.9478260869565217	0.25	6	3	OG0000165|GCA_000003515|CDS_1120	33188.XP_002541759.1	0.0	1794.0	2D1DK@1|root,2SHQX@2759|Eukaryota,39VCX@33154|Opisthokonta,3NYIU@4751|Fungi,3R1EH@4890|Ascomycota,20ETT@147545|Eurotiomycetes,3B1AC@33183|Onygenales	4751|Fungi	S	Phosphotransferase enzyme family	-	-	-	-	-	-	-	-	-	-	-	-	APH
OG0000185	1.999980000199998e-05	Focal	0.9739130434782609	0.2692307692307692	6.0	2.0	OG0000185|GCA_000182925|CDS_4431	5141.EFNCRP00000007071	0.0	2628.0	2D1W9@1|root,2SJHT@2759|Eukaryota,3AIZ9@33154|Opisthokonta,3PCPE@4751|Fungi,3R1B5@4890|Ascomycota,218Y4@147550|Sordariomycetes,3UE8Z@5139|Sordariales,3UGAB@5148|Sordariaceae	4751|Fungi	O	Belongs to the RNase T2 family	-	-	3.1.27.1	ko:K01166	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	BBE,FAD_binding_4,Ribonuclease_T2
OG0000263	1.999980000199998e-05	Focal	0.782608695652174	0.11538461538461539	3.0	4.0	OG0000263|GCA_000271625|CDS_11304	80637.XP_007773673.1	0.0	1509.0	2ECCD@1|root,2SI8N@2759|Eukaryota,39SY1@33154|Opisthokonta,3P10U@4751|Fungi,3V54A@5204|Basidiomycota,22BY4@155619|Agaricomycetes	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
OG0000321	1.999980000199998e-05	Focal	0.7130434782608696	0.09615384615384616	4.0	3	OG0000321|GCA_000516985|CDS_8767	393283.XP_007835539.1	0.0	2020.0	KOG0032@1|root,KOG1164@1|root,KOG0032@2759|Eukaryota,KOG1164@2759|Eukaryota,38BQ1@33154|Opisthokonta,3NUPD@4751|Fungi,3QK18@4890|Ascomycota,211PW@147550|Sordariomycetes	4751|Fungi	T	Belongs to the protein kinase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MMR_HSR1,Pkinase
OG0000351	1.999980000199998e-05	Focal	0.8347826086956521	0.11538461538461539	6.0	2.0	OG0000351|GCA_000271625|CDS_11610	80637.XP_007773973.1	0.0	2484.0	29CUB@1|root,2RJY5@2759|Eukaryota,39W0T@33154|Opisthokonta,3NWU8@4751|Fungi,3V43C@5204|Basidiomycota,22BSN@155619|Agaricomycetes	4751|Fungi	S	CorA-like Mg2+ transporter protein	-	-	-	-	-	-	-	-	-	-	-	-	CorA
OG0000373	1.999980000199998e-05	Focal	0.7478260869565218	0.2692307692307692	5.0	2.0	OG0000373|GCA_000328475|CDS_3885	5270.UM03396P0	0.0	1728.0	2CN6I@1|root,2QU5N@2759|Eukaryota,38C0K@33154|Opisthokonta,3PM49@4751|Fungi,3VB3J@5204|Basidiomycota,3N52I@452284|Ustilaginomycotina	4751|Fungi	S	Fungal specific transcription factor domain	-	-	-	-	-	-	-	-	-	-	-	-	Fungal_trans_2,Zn_clus
OG0000389	1.999980000199998e-05	Focal	0.7391304347826086	0.21153846153846154	5	1	OG0000389|GCA_000392275|CDS_3228	223192.XP_007914028.1	0.0	1162.0	COG1028@1|root,KOG0725@2759|Eukaryota,399X5@33154|Opisthokonta,3NXUK@4751|Fungi,3QMZ9@4890|Ascomycota,21CZ9@147550|Sordariomycetes	4751|Fungi	Q	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
OG0000419	1.999980000199998e-05	Focal	0.9217391304347826	0.19230769230769232	4.5	2.0	OG0000419|GCA_000516985|CDS_15331	393283.XP_007842103.1	0.0	5381.0	COG0318@1|root,COG3321@1|root,KOG1176@2759|Eukaryota,KOG1202@2759|Eukaryota,3AGPR@33154|Opisthokonta,3PB31@4751|Fungi,3RPKG@4890|Ascomycota,21SK0@147550|Sordariomycetes	2759|Eukaryota	I	Thioesterase domain	pks-nrps1	-	2.3.1.165	ko:K15320	ko01059,ko01130,map01059,map01130	M00829	R07253	RC00004	ko00000,ko00001,ko00002,ko01000,ko01008	-	-	iEC042_1314.EC042_3034	AMP-binding,AMP-binding_C,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt
OG0000431	1.999980000199998e-05	Focal	0.8434782608695652	0.21153846153846154	3	1	OG0000431|GCA_000338955|CDS_9611	430998.XP_007680923.1	0.0	1848.0	2E1QF@1|root,2S90K@2759|Eukaryota,39BUF@33154|Opisthokonta,3P0B4@4751|Fungi,3QNI3@4890|Ascomycota,203XJ@147541|Dothideomycetes,3MPJI@451867|Dothideomycetidae	4751|Fungi	S	Peptidase family S41	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S41
OG0000487	1.999980000199998e-05	Focal	0.9304347826086956	0.25	4	1	OG0000487|GCA_000225545|CDS_1994	13349.G1X383	0.0	2137.0	KOG1812@1|root,KOG1812@2759|Eukaryota,39F4S@33154|Opisthokonta,3NWMP@4751|Fungi,3QQ9Y@4890|Ascomycota	4751|Fungi	O	IBR domain-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	IBR
OG0000512	1.999980000199998e-05	Focal	0.782608695652174	0.057692307692307696	4.5	2	OG0000512|GCA_000313545|CDS_5276	65672.G4TNA6	0.0	1006.0	28I4I@1|root,2S2X0@2759|Eukaryota,39YAJ@33154|Opisthokonta,3P0RJ@4751|Fungi,3V4ZU@5204|Basidiomycota,224EI@155619|Agaricomycetes,3H73W@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Terpene synthase family, metal binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Terpene_synth_C
OG0000530	1.999980000199998e-05	Focal	0.7565217391304347	0.11538461538461539	5	3.5	OG0000530|GCA_000338955|CDS_1458	430998.XP_007673008.1	0.0	1163.0	2C38W@1|root,2QPHV@2759|Eukaryota,38HWR@33154|Opisthokonta,3NVUF@4751|Fungi,3QQ4I@4890|Ascomycota,1ZZNQ@147541|Dothideomycetes,3MI6V@451867|Dothideomycetidae	4751|Fungi	G	Belongs to the glycosyl hydrolase 7 (cellulase C) family	-	-	3.2.1.4,3.2.1.91	ko:K01225,ko:K19357	ko00500,ko01100,map00500,map01100	-	R02886,R06200,R11307,R11308	RC00799	ko00000,ko00001,ko01000	-	GH7	-	CBM_1,Glyco_hydro_7
OG0000563	1.999980000199998e-05	Focal	0.9130434782608695	0.28846153846153844	3	2	OG0000563|GCA_000417875|CDS_1717	84751.XP_007877405.1	0.0	2359.0	COG1874@1|root,KOG0496@2759|Eukaryota,38D50@33154|Opisthokonta,3NZZH@4751|Fungi,3V07Y@5204|Basidiomycota,3N0AQ@452284|Ustilaginomycotina	4751|Fungi	G	Glycosyl hydrolases family 35	-	-	-	-	-	-	-	-	-	-	-	-	BetaGal_dom2,BetaGal_dom3,BetaGal_dom4_5,Glyco_hydro_35
OG0000594	1.999980000199998e-05	Focal	1.0	0.23076923076923078	3	2.0	OG0000594|GCA_900290415|CDS_2250	5145.XP_001907222.1	0.0	4414.0	2D5FI@1|root,2SYD2@2759|Eukaryota,39XH4@33154|Opisthokonta,3NYH6@4751|Fungi,3QMVD@4890|Ascomycota,2130X@147550|Sordariomycetes	4751|Fungi	S	Pectate lyase superfamily protein	-	-	-	-	-	-	-	-	-	-	-	-	Pectate_lyase_3,Peptidase_S8
OG0000720	1.999980000199998e-05	Focal	0.8782608695652174	0.2692307692307692	2	1.0	OG0000720|GCA_000708205|CDS_5034	34349.G7DWZ7	4.77e-247	677.0	2B8PC@1|root,2S21N@2759|Eukaryota,3A3VG@33154|Opisthokonta,3P4YN@4751|Fungi,3V7XK@5204|Basidiomycota,2YG3X@29000|Pucciniomycotina	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
OG0000760	1.999980000199998e-05	Focal	0.9739130434782609	0.25	3.0	1	OG0000760|GCA_000003515|CDS_4702	33188.XP_002584169.1	0.0	1425.0	KOG2911@1|root,KOG3947@1|root,KOG2911@2759|Eukaryota,KOG3947@2759|Eukaryota,39SZP@33154|Opisthokonta,3NWUP@4751|Fungi,3QM07@4890|Ascomycota,20ANS@147545|Eurotiomycetes,3B1A0@33183|Onygenales	4751|Fungi	U	Belongs to the SNF7 family	-	GO:0000815,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0006508,GO:0006511,GO:0006807,GO:0006810,GO:0006886,GO:0007034,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010008,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016192,GO:0019538,GO:0019941,GO:0030163,GO:0031090,GO:0031410,GO:0031982,GO:0032991,GO:0033036,GO:0034613,GO:0036452,GO:0042886,GO:0043162,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0045324,GO:0046907,GO:0051179,GO:0051234,GO:0051603,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0097708,GO:0098588,GO:0098796,GO:0098805,GO:1901564,GO:1901565,GO:1901575	-	ko:K15053	ko04144,ko04217,map04144,map04217	M00412	-	-	ko00000,ko00001,ko00002,ko04131,ko04147	-	-	-	Metallophos,Snf7
OG0000779	1.999980000199998e-05	Focal	0.9217391304347826	0.1346153846153846	3.0	3	OG0000779|GCA_000002865|CDS_731	81824.XP_001750513.1	0.0	3372.0	KOG2225@1|root,KOG2225@2759|Eukaryota	2759|Eukaryota	S	Golgi organization	DYM	GO:0001501,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006996,GO:0007030,GO:0007275,GO:0008150,GO:0009987,GO:0010256,GO:0012505,GO:0016043,GO:0019899,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0048513,GO:0048731,GO:0048856,GO:0060348,GO:0071840	-	-	-	-	-	-	-	-	-	-	Dymeclin,Tyrosinase
OG0000807	1.999980000199998e-05	Focal	0.8173913043478261	0.25	3.0	1	OG0000807|GCA_000151295|CDS_5617	28583.AMAG_06135T0	0.0	2494.0	COG0369@1|root,COG2124@1|root,KOG0157@2759|Eukaryota,KOG1158@2759|Eukaryota,38CHP@33154|Opisthokonta,3Q492@4751|Fungi	4751|Fungi	Q	cytochrome P450	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_1,Flavodoxin_1,p450
OG0000880	1.999980000199998e-05	Focal	0.8869565217391304	0.17307692307692307	2.0	1	OG0000880|GCA_000313545|CDS_3807	65672.G4TSI8	0.0	2118.0	2C03A@1|root,2SHFR@2759|Eukaryota,3AGJ4@33154|Opisthokonta,3PAR0@4751|Fungi,3V4Y6@5204|Basidiomycota,22948@155619|Agaricomycetes,3H4J3@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Git3
OG0001010	1.999980000199998e-05	Focal	0.7652173913043478	0.11538461538461539	4.0	1.5	OG0001010|GCA_000392275|CDS_376	223192.XP_007911165.1	0.0	1705.0	COG2303@1|root,KOG1238@2759|Eukaryota,39CUB@33154|Opisthokonta,3NXKF@4751|Fungi,3QREC@4890|Ascomycota,212D3@147550|Sordariomycetes	4751|Fungi	E	Belongs to the GMC oxidoreductase family	-	-	1.1.99.18	ko:K19069	-	-	-	-	ko00000,ko01000	-	-	-	CBM_1,CDH-cyt,GMC_oxred_C,GMC_oxred_N
OG0001032	1.999980000199998e-05	Focal	0.7565217391304347	0.11538461538461539	3	3.0	OG0001032|GCA_000002865|CDS_6851	81824.XP_001744278.1	0.0	8350.0	KOG2501@1|root,KOG2501@2759|Eukaryota,39QB9@33154|Opisthokonta	33154|Opisthokonta	O	Protein of unknown function (DUF3645)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3638,DUF3645,Thioredoxin_8,UBA
OG0001114	1.999980000199998e-05	Focal	0.9739130434782609	0.25	1.0	1	OG0001114|GCA_000401635|CDS_11980	36080.S2IZ51	0.0	1147.0	KOG2563@1|root,KOG2563@2759|Eukaryota,38GTZ@33154|Opisthokonta,3NYJT@4751|Fungi,1GV69@112252|Fungi incertae sedis	4751|Fungi	S	transporter	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
OG0001178	1.999980000199998e-05	Focal	0.8608695652173913	0.15384615384615385	3	1.5	OG0001178|GCA_000146915|CDS_1180	13684.SNOT_01652	0.0	2325.0	28MHH@1|root,2QU12@2759|Eukaryota,39PRW@33154|Opisthokonta,3NWK9@4751|Fungi,3QK6P@4890|Ascomycota,204ID@147541|Dothideomycetes,4KGJY@92860|Pleosporales	4751|Fungi	S	Dynamin family	-	-	-	-	-	-	-	-	-	-	-	-	Dynamin_N
OG0001192	1.999980000199998e-05	Focal	0.8	0.11538461538461539	2.0	1.0	OG0001192|GCA_900290415|CDS_3488	5145.XP_001910927.1	0.0	2159.0	KOG0045@1|root,KOG0045@2759|Eukaryota,38EV4@33154|Opisthokonta,3NWYU@4751|Fungi,3QMMW@4890|Ascomycota,213X7@147550|Sordariomycetes,3UADC@5139|Sordariales	4751|Fungi	OT	Belongs to the peptidase C2 family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_C2
OG0001213	1.999980000199998e-05	Focal	0.9739130434782609	0.1346153846153846	2.0	1	OG0001213|GCA_000182895|CDS_701	5346.XP_001828823.1	0.0	1092.0	COG4295@1|root,2S5V1@2759|Eukaryota,3AHCC@33154|Opisthokonta,3PCRW@4751|Fungi,3V3MD@5204|Basidiomycota,227IV@155619|Agaricomycetes,3W6VZ@5338|Agaricales	4751|Fungi	S	Uncharacterized protein conserved in bacteria (DUF2263)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2263
OG0001215	1.999980000199998e-05	Focal	0.9217391304347826	0.1346153846153846	2.0	1	OG0001215|GCA_000265015|CDS_11525	160860.XP_007347712.1	0.0	2187.0	COG1020@1|root,KOG1178@2759|Eukaryota,39UD4@33154|Opisthokonta,3NVVB@4751|Fungi,3V4UQ@5204|Basidiomycota,2283X@155619|Agaricomycetes,3H0PC@355688|Agaricomycetes incertae sedis	4751|Fungi	Q	Nonribosomal peptide synthetase 12	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding
OG0001317	1.999980000199998e-05	Focal	0.8956521739130435	0.21153846153846154	2	1	OG0001317|GCA_000149305|CDS_14699	936053.I1BT09	0.0	894.0	COG0596@1|root,KOG1454@2759|Eukaryota,39KQF@33154|Opisthokonta,3Q53Q@4751|Fungi,1GY9M@112252|Fungi incertae sedis	4751|Fungi	S	Alpha/beta hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
OG0001365	1.999980000199998e-05	Focal	0.7304347826086957	0.23076923076923078	3.0	1.0	OG0001365|GCA_000265015|CDS_16584	160860.XP_007352769.1	0.0	2013.0	2CNHS@1|root,2QWE4@2759|Eukaryota,38GY7@33154|Opisthokonta,3NY50@4751|Fungi,3V49N@5204|Basidiomycota,2277F@155619|Agaricomycetes,3H0QX@355688|Agaricomycetes incertae sedis	4751|Fungi	T	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain	-	-	-	-	-	-	-	-	-	-	-	-	Bac_rhamnosid6H,Bac_rhamnosid_C,F5_F8_type_C
OG0001424	1.999980000199998e-05	Focal	0.7913043478260869	0.23076923076923078	2	1.0	OG0001424|GCA_000516985|CDS_11049	393283.XP_007837821.1	0.0	1695.0	COG1231@1|root,2QTMD@2759|Eukaryota,39WD9@33154|Opisthokonta,3NZ8T@4751|Fungi,3QKYH@4890|Ascomycota,215QG@147550|Sordariomycetes	4751|Fungi	E	Flavin containing amine oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	Amino_oxidase
OG0001473	1.999980000199998e-05	Focal	0.7565217391304347	0.21153846153846154	2	2	OG0001473|GCA_000365145|CDS_3709	293227.XP_008714240.1	1.41e-265	729.0	2EFF5@1|root,2SKMW@2759|Eukaryota,3AEF1@33154|Opisthokonta,3PAH4@4751|Fungi,3QWAZ@4890|Ascomycota,20HWG@147545|Eurotiomycetes,3MWV2@451870|Chaetothyriomycetidae	4751|Fungi	S	Hemerythrin HHE cation binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Hemerythrin
OG0001555	1.999980000199998e-05	Focal	0.782608695652174	0.23076923076923078	1.0	1.0	OG0001555|GCA_000401635|CDS_3866	36080.S2JHB2	0.0	5497.0	COG0666@1|root,KOG1037@1|root,KOG1037@2759|Eukaryota,KOG4177@2759|Eukaryota,38B7U@33154|Opisthokonta,3NV42@4751|Fungi,1GU75@112252|Fungi incertae sedis	4751|Fungi	KLMO	Poly(ADP-ribose) polymerase, regulatory domain	-	-	2.4.2.30	ko:K10798	ko03410,ko04210,ko04212,ko04214,ko04217,map03410,map04210,map04212,map04214,map04217	M00296	-	-	ko00000,ko00001,ko00002,ko01000,ko03032,ko03036,ko03400	-	-	-	Ank_2,Ank_3,Ank_4,PARP,PARP_reg,WGR
OG0001575	1.999980000199998e-05	Focal	0.8521739130434782	0.28846153846153844	1.0	1	OG0001575|GCA_000225545|CDS_6017	13349.G1XEQ6	0.0	1082.0	COG0412@1|root,2RYJ9@2759|Eukaryota,38F6H@33154|Opisthokonta,3P0P6@4751|Fungi,3QQAC@4890|Ascomycota	4751|Fungi	Q	dienelactone hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	-
OG0001608	1.999980000199998e-05	Focal	0.8347826086956521	0.15384615384615385	2.0	1.0	OG0001608|GCA_000708205|CDS_4429	34349.G7DZ68	0.0	1006.0	2CXJA@1|root,2RXZE@2759|Eukaryota,39J2D@33154|Opisthokonta,3Q3EY@4751|Fungi,3V6XA@5204|Basidiomycota,2YG2N@29000|Pucciniomycotina	4751|Fungi	G	Belongs to the glycosyl hydrolase 12 (cellulase H) family	-	-	3.2.1.151	ko:K18576	-	-	-	-	ko00000,ko01000	-	GH12	-	Glyco_hydro_12
OG0001677	1.999980000199998e-05	Focal	0.9304347826086956	0.25	1	1	OG0001677|GCA_001563115|CDS_5497	710243.XP_007602550.1	0.0	1768.0	COG0666@1|root,KOG4177@2759|Eukaryota,38BVK@33154|Opisthokonta,3NW9Q@4751|Fungi,3QTS9@4890|Ascomycota,21JD4@147550|Sordariomycetes,1F4TY@1028384|Glomerellales	4751|Fungi	M	N-terminal domain of NWD NACHT-NTPase	-	-	-	-	-	-	-	-	-	-	-	-	Ank_2,Methyltransf_32,NACHT,NACHT_N
OG0001767	1.999980000199998e-05	Focal	0.7739130434782608	0.28846153846153844	1	1	OG0001767|GCA_000264905|CDS_9232	40492.XP_007307162.1	1.85e-203	562.0	COG3545@1|root,2SP03@2759|Eukaryota,3A4AD@33154|Opisthokonta,3P4G7@4751|Fungi	4751|Fungi	S	NAD(P)H-binding	-	-	-	-	-	-	-	-	-	-	-	-	NAD_binding_10
OG0001843	1.999980000199998e-05	Focal	0.9043478260869565	0.25	2.0	1	OG0001843|GCA_000003515|CDS_4249	33188.XP_002544888.1	0.0	1677.0	COG0142@1|root,KOG0777@2759|Eukaryota	2759|Eukaryota	H	geranylgeranyl diphosphate biosynthetic process	GGS	GO:0003674,GO:0003824,GO:0004311,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0009987,GO:0016740,GO:0016765,GO:0044237,GO:0044238,GO:0044255,GO:0044424,GO:0044464,GO:0071704	2.5.1.1,2.5.1.10,2.5.1.29	ko:K00804	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00367	R01658,R02003,R02061	RC00279	ko00000,ko00001,ko00002,ko01000,ko01006	-	-	-	polyprenyl_synt
OG0001862	1.999980000199998e-05	Focal	0.8347826086956521	0.19230769230769232	1.0	1.0	OG0001862|GCA_000151295|CDS_5718	28583.AMAG_06246T0	0.0	1214.0	KOG4249@1|root,KOG4249@2759|Eukaryota,393FI@33154|Opisthokonta,3NXNN@4751|Fungi	4751|Fungi	S	duf647 domain-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	DUF647
OG0001868	1.999980000199998e-05	Focal	0.7739130434782608	0.21153846153846154	1	2	OG0001868|GCA_000388065|CDS_2838	691883.XP_009495837.1	0.0	5548.0	28MN8@1|root,2QU61@2759|Eukaryota,39JSA@33154|Opisthokonta	33154|Opisthokonta	S	ankyrin repeats	-	-	-	-	-	-	-	-	-	-	-	-	Ank_3
OG0002181	1.999980000199998e-05	Focal	0.7652173913043478	0.23076923076923078	1.0	1.0	OG0002181|GCA_000225545|CDS_7266	13349.G1XIA5	0.0	2749.0	KOG1037@1|root,KOG1037@2759|Eukaryota,38F3B@33154|Opisthokonta,3P08S@4751|Fungi,3RK88@4890|Ascomycota	4751|Fungi	KLO	Vault protein inter-alpha-trypsin domain	-	-	2.4.2.30	ko:K10798	ko03410,ko04210,ko04212,ko04214,ko04217,map03410,map04210,map04212,map04214,map04217	M00296	-	-	ko00000,ko00001,ko00002,ko01000,ko03032,ko03036,ko03400	-	-	-	VIT,VWA_3
