genome	clade	large_clade	ploidy_status	morphology	bgcome_size
Rhizophlyctis_GCA_027596075.1	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	487318
Ramularia_GCA_004155245.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2926567
Chytriomyces_GCA_025435555.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	597665
Hysterium_GCA_000467715.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2834001
Periconia_GCA_003073855.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	6700813
Pseudopyrenochaeta_GCA_003313425.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3351049
Syncephalis_GCA_025786725.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	237973
Venturia_GCA_000738655.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2340445
Terfezia_GCA_003788615.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	438430
Globomyces_GCA_025399215.1	Rhizophydiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	384909
Malassezia_GCA_002818225.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	300681
Piptocephalis_GCA_003614145.1	Zoopagomycota	2. Zygomycota	Diploid+ dominant	Other	20024
Fonsecaea_GCF_000836435.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1937094
Trichophyton_GCA_003118255.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2131043
Piromyces_GCA_002157105.1	Neocallimastigomycota	1. Chytridiomycota	Haploid dominant	Zoosporic	1565310
Chlorencoelia_GCA_003988815.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2467271
Parastagonospora_GCA_000146915.2	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3566149
Siphonaria_GCA_027596065.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	214745
Puccinia_GCA_000149925.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	221016
Ascosphaera_GCA_001636715.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	750100
Phaeotremella_GCA_001599695.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	285896
Beverwykella_GCA_001599595.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4416498
Podochytrium_GCA_027596195.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	139734
Fimicolochytrium_GCF_025526975.1	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	595746
Pseudophaeomoniella_GCA_003868215.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1845198
Umbelopsis_GCA_000697415.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	634469
Umbilicaria_GCA_000611775.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1813591
Calocera_GCA_001630345.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	851086
Graphilbum_GCA_001513895.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1351256
Amorphotheca_GCF_003019875.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1390539
Borealophlyctis_GCA_027604605.1	Spizellomycetales and Rhizophlyctidales	1. Chytridiomycota	Haploid dominant	Zoosporic	120199
Dinochytrium_GCA_027604005.1	Chytridiales	1. Chytridiomycota	Diploid+ dominant	Zoosporic	216813
Saccharomyces_GCF_000146045.2	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	135159
Lobosporangium_GCF_002105155.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	166881
Paramyrothecium_GCA_003012165.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3767193
Saksenaea_GCA_000697055.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	249608
Pseudogymnoascus_GCF_001662655.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2232339
Phyllosticta_GCA_001604925.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1198186
Sporopachydermia_GCA_003705295.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	128135
Priceomyces_GCA_003705335.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	120171
Zygosaccharomyces_GCA_000442885.1	Saccharomycotina	3. Dikarya	Dikaryotic	Yeast	170328
Gigaspora_GCA_003550325.1	Mucoromycota	2. Zygomycota	Haploid dominant	Some complex multicellularity	1080977
Plenodomus_GCA_900465125.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1912441
Laccaria_GCF_000143565.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1035640
Serpula_GCA_000218685.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2291438
Stereum_GCF_000264905.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3539980
Punctularia_GCF_000264995.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1949030
Auricularia_GCA_000265015.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2181837
Coniophora_GCF_000271625.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2593152
Fibroporia_GCF_000313525.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1614987
Serendipita_GCA_000313545.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	218241
Volvariella_GCA_000349905.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1097461
Papiliotrema_GCA_000442785.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	337802
Rhizoctonia_GCA_000524645.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	507180
Jaapia_GCA_000697665.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1002713
Botryobasidium_GCA_000697705.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1437691
Tilletiaria_GCF_000711695.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	301043
Phlebopus_GCA_000766925.2	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2134208
Plicaturopsis_GCA_000827205.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1504303
Sphaerobolus_GCA_000827215.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	4385115
Collybiopsis_GCA_000827265.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3223702
Piloderma_GCA_000827315.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2406975
Pisolithus_GCA_000827335.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	991749
Hebeloma_GCA_000827355.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1310653
Scleroderma_GCA_000827425.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	833964
Tulasnella_GCA_000827465.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	566508
Paxillus_GCA_000827475.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1531398
Fistulina_GCA_000934395.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1109451
Tremella_GCA_000987905.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	81774
Tilletia_GCA_001006505.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	497270
Schizopora_GCA_001020605.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1617884
Golubevia_GCA_001599655.1	Ustilaginomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	445057
Naganishia_GCA_001599735.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	306456
Symbiotaphrina_GCA_001599915.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	987466
Cystobasidium_GCA_001599955.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	191297
Solicoccozyma_GCA_001600015.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	256776
Bullera_GCA_001600095.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	313946
Mrakia_GCA_001600395.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	162675
Dioszegia_GCA_001600615.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	339584
Leucosporidium_GCA_001600635.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	247204
Exidia_GCA_001632375.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2611945
Neolentinus_GCA_001632425.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2055670
Grifola_GCA_001683735.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1439626
Cryptococcus_GCA_001720245.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	131020
Trametes_GCA_001895945.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1266400
Phanerodontia_GCA_001910725.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2156431
Kockovaella_GCF_002102565.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	337869
Naematelia_GCA_002105065.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	311737
Stromatinia_GCA_002162485.1	Pezizomycotina	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3782269
Armillaria_GCA_002307695.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	3289747
Cutaneotrichosporon_GCA_002335625.1	Tremellomycetes	3. Dikarya	Dikaryotic	Some complex multicellularity	131612
Amanita_GCA_002554575.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	519550
Ganoderma_GCA_002760635.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	2189877
Porodaedalea_GCA_002794775.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1258326
Rhodotorula_GCA_002806785.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	233537
Glaciozyma_GCA_002917775.1	Pucciniomycotina	3. Dikarya	Dikaryotic	Some complex multicellularity	175825
Panaeolus_GCA_002938355.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	887448
Gymnopilus_GCA_002938385.1	Agaricomycetes	3. Dikarya	Dikaryotic - HET enriched	Complex multicellularity	1552339
