phylum	species		median_relative_abundance	proportion_host_associated	total_metagenome_count	host_metagenome_count	environment_metagenome_count
Firmi_SpeciesLevel_Data	s__CAG-115 sp017461565	eukaryotic-host-associated	0.02	0.8944099378881988	161	144	17
Firmi_SpeciesLevel_Data	s__UBA3766 sp002368665	eukaryotic-host-associated	0.04	1.0	429	429	0
Firmi_SpeciesLevel_Data	s__Brevibacillus composti	environmental	0.17	0.0	3	0	3
Firmi_SpeciesLevel_Data	s__Dysosmobacter faecalis	eukaryotic-host-associated	0.07	0.9990344383649823	6214	6208	6
Firmi_SpeciesLevel_Data	s__RUG740 sp902778055	eukaryotic-host-associated	0.06	0.9975609756097561	410	409	1
Firmi_SpeciesLevel_Data	s__Centipeda massiliensis	eukaryotic-host-associated	0.19	1.0	148	148	0
Firmi_SpeciesLevel_Data	s__Dysosmobacter welbionis	eukaryotic-host-associated	0.26	0.9951440115654075	26977	26846	131
Firmi_SpeciesLevel_Data	s__Mediterraneibacter excrementigallinarum	eukaryotic-host-associated	0.275	0.9666666666666667	120	116	4
Firmi_SpeciesLevel_Data	s__Exiguobacterium qingdaonense	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Blautia_A sp003471165	eukaryotic-host-associated	0.38	0.9827562230565985	7191	7067	124
Firmi_SpeciesLevel_Data	s__Paenibacillus sp000316035	eukaryotic-host-associated	0.88	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__Metamycoplasma canadense	eukaryotic-host-associated	0.755	1.0	4	4	0
Firmi_SpeciesLevel_Data	s__Vagococcus_A zengguangii	eukaryotic-host-associated	0.49	1.0	15	15	0
Firmi_SpeciesLevel_Data	s__Mesomycoplasma hyopneumoniae	eukaryotic-host-associated	17.435	0.8333333333333334	6	5	1
Firmi_SpeciesLevel_Data	s__Vescimonas fastidiosa	eukaryotic-host-associated	0.21	0.9616935483870968	2976	2862	114
Firmi_SpeciesLevel_Data	s__Phascolarctobacterium_A succinatutens	eukaryotic-host-associated	0.37	0.9384997927890593	12065	11323	742
Firmi_SpeciesLevel_Data	s__Marvinbryantia sp900066075	eukaryotic-host-associated	0.09	0.9748490945674044	3976	3876	100
Firmi_SpeciesLevel_Data	s__Sutcliffiella_A horikoshii_B	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__CAG-269 sp905213875	eukaryotic-host-associated	0.2	0.9961389961389961	1036	1032	4
Firmi_SpeciesLevel_Data	s__Ruminococcus_E sp003521625	eukaryotic-host-associated	0.13	0.9052823315118397	1098	994	104
Firmi_SpeciesLevel_Data	s__Ruminococcus sp905215965	eukaryotic-host-associated	0.51	1.0	36	36	0
Firmi_SpeciesLevel_Data	s__Sporomusa acidovorans	environmental	0.26	0.0	2	0	2
Firmi_SpeciesLevel_Data	s__Blautia_A wexlerae	eukaryotic-host-associated	1.27	0.9670059907211387	44402	42937	1465
Firmi_SpeciesLevel_Data	s__Muricomes faecalis	eukaryotic-host-associated	0.39	0.9961538461538462	260	259	1
Firmi_SpeciesLevel_Data	s__Trichococcus alkaliphilus	environmental	0.09	0.09090909090909091	55	5	50
Firmi_SpeciesLevel_Data	s__Halobacillus litoralis_A	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__NK4A144 sp003488445	eukaryotic-host-associated	0.03	1.0	340	340	0
Firmi_SpeciesLevel_Data	s__UMGS1795 sp900553555	eukaryotic-host-associated	0.06	0.9967213114754099	305	304	1
Firmi_SpeciesLevel_Data	s__Clostridium_AD estertheticum_B	both	0.365	0.45454545454545453	22	10	12
Firmi_SpeciesLevel_Data	s__Neobacillus sp018613065	environmental	0.22499999999999998	0.0	4	0	4
Firmi_SpeciesLevel_Data	s__Turicibacter sanguinis	eukaryotic-host-associated	0.07	0.9930735930735931	2310	2294	16
Firmi_SpeciesLevel_Data	s__SZUA-584 sp023415795	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Companilactobacillus mishanensis	eukaryotic-host-associated	1.9849999999999999	1.0	2	2	0
Firmi_SpeciesLevel_Data	s__Streptococcus cristatus_B	eukaryotic-host-associated	15.225000000000001	1.0	4	4	0
Firmi_SpeciesLevel_Data	s__Streptococcus suis_V	eukaryotic-host-associated	0.15	1.0	17	17	0
Firmi_SpeciesLevel_Data	s__Jeotgalicoccus halotolerans	eukaryotic-host-associated	0.08	0.7740585774058577	239	185	54
Firmi_SpeciesLevel_Data	s__CAG-272 sp017482355	eukaryotic-host-associated	0.01	1.0	27	27	0
Firmi_SpeciesLevel_Data	s__Pristimantibacillus prosopidis	environmental	0.02	0.25	8	2	6
Firmi_SpeciesLevel_Data	s__CAG-95 sp021628825	eukaryotic-host-associated	0.12	0.9773371104815864	353	345	8
Firmi_SpeciesLevel_Data	s__Bulleidia sp017404505	eukaryotic-host-associated	0.02	0.9375	48	45	3
Firmi_SpeciesLevel_Data	s__Lacrimispora sp001312405	both	0.22	0.5384615384615384	13	7	6
Firmi_SpeciesLevel_Data	s__Flavonifractor plautii	eukaryotic-host-associated	0.23	0.9975500837313155	32246	32167	79
Firmi_SpeciesLevel_Data	s__Brevibacillus panacihumi_A	environmental	0.16	0.14285714285714285	7	1	6
Firmi_SpeciesLevel_Data	s__Faecalibacillus intestinalis	eukaryotic-host-associated	0.26	0.9714733649159879	29341	28504	837
Firmi_SpeciesLevel_Data	s__Mediterraneibacter sp944381935	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Staphylococcus massiliensis	eukaryotic-host-associated	0.89	1.0	2	2	0
Firmi_SpeciesLevel_Data	s__Paenibacillus_Z baekrokdamisoli	environmental	0.06	0.0	1	0	1
Firmi_SpeciesLevel_Data	s__Merdisoma sp014290175	eukaryotic-host-associated	0.03	0.9995569339831635	2257	2256	1
Firmi_SpeciesLevel_Data	s__Streptococcus oralis_BE	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Aerococcus suis	both	0.15	0.7322834645669292	254	186	68
Firmi_SpeciesLevel_Data	s__Scatovivens sp017517685	both	0.08	0.7312217194570135	1105	808	297
Firmi_SpeciesLevel_Data	s__Gemmiger gallinarum	eukaryotic-host-associated	0.17	0.9775280898876404	89	87	2
Firmi_SpeciesLevel_Data	s__Fournierella sp020025635	eukaryotic-host-associated	0.175	1.0	22	22	0
Firmi_SpeciesLevel_Data	s__Loigolactobacillus bifermentans	environmental	0.055	0.0	20	0	20
Firmi_SpeciesLevel_Data	s__Ruthenibacterium avium	eukaryotic-host-associated	0.18	0.9113924050632911	395	360	35
Firmi_SpeciesLevel_Data	s__CAG-492 sp900557045	eukaryotic-host-associated	0.13	0.8731343283582089	536	468	68
Firmi_SpeciesLevel_Data	s__Fimimonas sp022508375	eukaryotic-host-associated	0.04	1.0	4	4	0
Firmi_SpeciesLevel_Data	s__CAG-269 sp944392605	eukaryotic-host-associated	0.13	0.8461538461538461	13	11	2
Firmi_SpeciesLevel_Data	s__Priestia megaterium	environmental	0.06	0.1789709172259508	447	80	367
Firmi_SpeciesLevel_Data	s__Mycoplasmopsis simbae	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Onthovivens sp900540365	eukaryotic-host-associated	0.09	0.8603351955307262	358	308	50
Firmi_SpeciesLevel_Data	s__Companilactobacillus bobalius	both	0.225	0.3333333333333333	36	12	24
Firmi_SpeciesLevel_Data	s__Staphylococcus debuckii	both	0.17	0.6666666666666666	3	2	1
Firmi_SpeciesLevel_Data	s__Enteromonas sp900539595	eukaryotic-host-associated	0.1	0.9112388250319284	1566	1427	139
Firmi_SpeciesLevel_Data	s__CAG-492 sp905215935	eukaryotic-host-associated	0.11	0.9932885906040269	298	296	2
Firmi_SpeciesLevel_Data	s__F0422 sp003992055	eukaryotic-host-associated	0.14	0.9824561403508771	171	168	3
Firmi_SpeciesLevel_Data	s__Holdemanella sp900556915	eukaryotic-host-associated	0.36	0.9309821767159651	13185	12275	910
Firmi_SpeciesLevel_Data	s__Acetobacterium sp003260995	environmental	0.08	0.06818181818181818	44	3	41
Firmi_SpeciesLevel_Data	s__Christensenella sp022846035	eukaryotic-host-associated	0.03	1.0	167	167	0
Firmi_SpeciesLevel_Data	s__Anaerocaecibacter sp910578545	eukaryotic-host-associated	0.27	1.0	41	41	0
Firmi_SpeciesLevel_Data	s__Pristimantibacillus glycanilyticus_A	eukaryotic-host-associated	0.05	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__Bacillus_H sp900197585	environmental	0.38	0.0	1	0	1
Firmi_SpeciesLevel_Data	s__Sellimonas intestinalis	eukaryotic-host-associated	0.24	0.9985191168551427	7428	7417	11
Firmi_SpeciesLevel_Data	s__Rossellomorea aquimaris	environmental	0.06	0.0	3	0	3
Firmi_SpeciesLevel_Data	s__Blautia_A sp000436615	eukaryotic-host-associated	0.47	0.9930660888407368	4615	4583	32
Firmi_SpeciesLevel_Data	s__F0422 sp916438745	eukaryotic-host-associated	0.11	0.98	50	49	1
Firmi_SpeciesLevel_Data	s__CAG-269 sp900556345	eukaryotic-host-associated	0.23	1.0	793	793	0
Firmi_SpeciesLevel_Data	s__Streptococcus mitis_AW	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Streptococcus oralis_U	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Cohnella pontilimi	environmental	0.05	0.0	1	0	1
Firmi_SpeciesLevel_Data	s__Ruminococcus flavefaciens_R	eukaryotic-host-associated	0.11	0.9946236559139785	186	185	1
Firmi_SpeciesLevel_Data	s__Streptococcus mitis_AT	eukaryotic-host-associated	0.81	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__Lachnospira sp003537285	eukaryotic-host-associated	0.31	0.9886673662119623	4765	4711	54
Firmi_SpeciesLevel_Data	s__Sellimonas avistercoris	eukaryotic-host-associated	0.22	0.954730121880441	1723	1645	78
Firmi_SpeciesLevel_Data	s__Clostridium_F tepidum	environmental	0.425	0.2	20	4	16
Firmi_SpeciesLevel_Data	s__Ureibacillus thermophilus	environmental	0.17	0.07692307692307693	13	1	12
Firmi_SpeciesLevel_Data	s__UBA4951 sp900542595	eukaryotic-host-associated	0.06	0.9361702127659575	47	44	3
Firmi_SpeciesLevel_Data	s__Ruminococcus flavefaciens_P	eukaryotic-host-associated	0.06	1.0	34	34	0
Firmi_SpeciesLevel_Data	s__Saccharofermentans sp900111435	eukaryotic-host-associated	0.04	1.0	254	254	0
Firmi_SpeciesLevel_Data	s__Coproplasma sp910577055	eukaryotic-host-associated	0.63	1.0	29	29	0
Firmi_SpeciesLevel_Data	s__Paenibacillus sp003529225	environmental	0.04	0.0	7	0	7
Firmi_SpeciesLevel_Data	s__Apilactobacillus quenuiae	eukaryotic-host-associated	29.33	1.0	1	1	0
Firmi_SpeciesLevel_Data	s__Siminovitchia fordii	environmental	0.09	0.23076923076923078	13	3	10
Firmi_SpeciesLevel_Data	s__UBA4951 sp944376605	eukaryotic-host-associated	0.2	1.0	3	3	0
Firmi_SpeciesLevel_Data	s__Streptococcus catagoni	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Limosilactobacillus reuteri_E	eukaryotic-host-associated	0.31	0.9587553207104066	6813	6532	281
Firmi_SpeciesLevel_Data	s__Eubacterium_I ramulus	eukaryotic-host-associated	0.14	0.9924353618606752	17714	17580	134
Firmi_SpeciesLevel_Data	s__Vagococcus_A lutrae	eukaryotic-host-associated	0.32	0.7593984962406015	133	101	32
Firmi_SpeciesLevel_Data	s__Clostridium_Q saccharolyticum_A	eukaryotic-host-associated	0.12	1.0	1897	1897	0
Firmi_SpeciesLevel_Data	s__Eubacterium_Q sp902777655	eukaryotic-host-associated	0.03	1.0	338	338	0
Firmi_SpeciesLevel_Data	s__Saccharofermentans sp017510605	eukaryotic-host-associated	0.05	1.0	97	97	0
Firmi_SpeciesLevel_Data	s__Streptococcus oralis_J	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__UBA10677 sp900760475	eukaryotic-host-associated	0.07	1.0	63	63	0
Firmi_SpeciesLevel_Data	s__Eubacterium_Q ruminantium_A	eukaryotic-host-associated	0.04	1.0	7	7	0
Firmi_SpeciesLevel_Data	s__Limivicinus sp022782265	eukaryotic-host-associated	0.14	0.9415584415584416	1386	1305	81
Firmi_SpeciesLevel_Data	s__Loigolactobacillus coryniformis	environmental	0.11	0.193717277486911	191	37	154
Firmi_SpeciesLevel_Data	s__CAG-724 sp003524145	eukaryotic-host-associated	0.14	0.9865718799368088	1266	1249	17
Firmi_SpeciesLevel_Data	s__Vescimonas sp934590325	eukaryotic-host-associated	0.255	1.0	106	106	0
Firmi_SpeciesLevel_Data	s__Faecalibacterium sp900539885	eukaryotic-host-associated	0.77	0.9825279825279826	10989	10797	192
Firmi_SpeciesLevel_Data	s__Lysinibacillus sphaericus_A	both	0.79	0.3146067415730337	178	56	122
Firmi_SpeciesLevel_Data	s__Paenibacillus_A aceti	eukaryotic-host-associated	0.19	0.875	8	7	1
Firmi_SpeciesLevel_Data	s__Staphylococcus pragensis	both	0.565	0.7142857142857143	14	10	4
Firmi_SpeciesLevel_Data	s__Mesoplasma tabanidae	not-detected	0.0	0.0	0	0	0
Firmi_SpeciesLevel_Data	s__Streptococcus chenjunshii	eukaryotic-host-associated	23.8	0.8181818181818182	11	9	2
Firmi_SpeciesLevel_Data	s__Fimivivens sp014385025	eukaryotic-host-associated	0.06	1.0	705	705	0
Firmi_SpeciesLevel_Data	s__Sporosarcina gallistercoris	both	0.16999999999999998	0.7	10	7	3
Firmi_SpeciesLevel_Data	s__Planococcus sp007859395	environmental	0.05	0.0	5	0	5
Firmi_SpeciesLevel_Data	s__Fructilactobacillus sp024029335	not-detected	0.0	0.0	0	0	0
