Reticulascus|GCA_001557505|FUN_011468
Rhizophlyctis|GCA_027596075|HDV00_005815
Sarcodon|GCA_003313825|FUN_001969
Scedosporium|GCA_000812075|FUN_001455
Scedosporium|GCA_000812075|FUN_007370
Scleroderma|GCA_000827425|SCLCIDRAFT_135871
Serpula|GCA_000218685|FUN_001146
Serpula|GCA_000218685|FUN_007742
Stromatinia|GCA_002162485|FUN_002987
Talaromyces|GCA_001270325|FUN_007086
Thelephora|GCA_003316405|FUN_000737
Thermothielavioides|GCA_000226115|THITE_115563
Thoreauomyces|GCA_027596035|HKX48_000987
Tilletia|GCA_001006505|FUN_005063
Tolypocladium|GCA_002916505|FUN_001311
Trichoderma|GCA_001481775|TGAM01_v204898
Trichoderma|GCA_001481775|TGAM01_v208794
Trichophyton|GCA_003118255|TMEN_8552
Uncinocarpus|GCA_000003515|UREG_03815
Uncinocarpus|GCA_000003515|UREG_06499
Ustulina|GCA_002081935|FUN_001863
Ustulina|GCA_002081935|FUN_003647
Ustulina|GCA_002081935|FUN_005354
Ustulina|GCA_002081935|FUN_010271
Valsa|GCA_003795315|VMCG_04865
Verticillium|GCA_000732205|FUN_003789
Verticillium|GCA_000732205|FUN_005899
Verticillium|GCA_000732205|FUN_006156
Verticillium|GCA_000732205|FUN_009413
Violaceomyces|GCA_003144235|IE53DRAFT_370857
Violaceomyces|GCA_003144235|IE53DRAFT_395262
Xylona|GCA_001619985|L228DRAFT_282560
