Assembly_ID	Order	Genus	BGC_Count	BGCome_Size	Genome_Size	BGC_Genome_Prop	Metallophore_Size	NRPS_Size	PKS_Size	NRPS_or_PKS_Size
GCA_020809405.1	Peptostreptococcales	Terrisporobacter	2	42484	4116837	0.010319573011999261	0	0	0	0
GCA_002119685.1	Burkholderiales	Bordetella_C	6	215926	6167536	0.03501009155033712	87699	87699	0	87699
GCA_934679985.1	Oscillospirales	UMGS1491	1	21598	1117181	0.019332588004987553	0	0	0	0
GCA_020541205.1	Enterobacterales	Hartigia	0	0	2034350	0.0	0	0	0	0
GCA_000007485.1	Actinomycetales	Tropheryma	0	0	927303	0.0	0	0	0	0
GCA_900104675.1	Oscillospirales	Angelakisella	2	53249	4041781	0.013174637616436913	0	0	0	0
GCA_024362325.1	Actinomycetales	Chryseoglobus	3	88166	2653678	0.03322407616900016	0	0	41065	41065
GCA_903645315.1	Victivallales	UMGS1518	0	0	4821619	0.0	0	0	0	0
GCA_015061005.1	Bacteroidales	UBA3263	0	0	2118125	0.0	0	0	0	0
GCA_018262855.1	Methanomicrobiales	Methanolinea_A	2	77456	2291048	0.033808108778166146	0	0	0	0
GCA_002950575.1	Actinomycetales	Pontimonas	2	61959	1760810	0.03518778289537201	0	0	41050	41050
GCA_011300875.1	Actinomycetales	Flavimobilis	1	20927	3351553	0.0062439710784821245	0	0	0	0
GCA_018986735.1	Actinomycetales	Pauljensenia	0	0	2563835	0.0	0	0	0	0
GCA_023169965.1	Myxococcales	JAJXVM01	5	136320	4590331	0.02969720484209091	0	0	41077	41077
GCA_002266285.1	Bacillales_D	Virgibacillus_G	5	129980	3894969	0.03337125404592437	0	0	81379	81379
GCA_000300875.1	Flavobacteriales	Galbibacter_B	2	49227	3565070	0.013808144019612518	0	0	0	0
GCA_018918145.1	Lachnospirales	Metalachnospira	1	18087	2292124	0.007890934347356425	0	0	0	0
GCA_009914665.1	Flavobacteriales	Bergeyella_A	0	0	2036890	0.0	0	0	0	0
GCA_002704615.1	Pseudomonadales	UBA7434	2	62228	1920432	0.03240312596332492	0	0	40189	40189
GCA_001559055.2	Burkholderiales	Bordetella	7	196246	5339230	0.036755487214448525	11857	0	47584	47584
GCA_004959855.1	Rhizobiales	SPNT01	6	142948	6190193	0.0230926564002124	0	0	0	0
GCA_009831105.1	Erysipelotrichales	Copranaerobaculum	1	13517	2298788	0.0058800550550986	0	0	0	0
GCA_015767595.1	Sphingomonadales	Qipengyuania	2	62173	3525806	0.017633698507518565	0	0	0	0
GCA_013693755.1	Burkholderiales	Tibeticola	2	45699	3282734	0.013921018273183268	0	0	0	0
GCA_017482355.1	Oscillospirales	CAG-272	2	50727	1691564	0.029988223915855386	0	0	0	0
GCA_006716425.1	Streptosporangiales	Actinoallomurus	13	514527	9466640	0.05435159676506131	13191	244467	270717	320147
GCA_910574345.1	Lachnospirales	UBA3402	7	187134	5590871	0.03347134999179913	0	0	0	0
GCA_000818095.1	Bacillales	Jeotgalibacillus	2	44629	4119509	0.010833572641788136	0	0	0	0
GCA_022841725.1	Chlamydiales	Ga0074140	3	102217	1769810	0.05775591730185726	0	0	41104	41104
GCA_000972245.3	Bacillales	Bacillus_I	9	303485	5313985	0.05711062413612383	51635	120272	109726	161361
GCA_000192745.1	Rhizobiales	Polymorphum	10	228758	4718963	0.04847632837977327	0	0	47602	47602
GCA_004217445.1	Pseudomonadales	Fluviicoccus	1	33999	3682372	0.009232907484632189	0	0	0	0
GCA_934502875.1	Oscillospirales	CAKVOU01	2	51921	2295075	0.02262279010489853	0	0	0	0
GCA_009650095.1	Bacillales_D	Gracilibacillus	2	26279	5088110	0.005164786138664455	15892	0	0	0
GCA_002425765.1	Treponematales	Rectinema	0	0	2396298	0.0	0	0	0	0
GCA_015354735.1	Cytophagales	Pararhodonellum	5	126129	5362228	0.023521752525256293	0	0	41080	41080
GCA_900538275.1	Lachnospirales	Petrocella	2	42478	3518882	0.012071447692761507	0	0	0	0
GCA_900070325.1	Lachnospirales	Mobilitalea	0	0	2609352	0.0	0	0	0	0
GCA_000153165.2	Flavobacteriales	Maribacter_A	1	20837	3868304	0.005386598364554595	0	0	0	0
GCA_017656265.1	Bacillales_D	Melghiribacillus	3	82563	3235015	0.025521674551740873	0	0	41095	41095
GCA_000378385.1	Paenibacillales	Paenibacillus_D	14	446291	7464058	0.059792005903491104	13737	198807	121760	239974
GCA_017642935.1	Rhizobiales	MH13	2	39617	3735834	0.010604593244774795	0	0	0	0
GCA_016285515.1	Bacteroidales	RGIG7150	3	108082	2583702	0.04183222368523924	0	0	0	0
GCA_003143755.1	Flavobacteriales	Algibacter_B	2	72527	3339369	0.021718773816250914	0	51687	0	51687
GCA_022845775.1	Peptostreptococcales	Emergencia	2	42214	4364341	0.009672479762694986	0	0	0	0
GCA_907163125.1	Flavobacteriales	Cloacibacterium	1	20849	2979886	0.006996576379096382	0	0	0	0
GCA_002215425.1	Mycoplasmatales	Malacoplasma_A	0	0	629409	0.0	0	0	0	0
GCA_016653175.1	Rhizobiales	Afifella	4	99136	3961181	0.02502687960989412	48440	48440	0	48440
GCA_025148445.1	Lachnospirales	Butyrivibrio_A	4	85800	2521323	0.034029753427069834	0	0	0	0
GCA_934873185.1	Oscillospirales	CAG-170	0	0	2925503	0.0	0	0	0	0
GCA_000152745.1	Caulobacterales	Oceanicaulis	1	20846	3172051	0.0065717732785506916	0	0	0	0
GCA_019218285.1	Rhodobacterales	DP3N28-2	5	131466	5119897	0.02567746968347215	0	51989	51989	51989
GCA_002514735.1	Flavobacteriales	Sediminicola_A	1	20840	4566018	0.004564151959103096	0	0	0	0
GCA_017349295.1	Actinomycetales	Myceligenerans	5	152880	4577893	0.03339527594900099	12589	0	86591	86591
GCA_016925615.1	Mycobacteriales	Natronosporangium	18	748345	5699854	0.13129195940808308	11770	195788	430031	430031
GCA_905182175.1	Flavobacteriales	NORP294	3	83084	3332833	0.02492894183416931	0	0	41107	41107
GCA_003008575.1	Burkholderiales	Melaminivora_A	4	114263	3754020	0.030437504328692973	0	0	0	0
GCA_000012665.1	Desulfovibrionales	Oleidesulfovibrio	5	209122	3730232	0.05606139242813852	0	59439	59439	59439
GCA_002356635.1	Rhodobacterales	QY30	3	98903	3551172	0.027850805311598538	0	42631	0	42631
GCA_009931535.1	Enterobacterales	Pectobacterium	7	189750	5208618	0.03643000888143458	14406	48566	0	48566
GCA_022763045.1	Chlamydiales	JALEGI01	0	0	1802574	0.0	0	0	0	0
GCA_013373365.1	Bacillales_D	Lentibacillus	4	126268	4035571	0.031288756907015144	0	0	81592	81592
GCA_019597925.1	Lachnospirales	Clostridium_AP	5	146109	3941835	0.03706623945446727	0	47350	0	47350
GCA_944322295.1	Coriobacteriales	Coprousia	1	29001	2143308	0.013530953087470396	0	0	0	0
GCA_002419585.1	Lachnospirales	Velocimicrobium	3	58034	3752786	0.015464244430670973	0	0	0	0
GCA_021049305.1	Burkholderiales	Ideonella	4	124468	4544016	0.027391628902715133	0	0	53156	53156
GCA_000024245.1	Sphingomonadales	Zymomonas	2	46324	2223520	0.020833633158235592	0	0	0	0
GCA_004340125.1	Oscillospirales	Harryflintia	1	21618	2932766	0.007371198384051097	0	0	0	0
GCA_002923375.1	Gemmatimonadales	HRBIN33	1	21083	2944810	0.007159375307744812	0	0	0	0
GCA_003201675.2	Sulfolobales	Metallosphaera	1	20840	2544115	0.008191453609604911	0	0	0	0
GCA_903835235.1	Acetobacterales	CAIMOR01	7	186620	5969546	0.03126200886968624	0	0	32686	32686
GCA_000730285.1	Nitrososphaerales	Nitrososphaera	1	22003	2954373	0.007447603941682381	0	0	0	0
GCA_000802205.2	Nitrososphaerales	Nitrosocosmicus	1	21982	3430706	0.006407427509089966	0	0	0	0
GCA_000258535.2	Paenibacillales	Paenibacillus_G	15	1002977	8819200	0.11372652848330915	120252	776947	414506	921297
GCA_009866805.1	Burkholderiales	Achromobacter_A	7	216167	5328542	0.04056775755919725	0	44002	47698	91700
GCA_020103695.1	Myxococcales	Hyalangium	36	1359377	13548078	0.10033725817049474	49033	769818	544840	898458
GCA_010365785.1	Mycoplasmatales	TIUS-1	0	0	811521	0.0	0	0	0	0
GCA_009834025.1	Mycobacteriales	Epidermidibacterium	5	150516	4018808	0.037452896480747525	0	42556	0	42556
GCA_000010525.1	Rhizobiales	Azorhizobium	5	194792	5369772	0.03627565565167385	48043	48043	47392	95435
GCA_015689685.1	Rhodobacterales	HKCCE3408	6	193671	4443497	0.04358526628914119	0	115742	67837	115742
GCA_937425535.1	Acetobacterales	Rhodovastum	7	215845	7423543	0.029075739171982973	0	89195	89009	130296
GCA_022710485.1	Gemmatimonadales	SPDF01	1	20903	2530187	0.008261444707446525	0	0	0	0
GCA_001039495.1	Bacillales	Weizmannia	2	69686	3694837	0.018860371918977752	0	0	41185	41185
GCA_003286125.1	Enterobacterales_A	Algibacillus	8	315690	5407205	0.058383212768888915	52295	252895	89083	252895
GCA_000317145.1	Cyanobacteriales	Chamaesiphon	11	449018	6761765	0.06640544295757099	60931	242459	154315	283608
GCA_006171285.1	Enterobacterales	Leclercia	4	147252	5764469	0.025544763966984643	53790	53790	0	53790
GCA_016762775.1	Rhodobacterales	UBA10424	5	121633	4802595	0.025326516185520537	0	0	0	0
GCA_002000085.1	Enterobacterales_A	Pseudocolwellia	5	175778	4714829	0.03728194596240924	13762	0	0	0
GCA_003543235.1	Lachnospirales	UBA8514	1	21654	2286615	0.009469893270183218	0	0	0	0
GCA_900162725.1	Bacteroidales	Marseille-P3160	0	0	4759508	0.0	0	0	0	0
GCA_009831765.1	Burkholderiales	Craterilacuibacter	3	75866	3214571	0.023600660865788933	0	0	0	0
GCA_000332155.1	Cyanobacteriales	Kamptonema	13	612738	6894060	0.08887912202678828	87460	374861	376952	432078
GCA_016743945.1	Desulfobacterales	NBML01	12	408332	6674145	0.06118117002252723	0	47869	51907	99776
GCA_004117095.1	Paenibacillales	Paenibacillus_F	15	704616	6509090	0.1082510765713794	52227	462279	325947	503428
GCA_018714895.1	Coriobacteriales	Coprovicinus	0	0	1792415	0.0	0	0	0	0
GCA_023429135.1	Bacteroidales	JAAUTT01	5	167357	7232622	0.023139187973600723	0	48382	76479	76479
GCA_018687785.1	Methanomicrobiales	Methanogenium	3	82779	2289878	0.03614996082760741	0	0	0	0
GCA_005877055.1	Actinomycetales	Citricoccus	7	168983	3561338	0.04744930135808508	12529	0	41152	41152
GCA_000008265.1	Thermoplasmatales	Picrophilus	1	16679	1545895	0.010789219190177859	0	0	0	0
GCA_018128245.1	Fusobacteriales	JABCPH02	1	41173	2076334	0.019829661316531928	0	0	41173	41173
GCA_022879595.1	Burkholderiales	Caballeronia	6	181540	6178487	0.029382598037351215	0	0	78596	78596
GCA_020885515.1	Cyanobacteriales	Atelocyanobacterium	3	61798	1491611	0.04143037293235301	0	0	0	0
GCA_014879315.1	Enterobacterales	Riesia	0	0	574999	0.0	0	0	0	0
GCA_907165195.1	Flavobacteriales	Parvicella	1	20837	3980026	0.00523539293461902	0	0	0	0
GCA_024204685.1	Pseudomonadales	Gilvimarinus	4	79581	3956837	0.02011227654816208	13568	0	0	0
GCA_003634015.1	Caulobacterales	Litorimonas	2	34757	2778231	0.012510478790280577	0	0	0	0
GCA_014202935.1	Xanthomonadales	Rehaibacterium	0	0	2894949	0.0	0	0	0	0
GCA_003280055.1	PCC-6307	AG-363-P08	3	61507	1781405	0.034527241138314985	0	0	0	0
GCA_006965445.1	Lactobacillales	Lactococcus	0	0	2696018	0.0	0	0	0	0
GCA_007097085.1	Peptostreptococcales	Criibacterium	5	88803	2559729	0.03469234438489387	0	53564	0	53564
GCA_018061965.1	Legionellales	GCA-2786165	6	220870	2345025	0.09418662914041429	0	185238	100916	185238
GCA_001981245.1	Rhodobacterales	Brevirhabdus	3	51914	3449822	0.015048312637579562	0	0	0	0
GCA_007004655.1	Pseudomonadales	Exilibacterium	12	442582	7174779	0.061685802447713024	12439	277063	132324	409387
GCA_000686525.1	Desulfovibrionales	Desulfonatronovibrio	3	113460	2939696	0.03859582759577861	0	0	0	0
GCA_024508355.1	Acetobacterales	KSS12	5	153446	3952454	0.03882296922367724	0	50887	41068	91955
GCA_900114455.1	Halobacteriales	Halogranum	3	57863	4566676	0.012670704030677894	15838	0	0	0
GCA_024661895.1	Lactobacillales	GCA-024661895	0	0	3224940	0.0	0	0	0	0
GCA_900142555.1	Peptostreptococcales	Clostridium_Y	1	21612	1835704	0.011773139896192414	0	0	0	0
GCA_022758295.1	Xanthomonadales	CFH-32150	1	41179	3509642	0.011733105541818795	0	0	0	0
GCA_004331795.1	Sphingomonadales	CFH-75059	2	65384	2258883	0.028945279591727414	0	0	41050	41050
GCA_000757865.1	PCC-6307	Prochlorococcus_B	3	61429	1929203	0.03184164652449742	0	0	0	0
GCA_024234615.1	Pseudomonadales	JAJFKB01	3	67471	3454105	0.0195335694774768	0	0	0	0
GCA_011064965.1	Chlamydiales	JAAKFS01	1	30655	1614069	0.01899237269286505	0	0	30655	30655
GCA_018987305.1	Enterobacterales	UBA7405	4	159585	4392327	0.03633267741677703	66109	66109	0	66109
GCA_000425865.1	Lactobacillales	Lacticigenium	0	0	2134509	0.0	0	0	0	0
GCA_018408575.1	Oscillospirales	Vescimonas	1	21609	2557760	0.008448407981984237	0	0	0	0
GCA_000217995.1	Methanosarcinales	Methanosalsum	2	63107	2138444	0.029510709656179916	0	0	0	0
GCA_020630095.1	Rickettsiales	JAHDCD01	0	0	1598447	0.0	0	0	0	0
GCA_016700155.1	Ignavibacteriales	GCA-016700155	5	193022	4601368	0.04194882913081501	0	110999	152088	152088
GCA_005405885.1	Mycobacteriales	Gandjariella	21	643567	6115205	0.10524046209407534	15444	16574	327505	327505
GCA_011405515.1	Nitrospirales	Nitrospira_C	9	335139	4509223	0.07432300420715499	88577	136284	88577	136284
GCA_002869785.1	Mycobacteriales	Tsukamurella	14	492676	4922396	0.1000886560122347	57601	230560	157285	315109
GCA_002413945.1	Enterobacterales	Siccibacter	4	147205	4109714	0.03581879420319759	53742	53742	0	53742
GCA_009835145.1	Rhodobacterales	Profundibacterium	5	112254	3362452	0.03338456578711012	0	0	41140	41140
GCA_000413055.1	Treponematales	Treponema_C	1	32957	2530388	0.013024484782570895	0	0	0	0
GCA_000008645.1	Methanobacteriales	Methanothermobacter	2	53054	1751377	0.030292735373366214	0	0	0	0
GCA_023229425.1	Ignavibacteriales	UBA1563	1	21702	3206851	0.0067673864485752536	0	0	0	0
GCA_001242845.1	Enterobacterales	Westeberhardia	0	0	532684	0.0	0	0	0	0
GCA_003058365.1	Halobacteriales	Halococcoides	2	41441	2723120	0.015218205587708217	0	0	0	0
GCA_004006635.1	Fusobacteriales	Fusobacterium_C	0	0	2678415	0.0	0	0	0	0
GCA_900113045.1	Cytophagales	Thermoflexibacter	3	83102	5504183	0.015097971851589963	0	0	41101	41101
GCA_000953015.1	Burkholderiales	Methylopumilus_A	3	83074	1754988	0.047335936200133565	0	0	0	0
GCA_017416185.1	Oscillospirales	RGIG7300	2	49137	2550607	0.019264825980639118	0	0	0	0
GCA_022845955.1	Lachnospirales	Eisenbergiella	5	132072	7291680	0.01811269830820881	0	47434	0	47434
GCA_003516085.1	Rhizobiales	Brucella	4	135909	3311860	0.04103706074532136	46083	46083	0	46083
GCA_000331975.1	Flavobacteriales	Uzinura	0	0	263431	0.0	0	0	0	0
GCA_016125455.1	Caulobacterales	MED-G105	6	179924	3604100	0.0499220332399212	0	93841	49920	93841
GCA_944321915.1	Bacteroidales	Gallipaludibacter	1	41194	2795362	0.014736552904418105	0	0	0	0
GCA_014237275.1	Desulfobacterales	SURF-3	3	99692	5093090	0.01957397179315504	0	0	0	0
GCA_009363435.1	Rhizobiales	Roseibium	6	238968	6395015	0.037367856056631614	0	126217	127499	173576
GCA_000761445.1	Xanthomonadales	Oleiagrimonas	5	155663	3379306	0.04606360004095515	0	47080	0	47080
GCA_002717515.1	Flavobacteriales	GCA-002722245	2	42787	2643743	0.01618425088974231	0	0	0	0
GCA_016097405.1	Methylococcales	Methylomarinum	3	78731	2931369	0.026858099406795937	0	0	0	0
GCA_016125495.1	Rhizobiales	RI-29	3	49751	4054688	0.01226999463337253	0	0	0	0
GCA_003925875.1	Erysipelotrichales	Intestinibaculum	1	21733	3212924	0.006764243411920108	0	0	0	0
GCA_000973105.1	Flavobacteriales	Zobellia	6	224571	5521712	0.040670538412724166	0	0	89969	89969
GCA_017168195.1	Enterobacterales_A	G2M2-11	0	0	3888470	0.0	0	0	0	0
GCA_000010665.1	Desulfovibrionales	Solidesulfovibrio	5	113557	5315620	0.021362888995074894	0	0	0	0
GCA_001426435.1	Actinomycetales	Angustibacter	3	96858	3839507	0.025226676237339846	0	0	0	0
GCA_010669085.1	Tissierellales	Caloranaerobacter	3	80802	2539490	0.031818199717266064	0	0	0	0
GCA_017352195.1	Tissierellales	UBA1535	4	140975	3133930	0.044983455278197026	0	69901	69901	69901
GCA_009913235.1	Cytophagales	Nibribacter	3	87652	4352178	0.02013980126731949	0	0	41113	41113
GCA_019443285.1	Sphingomonadales	Aquisediminimonas	3	97545	3406525	0.02863475242365754	0	0	41065	41065
GCA_902790325.1	Oscillospirales	UBA1425	2	36073	2873605	0.012553221476159736	0	0	0	0
GCA_003966735.1	Desulfovibrionales	Desulfovibrio_Q	0	0	3720107	0.0	0	0	0	0
GCA_900240405.1	Bacillales_D	OEQK01	4	99793	3491232	0.028583892448281866	0	0	41089	41089
GCA_002019645.1	Bacillales	Litchfieldia	2	67540	5426306	0.01244677318234541	0	0	41101	41101
GCA_025059995.1	Leptospirales	SKYB61	0	0	2382527	0.0	0	0	0	0
GCA_000297055.2	Burkholderiales	Sulfuricella	3	123725	3217213	0.038457198823951044	0	0	0	0
GCA_015066565.1	Oscillospirales	SIG554	2	52302	1960455	0.02667850065418487	0	0	0	0
GCA_000709435.1	Clostridiales	Dwaynesavagella	1	21623	1654902	0.013066030496065629	0	0	0	0
GCA_019188485.1	Enterobacterales_A	Ursidibacter	0	0	1970575	0.0	0	0	0	0
GCA_016845175.1	Bacteroidales	JAERTD01	4	75759	3896970	0.01944048837943325	0	0	0	0
GCA_022448245.1	Rhodobacterales	WX04	6	168833	3707077	0.045543429499845835	0	47927	41158	89085
GCA_902761775.1	Bacteroidales	UBA1711	0	0	2723180	0.0	0	0	0	0
GCA_900155565.1	Tissierellales	Anaerosalibacter_A	1	21572	2498319	0.00863460590901322	0	0	0	0
GCA_000403845.2	Lachnospirales	14-2	5	238463	3996868	0.05966246571065144	0	138435	0	138435
GCA_012562765.1	Enterobacterales	GCA-012562765	0	0	519975	0.0	0	0	0	0
GCA_018402385.1	Flavobacteriales	Planktosalinus	2	61893	2776294	0.02229338823626028	0	0	41053	41053
GCA_019977775.1	Enterobacterales_A	Vibrio	15	632720	6573836	0.09624821793546416	206698	474812	239702	515856
GCA_023244895.1	UBA6257	JAHFLL01	0	0	840672	0.0	0	0	0	0
GCA_016056335.1	Pseudomonadales	Halomonas_F	4	86430	3854076	0.022425608628371625	13490	0	0	0
GCA_002481765.1	Coriobacteriales	UBA7741	0	0	2860469	0.0	0	0	0	0
GCA_021044585.1	Campylobacterales	JACXUG01	0	0	2524721	0.0	0	0	0	0
GCA_016767175.1	Tissierellales	Keratinibaculum	2	44640	2307997	0.019341446284375587	0	0	0	0
GCA_016726485.1	Tissierellales	Peptoniphilus_A	3	108314	1929566	0.056133866372023555	0	86762	0	86762
GCA_001735715.1	Flavobacteriales	GCA001735715	1	20840	2016454	0.010334974167523782	0	0	0	0
GCA_022814825.1	Rickettsiales	Ehrlichia	0	0	1516356	0.0	0	0	0	0
GCA_000427405.1	Cytophagales	Flectobacillus	3	95578	6221030	0.0153636937934715	0	0	43624	43624
GCA_900258515.1	Bacillales_D	Virgibacillus_E	4	111051	3925864	0.028287021659435987	0	0	79842	79842
GCA_020535305.1	Burkholderiales	Tepidiphilus	2	49306	2236547	0.022045590814769374	0	0	0	0
GCA_001542775.1	Actinomycetales	Microterricola	3	90196	3689726	0.024445175603825326	0	0	41254	41254
GCA_000165505.1	Fusobacteriales	Ilyobacter	0	0	3132314	0.0	0	0	0	0
GCA_002328065.1	Bacteroidales	SR-FBR-E99	2	52189	3022641	0.01726602663035405	0	0	0	0
GCA_014075275.1	Rhodobacterales	Boseongicola	2	39986	3603264	0.011097160796433456	0	0	0	0
GCA_000306785.1	Mycobacteriales	Modestobacter	6	217234	5575517	0.03896212674089237	0	0	113560	113560
GCA_000800395.1	Deinococcales	Deinococcus	3	82579	3531443	0.02338392549447917	0	0	41062	41062
GCA_017549425.1	TANB77	UMGS1649	2	64935	1127929	0.05757011301243252	0	44320	0	44320
GCA_007993735.1	Xanthomonadales	Arenimonas	1	43414	3032542	0.014316042448876224	0	0	0	0
GCA_017524665.1	TANB77	UMGS1754	1	47425	1341727	0.035346236604018554	0	47425	0	47425
GCA_900209925.1	Lachnospirales	Anaerobutyricum	3	126585	3515670	0.036005939123979216	0	67740	0	67740
GCA_002714185.1	Flavobacteriales	SP256	0	0	1523834	0.0	0	0	0	0
GCA_004346645.1	Burkholderiales	Gulbenkiania	2	53681	2870308	0.01870217412208028	0	0	0	0
GCA_018128545.1	Peptostreptococcales	Sinanaerobacter	4	96837	4772889	0.020288969636628885	0	29075	0	29075
GCA_016464625.1	Cytophagales	Penaeicola	4	104230	3020847	0.03450356803903011	0	0	41098	41098
GCA_016908875.1	Bacillales	Bacillus_BX	4	95481	3531559	0.027036501443130356	15485	0	41071	41071
GCA_003610535.1	Bacteroidales	Mangrovibacterium	3	83786	5800440	0.014444766259111378	0	0	0	0
GCA_900498155.1	Treponematales	UBA2256	0	0	2943264	0.0	0	0	0	0
GCA_900207585.1	Bacillales	Bacillus_BF	3	86502	4511824	0.01917229040849111	0	0	41095	41095
GCA_001425865.1	Burkholderiales	LMDS01	8	258017	5274600	0.04891688469267812	0	0	0	0
GCA_003933745.1	Mycobacteriales	Glycomyces	10	233634	5240684	0.04458082189271477	24637	0	41038	41038
GCA_017161425.1	Caulobacterales	Marinicauda	4	73931	3424851	0.02158663252795523	0	0	0	0
GCA_008015505.1	Sphingobacteriales	SSFR01	4	118101	2341987	0.05042769238257941	0	46315	0	46315
GCA_002368355.1	Cyanobacteriales	Waterburya	9	430692	5002520	0.08609500811590959	0	341003	200870	382166
GCA_902790765.1	Peptostreptococcales	RUG11894	1	23893	2106844	0.011340659298932432	0	0	0	0
GCA_004153445.1	Burkholderiales	Pusillimonas_B	3	79780	4148464	0.01923121425182911	0	0	47641	47641
GCA_022558965.1	Acetobacterales	Acidiphilium	6	215005	4422440	0.048616826910031566	0	0	0	0
GCA_024579835.1	Clostridiales	JG1575	1	21374	3425042	0.006240507415675486	0	0	0	0
GCA_000287335.1	Enterobacterales	GCF-000287335	0	0	1441139	0.0	0	0	0	0
GCA_900104695.1	Paenibacillales	Paenibacillus_AI	4	82623	5830986	0.014169644722179062	0	0	0	0
GCA_014218215.1	Mycobacteriales	Klenkia	5	125510	4594226	0.027319073985476554	0	0	41029	41029
GCA_024349745.1	Enterobacterales	Hamiltonella	3	57649	2258324	0.0255273379727621	11854	0	0	0
GCA_002005485.1	Acetobacterales	Gluconobacter	2	49067	3369297	0.014562978567932717	0	0	0	0
GCA_020637695.1	Rhizobiales	JAMLJD01	4	76007	3383761	0.02246228383151174	0	0	0	0
GCA_018432235.1	Peptostreptococcales	M1-B18	2	42082	4786322	0.008792137261137048	0	0	0	0
GCA_022869805.1	Halobacteriales	JALIQP01	3	51151	5058678	0.01011153506904373	12100	0	0	0
GCA_900155635.1	Coriobacteriales	Olsenella_G	0	0	1748607	0.0	0	0	0	0
GCA_000349975.1	Campylobacterales	Helicobacter_C	1	29587	2240130	0.013207715623646843	0	0	0	0
GCA_017624235.1	Lachnospirales	JAAYNV01	2	41153	2328530	0.01767338191906482	0	0	0	0
GCA_010537155.1	Erysipelotrichales	Amedibacterium	0	0	2996298	0.0	0	0	0	0
GCA_015476335.1	Rickettsiales	ESH-2018B	1	32520	1047039	0.031059014993710835	0	0	32520	32520
GCA_013407275.1	Nitrososphaerales	Nitrosotenuis	1	38132	1834835	0.020782250175083863	0	0	0	0
GCA_018240015.1	Chlamydiales	SZAS-15	2	73464	1712091	0.04290893416296213	0	41791	31673	73464
