order	median_genome_size	median_bgcome_size	median_bgc_count	median_bgcome_size_relaxed	median_bgc_count_relaxed	median_npbgcome_size	median_nrps_count	median_pks_count	median_oxy_count	median_distinct_cazy_count	median_total_cazy_count
Bacteroidales	3149227	26443.0	1	47593.0	2.0	0.0	0.0	0.0	19.0	143.0	113.0
Sphingobacteriales	4791521	61941.0	2	61950.0	2.0	41104.0	0.0	41101.0	34.0	234.0	268.0
Cytophagales	5361527.0	104604.0	4.0	109184.0	4.0	41111.5	0.0	41110.0	32.0	205.5	200.5
Rhodothermales	4092632.0	82299.5	3.0	97735.5	3.5	41123.5	0.0	41123.5	35.0	116.5	98.5
Ignavibacteriales	4192753.5	42531.0	2.0	77157.0	3.0	0.0	0.0	0.0	35.0	139.5	134.0
Chlorobiales	2848671.0	43385.5	2.0	56906.0	2.5	12159.0	0.0	0.0	26.5	61.5	63.5
Gemmatimonadales	3794422.5	43337.5	2.0	62137.5	3.0	0.0	0.0	0.0	35.0	65.5	99.5
Streptosporangiales	7798420.0	749991.5	20.0	785163.5	21.5	508800.5	282679.0	323607.5	38.0	198.0	202.0
Streptomycetales	8343587	970659.0	23	1002089.0	23.0	659577.0	403535.0	531042.0	40.0	234.0	228.0
Actinomycetales	3481762.0	99486.0	4.0	112239.5	4.0	41102.5	0.0	41080.0	25.0	104.5	84.0
Propionibacteriales	3889688.0	69493.5	2.0	79266.5	3.0	0.0	0.0	0.0	37.0	111.0	95.5
Mycobacteriales	6514894	610270.0	17	677422.0	18.0	377221.0	248620.0	216546.0	38.0	130.0	149.0
Coriobacteriales	2279555.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	30.5	29.0
Bacillales	4289048	110660.0	4	121316.0	5.0	41086.0	0.0	41083.0	35.0	96.0	82.0
Exiguobacterales	3202234.5	36307.5	2.0	36307.5	2.0	0.0	0.0	0.0	23.5	137.5	72.0
Staphylococcales	2329944.5	20585.0	0.5	20585.0	0.5	0.0	0.0	0.0	24.0	50.5	33.5
Bacillales_D	3728451	85732.0	4	93422.0	4.0	41095.0	0.0	41089.0	28.0	100.0	79.0
Lactobacillales	2509470	41161.0	1	41164.0	1.0	41152.0	0.0	41152.0	13.0	84.0	61.0
Mycoplasmatales	887257.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.5	2.0
Erysipelotrichales	2506243	10075.0	1	20261.0	1.0	0.0	0.0	0.0	17.0	68.0	62.0
Acholeplasmatales	1592722.5	10465.0	0.5	20598.5	1.0	0.0	0.0	0.0	9.0	91.0	45.0
Paenibacillales	5930559	203359.0	7	234177.0	9.0	99148.0	79116.0	41164.0	38.0	220.0	246.0
Tissierellales	2347970.0	40998.0	2.0	47024.5	2.5	0.0	0.0	0.0	11.0	32.5	32.0
Oscillospirales	2302061	29179.0	1	41997.0	2.0	0.0	0.0	0.0	11.0	77.0	61.0
TANB77	1440023	64994.0	2	64994.0	2.0	44320.0	44320.0	0.0	3.0	24.0	35.0
Lachnospirales	3168046.5	49048.0	2.0	64522.0	3.0	0.0	0.0	0.0	12.0	120.0	82.0
Clostridiales	4041404.0	68092.0	3.0	75292.0	3.0	0.0	0.0	0.0	20.0	76.5	64.5
Peptostreptococcales	3122071	50767.0	2	55079.0	3.0	0.0	0.0	0.0	12.0	52.0	45.0
Veillonellales	1826083	21630.0	1	21630.0	1.0	0.0	0.0	0.0	11.0	18.0	29.0
Selenomonadales	2618064.5	43077.0	2.0	43077.0	2.0	0.0	0.0	0.0	20.5	71.5	62.5
Deinococcales	3225513.0	63670.0	2.0	63670.0	2.0	40828.0	0.0	40828.0	28.0	112.5	83.5
Cyanobacteriales	6534449	400905.0	11	448729.0	12.0	206290.0	174190.0	137049.0	44.0	115.0	161.0
PCC-6307	2595783	77166.0	3	77166.0	3.0	0.0	0.0	0.0	39.0	59.0	61.0
Vampirovibrionales	2798067.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	56.5	67.5
