DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	CAZy_Total_and_Distinct
Elsinoe_australis_GCA_003013795	447
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	393
Uncinocarpus_reesii_1704_GCA_000003515	166
Tolypocladium_paradoxum_GCA_002916505	268
Phaeoacremonium_minimum_UCRPA7_GCA_000392275	438
Elaphomyces_granulatus_GCA_002240705	243
Leptoxyphium_fumago_GCA_001660795	238
Cyanodermella_asteris_GCA_900618795	360
Amorphotheca_resinae_ATCC_22711_GCA_003019875	290
Chlorencoelia_torta_GCA_003988815	349
Valsa_malicola_GCA_003795315	465
Trichophyton_mentagrophytes_GCA_003118255	200
Ustulina_deusta_GCA_002081935	517
Lanzia_echinophila_GCA_000812885	408
Proliferodiscus_dingleyae_GCA_003988795	510
Ophiognomonia_clavigignenti-juglandacearum_GCA_003671545	698
Diaporthe_aspalathi_GCA_001447215	719
Knufia_petricola_GCA_002319055	278
Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	332
Cryphonectria_radicalis_GCA_003264845	501
Emmonsia_crescens_GCA_002572855	204
Epichloe_elymi_GCA_002591845	220
Gyalolechia_flavorubescens_KoLRI002931_GCA_000442125	254
Ramichloridium_luteum_GCA_002368545	310
Erysiphe_neolycopersici_GCA_003610855	144
Priceomyces_medius_GCA_003705335	139
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	185
Pseudozyma_flocculosa_PF-1_GCA_000417875	211
Martensiomyces_pterosporus_GCA_025201845	219
Taphrina_wiesneri_JCM_22204_GCA_000836135	180
Ramalina_peruviana_GCA_001956345	179
Pseudomicrostroma_glucosiphilum_GCA_003144135	134
Neolecta_irregularis_DAH-3_GCA_001929475	86
Protomyces_lactucae-debilis_GCA_002105105	193
Verruconis_gallopava_GCA_000836295	283
Venturia_pyrina_ICMP_11032_GCA_000738655	449
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	232
Kockiozyma_suomiensis_GCA_003705835	152
_Candida__arabinofermentans_NRRL_YB-2248_GCA_001661425	139
Aeminium_ludgeri_GCA_004216415	295
Saccharomycopsis_malanga_GCA_004014935	175
Linderina_pennispora_GCA_002104995	266
Cephaloascus_albidus_GCA_003706495	153
Cystobasidiopsis_lactophilus_GCA_001599975	208
Metschnikowia_cubensis_GCA_002374405	121
Zygoascus_ofunaensis_GCA_003707925	167
Trigonopsis_vinaria_GCA_003706805	111
Ogataea_trehaloabstinens_GCA_003706095	141
Wickerhamomyces_ciferrii_GCA_000313485	159
Neoconidiobolus_thromboides_FSU_785_GCA_025603075	213
Quaeritorhiza_haematococci_GCA_027596845	279
Microbotryum_silenes-dioicae_GCA_900120095	199
Conidiobolus_coronatus_NRRL_28638_GCA_001566745	205
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	161
Zygosaccharomyces_bailii_CLIB_213_GCA_000442885	107
Smittium_simulii_GCA_003086735	110
Powellomyces_hirtus_GCA_006536005	157
Gaertneriomyces_sp._JEL0708_GCA_027603645	137
Mixia_osmundae_IAM_14324_GCA_000708205	193
Polychytrium_aggregatum_GCA_025602895	267
Arthonia_radiata_GCA_002989075	308
Spizellomyces_sp._'palustris'_GCA_006535965	168
Ustilago_maydis_521_GCA_000328475	214
Olpidium_bornovanus_GCA_017911155	38
Lobulomyces_angularis_GCA_027604685	183
Coemansia_reversa_NRRL_1564_GCA_002705745	171
Homolaphlyctis_polyrhiza_JEL_142_GCA_000235945	119
Ramicandelaber_brevisporus_GCA_025201865	120
Capsaspora_owczarzaki_ATCC_30864_GCA_000151315	131
Syncephalis_fuscata_GCA_025786725	151
Synchytrium_endobioticum_GCA_006535955	155
Allomyces_javanicus_GCA_027604645	144
Paramicrosporidium_saccamoebae_GCA_002794465	66
Hanseniaspora_guilliermondii_GCA_900119595	87
Allomyces_macrogynus_ATCC_38327_GCA_000151295	242
Monosiga_brevicollis_MX1_GCA_000002865	250
Allomyces_arbusculus_GCA_027604705	138
Caulochytrium_protostelioides_GCA_003615045	95
Bifiguratus_adelaidae_GCA_002261195	255
Ramularia_coccinea_GCA_004155245	400
Rhizoclosmatium_hyalinum_GCA_027596175	160
Coelomomyces_lativittatus_GCA_026937265	78
Syncephalis_pseudoplumigaleata_GCA_003614755	85
Malassezia_vespertilionis_GCA_002818225	79
Fonticula_alba_GCA_000388065	32
Piptocephalis_cylindrospora_GCA_003614145	72
Rozella_allomycis_CSF55_GCA_000442015	85
Mitosporidium_daphniae_GCA_000760515	25
