gca	taxonomy	annotation_method	version_info	ncbi_annot_avail	funannotate_annot_avail	fasta_file	gff_file
GCA_000151125	Trichophyton benhamiae	NCBI GenBank	GCA_000151125.2	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_000151125.2_ASM15112v2_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_000151125.2_ASM15112v2_genomic.gff
GCA_000003515	Uncinocarpus reesii	NCBI GenBank	GCA_000003515.2	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_000003515.2_ASM351v2_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_000003515.2_ASM351v2_genomic.gff
GCA_000150705	Paracoccidioides lutzii	NCBI RefSeq	GCF_000150705.2	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genome_Fastas_in_NCBI_RefSeq/GCF_000150705.2_Paracocci_br_Pb01_V2_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_RefSeq/GCF_000150705.2_Paracocci_br_Pb01_V2_genomic.gff
GCA_001430955	Chrysosporium queenslandicum	funannotate	GCA_001430955.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430955/GCA_001430955.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430955/gene_prediction_results/predict_results/GCA_001430955.gff3
GCA_000150735	Paracoccidioides brasiliensis	NCBI GenBank	GCA_000150735.2	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_000150735.2_Paracocci_br_Pb18_V2_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_000150735.2_Paracocci_br_Pb18_V2_genomic.gff
GCA_000812245	Onygena corvina	funannotate	GCA_000812245.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000812245/GCA_000812245.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000812245/gene_prediction_results/predict_results/GCA_000812245.gff3
GCA_000616865	Trichophyton soudanense	funannotate	GCA_000616865.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000616865/GCA_000616865.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000616865/gene_prediction_results/predict_results/GCA_000616865.gff3
GCA_000151335	Coccidioides posadasii	NCBI GenBank	GCA_000151335.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_000151335.1_JCVI-cpa1-1.0_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_000151335.1_JCVI-cpa1-1.0_genomic.gff
GCA_000149335	Coccidioides immitis	funannotate	GCF_000149335.2	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000149335/GCA_000149335.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000149335/gene_prediction_results/predict_results/GCA_000149335.gff3
GCA_002167195	Ophidiomyces ophiodiicola	funannotate	GCA_002167195.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_002167195/GCA_002167195.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_002167195/gene_prediction_results/predict_results/GCA_002167195.gff3
GCA_003118255	Trichophyton mentagrophytes	NCBI GenBank	GCA_003118255.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_003118255.1_ABySS_70bp_45k_152cov_v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_003118255.1_ABySS_70bp_45k_152cov_v1_genomic.gff
GCA_001430945	Amauroascus niger	funannotate	GCA_001430945.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430945/GCA_001430945.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430945/gene_prediction_results/predict_results/GCA_001430945.gff3
GCA_002572855	Emmonsia crescens	NCBI GenBank	GCA_002572855.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_002572855.1_Emmon_cres_4076_V1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_002572855.1_Emmon_cres_4076_V1_genomic.gff
GCA_001883825	Emergomyces pasteurianus	NCBI GenBank	GCA_001883825.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_001883825.1_Emmo_past_UAMH9510_V1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_001883825.1_Emmo_past_UAMH9510_V1_genomic.gff
GCA_002573585	Helicocarpus griseus	NCBI GenBank	GCA_002573585.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_002573585.1_Heli_gris_5409_V1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_002573585.1_Heli_gris_5409_V1_genomic.gff
GCA_002573605	Polytolypa hystricis	NCBI GenBank	GCA_002573605.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_002573605.1_Poly_hyst_7299_V1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_002573605.1_Poly_hyst_7299_V1_genomic.gff
GCA_001430925	Byssoonygena ceratinophila	funannotate	GCA_001430925.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430925/GCA_001430925.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_001430925/gene_prediction_results/predict_results/GCA_001430925.gff3
GCA_002110485	Emergomyces orientalis	funannotate	GCA_002110485.1	False	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_002110485/GCA_002110485.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_002110485/gene_prediction_results/predict_results/GCA_002110485.gff3
GCA_001636715	Ascosphaera apis	NCBI GenBank	GCA_001636715.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_001636715.1_AAP_1.0_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_001636715.1_AAP_1.0_genomic.gff
GCA_000151505	Trichophyton verrucosum	NCBI RefSeq	GCF_000151505.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genome_Fastas_in_NCBI_RefSeq/GCF_000151505.1_ASM15150v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_RefSeq/GCF_000151505.1_ASM15150v1_genomic.gff
GCA_000622975	Trichophyton interdigitale	funannotate	GCA_000622975.1	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000622975/GCA_000622975.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000622975/gene_prediction_results/predict_results/GCA_000622975.gff3
GCA_001651435	Trichophyton violaceum	NCBI GenBank	GCA_001651435.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genomes/GCA_001651435.1_CMCC_F_T3l_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_GenBank/GCA_001651435.1_CMCC_F_T3l_genomic.gff
GCA_000151145	Microsporum canis	NCBI RefSeq	GCF_000151145.1	True	False	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Genome_Fastas_in_NCBI_RefSeq/GCF_000151145.1_ASM15114v1_genomic.fna	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/GFFs_from_NCBI_RefSeq/GCF_000151145.1_ASM15114v1_genomic.gff
GCA_000003855	Blastomyces gilchristii	funannotate	GCF_000003855.2	True	True	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000003855/GCA_000003855.cleaned.sorted.masked.fa	/home/salamzade/Multicellularity_and_BGC_Abundances/Polished_Fungi/Onygenales_Analysis/Funannotate_Results/GCA_000003855/gene_prediction_results/predict_results/GCA_000003855.gff3
