DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	NACHT
FIELD_LABELS	WD40	Ank_2	Ank	HET	Ank_4	NACHT_N	PNP_UDP_1	TIR_2	TPR_10	Helo_like_N
GCA_002105095|CDS_25|390|545	0	0	0	0	0	0	0	0	0	0
GCA_002105095|CDS_54|362|517	1	0	0	0	0	0	0	0	0	0
GCA_002105095|CDS_71|362|517	1	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_1758|76|231	1	0	0	0	0	0	0	0	0	0
GCA_900290415|CDS_5070|73|220	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_4777|199|352	1	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_11770|191|375	1	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_4107|208|356	0	0	0	0	0	0	0	0	0	0
GCA_001692915|CDS_12547|193|341	1	0	0	0	0	0	0	0	0	0
GCA_002989075|CDS_5618|355|498	1	0	0	0	0	0	0	0	0	0
GCA_003990805|CDS_137|209|364	1	0	0	0	0	0	0	0	0	0
GCA_001447215|CDS_11968|325|503	0	0	0	1	0	0	0	0	0	0
GCA_002572855|CDS_6102|207|357	1	0	0	0	0	0	0	0	0	0
GCA_002368545|CDS_6733|352|499	0	0	0	0	0	0	0	0	0	0
GCA_001660795|CDS_4908|271|453	1	0	0	0	0	0	0	0	0	0
GCA_001660795|CDS_108|353|540	0	0	0	0	0	0	0	0	0	0
GCA_001660795|CDS_7895|343|493	1	0	0	0	0	0	0	0	0	0
GCA_000225545|CDS_5735|387|535	1	0	0	0	0	0	0	0	0	0
GCA_004000055|CDS_129|330|473	1	0	0	0	0	0	0	0	0	0
GCA_000732205|CDS_4637|99|254	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_10677|81|229	1	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_8405|383|533	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_6368|88|256	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_2524|207|385	1	0	0	0	0	0	0	0	0	1
GCA_001642045|CDS_1989|202|349	1	0	0	0	0	0	0	0	0	1
GCA_001692735|CDS_13659|203|357	1	0	0	0	0	0	0	0	0	1
GCA_002105095|CDS_1287|406|557	1	0	0	0	0	0	0	0	0	0
GCA_000313545|CDS_6365|294|468	1	0	0	0	0	0	0	0	0	0
GCA_000313545|CDS_10687|293|471	0	0	0	0	0	0	0	0	0	0
GCA_000313545|CDS_2876|314|467	1	0	0	0	0	0	0	0	0	0
GCA_000313545|CDS_1844|149|322	0	0	0	0	0	0	0	0	0	0
GCA_000313545|CDS_4845|291|432	0	0	0	0	0	0	0	0	0	0
GCA_000225545|CDS_8144|226|356	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_7384|214|366	0	0	0	0	0	0	0	0	0	1
GCA_000516985|CDS_8683|309|466	1	0	0	1	0	0	0	0	0	0
GCA_001599595|CDS_5452|314|460	0	0	0	1	0	0	0	0	0	0
GCA_003574815|CDS_9701|184|339	1	0	0	0	0	0	0	0	0	0
GCA_000604185|CDS_6427|124|255	0	0	0	0	0	0	0	0	0	0
GCA_003574815|CDS_2806|376|526	1	0	0	0	0	0	1	0	0	0
GCA_004000055|CDS_7620|314|464	0	0	0	0	0	0	0	0	0	0
GCA_003574815|CDS_9333|199|349	1	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_3414|401|550	1	0	0	0	0	1	0	0	0	0
GCA_003316405|CDS_4066|266|413	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_674|339|486	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_2039|337|484	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_7397|347|498	0	0	0	0	0	0	0	0	0	0
GCA_000524645|CDS_2991|308|490	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_3795|422|571	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_1513|392|570	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7034|146|299	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6897|177|328	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3986|134|287	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8342|219|372	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9132|214|367	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6580|171|321	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8940|143|294	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6578|170|320	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6019|169|320	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6020|172|322	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6021|168|318	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6545|289|446	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7425|154|304	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_711|143|296	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5578|46|196	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6547|294|451	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7876|125|276	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9237|128|278	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6907|165|325	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4576|222|383	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4577|46|199	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4581|147|307	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8727|211|364	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4583|46|199	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_10453|46|199	0	0	0	0	0	0	0	0	0	0
GCA_000827355|CDS_8458|46|202	0	0	0	0	0	0	0	0	0	0
GCA_000827355|CDS_12478|384|535	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2836|147|300	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4404|143|296	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1538|107|258	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4392|149|302	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5347|131|288	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4575|218|381	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4580|200|353	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6397|90|243	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8421|135|301	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2180|222|382	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9203|200|353	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3144|138|300	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3146|242|399	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8624|212|365	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4385|171|323	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4389|171|324	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9284|171|324	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_10328|50|174	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2179|228|344	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2181|188|339	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4095|138|291	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8283|133|283	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_710|126|279	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7868|164|317	1	0	0	0	0	0	0	0	0	0
GCA_000827315|CDS_12862|120|265	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_2786|388|544	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_2517|127|283	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_2300|332|485	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_3870|438|591	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_8601|71|250	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_7086|338|491	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_2663|272|424	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_4727|601|753	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_4748|263|424	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_5368|372|528	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_6739|41|200	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_6413|169|301	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6482|157|309	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_4163|325|474	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6546|15|168	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6481|373|526	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_1995|315|466	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_939|529|680	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_4643|10|160	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_5138|351|508	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_4644|217|370	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8388|218|399	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2103|157|331	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6879|46|214	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7423|103|253	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7562|165|316	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8017|222|375	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9376|40|221	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_1540|171|336	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_2402|347|506	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3310|130|281	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8878|195|368	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2904|363|513	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_5020|59|210	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_1994|309|473	1	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_8981|133|282	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8606|159|330	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1479|148|299	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1519|141|294	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1520|142|295	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6471|169|322	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5717|188|334	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7602|76|222	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7980|117|263	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9477|167|313	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1014|140|290	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_460|182|338	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2710|107|258	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3472|108|257	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4002|60|203	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5140|128|279	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5693|151|302	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_593|369|522	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5694|84|243	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7997|49|200	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8792|60|211	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2580|100|261	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7977|90|235	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7978|90|234	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5691|50|210	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4268|101|252	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6407|162|306	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8362|2|146	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6408|153|305	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6409|117|266	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7994|46|195	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8092|40|192	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8094|46|196	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8361|46|198	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7996|153|305	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1547|165|317	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_2819|165|314	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7035|146|299	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7333|146|299	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7985|46|192	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9412|153|305	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9949|167|320	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7999|100|253	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7251|103|254	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3532|88|241	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9232|127|280	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6399|91|241	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9429|63|216	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1240|147|300	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6404|155|308	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_8941|13|162	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_7815|285|437	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9229|144|299	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1211|144|292	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4111|142|291	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4115|146|296	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4846|144|294	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5154|156|306	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7678|139|289	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6459|141|291	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3656|146|296	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8291|46|198	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3064|138|289	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7778|144|299	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3061|125|277	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5295|130|283	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6402|153|305	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3065|143|294	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7247|140|291	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6060|364|515	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_712|159|306	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3548|46|199	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_10076|140|291	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6745|140|293	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5200|140|290	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8846|150|301	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5057|149|296	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8935|138|291	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8896|74|227	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_6406|140|292	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8320|173|326	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9011|144|297	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7965|140|291	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7966|133|283	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8876|138|291	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5645|137|290	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_9618|129|282	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3846|134|291	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3849|131|288	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4398|146|299	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_5666|151|298	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_3116|147|300	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4393|140|293	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4401|146|299	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_7717|48|197	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_1518|99|252	1	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_4914|147|266	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_5104|149|300	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_9448|54|198	0	0	0	0	0	0	0	0	0	0
GCA_003313825|CDS_8625|152|305	0	0	0	0	0	0	0	0	0	0
GCA_002994785|CDS_4791|244|425	0	0	0	0	0	0	0	0	0	0
GCA_003316405|CDS_2517|1061|1203	1	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_7814|57|223	1	0	0	0	0	0	0	0	0	0
GCA_000516985|CDS_4058|325|495	1	0	0	1	0	0	0	0	0	0
GCA_001566295|CDS_8995|200|357	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_9107|107|263	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_4014|180|328	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_2069|93|250	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_2994|292|441	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_5343|57|214	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_5876|255|405	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_11455|110|228	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_6244|144|332	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_10973|20|177	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_11287|9|193	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_1989|281|437	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_10500|57|242	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_11196|57|209	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_7405|279|435	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_8111|59|215	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_3962|299|455	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_8180|274|458	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_6519|241|397	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_8621|10|194	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_5457|298|482	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_11534|10|172	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_8887|251|408	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_6698|246|432	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_8283|206|363	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_9133|53|210	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_10280|56|220	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_7559|203|376	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_5464|240|397	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_1157|284|471	1	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_1159|56|223	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_10110|247|415	0	0	0	0	0	0	0	0	0	0
GCA_003314395|CDS_1512|260|448	1	0	0	0	0	0	0	0	0	0
