DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	HET
FIELD_LABELS	Ank_2	NACHT	TPR_12	WD40	TPR_10	NB-ARC	Pkinase	Ank	Ank_4	ZZ
GCA_000226115|CDS_9710|96|245	0	0	0	0	0	0	0	0	0	0
GCA_001600455|CDS_3783|187|343	0	0	0	0	0	0	0	0	0	0
GCA_003012165|CDS_54|2|154	0	0	0	0	0	0	0	0	0	0
GCA_002798055|CDS_948|15|175	0	0	0	0	0	0	0	0	0	0
GCA_000516985|CDS_9900|220|377	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_9980|98|254	0	0	0	0	0	0	0	0	0	0
GCA_003012165|CDS_10559|260|423	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_13587|189|298	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_7939|80|147	0	0	0	0	0	0	0	0	0	0
GCA_001563115|CDS_10345|308|465	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_13125|210|355	0	0	0	0	0	0	0	0	0	0
GCA_027604725|CDS_3195|201|299	0	0	0	0	0	0	0	0	0	0
GCA_027596945|CDS_1642|211|316	0	0	0	0	0	0	0	0	0	0
GCA_027604365|CDS_11283|275|383	0	0	0	0	0	0	0	0	0	0
GCA_000354255|CDS_10253|1|96	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_2105|42|143	0	0	0	0	0	0	0	0	0	0
GCA_003671545|CDS_2971|76|216	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_3905|185|331	0	0	0	0	0	0	0	0	0	0
GCA_000146915|CDS_8292|224|383	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_5942|312|471	0	0	0	0	0	0	0	0	0	0
GCA_000226115|CDS_2741|64|161	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_5489|165|310	0	0	0	0	0	0	0	0	0	0
GCA_000146915|CDS_824|125|270	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_11329|120|274	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_17192|223|381	0	0	0	0	0	0	0	0	0	0
GCA_000738655|CDS_1248|177|334	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_10920|519|666	0	0	1	0	1	0	0	0	0	0
GCA_003988795|CDS_8795|271|430	0	0	0	0	0	0	0	0	0	0
GCA_001481775|CDS_5679|188|341	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_5209|102|206	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_13323|315|458	0	0	0	0	0	0	0	0	0	0
GCA_000836435|CDS_1810|110|263	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_16013|4|110	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_11372|28|126	0	0	0	0	0	0	0	0	0	0
GCA_000354255|CDS_5223|80|240	0	0	0	0	0	0	0	0	0	0
GCA_000467715|CDS_2510|561|706	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_14131|311|462	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_2595|256|394	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_13634|44|192	0	0	0	0	0	0	0	0	0	0
GCA_900465125|CDS_6283|24|130	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_5352|5|157	0	0	0	0	0	0	0	0	0	0
GCA_000354255|CDS_11194|32|179	0	0	0	0	0	0	0	0	0	0
GCA_001481775|CDS_11001|195|349	0	0	0	0	0	0	0	0	0	0
GCA_001692915|CDS_2510|128|280	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_13001|158|312	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_3198|232|383	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_4310|171|318	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_11869|202|358	0	0	0	0	0	0	0	0	0	0
GCA_001563115|CDS_8220|7|170	0	0	0	0	0	0	0	0	0	0
GCA_002368545|CDS_3902|43|198	0	0	0	0	0	0	0	0	0	0
GCA_003988945|CDS_5371|49|236	0	0	0	0	0	0	0	0	0	0
GCA_002240705|CDS_4504|48|224	0	0	0	0	0	0	0	0	0	0
GCA_900536445|CDS_7950|52|235	0	0	0	0	0	0	0	0	0	0
GCA_002081935|CDS_9269|41|221	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_3146|43|225	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_12906|47|222	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_1360|92|292	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_849|47|247	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_14532|189|239	0	0	0	0	0	0	0	0	0	0
GCA_001636725|CDS_2992|51|262	0	0	0	0	0	0	0	0	0	0
GCA_900290415|CDS_2720|101|302	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_8113|90|287	0	0	0	0	0	0	0	0	0	0
GCA_001604925|CDS_2802|91|231	0	0	0	0	0	0	0	0	0	0
GCA_001604925|CDS_2379|72|207	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_5315|56|204	0	0	0	0	0	0	0	0	0	0
GCA_000146915|CDS_8582|79|229	0	0	0	0	0	0	0	0	0	0
GCA_900536445|CDS_11477|44|220	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_10251|28|170	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_9130|50|246	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_16219|7|137	0	0	0	0	0	0	0	0	0	0
GCA_002368545|CDS_189|47|187	0	0	0	0	0	0	0	0	0	0
GCA_900618795|CDS_1106|55|156	0	0	0	0	0	0	0	0	0	0
GCA_002162545|CDS_7938|46|224	0	0	0	0	0	0	0	0	0	0
GCA_002162485|CDS_10544|46|227	0	0	0	0	0	0	0	0	0	0
GCA_003671545|CDS_7976|16|164	0	0	0	0	0	0	0	0	0	0
GCA_000836435|CDS_1184|59|193	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_6177|51|210	0	0	0	0	0	0	0	0	0	0
GCA_900290415|CDS_10783|47|203	0	0	0	0	0	0	0	0	0	0
GCA_002798055|CDS_906|39|217	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_13323|66|207	0	0	0	0	0	0	0	0	0	0
GCA_900465125|CDS_4255|53|200	0	0	0	0	0	0	0	0	0	0
GCA_002127715|CDS_1508|171|255	0	0	0	0	0	0	0	0	0	0
GCA_003313735|CDS_704|213|361	0	0	0	0	0	0	0	0	0	0
GCA_002127715|CDS_8718|158|326	0	0	0	0	0	0	0	0	0	0
GCA_002127715|CDS_13786|158|246	0	0	0	0	0	0	0	0	0	0
GCA_000349385|CDS_665|116|294	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_9001|51|188	0	0	0	0	0	0	0	0	0	0
GCA_001563115|CDS_13494|147|238	0	0	0	0	0	0	0	0	0	0
GCA_027603655|CDS_98|47|185	0	0	0	0	0	0	0	0	0	0
GCA_027604545|CDS_9295|47|121	0	0	0	0	0	0	0	0	0	0
GCA_027604725|CDS_9331|47|134	0	0	0	0	0	0	0	0	0	0
GCA_027603655|CDS_100|47|185	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_2358|39|94	0	0	0	0	0	0	0	0	0	0
GCA_000827215|CDS_28421|12|62	0	0	0	0	0	0	0	0	0	0
GCA_001481775|CDS_5498|126|250	0	0	0	0	0	0	0	0	0	0
GCA_000524645|CDS_7074|69|163	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_7627|55|216	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_1492|95|183	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_6934|70|196	0	0	0	0	0	0	0	0	0	0
GCA_000365145|CDS_8673|13|99	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_11952|68|274	0	0	0	0	0	0	0	0	0	0
GCA_000516985|CDS_11139|74|208	0	0	0	0	0	0	0	0	0	0
GCA_000516985|CDS_10118|310|458	0	0	0	0	0	0	0	0	0	0
GCA_900290415|CDS_9129|370|522	0	0	0	0	0	0	0	0	0	0
GCA_000963775|CDS_9001|330|481	0	0	0	0	0	0	0	0	0	0
GCA_000354255|CDS_11770|49|184	0	0	0	0	0	0	0	0	0	0
GCA_000934395|CDS_6934|45|167	0	0	0	0	0	0	0	0	0	0
GCA_000934395|CDS_6764|49|200	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_13398|42|124	0	0	0	0	0	0	0	0	0	0
GCA_000836435|CDS_4531|41|159	0	0	0	0	0	0	0	0	0	0
GCA_002240705|CDS_14009|43|164	0	0	0	0	0	0	0	0	0	0
GCA_002240705|CDS_8869|43|164	0	0	0	0	0	0	0	0	0	0
GCA_000836295|CDS_3675|36|120	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_8053|41|158	0	0	0	0	0	0	0	0	0	0
GCA_001692915|CDS_10978|41|158	0	0	0	0	0	0	0	0	0	0
GCA_003314125|CDS_1183|368|493	0	0	0	0	0	0	0	0	0	0
GCA_002989075|CDS_7916|45|150	0	0	0	0	0	0	0	0	0	0
GCA_000464535|CDS_7555|46|163	0	0	0	0	0	0	0	0	0	0
GCA_001599915|CDS_2986|54|158	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_9633|43|183	0	0	0	0	0	0	0	0	0	0
GCA_003988815|CDS_6425|42|169	0	0	0	0	0	0	0	0	0	0
GCA_000338955|CDS_940|38|139	0	0	0	0	0	0	0	0	0	0
GCA_003675405|CDS_9502|10|67	0	0	0	0	0	0	0	0	0	0
GCA_003314125|CDS_1183|20|102	0	0	0	0	0	0	0	0	0	0
GCA_000827215|CDS_1541|51|177	0	0	0	0	0	0	0	0	0	0
GCA_003675405|CDS_12230|40|131	0	0	0	0	0	0	0	0	0	0
GCA_001895945|CDS_6449|44|167	0	0	0	0	0	0	0	0	0	0
GCA_000611775|CDS_6316|51|162	0	0	0	0	0	0	0	0	0	0
GCA_004332605|CDS_9255|45|164	0	0	0	0	0	0	0	0	0	0
GCA_000464535|CDS_4587|196|330	0	0	0	0	0	0	0	0	0	0
GCA_003012165|CDS_3470|331|480	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_13901|132|246	0	0	0	0	0	0	0	0	0	0
GCA_900536445|CDS_7477|125|265	0	0	0	0	0	0	0	0	0	0
GCA_003019875|CDS_2985|136|276	0	0	0	0	0	0	0	0	0	0
GCA_003795315|CDS_7122|112|270	0	0	0	0	0	0	0	0	0	0
GCA_001447215|CDS_9737|104|202	0	0	0	0	0	0	0	0	0	0
GCA_001662655|CDS_3455|121|284	0	0	0	0	0	0	0	0	0	0
GCA_027604105|CDS_7954|233|437	0	0	0	0	0	0	0	0	0	0
GCA_027604085|CDS_4968|307|511	0	0	0	0	0	0	0	0	0	0
GCA_027604165|CDS_6445|307|511	0	0	0	0	0	0	0	0	0	0
GCA_027604745|CDS_5749|285|489	0	0	0	0	0	0	0	0	0	0
GCA_000516985|CDS_10272|52|219	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_8946|210|294	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_9357|171|263	0	0	0	0	0	0	0	0	0	0
GCA_900465125|CDS_284|10|133	0	0	0	0	0	0	0	0	0	0
GCA_002927785|CDS_1676|3|127	0	0	0	0	0	0	0	0	0	0
GCA_001557505|CDS_8109|153|279	0	0	0	0	0	0	0	0	0	0
GCA_000467715|CDS_5986|195|322	0	0	0	0	0	0	0	0	0	0
GCA_002081935|CDS_3325|18|114	0	0	0	0	0	0	0	0	0	0
GCA_900290415|CDS_7903|1|28	0	0	0	0	0	0	0	0	0	0
GCA_003988945|CDS_6828|242|346	0	0	0	0	0	0	0	0	0	0
GCA_003385255|CDS_4370|10|132	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_279|11|61	0	0	0	0	0	0	0	0	0	0
GCA_003012165|CDS_1230|3|111	0	0	0	0	0	0	0	0	0	0
GCA_001692915|CDS_9593|5|123	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_9563|3|67	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_9184|2|59	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_885|1307|1437	1	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_3445|2|114	0	0	0	0	0	0	0	0	0	0
GCA_000464535|CDS_4540|27|113	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_2990|11|167	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_6338|17|156	0	0	0	0	0	0	0	0	0	0
GCA_900290415|CDS_8708|9|149	0	0	0	0	0	0	0	0	0	0
GCA_000349385|CDS_9010|3|76	0	0	0	0	0	0	0	0	0	0
GCA_003049485|CDS_6048|3|113	0	0	0	0	0	0	0	0	0	0
GCA_000963775|CDS_15358|245|350	1	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_12837|15|141	0	0	0	0	0	0	0	0	0	0
GCA_000349385|CDS_6777|47|147	0	0	0	0	0	0	0	0	0	0
GCA_000261425|CDS_362|48|161	0	0	0	0	0	0	0	0	0	0
GCA_001600455|CDS_12616|35|151	0	0	0	0	0	0	0	0	0	0
GCA_001600455|CDS_392|35|144	0	0	0	0	0	0	0	0	0	0
GCA_000313525|CDS_953|172|270	0	0	0	0	0	0	0	0	0	0
GCA_000271625|CDS_5069|224|380	0	0	0	0	0	0	0	0	0	0
GCA_000766925|CDS_7578|87|179	0	0	0	0	0	0	0	0	0	0
GCA_000827475|CDS_7840|85|180	0	0	0	0	0	0	0	0	0	0
GCA_000271625|CDS_5157|2|94	0	0	0	0	0	0	0	0	0	0
GCA_000766925|CDS_7513|708|797	0	0	0	0	0	0	0	0	0	0
GCA_000766925|CDS_4509|65|157	0	0	0	0	0	0	0	0	0	0
GCA_000766925|CDS_5768|448|540	0	0	0	0	0	0	0	0	0	0
GCA_000827475|CDS_6742|155|247	0	0	0	0	0	0	0	0	0	0
GCA_000766925|CDS_5749|654|746	0	0	0	0	0	0	0	0	0	0
GCA_003313735|CDS_10328|169|271	0	0	0	0	0	0	0	0	0	0
GCA_003313735|CDS_4632|75|165	0	0	0	0	0	0	0	0	0	0
GCA_003313735|CDS_9831|299|387	0	0	0	0	0	0	0	0	0	0
GCA_003313735|CDS_9843|282|370	0	0	0	0	0	0	0	0	0	0
GCA_003313735|CDS_10675|210|330	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_17718|36|134	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_7965|22|111	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_16136|22|95	1	0	0	0	0	0	0	0	0	0
GCA_900536445|CDS_12609|26|115	0	1	0	1	0	0	0	0	0	0
GCA_002368545|CDS_7413|24|116	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_17588|39|139	0	0	0	0	0	0	0	0	0	0
GCA_000827475|CDS_13526|22|108	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_11318|43|141	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_13500|39|127	0	0	0	0	0	0	0	0	0	0
GCA_002127715|CDS_3385|22|110	0	0	0	0	0	0	0	0	0	0
GCA_900536445|CDS_5165|21|115	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_10598|1|94	0	0	0	0	0	0	0	0	0	0
GCA_001683735|CDS_6071|49|133	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_4205|22|94	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_16044|26|115	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_18639|24|112	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_2605|24|125	0	0	0	0	0	0	0	0	0	0
GCA_000827335|CDS_17025|38|132	0	0	0	0	0	0	0	0	0	0
GCA_001599595|CDS_2923|41|152	0	0	0	0	0	0	0	0	0	0
GCA_001600455|CDS_11637|23|123	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_2846|22|114	0	0	0	0	0	0	0	0	0	0
GCA_003012165|CDS_7436|38|146	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_1558|22|110	0	0	0	0	0	0	0	0	0	0
GCA_003988795|CDS_9681|22|108	0	0	0	0	0	0	0	0	0	0
GCA_000261425|CDS_6189|22|110	0	0	0	0	0	0	0	0	0	0
GCA_001563115|CDS_6022|23|111	0	0	0	0	0	0	0	0	0	0
GCA_000442125|CDS_5679|22|112	0	0	0	0	0	0	0	0	0	0
GCA_001683735|CDS_10396|59|149	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_9296|25|113	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_10296|26|120	0	0	0	0	0	0	0	0	0	0
GCA_000365145|CDS_8018|22|110	0	0	0	0	0	0	0	0	0	0
GCA_000365145|CDS_3775|28|120	0	0	0	0	0	0	0	0	0	0
GCA_001481775|CDS_4604|22|109	1	0	0	0	0	0	0	1	0	0
GCA_000827425|CDS_5433|39|145	0	0	0	0	0	0	0	0	0	0
GCA_003073855|CDS_17587|25|122	0	0	0	0	0	0	0	0	0	0
GCA_000738655|CDS_5474|22|111	0	0	0	0	0	0	0	0	0	0
GCA_000467715|CDS_7102|22|112	0	0	0	0	0	0	0	0	0	0
GCA_001956345|CDS_7222|22|165	0	0	0	0	0	0	0	0	0	0
GCA_001683735|CDS_2790|77|167	0	0	0	0	0	0	0	0	0	0
GCA_002105025|CDS_15378|22|109	0	0	0	0	0	0	0	0	0	0
GCA_002319055|CDS_2587|22|95	0	0	0	0	0	0	0	0	0	0
GCA_001683735|CDS_10513|23|105	0	0	0	0	0	0	0	0	0	0
GCA_003012165|CDS_5627|22|105	0	0	0	0	0	0	0	0	0	0
GCA_000385595|CDS_524|440|528	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_12090|25|114	0	0	1	0	0	1	0	0	0	0
GCA_002368545|CDS_1530|22|110	0	0	0	0	0	0	0	0	0	0
GCA_001692735|CDS_12557|21|144	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_2982|22|151	0	0	0	0	0	0	0	0	0	0
GCA_003313425|CDS_1862|25|114	0	0	1	0	1	1	0	0	0	0
GCA_900073065|CDS_7125|25|143	0	0	1	0	1	1	0	0	0	0
GCA_001563115|CDS_4830|31|119	0	0	0	0	0	0	0	0	0	0
GCA_003049485|CDS_7655|22|110	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_12952|29|124	0	0	0	0	0	0	0	0	0	0
GCA_002368545|CDS_3865|23|108	0	0	0	0	0	0	0	0	0	0
GCA_002319055|CDS_7153|22|159	0	0	0	0	0	0	0	0	0	0
GCA_001683735|CDS_6656|79|161	0	0	0	0	0	0	0	0	0	0
GCA_002798055|CDS_7833|22|147	0	0	0	0	0	0	0	0	0	0
GCA_001642045|CDS_12881|23|109	0	0	0	0	0	0	0	0	0	0
GCA_003988945|CDS_4442|22|111	0	0	0	0	0	0	0	0	0	0
GCA_000827335|CDS_18996|39|120	0	0	0	0	0	0	0	0	0	0
GCA_001481775|CDS_1153|20|111	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_11146|1|98	0	0	0	0	0	0	0	0	0	0
GCA_001683735|CDS_10519|250|331	0	0	0	0	0	0	0	0	0	0
GCA_002127715|CDS_3191|25|119	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_17826|40|141	0	0	0	0	0	0	0	0	0	0
GCA_000827335|CDS_3233|36|143	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_2452|39|143	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_9717|41|138	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_9745|39|133	0	0	0	0	0	0	0	0	0	0
GCA_001566295|CDS_13009|22|115	0	0	0	0	0	0	0	0	0	0
GCA_000442125|CDS_24|22|150	0	0	0	0	0	0	0	0	0	0
GCA_001683735|CDS_2793|23|114	0	0	0	0	0	0	0	0	0	0
GCA_000442125|CDS_1547|21|122	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_2622|39|149	0	0	0	0	0	0	0	0	0	0
GCA_002865625|CDS_5926|22|110	0	0	0	0	0	0	0	0	0	0
GCA_900465125|CDS_6992|22|116	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_11139|39|134	0	0	0	0	0	0	0	0	0	0
GCA_003016335|CDS_11624|22|164	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_8545|74|170	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_14116|22|109	0	0	0	0	0	0	0	0	0	0
GCA_001481775|CDS_3651|22|156	0	0	0	0	0	0	0	0	0	0
GCA_900073065|CDS_2692|22|113	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_2835|39|145	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_14343|44|151	0	0	0	0	0	0	0	0	0	0
GCA_000827425|CDS_14441|24|131	0	0	0	0	0	0	0	0	0	0
