Assembly_ID	Species	BGC_Count	Complete_BGC_Count	BGC_Sum	Genome_Size	BGC_Genome_Prop	Terpene_Prop	Metallophore_Prop	NRPS_Prop	PKS_Prop	NRPS_or_PKS	Complete_NRPS_or_PKS	NRPS_or_PKS_Sum	NRPS_or_PKS_Sum_Strict
GCA_003184705.1	NA	91	62	5755311	35995858	0.15988814601946702	0.14285714285714285	0.01098901098901099	0.4835164835164835	0.27472527472527475	60	42	4300429	3189476
GCA_001696595.2	NA	101	28	4751429	39571580	0.12007175351603348	0.12871287128712872	0.009900990099009901	0.4158415841584158	0.3465346534653465	68	19	3678935	2728303
GCA_002234965.2	NA	45	13	2265115	32352651	0.07001327340995951	0.2222222222222222	0.022222222222222223	0.4888888888888889	0.28888888888888886	30	8	1776012	1405983
GCA_009176345.1	NA	102	48	5822606	39394369	0.14780300199756977	0.16666666666666666	0.0	0.4215686274509804	0.3431372549019608	69	29	4251032	3355744
GCA_009193465.1	NA	68	28	3816026	33748253	0.11307329004556177	0.20588235294117646	0.0	0.4852941176470588	0.38235294117647056	49	19	2987398	2360165
GCA_009193525.1	NA	95	72	6283975	38321730	0.16397941846571124	0.15789473684210525	0.021052631578947368	0.42105263157894735	0.3473684210526316	64	49	4767703	3792002
GCA_009176405.1	NA	88	58	5623376	40831141	0.13772272491723903	0.17045454545454544	0.011363636363636364	0.375	0.3409090909090909	59	41	4217098	3401867
GCA_001511075.1	NA	73	72	4540048	40563817	0.11192358943932718	0.1917808219178082	0.0136986301369863	0.3561643835616438	0.3972602739726027	50	50	3533497	2846930
GCF_023601865.1	NA	105	62	6144677	37520616	0.16376802022653358	0.18095238095238095	0.0	0.42857142857142855	0.4	73	45	4785881	3885500
GCF_000002715.2	NA	45	41	3052546	27850641	0.10960415596897752	0.26666666666666666	0.022222222222222223	0.4444444444444444	0.4	31	28	2412809	2105070
GCF_000149645.3	NA	46	43	3156472	31368615	0.10062516308099673	0.1956521739130435	0.021739130434782608	0.5434782608695652	0.32608695652173914	34	31	2645449	2276211
GCF_000600275.1	NA	39	25	2171686	26075740	0.08328377257941673	0.23076923076923078	0.05128205128205128	0.38461538461538464	0.28205128205128205	24	15	1517638	1091253
GCA_003184685.1	NA	89	59	6148065	38512898	0.1596365196927014	0.14606741573033707	0.011235955056179775	0.5280898876404494	0.3707865168539326	67	43	5128701	4324052
GCF_002237265.1	NA	57	18	2709449	30945974	0.08755416778932212	0.17543859649122806	0.017543859649122806	0.45614035087719296	0.40350877192982454	43	11	2250534	1684170
GCF_013340325.1	NA	78	77	5620729	35047219	0.16037589173623162	0.2564102564102564	0.038461538461538464	0.5	0.46153846153846156	57	57	4764679	4169821
GCF_016861625.1	NA	82	82	5607559	37287723	0.15038620084149412	0.23170731707317074	0.036585365853658534	0.4634146341463415	0.4268292682926829	61	61	4767658	4026529
GCF_016861735.1	NA	38	38	2229184	29697343	0.07506341560590117	0.13157894736842105	0.05263157894736842	0.3684210526315789	0.42105263157894735	28	28	1769273	1274487
GCF_001890705.1	NA	59	56	3703852	34349148	0.10782951588784677	0.15254237288135594	0.0	0.4576271186440678	0.3389830508474576	41	38	2868932	2368273
GCF_001890905.1	NA	76	71	5486243	34978027	0.15684826934349386	0.17105263157894737	0.013157894736842105	0.5131578947368421	0.3026315789473684	53	49	4289534	3280574
GCF_018340605.1	NA	63	63	4688253	33269166	0.14091886162700923	0.15873015873015872	0.031746031746031744	0.5238095238095238	0.49206349206349204	52	52	4216090	3653200
GCF_001889945.1	NA	80	75	5430599	35651645	0.15232393904965674	0.175	0.0125	0.45	0.45	58	55	4369190	3769598
GCF_001078395.1	NA	63	62	4632435	32035478	0.1446032739077594	0.20634920634920634	0.031746031746031744	0.4603174603174603	0.42857142857142855	46	45	3802844	3454638
GCF_002847045.1	NA	52	37	3267456	27309638	0.11964479353406296	0.15384615384615385	0.0	0.4423076923076923	0.34615384615384615	34	23	2285802	2036907
GCF_003184535.1	NA	77	70	5118537	34789837	0.14712736366083004	0.22077922077922077	0.025974025974025976	0.4805194805194805	0.44155844155844154	57	53	4365271	3594045
GCF_003184745.1	NA	76	59	5376605	35840536	0.1500146370578833	0.14473684210526316	0.013157894736842105	0.5	0.3157894736842105	52	39	4142331	3285842
GCF_003184825.1	NA	91	70	6436215	36500514	0.17633217439074966	0.15384615384615385	0.01098901098901099	0.5054945054945055	0.34065934065934067	62	45	4960847	4021627
GCF_001890805.1	NA	39	31	2408184	27781411	0.08668328617290173	0.15384615384615385	0.02564102564102564	0.41025641025641024	0.358974358974359	29	24	1968636	1461384
GCF_003184545.1	NA	58	49	4048275	35606600	0.11369451169165268	0.1724137931034483	0.0	0.5	0.3448275862068966	41	34	3163212	2566841
GCF_001792695.1	NA	93	64	5674922	37408885	0.1516998434997461	0.13978494623655913	0.010752688172043012	0.46236559139784944	0.3225806451612903	62	39	4145789	3414301
GCF_003184585.1	NA	57	49	3804585	31063439	0.12247790722720688	0.12280701754385964	0.0	0.5263157894736842	0.24561403508771928	39	33	2809961	2075966
GCF_001890725.1	NA	70	68	4244143	31295010	0.1356172437714511	0.21428571428571427	0.014285714285714285	0.45714285714285713	0.38571428571428573	51	49	3466314	2810402
GCF_003184755.1	NA	87	81	6202504	35269699	0.17585928363040468	0.26436781609195403	0.022988505747126436	0.4482758620689655	0.4367816091954023	64	62	5181099	4472326
GCF_003184835.1	NA	94	82	6351286	36926566	0.17199774276329946	0.23404255319148937	0.031914893617021274	0.46808510638297873	0.425531914893617	70	62	5145896	4327171
GCF_003184525.1	NA	74	64	5082648	36719417	0.13841853752743405	0.20270270270270271	0.0	0.47297297297297297	0.40540540540540543	52	44	3952535	2774587
GCF_003369625.1	NA	75	75	4810201	44208281	0.10880769148205514	0.13333333333333333	0.013333333333333334	0.4266666666666667	0.41333333333333333	56	56	3923754	3066371
GCF_003184865.1	NA	82	60	5146820	34020472	0.15128596687312273	0.15853658536585366	0.0	0.5365853658536586	0.34146341463414637	63	44	4303117	3232123
GCF_009176365.1	NA	89	71	6044351	40141194	0.1505772598592857	0.1797752808988764	0.02247191011235955	0.39325842696629215	0.4606741573033708	65	49	4776152	3985338
GCF_003426965.1	NA	94	94	7035466	38719388	0.18170395668443934	0.1595744680851064	0.02127659574468085	0.4148936170212766	0.5212765957446809	74	74	5817649	5486520
GCF_018404265.1	NA	55	55	3533009	34281941	0.10305743773376193	0.2	0.01818181818181818	0.41818181818181815	0.43636363636363634	41	41	2921909	2617586
GCF_003184695.1	NA	93	61	6146653	37451358	0.16412363471572913	0.13978494623655913	0.010752688172043012	0.4838709677419355	0.3333333333333333	63	41	4637090	3797470
GCF_001890125.1	NA	67	61	4625885	33121003	0.1396662111953554	0.14925373134328357	0.0	0.4925373134328358	0.373134328358209	50	44	3856150	3316519
GCF_002849105.1	NA	97	97	7251691	37847960	0.19160057767974814	0.16494845360824742	0.020618556701030927	0.4742268041237113	0.4536082474226804	71	71	5791996	5042126
GCF_003344945.1	NA	86	77	5987013	37478041	0.15974722371428113	0.20930232558139536	0.011627906976744186	0.47674418604651164	0.45348837209302323	63	56	4922457	4097358
GCF_003184625.1	NA	81	65	5624911	35398163	0.15890403691287597	0.25925925925925924	0.024691358024691357	0.4691358024691358	0.4691358024691358	61	47	4709856	4213021
GCA_000986645.1	NA	35	1	1272197	25072554	0.05074062259473048	0.17142857142857143	0.0	0.4	0.37142857142857144	25	0	1033887	878872
GCF_003184765.1	NA	88	67	6406747	36442703	0.1758032876979515	0.14772727272727273	0.0	0.5	0.3522727272727273	63	47	5020364	4113311
GCF_003184785.1	NA	85	67	5533601	36080550	0.1533679780380288	0.1411764705882353	0.011764705882352941	0.5294117647058824	0.29411764705882354	59	45	4296275	3107095
GCF_003184925.1	NA	77	72	5614457	35658646	0.15745008938365188	0.2077922077922078	0.025974025974025976	0.5194805194805194	0.4675324675324675	61	58	4855505	4102964
GCF_010724455.1	NA	61	32	3238314	30055828	0.1077432969073419	0.18032786885245902	0.01639344262295082	0.4098360655737705	0.32786885245901637	42	20	2557781	2171935
GCF_003184845.1	NA	63	50	4259388	33425899	0.1274277768864197	0.23809523809523808	0.0	0.49206349206349204	0.36507936507936506	45	33	3319487	2303561
GCF_002846915.1	NA	30	29	1947854	27718211	0.07027343864291963	0.13333333333333333	0.0	0.43333333333333335	0.36666666666666664	21	21	1535919	1369730
