DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	CAZy_Homologs_Distinct
Boothiomyces_macroporosus_GCA_027604185	207
Neolecta_irregularis_DAH-3_GCA_001929475	171
Saccharomycopsis_malanga_GCA_004014935	283
Proliferodiscus_dingleyae_GCA_003988795	706
Morchella_conica_CCBAS932_GCA_003790465	556
Coprinopsis_cinerea_okayama7#130_GCA_000182895	558
Endocarpon_pusillum_Z07020_GCA_000464535	373
Dimargaris_cristalligena_GCA_003614675	220
Cyanodermella_asteris_GCA_900618795	554
Linnemannia_elongata_AG-77_GCA_001651415	403
Knoxdaviesia_proteae_GCA_001510565	435
Ogataea_trehaloabstinens_GCA_003706095	297
Baeospora_myosura_GCA_001179705	576
Coniochaeta_hoffmannii_GCA_002798055	639
Clonostachys_rosea_GCA_000963775	895
Powellomyces_hirtus_GCA_025526995	322
Lanzia_echinophila_GCA_000812885	555
Trigonopsis_vinaria_GCA_003706805	241
Catenaria_anguillulae_PL171_GCA_002102555	217
Hymenoscyphus_occultus_GCA_900536445	674
Elsinoe_australis_GCA_003013795	628
Ramicandelaber_brevisporus_GCA_025201865	234
Ramalina_peruviana_GCA_001956345	300
Zopfochytrium_polystomum_GCA_025765615	449
Phycomyces_blakesleeanus_NRRL_1555_-__GCA_001638985	434
Kappamyces_sp._JEL0680_GCA_027604405	157
Wickerhamomyces_ciferrii_GCA_000313485	318
Rhizophlyctis_rosea_GCA_027596075	447
Ramularia_coccinea_GCA_004155245	610
Rhizophlyctis_rosea_GCA_027596135	403
Blastocladiella_britannica_GCA_025349905	210
Chytriomyces_hyalinus_GCA_027604745	285
Drosophila_melanogaster_GCA_000001215	473
Wallemia_ichthyophaga_EXF-994_GCA_000400465	209
Chytriomyces_cf._hyalinus_JEL632_GCA_025435555	369
Hysterium_pulicare_CBS_123377_GCA_000467715	698
Periconia_macrospinosa_GCA_003073855	828
Pseudopyrenochaeta_lycopersici_GCA_003313425	823
Syncephalis_fuscata_GCA_025786725	270
Venturia_pyrina_ICMP_11032_GCA_000738655	650
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	369
Globomyces_pollinis-pini_GCA_025399215	317
Malassezia_vespertilionis_GCA_002818225	182
Chytriomyces_hyalinus_GCA_027604105	298
Phlyctochytrium_bullatum_GCA_027597005	238
Neurospora_sublineolata_FGSC_5508_GCA_000604185	438
Pecoramyces_ruminantium_GCA_000412615	615
Piptocephalis_cylindrospora_GCA_003614145	138
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	555
Trichophyton_mentagrophytes_GCA_003118255	381
Piromyces_sp._E2_GCA_002157105	531
Geranomyces_variabilis_GCA_025399175	322
Chlorencoelia_torta_GCA_003988815	549
Parastagonospora_nodorum_SN15_GCA_000146915	737
Boothiomyces_sp._JEL0866_GCA_027604345	202
Siphonaria_sp._JEL0065_GCA_027596065	326
Quaeritorhiza_haematococci_GCA_027596845	273
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	372
Ascosphaera_apis_ARSEF_7405_GCA_001636715	340
Phaeotremella_skinneri_GCA_001599695	368
Beverwykella_pulmonaria_GCA_001599595	794
Erysiphe_neolycopersici_GCA_003610855	324
Podochytrium_sp._JEL0797_GCA_027596195	273
Fimicolochytrium_jonesii_GCA_025526975	346
Pseudophaeomoniella_oleicola_GCA_003868215	546
Umbelopsis_isabellina_B7317_GCA_000697415	501
Umbilicaria_muehlenbergii_GCA_000611775	376
Calocera_viscosa_TUFC12733_GCA_001630345	488
Graphilbum_fragrans_GCA_001513895	570
Amorphotheca_resinae_ATCC_22711_GCA_003019875	506
Borealophlyctis_nickersoniae_GCA_027604605	296
Caulochytrium_protostelioides_GCA_003615045	200
Dinochytrium_kinnereticum_GCA_027604005	252
Saccharomyces_cerevisiae_S288C_GCA_000146045	288
Lobosporangium_transversale_GCA_002105155	344
Entophlyctis_helioformis_GCA_025526915	244
Paramyrothecium_roridum_GCA_003012165	888
Saksenaea_vasiformis_B4078_GCA_000697055	423
Cladochytrium_replicatum_GCA_025526935	508
Pseudogymnoascus_verrucosus_GCA_001662655	779
Phyllosticta_capitalensis_GCA_001604925	533
Sporopachydermia_lactativora_GCA_003705295	245
Priceomyces_medius_GCA_003705335	291
Zygosaccharomyces_bailii_CLIB_213_GCA_000442885	250
Nowakowskiella_sp._JEL0078_GCA_026955015	293
Gigaspora_rosea_GCA_003550325	391
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	701
