DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Key_Starship_Protein_Homologs
Gonapodya_prolifera_JEL478_GCA_001574975	228
Geranomyces_michiganensis_GCA_027602005	61
Gigaspora_rosea_GCA_003550325	98
Ascochyta_viciae-villosae_GCA_004335205	110
Rhizopus_microsporus_var._microsporus_GCA_002083745	64
Kappamyces_sp._JEL0680_GCA_027604405	63
Spizellomyces_punctatus_DAOM_BR117_GCA_000182565	72
Synchytrium_endobioticum_GCA_006535955	55
Spizellomyces_sp._'palustris'_GCA_006535965	70
Kappamyces_sp._JEL0829_GCA_027604465	62
Epichloe_elymi_GCA_002591845	52
Baeospora_myosura_GCA_001179705	66
Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	98
Backusella_circina_FSU_941_GCA_025399235	88
Neurospora_sublineolata_FGSC_5508_GCA_000604185	82
Amorphotheca_resinae_ATCC_22711_GCA_003019875	85
Oehlia_diaphana_GCA_003833135	60
Batrachochytrium_dendrobatidis_JAM81_GCA_000203795	46
Phaeotremella_skinneri_GCA_001599695	30
Smittium_simulii_GCA_003086735	37
Baudoinia_panamericana_UAMH_10762_GCA_000338955	113
Coelomomyces_lativittatus_GCA_026937265	30
Wickerhamomyces_ciferrii_GCA_000313485	43
Fonticula_alba_GCA_000388065	44
Lobosporangium_transversale_GCA_002105155	72
Syncephalis_pseudoplumigaleata_GCA_003614755	34
Cephaloascus_albidus_GCA_003706495	42
Allomyces_arbusculus_GCA_027604705	63
Aeminium_ludgeri_GCA_004216415	51
Ogataea_trehaloabstinens_GCA_003706095	34
Paramicrosporidium_saccamoebae_GCA_002794465	21
Zygosaccharomyces_bailii_CLIB_213_GCA_000442885	35
Yarrowia_lipolytica_CLIB122_GCA_000002525	44
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	28
Erysiphe_neolycopersici_GCA_003610855	30
Wallemia_ichthyophaga_EXF-994_GCA_000400465	25
Cystobasidiopsis_lactophilus_GCA_001599975	34
Linnemannia_elongata_AG-77_GCA_001651415	129
Schizosaccharomyces_pombe_GCA_000002945	23
Allomyces_javanicus_GCA_027604645	69
Piptocephalis_cylindrospora_GCA_003614145	19
Allomyces_macrogynus_ATCC_38327_GCA_000151295	110
Zygoascus_ofunaensis_GCA_003707925	36
Syncephalis_fuscata_GCA_025786725	42
Protomyces_lactucae-debilis_GCA_002105105	33
Saccharomyces_cerevisiae_S288C_GCA_000146045	36
Umbelopsis_ramanniana_AG_GCA_025399195	94
Phlyctochytrium_arcticum_GCA_025602905	78
Blastocladiella_britannica_GCA_025349905	70
Saccharomycopsis_malanga_GCA_004014935	33
Sporopachydermia_lactativora_GCA_003705295	33
Alloascoidea_hylecoeti_GCA_001600815	51
Kockiozyma_suomiensis_GCA_003705835	36
Ustilago_maydis_521_GCA_000328475	30
Metschnikowia_cubensis_GCA_002374405	34
Microbotryum_silenes-dioicae_GCA_900120095	39
Taphrina_wiesneri_JCM_22204_GCA_000836135	33
Ascosphaera_apis_ARSEF_7405_GCA_001636715	31
Mixia_osmundae_IAM_14324_GCA_000708205	30
Ascoidea_rubescens_DSM_1968_GCA_001661345	28
Phycomyces_blakesleeanus_NRRL_1555_-__GCA_001638985	51
Malassezia_vespertilionis_GCA_002818225	22
Erythrobasidium_yunnanense_GCA_001600175	39
Conidiobolus_coronatus_NRRL_28638_GCA_001566745	42
Priceomyces_medius_GCA_003705335	30
Syncephalastrum_racemosum_GCA_002105135	61
Tuber_melanosporum_GCA_000151645	43
Xylona_heveae_TC161_GCA_001619985	57
Basidiobolus_meristosporus_CBS_931.73_GCA_002104905	75
Calocera_viscosa_TUFC12733_GCA_001630345	54
Trigonopsis_vinaria_GCA_003706805	26
Pseudozyma_flocculosa_PF-1_GCA_000417875	30
Catenaria_anguillulae_PL171_GCA_002102555	102
Dimargaris_cristalligena_GCA_003614675	26
Blyttiomyces_helicus_GCA_003614705	76
Aureobasidium_subglaciale_EXF-2481_GCA_000721755	57
Ramicandelaber_brevisporus_GCA_025201865	22
_Candida__arabinofermentans_NRRL_YB-2248_GCA_001661425	30
Linderina_pennispora_GCA_002104995	40
Pseudomicrostroma_glucosiphilum_GCA_003144135	25
Martensiomyces_pterosporus_GCA_025201845	32
Mitosporidium_daphniae_GCA_000760515	8
Neoconidiobolus_thromboides_FSU_785_GCA_025603075	46
Caulochytrium_protostelioides_GCA_003615045	37
Hanseniaspora_guilliermondii_GCA_900119595	25
Coemansia_reversa_NRRL_1564_GCA_002705745	31
