DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	CAZy_Homologs
Boothiomyces_macroporosus_GCA_027604185	164
Neolecta_irregularis_DAH-3_GCA_001929475	116
Saccharomycopsis_malanga_GCA_004014935	226
Proliferodiscus_dingleyae_GCA_003988795	678
Morchella_conica_CCBAS932_GCA_003790465	504
Coprinopsis_cinerea_okayama7#130_GCA_000182895	545
Endocarpon_pusillum_Z07020_GCA_000464535	289
Dimargaris_cristalligena_GCA_003614675	172
Cyanodermella_asteris_GCA_900618795	471
Linnemannia_elongata_AG-77_GCA_001651415	372
Knoxdaviesia_proteae_GCA_001510565	334
Ogataea_trehaloabstinens_GCA_003706095	244
Baeospora_myosura_GCA_001179705	588
Coniochaeta_hoffmannii_GCA_002798055	575
Clonostachys_rosea_GCA_000963775	1003
Powellomyces_hirtus_GCA_025526995	259
Lanzia_echinophila_GCA_000812885	480
Trigonopsis_vinaria_GCA_003706805	176
Catenaria_anguillulae_PL171_GCA_002102555	194
Hymenoscyphus_occultus_GCA_900536445	655
Elsinoe_australis_GCA_003013795	558
Ramicandelaber_brevisporus_GCA_025201865	195
Ramalina_peruviana_GCA_001956345	227
Zopfochytrium_polystomum_GCA_025765615	422
Phycomyces_blakesleeanus_NRRL_1555_-__GCA_001638985	386
Kappamyces_sp._JEL0680_GCA_027604405	108
Wickerhamomyces_ciferrii_GCA_000313485	267
Rhizophlyctis_rosea_GCA_027596075	396
Ramularia_coccinea_GCA_004155245	551
Rhizophlyctis_rosea_GCA_027596135	344
Blastocladiella_britannica_GCA_025349905	165
Chytriomyces_hyalinus_GCA_027604745	239
Drosophila_melanogaster_GCA_000001215	431
Wallemia_ichthyophaga_EXF-994_GCA_000400465	159
Chytriomyces_cf._hyalinus_JEL632_GCA_025435555	369
Hysterium_pulicare_CBS_123377_GCA_000467715	670
Periconia_macrospinosa_GCA_003073855	877
Pseudopyrenochaeta_lycopersici_GCA_003313425	826
Syncephalis_fuscata_GCA_025786725	236
Venturia_pyrina_ICMP_11032_GCA_000738655	592
Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	296
Globomyces_pollinis-pini_GCA_025399215	280
Malassezia_vespertilionis_GCA_002818225	123
Chytriomyces_hyalinus_GCA_027604105	254
Phlyctochytrium_bullatum_GCA_027597005	198
Neurospora_sublineolata_FGSC_5508_GCA_000604185	326
Pecoramyces_ruminantium_GCA_000412615	786
Piptocephalis_cylindrospora_GCA_003614145	101
Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	523
Trichophyton_mentagrophytes_GCA_003118255	324
Piromyces_sp._E2_GCA_002157105	600
Geranomyces_variabilis_GCA_025399175	248
Chlorencoelia_torta_GCA_003988815	471
Parastagonospora_nodorum_SN15_GCA_000146915	663
Boothiomyces_sp._JEL0866_GCA_027604345	156
Siphonaria_sp._JEL0065_GCA_027596065	290
Quaeritorhiza_haematococci_GCA_027596845	218
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3_GCA_000149925	305
Ascosphaera_apis_ARSEF_7405_GCA_001636715	249
Phaeotremella_skinneri_GCA_001599695	287
Beverwykella_pulmonaria_GCA_001599595	781
Erysiphe_neolycopersici_GCA_003610855	239
Podochytrium_sp._JEL0797_GCA_027596195	248
Fimicolochytrium_jonesii_GCA_025526975	284
Pseudophaeomoniella_oleicola_GCA_003868215	487
Umbelopsis_isabellina_B7317_GCA_000697415	436
Umbilicaria_muehlenbergii_GCA_000611775	307
Calocera_viscosa_TUFC12733_GCA_001630345	426
Graphilbum_fragrans_GCA_001513895	497
Amorphotheca_resinae_ATCC_22711_GCA_003019875	436
Borealophlyctis_nickersoniae_GCA_027604605	240
Caulochytrium_protostelioides_GCA_003615045	146
Dinochytrium_kinnereticum_GCA_027604005	194
Saccharomyces_cerevisiae_S288C_GCA_000146045	222
Lobosporangium_transversale_GCA_002105155	296
Entophlyctis_helioformis_GCA_025526915	195
Paramyrothecium_roridum_GCA_003012165	1000
Saksenaea_vasiformis_B4078_GCA_000697055	365
Cladochytrium_replicatum_GCA_025526935	502
Pseudogymnoascus_verrucosus_GCA_001662655	766
Phyllosticta_capitalensis_GCA_001604925	453
Sporopachydermia_lactativora_GCA_003705295	173
Priceomyces_medius_GCA_003705335	226
Zygosaccharomyces_bailii_CLIB_213_GCA_000442885	185
Nowakowskiella_sp._JEL0078_GCA_026955015	229
Gigaspora_rosea_GCA_003550325	380
Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	602
