DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	reducing_support
GCA_000812075|scaffold_43.region001|T1PKS|FUN_002367_PKS_KS.1	7
GCA_003049485|scaffold_20.region001|T1PKS|FUN_001299_PKS_KS.1	7
GCA_001636725|NW_017387307.1.region001|T1PKS|ISF_03658_PKS_KS.1	7
GCA_002105095|NW_024467958.1.region003|T1PKS|BCR38DRAFT_422759_PKS_KS.1	4
GCA_002798055|scaffold_114.region001|T1PKS|FUN_003775_PKS_KS.1	6
GCA_000226115|NC_016459.1.region002|T1PKS|THITE_132390_PKS_KS.1	5
GCA_900290415|LR026968.1.region008|T1PKS|PODCO_507530_PKS_KS.1	5
GCA_000182925|scaffold_7.region004|T1PKS|FUN_008689_PKS_KS.1	6
GCA_001481775|NW_020171342.1.region004|T1PKS|TGAM01_v202230_PKS_KS.1	7
GCA_002591845|scaffold_66.region001|T1PKS|FUN_003707_PKS_KS.1	6
GCA_003385255|scaffold_267.region001|T1PKS|FUN_008366_PKS_KS.1	7
GCA_002916505|scaffold_113.region001|T1PKS|FUN_004149_PKS_KS.1	7
GCA_002591845|scaffold_26.region001|T1PKS|FUN_001890_PKS_KS.1	7
GCA_000732205|scaffold_1.region009|T1PKS|FUN_002047_PKS_KS.1	7
GCA_900465125|scaffold_63.region001|T1PKS|FUN_008312_PKS_KS.1	7
GCA_002105095|NW_024467963.1.region003|T1PKS|BCR38DRAFT_410325_PKS_KS.1	7
GCA_001557505|scaffold_5.region006|T1PKS|FUN_006734_PKS_KS.1	7
GCA_001513895|scaffold_12.region001|T1PKS|FUN_004230_PKS_KS.1	7
GCA_000516985|NW_006917094.1.region001|T1PKS|PFICI_06068_PKS_KS.1	9
GCA_003795315|LKEA01000029.1.region001|T1PKS|VMCG_06949_PKS_KS.1	7
GCA_003019895|KZ678481.1.region001|T1PKS|BD289DRAFT_371458_PKS_KS.1	7
GCA_003264845|scaffold_57.region001|T1PKS|FUN_005975_PKS_KS.1	7
GCA_003671545|scaffold_247.region001|T1PKS|FUN_011176_PKS_KS.1	7
GCA_003671545|scaffold_247.region001|T1PKS|FUN_011195_PKS_KS.1	7
GCA_001604925|scaffold_24.region001|T1PKS|FUN_001106_PKS_KS.1	7
GCA_000385595|KB915896.1.region001|T1PKS|UCRNP2_2096_PKS_KS.1	7
GCA_003988945|scaffold_486.region001|T1PKS|FUN_009326_PKS_KS.1	7
GCA_900536445|scaffold_229.region001|T1PKS|FUN_008324_PKS_KS.1	7
GCA_900073065|FJOG01000007.1.region004|T1PKS|PAC_06141_PKS_KS.1	7
GCA_003988795|scaffold_6.region001|T1PKS|FUN_002943_PKS_KS.1	7
GCA_003988815|scaffold_26.region001|T1PKS|FUN_005480_PKS_KS.1	6
GCA_000812885|scaffold_191.region001|T1PKS|FUN_001690_PKS_KS.1	7
GCA_001692915|KV748582.1.region001|T1PKS|AOQ84DRAFT_331186_PKS_KS.1	7
GCA_900073065|FJOG01000028.1.region001|T1PKS|PAC_14645_PKS_KS.1	6
GCA_003988945|scaffold_5.region001|T1PKS|FUN_000350_PKS_KS.1	6
GCA_900073065|FJOG01000001.1.region002|T1PKS|PAC_00310_PKS_KS.1	7
GCA_002162545|scaffold_17.region001|T1PKS|FUN_005498_PKS_KS.1	6
GCA_000812885|scaffold_524.region001|T1PKS|FUN_003520_PKS_KS.1	5
GCA_001642045|NW_017253365.1.region003|T1PKS|CC84DRAFT_1147778_PKS_KS.1	7
GCA_001599595|scaffold_3.region002|T1PKS|FUN_003707_PKS_KS.1	7
GCA_000146915|scaffold_18.region002|T1PKS|FUN_007779_PKS_KS.1	6
GCA_900465125|scaffold_1.region003|T1PKS|FUN_000437_PKS_KS.1	4
GCA_000498615|scaffold_233.region001|T1PKS|FUN_004480_PKS_KS.1	6
GCA_004335205|scaffold_246.region001|T1PKS|FUN_007382_PKS_KS.1	6
GCA_000146915|scaffold_18.region002|T1PKS|FUN_007778_PKS_KS.1	6
GCA_003016335|KZ678145.1.region001|T1PKS|BS50DRAFT_562674_PKS_KS.1	6
GCA_003016335|KZ678134.1.region002|T1PKS|BS50DRAFT_492303_PKS_KS.1	6
GCA_003073855|KZ805335.1.region001|T1PKS|DM02DRAFT_698803_PKS_KS.1	7
GCA_001642045|NW_017253360.1.region006|T1PKS|CC84DRAFT_1133914_PKS_KS.1	7
GCA_000467715|scaffold_449.region001|T1PKS|FUN_011609_PKS_KS.1	6
GCA_001599595|scaffold_10.region002|T1PKS|FUN_009882_PKS_KS.1	7
GCA_002105025|MCFA01000008.1.region002|T1PKS|BCR34DRAFT_504888_PKS_KS.1	6
GCA_001557505|scaffold_7.region001|T1PKS|FUN_008096_PKS_KS.1	7
GCA_900465125|scaffold_1.region003|T1PKS|FUN_000436_PKS_KS.1	4
GCA_001510565|scaffold_7.region001|T1PKS|FUN_002269_PKS_KS.1	0
GCA_000812075|scaffold_115.region001|T1PKS|FUN_004663_PKS_KS.1	7
GCA_000732205|scaffold_2.region005|T1PKS|FUN_004051_PKS_KS.1	9
GCA_001557505|scaffold_2.region002|T1PKS|FUN_001868_PKS_KS.1	7
GCA_003264845|scaffold_81.region001|T1PKS|FUN_007210_PKS_KS.1	2
GCA_003019895|KZ678543.1.region001|T1PKS|BD289DRAFT_76888_PKS_KS.1	4
GCA_003671545|scaffold_145.region001|T1PKS|FUN_008916_PKS_KS.1	5
GCA_003049485|scaffold_578.region001|T1PKS|FUN_010470_PKS_KS.1	5
GCA_003012165|scaffold_51.region001|T1PKS|FUN_002252_PKS_KS.1	7
GCA_002105095|NW_024467973.1.region001|T1PKS|BCR38DRAFT_354168_PKS_KS.1	6
GCA_001447215|scaffold_318.region001|T1PKS|FUN_009649_PKS_KS.1	4
GCA_001563115|JEMN01001069.1.region001|T1PKS|CNYM01_05901_PKS_KS.1	7
GCA_002798055|scaffold_285.region001|T1PKS|FUN_006800_PKS_KS.1	6
GCA_000182925|scaffold_7.region003|T1PKS|FUN_008455_PKS_KS.1	7
GCA_000604185|scaffold_183.region001|T1PKS|FUN_004476_PKS_KS.1	3
GCA_000226115|NC_016457.1.region010|T1PKS|THITE_123823_PKS_KS.1	6
GCA_003049485|scaffold_101.region001|T1PKS|FUN_004438_PKS_KS.1	6
GCA_002778095|scaffold_2.region001|T1PKS|FUN_002627_PKS_KS.1	6
GCA_002105095|NW_024467962.1.region001|T1PKS|BCR38DRAFT_343024_PKS_KS.1	7
GCA_000349385|KB707371.1.region001|T1PKS|UCREL1_10251_PKS_KS.1	7
GCA_000516985|NW_006917098.1.region002|T1PKS|PFICI_10987_PKS_KS.1	7
GCA_001600455|scaffold_1.region003|T1PKS|FUN_000513_PKS_KS.1	7
GCA_002081935|scaffold_100.region001|T1PKS|FUN_004563_PKS_KS.1	6
GCA_002989075|scaffold_1.region001|T1PKS|FUN_000538_PKS_KS.1	7
GCA_000721755|NW_013566965.1.region001|T1PKS|AUEXF2481DRAFT_69934_PKS_KS.1	7
GCA_900618795|scaffold_2.region006|T1PKS|FUN_001787_PKS_KS.1	7
GCA_001270325|scaffold_2.region004|T1PKS|FUN_001611_PKS_KS.1	7
GCA_003990805|scaffold_6.region001|T1PKS|FUN_006971_PKS_KS.1	7
GCA_002572855|PDND01000060.1.region001|T1PKS|GX50_03632_PKS_KS.1	10
GCA_001270325|scaffold_47.region001|T1PKS|FUN_009759_PKS_KS.1	7
GCA_000349385|KB707649.1.region001|T1PKS|UCREL1_11730_PKS_KS.1	7
GCA_003019875|NW_020194471.1.region002|T1PKS|M430DRAFT_47039_PKS_KS.1	7
GCA_003184365|scaffold_193.region001|T1PKS|FUN_011545_PKS_KS.1	7
GCA_003184365|scaffold_166.region001|T1PKS|FUN_011085_PKS_KS.1	7
GCA_001600455|scaffold_7.region005|T1PKS|FUN_009595_PKS_KS.1	6
GCA_003073855|KZ805345.1.region002|T1PKS|DM02DRAFT_702495_PKS_KS.1	5
GCA_000464535|NW_006913436.1.region001|T1PKS|EPUS_06484_PKS_KS.1	8
GCA_001566295|KQ964249.1.region001|T1PKS|Micbo1qcDRAFT_224372_PKS_KS.1	6
GCA_001600455|scaffold_1.region009|T1PKS|FUN_001557_PKS_KS.1	5
GCA_000721755|NW_013566985.1.region001|T1PKS|AUEXF2481DRAFT_29326_PKS_KS.1	6
GCA_000146915|scaffold_7.region002|T1PKS|FUN_003423_PKS_KS.1	5
GCA_900290415|LR026968.1.region005|T1PKS|PODCO_503750_PKS_KS.1	5
GCA_000963775|scaffold_119.region001|T1PKS|FUN_014576_PKS_KS.1	6
GCA_000442125|scaffold_9.region001|T1PKS|FUN_005622_PKS_KS.1	7
GCA_003184365|scaffold_178.region001|T1PKS|FUN_011303_PKS_KS.1	7
GCA_001956345|scaffold_324.region001|T1PKS|FUN_005338_PKS_KS.1	7
GCA_001956345|scaffold_47.region001|T1PKS|FUN_002356_PKS_KS.1	7
GCA_003184365|scaffold_2.region003|T1PKS|FUN_000384_PKS_KS.1	6
GCA_002927785|scaffold_56.region001|T1PKS|FUN_001666_PKS_KS.1	7
GCA_003184365|scaffold_31.region001|T1PKS|FUN_004387_PKS_KS.1	7
GCA_001270325|scaffold_64.region001|T1PKS|FUN_010135_PKS_KS.1	5
GCA_003795315|LKEA01000030.1.region002|T1PKS|VMCG_07540_PKS_KS.1	6
GCA_003671545|scaffold_215.region001|T1PKS|FUN_010590_PKS_KS.1	7
GCA_003073855|KZ805555.1.region001|T1PKS|DM02DRAFT_694285_PKS_KS.1	6
GCA_002989075|scaffold_3.region003|T1PKS|FUN_002773_PKS_KS.1	7
GCA_000963775|scaffold_27.region001|T1PKS|FUN_008095_PKS_KS.1	6
GCA_003574815|scaffold_1.region004|T1PKS|FUN_000657_PKS_KS.1	6
GCA_000392275|NW_006921048.1.region001|T1PKS|UCRPA7_1968_PKS_KS.1	6
GCA_003574815|scaffold_39.region001|T1PKS|FUN_009585_PKS_KS.1	6
GCA_001599595|scaffold_5.region006|T1PKS|FUN_006163_PKS_KS.1	6
GCA_003574815|scaffold_62.region001|T1PKS|FUN_010028_PKS_KS.1	5
GCA_000812075|scaffold_194.region001|T1PKS|FUN_006341_PKS_KS.1	9
GCA_001513895|scaffold_7.region002|T1PKS|FUN_002908_PKS_KS.1	6
GCA_003868215|scaffold_87.region001|T1PKS|FUN_008621_PKS_KS.1	5
GCA_000464535|NW_006916062.1.region001|T1PKS|EPUS_01003_PKS_KS.1	5
GCA_001956345|scaffold_3.region001|T1PKS|FUN_000381_PKS_KS.1	6
GCA_003049485|scaffold_95.region001|T1PKS|FUN_004292_PKS_KS.1	4
GCA_000812075|scaffold_93.region001|T1PKS|FUN_004116_PKS_KS.1	6
GCA_002081935|scaffold_96.region001|T1PKS|FUN_004441_PKS_KS.1	5
GCA_000442125|scaffold_15.region002|T1PKS|FUN_008128_PKS_KS.1	6
GCA_003264845|scaffold_5.region002|T1PKS|FUN_001224_PKS_KS.1	5
GCA_001662655|NW_017263652.1.region001|T1PKS|VE01_00368_PKS_KS.1	6
GCA_000182925|scaffold_3.region002|T1PKS|FUN_003603_PKS_KS.1	5
GCA_000226115|NC_016458.1.region003|T1PKS|THITE_2088794_PKS_KS.1	5
GCA_900290415|LR026966.1.region001|T1PKS|PODCO_301990_PKS_KS.1	5
GCA_000385595|KB915668.1.region001|T1PKS|UCRNP2_161_PKS_KS.1	7
GCA_001599595|scaffold_9.region001|T1PKS|FUN_008921_PKS_KS.1	7
GCA_000354255|NW_014024926.1.region001|T1PKS|COCC4DRAFT_139661_PKS_KS.1	7
GCA_004335205|scaffold_103.region001|T1PKS|FUN_004560_PKS_KS.1	6
GCA_000721755|NW_013566971.1.region001|T1PKS|AUEXF2481DRAFT_8064_PKS_KS.1	6
GCA_003988945|scaffold_11.region002|T1PKS|FUN_000772_PKS_KS.1	6
GCA_002105025|MCFA01000146.1.region001|T1PKS|BCR34DRAFT_70191_PKS_KS.1	7
GCA_001692915|KV750176.1.region001|T1PKS|AOQ84DRAFT_379127_PKS_KS.1	6
GCA_002105025|MCFA01000154.1.region001|T1PKS|BCR34DRAFT_79322_PKS_KS.1	7
GCA_000385595|KB916334.1.region001|T1PKS|UCRNP2_5886_PKS_KS.1	6
GCA_002927785|scaffold_569.region001|T1PKS|FUN_007852_PKS_KS.1	6
GCA_003671545|scaffold_88.region001|T1PKS|FUN_006691_PKS_KS.1	5
GCA_002081935|scaffold_99.region001|T1PKS|FUN_004531_PKS_KS.1	0
GCA_000721755|NW_013566992.1.region001|T1PKS|AUEXF2481DRAFT_62731_PKS_KS.1	6
GCA_000721755|NW_013566947.1.region001|T1PKS|AUEXF2481DRAFT_71742_PKS_KS.1	6
GCA_001447215|scaffold_79.region001|T1PKS|FUN_004226_PKS_KS.1	6
GCA_002081935|scaffold_218.region001|T1PKS|FUN_007523_PKS_KS.1	7
GCA_004000055|SAEB01000001.1.region001|T1PKS|DFL_000077_PKS_KS.1	6
GCA_000516985|NW_006917106.1.region001|T1PKS|PFICI_15221_PKS_KS.1	6
GCA_001481775|NW_020171383.1.region001|T1PKS|TGAM01_v209408_PKS_KS.1	7
GCA_000349385|KB707568.1.region001|T1PKS|UCREL1_11388_PKS_KS.1	5
GCA_002865625|KZ613498.1.region001|T1PKS|NA56DRAFT_680997_PKS_KS.1	5
GCA_003574815|scaffold_28.region001|T1PKS|FUN_008575_PKS_KS.1	6
GCA_000516985|NW_006917095.1.region003|T1PKS|PFICI_07942_PKS_KS.1	12
GCA_001956345|scaffold_504.region001|T1PKS|FUN_006115_PKS_KS.1	4
GCA_002081935|scaffold_279.region001|T1PKS|FUN_008605_PKS_KS.1	3
GCA_000349385|KB706138.1.region001|T1PKS|UCREL1_3935_PKS_KS.1	4
GCA_003990805|scaffold_1.region005|T1PKS|FUN_002173_PKS_KS.1	6
GCA_003868215|scaffold_3.region002|T1PKS|FUN_001073_PKS_KS.1	5
GCA_000963775|scaffold_164.region001|T1PKS|FUN_015542_PKS_KS.1	6
GCA_001557505|scaffold_4.region001|T1PKS|FUN_004444_PKS_KS.1	6
GCA_003988795|scaffold_8.region004|T1PKS|FUN_004231_PKS_KS.1	6
GCA_003264845|scaffold_83.region001|T1PKS|FUN_007330_PKS_KS.1	7
GCA_003019895|KZ678551.1.region001|T1PKS|BD289DRAFT_462782_PKS_KS.1	6
GCA_000226115|NC_016459.1.region001|T1PKS|THITE_125678_PKS_KS.1	6
GCA_001447215|scaffold_128.region001|T1PKS|FUN_005761_PKS_KS.1	6
GCA_004155245|scaffold_17.region002|T1PKS|FUN_006978_PKS_KS.1	7
GCA_001563115|JEMN01000491.1.region001|T1PKS|CNYM01_00149_PKS_KS.1	5
GCA_000146915|scaffold_4.region001|T1PKS|FUN_001863_PKS_KS.1	5
GCA_003988795|scaffold_15.region002|T1PKS|FUN_006325_PKS_KS.1	5
GCA_003016335|KZ678139.1.region002|T1PKS|BS50DRAFT_612336_PKS_KS.1	6
GCA_900465125|scaffold_10.region001|transAT-PKS|FUN_003089_PKS_KS.1	3
GCA_003795315|LKEA01000025.1.region002|T1PKS|VMCG_06763_PKS_KS.1	6
GCA_003671545|scaffold_338.region001|T1PKS|FUN_012349_PKS_KS.1	6
GCA_003019895|KZ678622.1.region001|T1PKS|BD289DRAFT_486199_PKS_KS.1	6
GCA_001447215|scaffold_327.region001|T1PKS|FUN_009784_PKS_KS.1	6
GCA_001447215|scaffold_198.region001|T1PKS|FUN_007544_PKS_KS.1	7
GCA_000498615|scaffold_205.region001|T1PKS|FUN_004133_PKS_KS.1	6
GCA_000836435|NW_015971638.1.region001|T1PKS|Z520_02945_PKS_KS.1	8
GCA_003016335|KZ678134.1.region006|T1PKS|BS50DRAFT_676305_PKS_KS.1	6
GCA_003988945|scaffold_71.region001|T1PKS|FUN_003342_PKS_KS.1	5
GCA_900536445|scaffold_30.region001|T1PKS|FUN_002123_PKS_KS.1	8
GCA_002778095|scaffold_6.region002|T1PKS|FUN_006746_PKS_KS.1	6
GCA_001563115|JEMN01001012.1.region001|T1PKS|CNYM01_05865_PKS_KS.1	6
GCA_003795315|LKEA01000049.1.region002|T1PKS|VMCG_08954_PKS_KS.1	7
GCA_003016335|KZ678134.1.region004|T1PKS|BS50DRAFT_676138_PKS_KS.1	7
GCA_003118255|BFBS01016457.1.region001|T1PKS|TMEN_7818_PKS_KS.1	6
GCA_001662655|NW_017263673.1.region001|T1PKS|VE01_05304_PKS_KS.1	7
GCA_003012165|scaffold_102.region001|T1PKS|FUN_003726_PKS_KS.1	6
GCA_000836435|NW_015971635.1.region003|T1PKS|Z520_00801_PKS_KS.1	6
GCA_027602005|JADGJO010000061.1.region001|T1PKS|HDU86_006690_PKS_KS.1	1
GCA_003073855|KZ805347.1.region001|T1PKS|DM02DRAFT_560330_PKS_KS.1	5
GCA_900465125|scaffold_40.region001|T1PKS|FUN_007069_PKS_KS.1	2
GCA_003574815|scaffold_3.region001|T1PKS|FUN_001767_PKS_KS.1	4
GCA_900290415|LR026965.1.region003|T1PKS|PODCO_207310_PKS_KS.1	3
GCA_004335205|scaffold_126.region001|T1PKS|FUN_005153_PKS_KS.1	1
GCA_002105025|MCFA01000010.1.region001|T1PKS|BCR34DRAFT_474358_PKS_KS.1	7
GCA_003574815|scaffold_1.region005|T1PKS|FUN_000743_PKS_KS.1	2
GCA_900073065|FJOG01000015.1.region001|T1PKS|PAC_10078_PKS_KS.1	1
GCA_000338955|NW_006911257.1.region001|T1PKS|BAUCODRAFT_144102_PKS_KS.1	4
GCA_000467715|scaffold_199.region001|T1PKS|FUN_008386_PKS_KS.1	5
GCA_003073855|KZ805335.1.region002|T1PKS|DM02DRAFT_268045_PKS_KS.1	3
GCA_027602005|JADGJO010000061.1.region001|T1PKS|HDU86_006690_PKS_KS.2	1
GCA_001642045|NW_017253373.1.region001|T1PKS|CC84DRAFT_1222620_PKS_KS.1	4
GCA_000467715|scaffold_133.region001|T1PKS|FUN_006713_PKS_KS.1	3
GCA_001600455|scaffold_7.region006|T1PKS|FUN_009770_PKS_KS.1	5
GCA_003988795|scaffold_8.region004|T1PKS|FUN_004260_PKS_KS.1	6
GCA_002240705|scaffold_1514.region001|T1PKS|FUN_007717_PKS_KS.1	2
GCA_900618795|scaffold_12.region001|T1PKS|FUN_007446_PKS_KS.1	3
GCA_002927785|scaffold_141.region001|T1PKS|FUN_003407_PKS_KS.1	3
GCA_000225545|NW_011645772.1.region002|T1PKS|AOL_s00215g283_PKS_KS.1	3
GCA_004000055|SAEB01000003.1.region002|T1PKS|DFL_002601_PKS_KS.1	3
GCA_003184365|scaffold_63.region001|T1PKS|FUN_007071_PKS_KS.1	2
GCA_000516985|NW_006917100.1.region008|T1PKS|PFICI_12928_PKS_KS.1	2
GCA_000146915|scaffold_1.region003|T1PKS|FUN_000350_PKS_KS.1	2
GCA_000498615|scaffold_485.region001|T1PKS|FUN_006850_PKS_KS.1	2
GCA_003313425|scaffold_13.region001|T1PKS|FUN_006511_PKS_KS.1	2
GCA_004335205|scaffold_372.region001|T1PKS|FUN_008647_PKS_KS.1	2
GCA_000354255|NW_014024921.1.region001|T1PKS|COCC4DRAFT_25350_PKS_KS.1	1
GCA_000354255|NW_014024921.1.region001|T1PKS|COCC4DRAFT_143858_PKS_KS.1	1
