variant	af	filter-pvalue	lrt-pvalue	beta	key BGC proportion	BGC found proportion	eggnog annotations	Annotation	Annotation Category	eggnog cogs	Notes
HOG0029940	2.50E-01	2.76E-06	4.17E-06	7.55E-01	0.00%	13.16%	Glycoside hydrolase family 20 protein=13; Glycosyl hydrolase family 20, domain 2=5; Hydrolase=5; beta-N-hexosaminidase=4; Glycosyl hydrolase family 20=3; Glycosyl hydrolase family 20, catalytic domain=2; Glycoside hydrolase=2	Glycoside hydrolase family 20 protein	Carbohydrate utilization	G=34	
HOG0001200	2.20E-01	2.70E-09	3.18E-08	8.98E-01	15.09%	15.09%	cytochrome P450=24; Cytochrome p-450=8; Belongs to the cytochrome P450 family=7; cytochrome p450=4; Cytochrome P450=4; Fungal specific transcription factor domain=1	cytochrome P450	Cytochrome	Q=47; I=9; K=1	
HOG0007539	5.23E-01	2.77E-14	3.93E-07	7.94E-01	10.87%	12.50%	Belongs to the cytochrome P450 family=102; Cytochrome P450=23; -=13; iron ion binding=6; Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily=2; cytochrome P450 family=2	Belongs to the cytochrome P450 family	Cytochrome	Q=129; -=13; C=6	
HOG0025711	4.47E-01	8.30E-14	2.04E-06	7.04E-01	21.91%	23.03%	Cytochrome p-450=63; Cytochrome P450=53; Belongs to the cytochrome P450 family=31; cytochrome P450=14; cytochrome P-450=7; iron ion binding=2; isomerase activity=1	Cytochrome p-450	Cytochrome	Q=170; I=20; S=1	
HOG0001359	4.32E-01	1.52E-13	2.51E-08	8.43E-01	0.30%	6.40%	Heterokaryon incompatibility protein (HET)=208; -=11; Heterokaryon incompatibility protein=7; Ankyrin repeat and SAM domain containing protein 6=5; protein localization to T-tubule=4; Ankyrin repeat and sam domain containing protein 6=4; Fungal protein of unknown function (DUF1752)=2; HET domain-containing protein=1; Pfam:RRM_6=1; HET domain protein=1	Heterokaryon incompatibility protein (HET)	Het	S=223; -=11; M=9; A=1	
HOG0001363	4.32E-01	3.47E-15	6.03E-07	7.42E-01	0.00%	6.97%	Heterokaryon incompatibility protein (HET)=70; Ankyrin and HET domain protein=11; Heterokaryon incompatibility protein=3; -=2; HET domain-containing protein=2; Ankyrin and HET=2; Ankyrin and het domain protein=2; Ankyrin repeats (many copies)=1; protein localization to T-tubule=1; Ankyrin repeat and sam domain containing protein 6=1	Heterokaryon incompatibility protein (HET)	Het	S=88; M=5; -=2	
HOG0024212	4.32E-01	5.39E-11	9.98E-07	6.80E-01	0.00%	10.86%	Heterokaryon incompatibility protein (HET)=32; HET domain protein=23; -=21; Het domain protein=5; Mycolic acid cyclopropane synthetase=1	Heterokaryon incompatibility protein (HET)	Het	S=60; -=21; I=1	
HOG0028069	3.48E-01	6.85E-13	2.18E-10	8.37E-01	0.00%	6.03%	-=96; Methyltransferase domain=4; cytidylate kinase activity=1	-	Hypothetical / other	-=96; E=4; F=1	
HOG0041348	6.06E-02	2.26E-05	2.93E-10	1.51E+00	0.00%	7.69%	-=4	-	Hypothetical / other	-=4	
HOG0027334	3.48E-01	3.38E-14	4.20E-10	8.77E-01	95.42%	96.18%	Domain of unknown function (DUF3328)=86; Encoded by=25; iron ion binding=3; -=3; Cytochrome P450=1	Domain of unknown function (DUF3328)	Hypothetical / other	S=111; Q=4; -=3	
HOG0040539	9.09E-02	6.30E-06	5.05E-10	1.25E+00	0.00%	35.71%	-=2	-	Hypothetical / other	-=2	
HOG0031919	2.35E-01	3.06E-10	2.00E-09	8.76E-01	0.00%	7.27%	-=47	-	Hypothetical / other	-=47	
HOG0024285	3.86E-01	2.75E-14	2.92E-09	8.27E-01	0.00%	18.31%	NAD(P)H-binding=64; NmrA-like family=1	NAD(P)H-binding	Hypothetical / other	S=64; G=1; M=1	
HOG0029548	1.74E-01	2.31E-07	3.04E-09	9.66E-01	0.00%	9.78%	Kinetochore Sim4 complex subunit FTA2=72	Kinetochore Sim4 complex subunit FTA2	Hypothetical / other	S=69; T=3	
HOG0027491	3.56E-01	5.17E-12	3.12E-09	8.10E-01	0.00%	11.63%	-=40; Heterokaryon incompatibility protein (HET)=1	-	Hypothetical / other	-=40; S=1	
HOG0038526	1.21E-01	1.23E-07	3.45E-09	1.30E+00	0.00%	11.76%	-=13	-	Hypothetical / other	-=13	
HOG0028599	3.03E-01	4.48E-10	4.54E-09	8.31E-01	0.00%	5.66%	Protein of unknown function (DUF2855)=33	Protein of unknown function (DUF2855)	Hypothetical / other	S=33	
HOG0028739	6.36E-01	3.03E-15	5.45E-09	9.32E-01	0.00%	4.00%	-=89; Broad-Complex, Tramtrack and Bric a brac=1	-	Hypothetical / other	-=89; S=1	
HOG0030979	2.80E-01	5.13E-10	5.71E-09	8.06E-01	0.00%	7.46%	-=32	-	Hypothetical / other	-=32	
HOG0040372	6.82E-02	2.24E-06	7.37E-09	1.52E+00	0.00%	7.14%	-	-	Hypothetical / other	-	
HOG0032359	3.03E-01	2.06E-10	9.19E-09	8.24E-01	0.00%	10.00%	-=50	-	Hypothetical / other	-=50	
HOG0031177	3.11E-01	1.05E-11	2.25E-08	7.92E-01	0.00%	6.25%	-=48; WGS project CABT00000000 data, contig 2.35=2	-	Hypothetical / other	-=48; S=2	
HOG0036531	1.06E-01	1.73E-07	2.78E-08	1.11E+00	0.00%	45.45%	-=9; cytochrome P-450=2	-	Hypothetical / other	-=9; Q=2	
HOG0019774	4.47E-01	1.38E-15	3.00E-08	8.44E-01	5.90%	7.38%	Protein tyrosine kinase=53; Protein kinase domain-containing protein=25; Protein kinase domain=16; protein serine/threonine kinase activity=12; Heterokaryon incompatibility protein (HET)=10; cyclin-dependent protein serine/threonine kinase activity=8; MAP kinase kinase kinase activity=5; Serine threonine protein kinase=5; -=4; RNA polymerase II CTD heptapeptide repeat kinase activity=4; aldehyde reductase=3; histone serine kinase activity=3; MAP kinase activity=2; JUN phosphorylation=2; Protein kinase, catalytic domain (InterPro IPR000719), Serine threonine-protein kinase-like domain (InterPro IPR017442), Protein kinase-like domain (InterPro IPR011009), Serine threonine-protein kinase, active site (InterPro IPR008271)=1; ephrin receptor activity=1; FAD binding domain=1; cellular response to bisphenol A=1; NACHT domain protein=1; Kinase-like=1; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family=1; positive regulation of hh target transcription factor activity=1	Protein tyrosine kinase	Hypothetical / other	T=91; G=35; S=11; H=6; C=5; -=4; D=4; K=4; L=4; F=3; O=2; U=2; P=1	
HOG0030636	2.35E-01	3.02E-09	3.13E-08	7.92E-01	0.00%	9.46%	-=13; Protein tyrosine kinase=1; WD repeat-containing protein=1; RNA recognition motif=1	-	Hypothetical / other	-=13; T=1; S=1; A=1	
HOG0036711	1.36E-01	7.37E-06	3.64E-08	9.27E-01	0.00%	52.38%	-=12	-	Hypothetical / other	-=12	
HOG0028454	3.79E-01	1.89E-12	5.23E-08	7.90E-01	0.00%	6.48%	-=83	-	Hypothetical / other	-=83	
HOG0029375	2.12E-01	2.74E-09	6.66E-08	8.65E-01	0.00%	7.69%	Nad dependent epimerase=19; NAD dependent epimerase/dehydratase family=11; NmrA-like family=4	Nad dependent epimerase	Hypothetical / other	S=34	
HOG0044406	7.58E-02	1.86E-06	1.02E-07	1.37E+00	NA	NA	-=4	-	Hypothetical / other	-=4	
HOG0027152	4.02E-01	5.52E-12	1.04E-07	7.48E-01	0.00%	5.07%	-=90; Telomerase reverse transcriptase=1; Region found in RelA / SpoT proteins=1	-	Hypothetical / other	-=90; B=1; L=1; S=1	
HOG0035508	9.85E-02	8.59E-07	1.15E-07	1.17E+00	NA	NA	-=4	-	Hypothetical / other	-=4	from CDD search
HOG0042266	6.06E-02	1.66E-05	1.18E-07	1.42E+00	0.00%	25.00%	-=2	-	Hypothetical / other	-=2	
HOG0022984	5.68E-01	4.13E-18	1.23E-07	8.85E-01	0.00%	15.55%	-=156	-	Hypothetical / other	-=156	
HOG0031752	2.65E-01	3.04E-10	1.31E-07	7.58E-01	21.82%	27.27%	Phosphotransferase enzyme family=28; Podospora anserina S mat genomic DNA chromosome=6; Phosphotransferase enzyme family protein=4; Ecdysteroid kinase=1; -=1	Phosphotransferase enzyme family	Hypothetical / other	H=19; S=18; G=2; -=1	
HOG0034416	1.36E-01	3.92E-07	1.58E-07	1.03E+00	0.00%	9.38%	-=24	-	Hypothetical / other	-=24	
HOG0026258	4.02E-01	7.42E-14	1.62E-07	7.61E-01	1.26%	16.35%	UbiA prenyltransferase family=114; UbiA prenyltransferase=12; Integral membrane protein=3; cytochrome P450=2; -=1; Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)=1; Cytochrome P450=1; to reverse transcriptase=1	UbiA prenyltransferase family	Hypothetical / other	S=95; I=34; Q=3; -=1; E=1; L=1	
HOG0032300	2.12E-01	5.50E-08	1.64E-07	7.90E-01	0.00%	19.15%	Ankyrin repeats (many copies)=2; Ankyrin repeats (3 copies)=2; Ankyrin repeat=2; EP4 subtype prostaglandin E2 receptor binding=1	-	Hypothetical / other	M=6; L=1	
HOG0032892	2.27E-01	6.15E-08	1.79E-07	7.67E-01	0.00%	51.16%	-=36; isomerase activity=4	-	Hypothetical / other	-=36; S=4	
HOG0032461	1.97E-01	1.32E-05	2.38E-07	7.86E-01	0.00%	4.17%	Guanine nucleotide-binding protein alpha-3 subunit=9; alpha subunit=7; G-protein beta/gamma-subunit complex binding=3; G protein alpha subunit=3; Rac GTPase binding=3; Ankyrin repeat=2; Guanine nucleotide-binding protein alpha-2 subunit=1; guanine nucleotide-binding protein=1; -=1	Guanine nucleotide-binding protein alpha-3 subunit	Hypothetical / other	D=24; T=24; F=3; S=1; -=1; M=1	
HOG0042792	6.06E-02	5.52E-03	2.42E-07	1.22E+00	0.00%	18.18%	-=9	-	Hypothetical / other	-=9	
HOG0048189	6.06E-02	8.68E-05	2.52E-07	1.41E+00	NA	NA	-=1	-	Hypothetical / other	-=1	
HOG0033958	2.50E-01	8.72E-09	2.99E-07	9.03E-01	0.00%	2.86%	-=30	-	Hypothetical / other	-=30	
HOG0024955	5.45E-01	2.26E-15	3.23E-07	8.29E-01	0.00%	10.56%	Uncharacterized protein conserved in bacteria (DUF2236)=89; Tat pathway signal sequence=6; protein heterodimerization activity=1; Serine threonine protein kinase=1; WD repeat protein=1	Uncharacterized protein conserved in bacteria (DUF2236)	Hypothetical / other	S=96; B=1; M=1	
HOG0031282	3.48E-01	1.20E-10	3.34E-07	7.31E-01	0.00%	14.29%	Transferase family=30; transferase=9; -transferase family=8; -transferase=2	Transferase family	Hypothetical / other	H=48; E=1	
HOG0030235	2.27E-01	9.03E-10	3.59E-07	8.76E-01	0.00%	6.58%	-=33; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=5	-	Hypothetical / other	-=33; S=4; K=1	
HOG0039120	8.33E-02	4.32E-04	3.96E-07	1.15E+00	NA	NA	-=5	-	Hypothetical / other	-=5	
HOG0034649	1.74E-01	9.24E-08	4.06E-07	8.80E-01	0.00%	6.90%	-=26; Cytochrome b5-like Heme/Steroid binding domain=1	-	Hypothetical / other	-=26; S=1	
HOG0027901	3.71E-01	1.66E-11	4.24E-07	7.15E-01	6.78%	8.47%	Protein kinase domain=25; Protein tyrosine kinase=12; -=5; protein serine/threonine kinase activity=2; cyclin-dependent protein serine/threonine kinase activity=1; serine threonine protein kinase=1; kinase kinase kinase=1; von Willebrand factor (vWF) type A domain=1	Protein kinase domain	Hypothetical / other	G=25; T=10; D=6; -=5; H=2	
HOG0030675	3.41E-01	4.02E-10	4.66E-07	7.23E-01	1.49%	34.33%	NAD(P)H-binding=46; NmrA-like family=5; The pathway begins with the synthesis of atrochrysone thioester by the polyketide synthase (PKS)=4; monooxygenase activity=4; Involved in the conversion of averufin (AVF) to versiconal hemiacetal acetate (VHA)=2; Glutathione S-transferase=1; Fungal specific transcription factor domain=1	NAD(P)H-binding	Hypothetical / other	S=35; E=18; H=9; O=1	
HOG0029501	3.64E-01	5.27E-12	4.72E-07	7.13E-01	0.00%	22.58%	Capsular polysaccharide synthesis protein=61; Capsule polysaccharide biosynthesis protein=30; GO:0015222=1	Capsular polysaccharide synthesis protein	Hypothetical / other	S=86; H=3; E=2; J=1	
HOG0031378	4.09E-01	1.40E-10	4.91E-07	7.92E-01	0.00%	9.68%	-=48	-	Hypothetical / other	-=48	
HOG0031713	3.03E-01	1.95E-11	5.17E-07	7.05E-01	0.00%	16.36%	Phosphomevalonate kinase=48; Phosphoribosyl transferase domain protein=5	Phosphomevalonate kinase	Hypothetical / other	F=52; H=1	
HOG0031070	4.47E-01	4.12E-12	5.82E-07	7.19E-01	0.00%	3.03%	-=35; Podospora anserina S mat genomic DNA chromosome 1, supercontig=3	-	Hypothetical / other	-=35; S=3	
HOG0033600	1.67E-01	1.78E-07	6.42E-07	9.40E-01	2.63%	13.16%	-=12	-	Hypothetical / other	-=12	
HOG0029206	3.03E-01	1.58E-08	6.83E-07	7.26E-01	0.00%	10.31%	Metal dependent phosphohydrolase=68; HD domain=26; Sugar (and other) transporter=2	Metal dependent phosphohydrolase	Hypothetical / other	S=82; E=12; U=2	
HOG0034099	2.05E-01	4.31E-07	6.85E-07	7.84E-01	0.00%	80.65%	-=18; DNA binding=7; O-methyltransferase activity=4	-	Hypothetical / other	-=18; S=4; K=3; J=3; H=1	
HOG0032049	2.35E-01	3.13E-09	6.95E-07	7.54E-01	0.00%	5.66%	Kelch=19; kelch repeat-containing protein=13; Kelch motif=7; Kelch repeat-containing protein=2; protein ubiquitination=2; nitrile biosynthetic process=1	Kelch	Hypothetical / other	S=25; T=18; P=1	
HOG0042065	6.82E-02	9.69E-05	8.02E-07	1.23E+00	NA	NA	cellular response to estrogen stimulus=2; -=1	cellular response to estrogen stimulus	Hypothetical / other	S=2; -=1	
HOG0032346	2.42E-01	1.71E-05	8.10E-07	7.25E-01	46.00%	50.00%	Tryptophan halogenase=38; monooxygenase activity=6; domain-containing protein=3; FAD-dependent small molecule halogenase=1	Tryptophan halogenase	Hypothetical / other	C=44; S=2; E=1; H=1	
HOG0035747	1.82E-01	5.53E-08	8.39E-07	1.13E+00	0.00%	12.00%	-=8	-	Hypothetical / other	-=8	
HOG0027261	3.11E-01	1.67E-10	8.45E-07	8.74E-01	0.00%	7.52%	-=77; Oxoglutarate iron-dependent oxygenase=8; F-box domain-containing protein=1	-	Hypothetical / other	-=77; S=9	
HOG0026116	5.15E-01	4.86E-15	8.97E-07	7.04E-01	5.38%	6.92%	Phosphotransferase enzyme family=56; Ecdysteroid kinase=12; serine-type carboxypeptidase activity=6; Protein of unknown function (DUF1679)=3; Choline/ethanolamine kinase=3; Phosphotransferase=2; Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of tRNA(Lys), tRNA(Glu) and tRNA(Gln). May act by forming a heterodimer with NCS6 that ligates sulfur from thiocarboxylated URM1 onto the uridine of tRNAs at wobble position. Prior mcm(5) tRNA modification by the elongator complex is required for 2-thiolation. May also be involved in protein urmylation=1	Phosphotransferase enzyme family	Hypothetical / other	S=73; E=6; H=3; J=1	
HOG0043177	6.06E-02	2.64E-04	9.32E-07	1.37E+00	0.00%	36.36%	Pathogen effector; putative necrosis-inducing factor=6; -=3	Pathogen effector; putative necrosis-inducing factor	Hypothetical / other	S=6; -=3	
HOG0038053	6.06E-02	5.31E-04	1.09E-06	1.19E+00	0.00%	5.56%	-=16	-	Hypothetical / other	-=16	
HOG0029768	3.11E-01	9.48E-10	1.17E-06	6.80E-01	0.00%	7.32%	-=59; Permease for cytosine/purines, uracil, thiamine, allantoin=1	-	Hypothetical / other	-=59; F=1; H=1	
HOG0036253	1.14E-01	3.94E-06	1.19E-06	1.11E+00	0.00%	8.70%	-=17	-	Hypothetical / other	-=17	
HOG0047727	5.30E-02	1.02E-04	1.21E-06	1.43E+00	NA	NA	-	-	Hypothetical / other		
HOG0029432	3.48E-01	1.41E-08	1.23E-06	6.91E-01	0.00%	6.38%	Protein of unknown function (DUF1593)=71; Cellulose-binding protein=22; Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain=1	Protein of unknown function (DUF1593)	Hypothetical / other	S=94	
HOG0030674	3.71E-01	4.33E-08	1.27E-06	7.15E-01	0.00%	8.33%	SnoaL-like domain=52; Ring hydroxylating beta subunit=1; -=1	SnoaL-like domain	Hypothetical / other	S=51; Q=2; -=1	
HOG0025846	5.30E-01	1.94E-11	1.40E-06	7.13E-01	0.00%	13.94%	-=140; Golgin subfamily A member 7/ERF4 family=2	-	Hypothetical / other	-=140; S=2	
HOG0037613	1.29E-01	1.98E-04	1.45E-06	8.31E-01	0.00%	5.26%	-=2	-	Hypothetical / other	-=2	
HOG0043459	7.58E-02	1.69E-03	1.50E-06	1.09E+00	0.00%	9.09%	-=2	-	Hypothetical / other	-=2	
HOG0036859	1.52E-01	1.34E-07	1.52E-06	1.05E+00	NA	NA	-=17	-	Hypothetical / other	-=17	
HOG0029715	4.09E-01	5.09E-10	1.52E-06	6.44E-01	0.00%	14.44%	-=84	-	Hypothetical / other	-=84	
HOG0030020	2.88E-01	2.00E-07	1.55E-06	7.10E-01	0.00%	8.33%	-=28	-	Hypothetical / other	-=28	
HOG0029264	5.61E-01	9.38E-12	1.71E-06	6.95E-01	0.00%	6.32%	-=71; Amino acid permease=1	-	Hypothetical / other	-=71; E=1	
HOG0032574	2.73E-01	5.59E-08	1.73E-06	6.72E-01	0.00%	6.38%	-=15; Repeat of unknown function (DUF346)=3; metalloendopeptidase activity=1	-	Hypothetical / other	-=15; S=3; M=1	
HOG0036737	1.59E-01	3.67E-06	1.85E-06	9.70E-01	0.00%	9.52%	-=18	-	Hypothetical / other	-=18	
HOG0036300	1.21E-01	2.57E-06	1.90E-06	9.40E-01	0.00%	17.39%	-=11	-	Hypothetical / other	-=11	
HOG0028913	3.26E-01	6.89E-09	1.96E-06	7.29E-01	0.00%	10.00%	-=57	-	Hypothetical / other	-=57	
HOG0026988	4.77E-01	3.43E-13	2.06E-06	6.72E-01	0.00%	31.43%	-=89; NAD-P-binding protein=6; NmrA-like family=1; Encoded by=1; mitochondrial translation=1	-	Hypothetical / other	-=89; S=8; J=1	
HOG0029945	4.47E-01	1.14E-10	2.09E-06	7.56E-01	0.00%	4.65%	-=65	-	Hypothetical / other	-=65	
HOG0031374	4.47E-01	2.18E-10	2.09E-06	6.31E-01	0.00%	19.35%	NmrA-like family=31; Isoflavone reductase=11; to isoflavone reductase=8; Isoflavone reductase family protein=7; Phospholipid metabolism-related protein=1	NmrA-like family	Hypothetical / other	S=55; G=3; M=3	
HOG0027200	4.77E-01	6.18E-14	2.15E-06	6.77E-01	0.00%	5.22%	Isochorismatase family=46; Isochorismatase=29; Isochorismatase family hydrolase=3; Ycac protein=3	Isochorismatase family	Hypothetical / other	Q=71; G=10	
HOG0031874	2.65E-01	4.75E-08	2.20E-06	7.42E-01	0.00%	5.56%	-=27; Fungal specific transcription factor domain=2	-	Hypothetical / other	-=27; S=2	
HOG0035755	1.52E-01	1.98E-04	2.33E-06	8.10E-01	0.00%	12.00%	-=12	-	Hypothetical / other	-=12	
HOG0038602	1.29E-01	4.68E-05	2.40E-06	8.83E-01	0.00%	23.53%	-=15	-	Hypothetical / other	-=15	
HOG0030788	3.03E-01	2.24E-10	2.47E-06	6.65E-01	5.80%	5.80%	Protein tyrosine kinase=11; Protein kinase domain=7; non-membrane spanning protein tyrosine kinase activity=4; NB-ARC domain=2; protein kinase activity=1; -=1	Protein tyrosine kinase	Hypothetical / other	T=22; K=5; L=5; I=2; G=1; -=1	
HOG0000615	2.73E-01	3.35E-09	2.50E-06	6.82E-01	0.00%	15.38%	-=11; GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain=11; Fungal specific transcription factor domain=6	-	Hypothetical / other	-=11; S=10; L=4; K=1; P=1; B=1	
HOG0042109	9.09E-02	1.41E-04	2.67E-06	1.09E+00	0.00%	8.33%	Domain of unknown function (DUF3425)=1	Domain of unknown function (DUF3425)	Hypothetical / other	S=1	
HOG0028452	3.56E-01	6.26E-10	2.75E-06	6.81E-01	0.00%	13.76%	-=67; ATPase family associated with various cellular activities (AAA)=3	-	Hypothetical / other	-=67; O=3	
HOG0026338	4.62E-01	8.27E-14	2.89E-06	6.98E-01	0.00%	15.43%	-=119; terpene cyclase ausL lead to the formation of protoaustinoid A. Protoaustinoid A is then oxidized to spiro-lactone preaustinoid A3 by the combined action of the FAD-binding monooxygenases ausB and ausC, and the dioxygenase ausE. Acid-catalyzed keto-rearrangement and ring contraction of the tetraketide portion of preaustinoid A3 by ausJ lead to the formation of preaustinoid A4. The aldo-keto reductase ausK, with the help of ausH, is involved in the next step by transforming preaustinoid A4 into isoaustinone which is in turn hydroxylated by the P450 monooxygenase ausI to form austinolide. Finally, the cytochrome P450 monooxygenase ausG modifies austinolide to austinol. Austinol can be further modified to dehydroaustinol which forms a diffusible complex with diorcinol that initiates conidiation=15; cytochrome P450=1	-	Hypothetical / other	-=119; S=15; Q=1	
HOG0004075	3.94E-01	3.93E-10	2.90E-06	7.53E-01	0.00%	5.93%	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain=58; SET domain=11; -domain-containing protein=7; domain-containing protein=6; Set domain-containing protein 5=5; Vps16, C-terminal region=4; methyltransferase activity=4; Oxysterol-binding protein=3; ABC transporter=1; SET domain-containing protein=1; protein lysine methyltransferase SET5=1; Set domain-containing protein=1; SET and MYND domain-containing protein=1; RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding=1	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain	Hypothetical / other	B=92; E=5; U=4; T=3; J=1	
HOG0030122	5.68E-01	1.73E-16	2.91E-06	8.17E-01	0.00%	6.02%	-=82	-	Hypothetical / other	-=82	
HOG0040946	9.09E-02	3.28E-06	3.32E-06	1.07E+00	0.00%	7.69%		-	Hypothetical / other		
HOG0029383	3.11E-01	8.63E-11	3.49E-06	6.34E-01	0.00%	5.26%	NAD(P)H-binding=44; NmrA-like family=17; -=15; Belongs to the GST superfamily=2	NAD(P)H-binding	Hypothetical / other	S=61; -=15; O=2	
HOG0031139	2.20E-01	3.51E-07	3.53E-06	7.48E-01	0.00%	10.77%	-=16	-	Hypothetical / other	-=16	
HOG0004348	5.53E-01	4.14E-16	3.77E-06	6.96E-01	0.00%	15.99%	NmrA-like family=106; NAD(P)H-binding=103; nmrA-like family=41; NAD dependent epimerase/dehydratase family=12; isoflavone reductase family protein=3; NAD-P-binding protein=2; NmrA family transcriptional regulator=2; Isoflavone reductase family protein=1; Isoflavone reductase=1	NmrA-like family	Hypothetical / other	S=270; T=1	
HOG0033894	2.20E-01	1.19E-06	3.79E-06	7.86E-01	0.00%	5.88%	-=28; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family=1; Alcohol acetyltransferase=1; FAD binding domain=1	-	Hypothetical / other	-=28; S=2; E=1	
HOG0037504	1.44E-01	4.76E-07	4.00E-06	1.01E+00	0.00%	5.26%	-=8	-	Hypothetical / other	-=8	
HOG0033896	2.12E-01	4.82E-06	4.09E-06	6.85E-01	0.00%	18.75%	Domain of unknown function (DUF4267)=24; -=6	Domain of unknown function (DUF4267)	Hypothetical / other	S=24; -=6	
HOG0042105	6.82E-02	6.76E-04	4.11E-06	1.09E+00	0.00%	58.33%	-=5	-	Hypothetical / other	-=5	
HOG0033825	2.58E-01	8.85E-09	4.11E-06	9.90E-01	0.00%	13.89%	-=22	-	Hypothetical / other	-=22	
