Chrom	Start	End	Stain	Arm
KZ613614.1	0	9853	background	1
KZ613615.1	0	7964	background	1
KZ613616.1	0	7542	background	1
KZ613617.1	0	7019	background	1
KZ613618.1	0	6324	background	1
KZ613619.1	0	6231	background	1
KZ613620.1	0	6356	background	1
KZ613621.1	0	5531	background	1
KZ613622.1	0	5437	background	1
KZ613623.1	0	4449	background	1
KZ613624.1	0	4412	background	1
KZ613625.1	0	4150	background	1
KZ613626.1	0	3921	background	1
KZ613627.1	0	3729	background	1
KZ613628.1	0	3529	background	1
KZ613629.1	0	3381	background	1
KZ613630.1	0	3295	background	1
KZ613631.1	0	3194	background	1
KZ613632.1	0	3117	background	1
KZ613633.1	0	3088	background	1
KZ613634.1	0	3024	background	1
KZ613635.1	0	2987	background	1
KZ613636.1	0	2924	background	1
KZ613637.1	0	2699	background	1
KZ613638.1	0	2741	background	1
KZ613639.1	0	2699	background	1
KZ613640.1	0	2593	background	1
KZ613641.1	0	2507	background	1
KZ613642.1	0	2360	background	1
KZ613643.1	0	2411	background	1
KZ613644.1	0	2387	background	1
KZ613645.1	0	2381	background	1
KZ613646.1	0	2336	background	1
KZ613647.1	0	2297	background	1
KZ613648.1	0	2212	background	1
KZ613649.1	0	2179	background	1
KZ613650.1	0	2166	background	1
KZ613651.1	0	2151	background	1
KZ613652.1	0	2113	background	1
KZ613653.1	0	2081	background	1
KZ613654.1	0	2042	background	1
KZ613655.1	0	2043	background	1
KZ613656.1	0	2028	background	1
KZ613657.1	0	2026	background	1
KZ613658.1	0	2010	background	1
KZ613659.1	0	1996	background	1
KZ613660.1	0	1978	background	1
KZ613661.1	0	1977	background	1
KZ613662.1	0	1977	background	1
KZ613663.1	0	1975	background	1
KZ613664.1	0	1954	background	1
KZ613665.1	0	1941	background	1
KZ613666.1	0	1852	background	1
KZ613667.1	0	1845	background	1
KZ613668.1	0	1845	background	1
KZ613669.1	0	1835	background	1
KZ613670.1	0	1765	background	1
KZ613671.1	0	1797	background	1
KZ613672.1	0	1793	background	1
KZ613673.1	0	1779	background	1
KZ613674.1	0	1707	background	1
KZ613675.1	0	1703	background	1
KZ613676.1	0	1681	background	1
KZ613677.1	0	1660	background	1
KZ613678.1	0	1641	background	1
KZ613679.1	0	1630	background	1
KZ613680.1	0	1564	background	1
KZ613681.1	0	1605	background	1
KZ613682.1	0	1598	background	1
KZ613683.1	0	1579	background	1
KZ613684.1	0	1579	background	1
KZ613685.1	0	1515	background	1
KZ613686.1	0	1483	background	1
KZ613687.1	0	1478	background	1
KZ613688.1	0	1455	background	1
KZ613689.1	0	1432	background	1
KZ613690.1	0	1424	background	1
KZ613691.1	0	1399	background	1
KZ613692.1	0	1393	background	1
KZ613693.1	0	1386	background	1
KZ613694.1	0	1340	background	1
KZ613695.1	0	1377	background	1
KZ613696.1	0	1366	background	1
KZ613697.1	0	1350	background	1
KZ613698.1	0	1349	background	1
KZ613699.1	0	1339	background	1
KZ613700.1	0	1333	background	1
KZ613701.1	0	1329	background	1
KZ613702.1	0	1317	background	1
KZ613703.1	0	1291	background	1
KZ613704.1	0	1289	background	1
KZ613705.1	0	1279	background	1
KZ613706.1	0	1272	background	1
KZ613707.1	0	1269	background	1
KZ613708.1	0	1257	background	1
KZ613709.1	0	1256	background	1
KZ613710.1	0	1224	background	1
KZ613711.1	0	1224	background	1
KZ613712.1	0	1223	background	1
KZ613713.1	0	1201	background	1
KZ613714.1	0	1195	background	1
KZ613715.1	0	1167	background	1
KZ613716.1	0	1165	background	1
KZ613717.1	0	1163	background	1
KZ613718.1	0	1153	background	1
KZ613719.1	0	1159	background	1
KZ613720.1	0	1084	background	1
KZ613721.1	0	1144	background	1
KZ613722.1	0	1123	background	1
KZ613723.1	0	1120	background	1
KZ613724.1	0	1112	background	1
KZ613725.1	0	1083	background	1
KZ613726.1	0	1070	background	1
KZ613727.1	0	1062	background	1
KZ613728.1	0	1038	background	1
KZ613729.1	0	1030	background	1
KZ613730.1	0	1008	background	1
