Protein	Chrom	Position	Type
GCA_002865625|CDS_2062	KZ613467.1	955642.0	HET
GCA_002865625|CDS_15255	KZ613531.1	115972.0	HET
GCA_002865625|CDS_12352	KZ613506.1	299632.5	HET
GCA_002865625|CDS_11927	KZ613503.1	365271.5	HET
GCA_002865625|CDS_8690	KZ613486.1	780926.0	HET
GCA_002865625|CDS_14114	KZ613521.1	26866.0	HET
GCA_002865625|CDS_8686	KZ613486.1	770728.5	HET
GCA_002865625|CDS_11784	KZ613502.1	484443.0	HET
GCA_002865625|CDS_2407	KZ613468.1	480904.0	HET
GCA_002865625|CDS_16440	KZ613557.1	5889.0	HET
GCA_002865625|CDS_5748	KZ613476.1	422542.0	HET
GCA_002865625|CDS_1167	KZ613465.1	1439461.0	HET
GCA_002865625|CDS_9335	KZ613489.1	530082.5	HET
GCA_002865625|CDS_10825	KZ613497.1	222691.0	HET
GCA_002865625|CDS_16583	KZ613563.1	32138.5	HET
GCA_002865625|CDS_6149	KZ613477.1	579984.5	HET
GCA_002865625|CDS_3313	KZ613470.1	516370.5	HET
GCA_002865625|CDS_1165	KZ613465.1	1421343.0	HET
GCA_002865625|CDS_7483	KZ613482.1	192082.5	HET
GCA_002865625|CDS_16532	KZ613561.1	106872.0	HET
GCA_002865625|CDS_7297	KZ613481.1	334735.5	HET
GCA_002865625|CDS_15179	KZ613530.1	204893.5	HET
GCA_002865625|CDS_1274	KZ613466.1	198301.0	HET
GCA_002865625|CDS_8787	KZ613487.1	334248.5	HET
GCA_002865625|CDS_3500	KZ613470.1	1301949.5	HET
GCA_002865625|CDS_14295	KZ613522.1	131765.0	HET
GCA_002865625|CDS_3070	KZ613469.1	1163902.0	HET
GCA_002865625|CDS_3375	KZ613470.1	850764.0	HET
GCA_002865625|CDS_10713	KZ613496.1	376801.5	HET
GCA_002865625|CDS_11578	KZ613501.1	320050.5	HET
GCA_002865625|CDS_14927	KZ613527.1	243010.5	HET
GCA_002865625|CDS_7637	KZ613482.1	671575.5	HET
GCA_002865625|CDS_15503	KZ613534.1	239033.0	HET
GCA_002865625|CDS_8091	KZ613484.1	304516.5	HET
GCA_002865625|CDS_4699	KZ613473.1	1112955.0	HET
GCA_002865625|CDS_7165	KZ613480.1	736156.5	HET
GCA_002865625|CDS_10021	KZ613492.1	585998.0	HET
GCA_002865625|CDS_6434	KZ613478.1	460651.5	HET
GCA_002865625|CDS_6354	KZ613478.1	192399.5	HET
GCA_002865625|CDS_15240	KZ613531.1	66976.5	HET
GCA_002865625|CDS_7418	KZ613481.1	823434.0	HET
GCA_002865625|CDS_8776	KZ613487.1	248041.0	HET
GCA_002865625|CDS_16490	KZ613558.1	76455.5	HET
GCA_002865625|CDS_7343	KZ613481.1	534349.0	HET
GCA_002865625|CDS_10456	KZ613495.1	276034.5	HET
GCA_002865625|CDS_11733	KZ613502.1	341163.0	HET
GCA_002865625|CDS_2980	KZ613469.1	832872.5	HET
GCA_002865625|CDS_5020	KZ613474.1	659824.0	HET
GCA_002865625|CDS_10313	KZ613494.1	413710.0	HET
GCA_002865625|CDS_11628	KZ613501.1	456627.5	HET
GCA_002865625|CDS_8411	KZ613485.1	483954.0	HET
GCA_002865625|CDS_8817	KZ613487.1	420554.0	HET
GCA_002865625|CDS_12730	KZ613509.1	157405.0	HET
GCA_002865625|CDS_5677	KZ613476.1	192875.5	HET
GCA_002865625|CDS_8405	KZ613485.1	464438.0	HET
GCA_002865625|CDS_11757	KZ613502.1	405437.5	HET
GCA_002865625|CDS_14953	KZ613527.1	333288.5	HET
GCA_002865625|CDS_1344	KZ613466.1	407537.0	HET
GCA_002865625|CDS_16337	KZ613552.1	50662.5	HET
GCA_002865625|CDS_6967	KZ613480.1	197696.0	HET
GCA_002865625|CDS_16739	KZ613582.1	15021.0	HET
GCA_002865625|CDS_458	KZ613464.1	1244418.5	HET
GCA_002865625|CDS_10894	KZ613497.1	452802.5	HET
GCA_002865625|CDS_6427	KZ613478.1	441480.0	HET
GCA_002865625|CDS_10180	KZ613493.1	606038.0	HET
GCA_002865625|CDS_2148	KZ613467.1	1168185.5	HET
GCA_002865625|CDS_15782	KZ613539.1	51704.0	HET
GCA_002865625|CDS_6317	KZ613478.1	65275.0	HET
GCA_002865625|CDS_13040	KZ613511.1	356578.5	HET
GCA_002865625|CDS_11015	KZ613498.1	271696.5	HET
GCA_002865625|CDS_9314	KZ613489.1	467957.0	HET
GCA_002865625|CDS_12744	KZ613509.1	215005.5	HET
GCA_002865625|CDS_621	KZ613464.1	1823566.5	HET
GCA_002865625|CDS_11926	KZ613503.1	362816.0	HET
GCA_002865625|CDS_9038	KZ613488.1	348681.5	HET
GCA_002865625|CDS_10116	KZ613493.1	304411.0	HET
GCA_002865625|CDS_3989	KZ613472.1	57200.5	HET
GCA_002865625|CDS_9165	KZ613489.1	12770.0	HET
GCA_002865625|CDS_12563	KZ613508.1	80760.5	HET
GCA_002865625|CDS_15302	KZ613531.1	268425.0	HET
GCA_002865625|CDS_7936	KZ613483.1	641162.5	HET
GCA_002865625|CDS_13695	KZ613516.1	302848.5	HET
GCA_002865625|CDS_9345	KZ613489.1	561645.5	HET
GCA_002865625|CDS_8586	KZ613486.1	298758.5	HET
GCA_002865625|CDS_16053	KZ613545.1	52799.0	HET
GCA_002865625|CDS_12782	KZ613509.1	324946.5	HET
GCA_002865625|CDS_10367	KZ613495.1	64549.5	HET
GCA_002865625|CDS_7188	KZ613480.1	801841.0	HET
GCA_002865625|CDS_10017	KZ613492.1	577142.0	HET
GCA_002865625|CDS_8987	KZ613488.1	188753.0	HET
GCA_002865625|CDS_4829	KZ613474.1	186313.0	HET
GCA_002865625|CDS_8150	KZ613484.1	533159.5	HET
GCA_002865625|CDS_5921	KZ613476.1	913849.0	HET
GCA_002865625|CDS_8468	KZ613485.1	676392.0	HET
GCA_002865625|CDS_13118	KZ613512.1	163517.0	HET
GCA_002865625|CDS_9562	KZ613490.1	664797.5	HET
GCA_002865625|CDS_5132	KZ613474.1	937641.0	HET
GCA_002865625|CDS_14112	KZ613520.1	363624.5	HET
GCA_002865625|CDS_6364	KZ613478.1	219269.5	HET
GCA_002865625|CDS_8773	KZ613487.1	241262.5	HET
GCA_002865625|CDS_11824	KZ613503.1	52228.0	HET
GCA_002865625|CDS_8611	KZ613486.1	461698.0	HET
GCA_002865625|CDS_9757	KZ613491.1	535042.5	HET
GCA_002865625|CDS_4246	KZ613472.1	922724.0	HET
GCA_002865625|CDS_2380	KZ613468.1	412278.5	HET
GCA_002865625|CDS_7040	KZ613480.1	380814.5	HET
GCA_002865625|CDS_10026	KZ613492.1	600204.5	HET
GCA_002865625|CDS_10324	KZ613494.1	528811.0	HET
GCA_002865625|CDS_10723	KZ613496.1	409752.0	HET
GCA_002865625|CDS_7889	KZ613483.1	508364.5	HET
GCA_002865625|CDS_9359	KZ613489.1	600160.5	HET
GCA_002865625|CDS_412	KZ613464.1	1098769.0	HET
GCA_002865625|CDS_9506	KZ613490.1	494663.5	HET
GCA_002865625|CDS_4091	KZ613472.1	447881.0	HET
GCA_002865625|CDS_6102	KZ613477.1	415238.5	HET
GCA_002865625|CDS_9041	KZ613488.1	355395.0	HET
GCA_002865625|CDS_2891	KZ613469.1	599112.0	HET
GCA_002865625|CDS_8062	KZ613484.1	215764.5	HET
GCA_002865625|CDS_4017	KZ613472.1	162063.5	HET
GCA_002865625|CDS_15515	KZ613534.1	267218.0	HET
GCA_002865625|CDS_14275	KZ613522.1	77842.0	HET
GCA_002865625|CDS_2562	KZ613468.1	956513.0	HET
GCA_002865625|CDS_9371	KZ613489.1	626714.0	HET
GCA_002865625|CDS_12778	KZ613509.1	308305.0	HET
GCA_002865625|CDS_4015	KZ613472.1	157457.5	HET
GCA_002865625|CDS_12635	KZ613508.1	283499.0	HET
GCA_002865625|CDS_12635	KZ613508.1	283499.0	HET
GCA_002865625|CDS_6060	KZ613477.1	255124.5	HET
GCA_002865625|CDS_7112	KZ613480.1	566600.0	HET
GCA_002865625|CDS_1844	KZ613467.1	276546.5	HET
GCA_002865625|CDS_14784	KZ613526.1	61693.5	HET
GCA_002865625|CDS_15060	KZ613529.1	113025.5	HET
GCA_002865625|CDS_13901	KZ613518.1	244650.0	HET
GCA_002865625|CDS_12011	KZ613504.1	97901.5	HET
GCA_002865625|CDS_9072	KZ613488.1	453924.0	HET
GCA_002865625|CDS_13555	KZ613515.1	344899.5	HET
GCA_002865625|CDS_4111	KZ613472.1	508860.5	HET
GCA_002865625|CDS_11517	KZ613501.1	140561.5	HET
GCA_002865625|CDS_11544	KZ613501.1	220600.0	HET
GCA_002865625|CDS_7681	KZ613482.1	808481.0	HET
GCA_002865625|CDS_5582	KZ613475.1	938139.0	HET
GCA_002865625|CDS_9488	KZ613490.1	446879.0	HET
GCA_002865625|CDS_2126	KZ613467.1	1117749.5	HET
GCA_002865625|CDS_3516	KZ613471.1	32664.5	HET
GCA_002865625|CDS_11952	KZ613503.1	435505.0	HET
GCA_002865625|CDS_11919	KZ613503.1	346167.0	HET
GCA_002865625|CDS_16603	KZ613564.1	31049.5	HET
GCA_002865625|CDS_12039	KZ613504.1	169899.0	HET
GCA_002865625|CDS_8598	KZ613486.1	332991.5	HET
GCA_002865625|CDS_10902	KZ613497.1	481801.5	HET
GCA_002865625|CDS_15619	KZ613536.1	127977.0	HET
GCA_002865625|CDS_8879	KZ613487.1	635428.0	HET
GCA_002865625|CDS_970	KZ613465.1	869675.0	HET
GCA_002865625|CDS_6164	KZ613477.1	641930.5	HET
GCA_002865625|CDS_7138	KZ613480.1	654159.5	HET
GCA_002865625|CDS_15172	KZ613530.1	171899.5	HET
GCA_002865625|CDS_16491	KZ613558.1	80456.0	HET
GCA_002865625|CDS_9442	KZ613490.1	219532.5	HET
GCA_002865625|CDS_14929	KZ613527.1	248973.0	HET
GCA_002865625|CDS_14089	KZ613520.1	268248.0	HET
GCA_002865625|CDS_13777	KZ613517.1	289196.0	HET
GCA_002865625|CDS_1356	KZ613466.1	490192.5	HET
GCA_002865625|CDS_14391	KZ613523.1	48975.5	HET
GCA_002865625|CDS_16391	KZ613553.1	95123.0	HET
GCA_002865625|CDS_8192	KZ613484.1	644867.0	HET
GCA_002865625|CDS_12516	KZ613507.1	379196.0	HET
GCA_002865625|CDS_10031	KZ613492.1	666499.0	HET
GCA_002865625|CDS_8081	KZ613484.1	273783.5	HET
GCA_002865625|CDS_6414	KZ613478.1	399827.5	HET
GCA_002865625|CDS_11966	KZ613503.1	476269.5	HET
GCA_002865625|CDS_12518	KZ613507.1	383330.5	HET
GCA_002865625|CDS_10414	KZ613495.1	165762.5	HET
GCA_002865625|CDS_7638	KZ613482.1	675698.0	HET
GCA_002865625|CDS_11633	KZ613501.1	478601.5	HET
GCA_002865625|CDS_12906	KZ613510.1	252908.0	HET
GCA_002865625|CDS_12509	KZ613507.1	356307.5	HET
GCA_002865625|CDS_11684	KZ613502.1	213097.0	HET
GCA_002865625|CDS_11868	KZ613503.1	192312.5	HET
GCA_002865625|CDS_14510	KZ613524.1	86937.5	HET
GCA_002865625|CDS_7576	KZ613482.1	499260.5	HET
GCA_002865625|CDS_15496	KZ613534.1	207643.0	HET
GCA_002865625|CDS_7644	KZ613482.1	697179.5	HET
GCA_002865625|CDS_10077	KZ613493.1	201481.0	HET
GCA_002865625|CDS_4770	KZ613474.1	27408.0	HET
GCA_002865625|CDS_10161	KZ613493.1	442603.0	HET
GCA_002865625|CDS_5581	KZ613475.1	933166.0	HET
GCA_002865625|CDS_14387	KZ613523.1	21849.5	HET
GCA_002865625|CDS_14928	KZ613527.1	245893.0	HET
GCA_002865625|CDS_13730	KZ613517.1	56098.5	HET
GCA_002865625|CDS_7634	KZ613482.1	660440.0	HET
GCA_002865625|CDS_16455	KZ613557.1	46229.0	HET
GCA_002865625|CDS_14075	KZ613520.1	223182.5	HET
GCA_002865625|CDS_12719	KZ613509.1	52622.0	HET
GCA_002865625|CDS_14158	KZ613521.1	152118.0	HET
GCA_002865625|CDS_5403	KZ613475.1	497466.5	HET
GCA_002865625|CDS_14322	KZ613522.1	210596.0	HET
GCA_002865625|CDS_13524	KZ613515.1	248969.5	HET
GCA_002865625|CDS_6473	KZ613478.1	663825.0	HET
GCA_002865625|CDS_13264	KZ613513.1	195121.5	HET
GCA_002865625|CDS_9316	KZ613489.1	476602.0	HET
GCA_002865625|CDS_15381	KZ613532.1	279854.5	HET
GCA_002865625|CDS_16013	KZ613543.1	176383.0	HET
GCA_002865625|CDS_3336	KZ613470.1	606583.5	HET
GCA_002865625|CDS_16661	KZ613568.1	57026.5	HET
GCA_002865625|CDS_11683	KZ613502.1	210949.5	HET
GCA_002865625|CDS_16311	KZ613550.1	113583.0	HET
GCA_002865625|CDS_16040	KZ613544.1	159963.0	HET
GCA_002865625|CDS_15258	KZ613531.1	121966.0	HET
GCA_002865625|CDS_13945	KZ613518.1	386306.0	HET
GCA_002865625|CDS_15622	KZ613536.1	144410.0	HET
GCA_002865625|CDS_7311	KZ613481.1	427463.5	HET
GCA_002865625|CDS_15306	KZ613531.1	282655.5	HET
GCA_002865625|CDS_15485	KZ613534.1	127005.0	HET
GCA_002865625|CDS_531	KZ613464.1	1517921.5	HET
GCA_002865625|CDS_13718	KZ613516.1	389443.0	HET
GCA_002865625|CDS_8895	KZ613487.1	693741.5	HET
GCA_002865625|CDS_12978	KZ613511.1	73160.0	HET
GCA_002865625|CDS_581	KZ613464.1	1699631.5	HET
GCA_002865625|CDS_8741	KZ613487.1	135517.5	HET
GCA_002865625|CDS_2110	KZ613467.1	1073590.5	HET
GCA_002865625|CDS_13860	KZ613518.1	153680.0	HET
GCA_002865625|CDS_3026	KZ613469.1	1016028.5	HET
GCA_002865625|CDS_2042	KZ613467.1	912455.5	HET
GCA_002865625|CDS_11755	KZ613502.1	402173.0	HET
GCA_002865625|CDS_16686	KZ613572.1	15877.0	HET
GCA_002865625|CDS_10457	KZ613495.1	278710.5	HET
GCA_002865625|CDS_12783	KZ613509.1	327503.5	HET
GCA_002865625|CDS_13921	KZ613518.1	301581.5	HET
GCA_002865625|CDS_10856	KZ613497.1	326138.5	HET
GCA_002865625|CDS_1272	KZ613466.1	163458.5	HET
GCA_002865625|CDS_2595	KZ613468.1	1055447.0	HET
GCA_002865625|CDS_3445	KZ613470.1	1118559.5	HET
GCA_002865625|CDS_12901	KZ613510.1	239752.5	HET
GCA_002865625|CDS_16488	KZ613558.1	72671.0	HET
GCA_002865625|CDS_14426	KZ613523.1	147430.0	HET
GCA_002865625|CDS_12580	KZ613508.1	138869.0	HET
GCA_002865625|CDS_10242	KZ613494.1	159725.0	HET
GCA_002865625|CDS_8646	KZ613486.1	590659.5	HET
GCA_002865625|CDS_9453	KZ613490.1	262858.0	HET
GCA_002865625|CDS_494	KZ613464.1	1376616.5	HET
GCA_002865625|CDS_16324	KZ613552.1	13991.0	HET
GCA_002865625|CDS_12824	KZ613509.1	465637.5	HET
GCA_002865625|CDS_3498	KZ613470.1	1295489.0	HET
GCA_002865625|CDS_12960	KZ613510.1	437855.5	HET
GCA_002865625|CDS_12279	KZ613505.1	495018.5	HET
GCA_002865625|CDS_5604	KZ613475.1	1030291.0	HET
GCA_002865625|CDS_9463	KZ613490.1	299909.0	HET
GCA_002865625|CDS_16744	KZ613582.1	41218.0	HET
GCA_002865625|CDS_514	KZ613464.1	1454681.5	HET
GCA_002865625|CDS_1350	KZ613466.1	472550.0	HET
GCA_002865625|CDS_12582	KZ613508.1	143808.0	HET
GCA_002865625|CDS_9625	KZ613491.1	149606.0	HET
GCA_002865625|CDS_9473	KZ613490.1	332136.0	HET
GCA_002865625|CDS_7578	KZ613482.1	501752.0	HET
GCA_002865625|CDS_6975	KZ613480.1	211286.0	HET
GCA_002865625|CDS_952	KZ613465.1	813799.0	HET
GCA_002865625|CDS_9563	KZ613490.1	666213.0	HET
GCA_002865625|CDS_6318	KZ613478.1	71581.5	HET
GCA_002865625|CDS_7387	KZ613481.1	657472.0	HET
GCA_002865625|CDS_12746	KZ613509.1	222502.5	HET
GCA_002865625|CDS_11977	KZ613503.1	495859.5	HET
GCA_002865625|CDS_7507	KZ613482.1	273162.0	HET
GCA_002865625|CDS_15371	KZ613532.1	238148.0	HET
GCA_002865625|CDS_15151	KZ613530.1	89351.5	HET
GCA_002865625|CDS_12225	KZ613505.1	279465.5	HET
GCA_002865625|CDS_8417	KZ613485.1	514854.5	HET
GCA_002865625|CDS_10842	KZ613497.1	270033.5	HET
GCA_002865625|CDS_15488	KZ613534.1	133803.5	HET
GCA_002865625|CDS_8124	KZ613484.1	389266.0	HET
GCA_002865625|CDS_2946	KZ613469.1	748114.5	HET
GCA_002865625|CDS_8919	KZ613487.1	763125.5	HET
GCA_002865625|CDS_12975	KZ613511.1	67074.0	HET
GCA_002865625|CDS_13714	KZ613516.1	373443.5	HET
GCA_002865625|CDS_15027	KZ613528.1	329229.5	HET
GCA_002865625|CDS_1996	KZ613467.1	767231.5	HET
GCA_002865625|CDS_15615	KZ613536.1	96277.5	HET
GCA_002865625|CDS_8882	KZ613487.1	643333.0	HET
GCA_002865625|CDS_15423	KZ613533.1	181237.0	HET
GCA_002865625|CDS_15423	KZ613533.1	181237.0	HET
GCA_002865625|CDS_14373	KZ613522.1	357053.5	HET
GCA_002865625|CDS_6548	KZ613478.1	919517.0	HET
GCA_002865625|CDS_12808	KZ613509.1	407392.5	HET
GCA_002865625|CDS_15575	KZ613535.1	198937.5	HET
GCA_002865625|CDS_2228	KZ613467.1	1446001.0	HET
GCA_002865625|CDS_643	KZ613464.1	1915742.5	HET
GCA_002865625|CDS_14469	KZ613523.1	319539.0	HET
GCA_002865625|CDS_8917	KZ613487.1	760155.0	HET
GCA_002865625|CDS_9025	KZ613488.1	315309.5	HET
GCA_002865625|CDS_15700	KZ613537.1	144470.5	HET
GCA_002865625|CDS_8848	KZ613487.1	519119.0	HET
GCA_002865625|CDS_8627	KZ613486.1	528611.0	HET
GCA_002865625|CDS_12479	KZ613507.1	182563.0	HET
GCA_002865625|CDS_10973	KZ613498.1	146594.0	HET
GCA_002865625|CDS_135	KZ613464.1	355000.5	HET
GCA_002865625|CDS_4735	KZ613473.1	1191775.0	HET
GCA_002865625|CDS_5569	KZ613475.1	903563.5	HET
GCA_002865625|CDS_6999	KZ613480.1	269958.0	HET
GCA_002865625|CDS_343	KZ613464.1	912556.5	HET
GCA_002865625|CDS_478	KZ613464.1	1323121.0	HET
GCA_002865625|CDS_10156	KZ613493.1	426153.5	HET
GCA_002865625|CDS_11814	KZ613503.1	17258.0	HET
GCA_002865625|CDS_12780	KZ613509.1	318719.5	HET
GCA_002865625|CDS_4604	KZ613473.1	820642.0	HET
GCA_002865625|CDS_10071	KZ613493.1	180438.0	HET
GCA_002865625|CDS_8945	KZ613488.1	68086.0	HET
GCA_002865625|CDS_13226	KZ613513.1	85160.0	HET
GCA_002865625|CDS_9456	KZ613490.1	275239.5	HET
GCA_002865625|CDS_2226	KZ613467.1	1438576.0	HET
GCA_002865625|CDS_10250	KZ613494.1	188055.5	HET
GCA_002865625|CDS_6422	KZ613478.1	426232.0	HET
GCA_002865625|CDS_2350	KZ613468.1	336628.0	HET
GCA_002865625|CDS_6304	KZ613478.1	13201.5	HET
GCA_002865625|CDS_563	KZ613464.1	1644318.5	HET
GCA_002865625|CDS_6072	KZ613477.1	290620.0	HET
GCA_002865625|CDS_11433	KZ613500.1	451984.0	HET
GCA_002865625|CDS_13045	KZ613511.1	375161.5	HET
GCA_002865625|CDS_15794	KZ613539.1	147378.0	HET
GCA_002865625|CDS_600	KZ613464.1	1762408.5	HET
