n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
55	55	9	3093	626917	1176556	2165474	1340185	2583448	32.97e6	Genomes/GCA_000150675.2_ASM15067v2_genomic.fna
110	110	12	2769	411096	1020787	1415765	999117	2204088	32.63e6	Genomes/GCA_000150705.2_Paracocci_br_Pb01_V2_genomic.fna
57	57	5	2271	1067875	2133577	3717022	2350588	3883172	29.47e6	Genomes/GCA_000150735.2_Paracocci_br_Pb18_V2_genomic.fna
27	27	6	3466	1199194	2161526	3105680	2250295	4350155	30.33e6	Genomes/GCA_000150825.1_ASM15082v1_genomic.fna
19	19	3	2855	1804880	3212698	5335537	3150433	5335537	23.12e6	Genomes/GCA_000150975.2_MS_CBS118893_genomic.fna
68	68	10	3770	377776	644460	1371529	905309	2108575	22.22e6	Genomes/GCA_000151125.2_ASM15112v2_genomic.fna
17	17	4	7026	2722846	2904407	3627878	2887343	3807593	23.14e6	Genomes/GCA_000151145.1_ASM15114v1_genomic.fna
125	125	22	1977	136881	384505	576678	404682	1193408	23.48e6	Genomes/GCA_000151175.1_ASM15117v1_genomic.fna
101	101	16	1515	593170	1103875	1743327	1227543	3045279	52.62e6	Genomes/GCA_000151295.1_A_macrogynus_V3_genomic.fna
55	55	4	2002	1164353	2376830	4385429	2853040	5398309	27.01e6	Genomes/GCA_000151335.1_JCVI-cpa1-1.0_genomic.fna
209	209	10	865	405994	1255602	3310053	1890493	4937060	51.23e6	Genomes/GCA_000151355.1_v2.0_genomic.fna
36	36	4	2584	1196190	2128569	2905281	2213591	4035149	22.13e6	Genomes/GCA_000151425.1_ASM15142v1_genomic.fna
111	111	20	2018	227498	359833	671870	444221	1183059	22.51e6	Genomes/GCA_000151455.1_ASM15145v1_genomic.fna
523	523	94	3503	32056	75556	141192	87501	265845	22.54e6	Genomes/GCA_000151505.1_ASM15150v1_genomic.fna
14818	14818	77	500	10621	360274	831497	496608	2328598	106.6e6	Genomes/GCA_000151525.2_P_triticina_1_1_V2_genomic.fna
398	398	59	3269	267946	635738	1201498	768977	2728641	123.5e6	Genomes/GCA_000151645.1_ASM15164v1_genomic.fna
1648	1640	150	505	5478	20026	47736	28935	138623	11.47e6	Genomes/GCA_000166975.1_ASM16697v1_genomic.fna
586	579	51	507	32218	73455	127799	87063	363585	11.86e6	Genomes/GCA_000167035.1_ASM16703v1_genomic.fna
713	713	50	577	21810	62747	129376	76642	238839	10.91e6	Genomes/GCA_000167115.1_ASM16711v1_genomic.fna
77	77	9	2158	576004	1217523	1898645	1398105	3753597	33.35e6	Genomes/GCA_000167675.2_v2.0_genomic.fna
93	93	8	4407	910171	1836662	2704584	1851197	3456807	39.02e6	Genomes/GCA_000170995.2_TRIVI_v2.0_genomic.fna
29	29	6	3162	1474880	2007903	4122911	2681956	5621775	36.14e6	Genomes/GCA_000171015.2_TRIAT_v2.0_genomic.fna
510	510	83	510	16201	36691	66720	42585	131328	9807744	Genomes/GCA_000179415.1_ASM17941v1_genomic.fna
67	65	5	557	452823	654611	1012602	723552	1406285	8957352	Genomes/GCA_000181695.1_ASM18169v1_genomic.fna
38	38	7	4077	634066	1454186	1873742	1326090	2231298	23.91e6	Genomes/GCA_000182565.2_S_punctatus_V1_genomic.fna
9	9	3	31781	962442	2091826	3023470	1953137	3023470	13.03e6	Genomes/GCA_000182765.2_ASM18276v2_genomic.fna
1583	613	14	500	238597	743941	1650766	1038972	3243754	38.05e6	Genomes/GCA_000182805.2_ASM18280v2_genomic.fna
68	68	5	2208	2097972	3468138	3743637	3002008	4146986	36.19e6	Genomes/GCA_000182895.1_CC3_genomic.fna
21	21	3	1646	4251003	5996061	9788318	6254796	9788318	41.06e6	Genomes/GCA_000182925.2_NC12_genomic.fna
8	8	3	949353	1190231	2229556	3187099	2069051	3187099	14.27e6	Genomes/GCA_000182965.3_ASM18296v3_genomic.fna
12	12	4	6938	4068006	4785948	6176627	4917456	6396600	37.12e6	Genomes/GCA_000184455.3_ASM18445v3_genomic.fna
7	7	4	955566	990963	1289628	1514933	1301131	1515570	8870389	Genomes/GCA_000187245.3_Hansenula_2_genomic.fna
241	241	35	520	140974	319271	611547	425605	1754031	38.05e6	Genomes/GCA_000187405.1_MetAcr_May2010_genomic.fna
90	90	4	1177	1785287	4093365	5812380	4044691	7062183	38.96e6	Genomes/GCA_000187425.2_MAA_2.0_genomic.fna
206	206	5	2136	1231502	2952857	4849050	2985484	5437860	34.67e6	Genomes/GCA_000193285.1_Mag_poae_ATCC_64411_V1_genomic.fna
127	127	6	1639	746138	1477754	1832409	1753073	4421377	24.13e6	Genomes/GCA_000203795.1_v1.0_genomic.fna
462	462	27	1091	518344	1111394	2027258	1390705	3940224	97.68e6	Genomes/GCA_000204055.1_v1.0_genomic.fna
35300	35289	6764	500	1239	2877	6015	3903	27369	69.22e6	Genomes/GCA_000208805.1_ASM20880v1_genomic.fna
8	8	3	979380	1724953	1841851	3510147	2242994	3510147	15.44e6	Genomes/GCA_000209165.1_ASM20916v1_genomic.fna
81	81	3	2087	3902174	5591866	9765433	6083709	9765433	38.49e6	Genomes/GCA_000213175.1_v2.0_genomic.fna
46	46	6	1712	1541224	2925928	3534491	2804086	5701910	42.4e6	Genomes/GCA_000218685.1_v1.0_genomic.fna
21	21	6	409213	1624292	2673607	3860111	2956358	6088797	39.68e6	Genomes/GCA_000219625.1_MYCGR_v2.0_genomic.fna
21	21	4	1013	1964467	2848188	6908065	3540189	6908065	28.31e6	Genomes/GCA_000221225.1_CTHT_3.0_genomic.fna
864	864	164	692	33782	66702	122007	80559	305891	35.3e6	Genomes/GCA_000222875.2_PerIpo_1.0_genomic.fna
1621	1307	220	500	25910	56237	99057	66045	230015	39.53e6	Genomes/GCA_000222895.2_NeGans_1.0_genomic.fna
5136	4541	574	500	8215	20998	46045	28738	140194	44.05e6	Genomes/GCA_000222915.1_EpiBra_1.0_genomic.fna
3298	2890	409	503	18113	40562	83589	53459	232217	58.71e6	Genomes/GCA_000222935.2_AciTa_1.0_genomic.fna
6930	6178	662	500	7323	20136	48794	30714	158464	52.33e6	Genomes/GCA_000223055.1_ClFusi_1.0_genomic.fna
2180	1871	218	500	18689	49298	110530	65944	353882	37.96e6	Genomes/GCA_000223075.2_EpiAma_1.0_genomic.fna
2304	2152	315	503	11797	26979	53637	35258	232685	28.92e6	Genomes/GCA_000223175.2_ClPasp_1.0_genomic.fna
25	25	3	2422	1098765	1207643	2495716	1588402	2495716	10.58e6	Genomes/GCA_000223465.1_Candida_tenuis_v1.0_genomic.fna
8	8	3	848681	1163561	2050225	2635954	1853282	2635954	13.08e6	Genomes/GCA_000223485.1_Spathaspora_passalidarum_v2.0_genomic.fna
1069	867	87	500	51366	111022	212572	134181	414378	32.03e6	Genomes/GCA_000223685.2_ASM22368v2_genomic.fna
705	638	60	513	61250	149911	302174	188550	686369	31.11e6	Genomes/GCA_000223765.2_ASM22376v2_genomic.fna
1517	1276	141	500	22801	61125	119744	76261	342035	28.7e6	Genomes/GCA_000223825.2_ASM22382v2_genomic.fna
3076	2376	280	500	17902	44956	97501	62475	267543	46.51e6	Genomes/GCA_000225285.2_EpiGly_1.0_genomic.fna
215	215	8	2008	1228494	2032946	2829292	1933934	3307282	39.97e6	Genomes/GCA_000225545.1_AOL24927_1.0_genomic.fna
32	32	3	1011	3235061	4544390	5414066	4325307	6253536	32.21e6	Genomes/GCA_000225605.1_CmilitarisCM01_v01_genomic.fna
7	7	3	4116359	4127677	5062665	10.93e6	6449700	10.93e6	38.74e6	Genomes/GCA_000226095.1_ASM22609v1_genomic.fna
6	6	2	3570487	4396881	9477512	10.1e6	7255747	10.1e6	36.91e6	Genomes/GCA_000226115.1_ASM22611v1_genomic.fna
49	49	4	1032	3649809	3888243	5621508	4180247	6384758	32.2e6	Genomes/GCA_000226395.1_PenChr_Nov2007_genomic.fna
33	33	6	43015	823125	2410532	3388528	2323608	4614864	34.25e6	Genomes/GCA_000226545.1_ASM22654v1_genomic.fna
11	11	5	695740	998231	1226914	1563424	1353393	2049093	13.49e6	Genomes/GCA_000227115.2_ASM22711v2_genomic.fna
76	75	10	3630	1372585	1758212	2800204	1966020	4216009	43.99e6	Genomes/GCA_000230375.1_ASM23037v1_genomic.fna
11	11	4	6626	2893654	3623190	4218364	3494384	4244708	26.37e6	Genomes/GCA_000230625.1_Exop_derm_V1_genomic.fna
8	8	4	897456	980088	1193613	1540972	1262213	1601908	9669411	Genomes/GCA_000235365.1_ASM23536v1_genomic.fna
11986	5641	139	500	2694	43769	104807	58318	224401	23.83e6	Genomes/GCA_000235945.1_HOMPOL_1.0_genomic.fna
17	17	6	14880	536351	815111	1162893	863794	1376909	12.1e6	Genomes/GCA_000236905.1_ASM23690v1_genomic.fna
10	10	3	468474	804064	1245273	3019861	1584557	3019861	11.22e6	Genomes/GCA_000237345.1_ASM23734v1_genomic.fna
1163	741	14	500	379663	893364	1521922	917731	2068753	36.76e6	Genomes/GCA_000239835.2_Akaw_assembly01_genomic.fna
21	21	2	2080	7679124	8862171	11.63e6	9252801	11.63e6	36.33e6	Genomes/GCA_000240135.3_ASM24013v3_genomic.fna
1099	1028	70	507	73823	171448	305253	201011	604545	38.02e6	Genomes/GCA_000240685.2_ASM24068v2_genomic.fna
8	8	4	833403	1070321	1217912	1354296	1183778	1417671	9218501	Genomes/GCA_000243375.1_ASM24337v1_genomic.fna
155	155	11	665	393904	968288	1333962	860458	1688224	26.72e6	Genomes/GCA_000261425.2_UM843Vel2.0_genomic.fna
56	56	9	2071	202678	337330	626561	414190	900636	9798415	Genomes/GCA_000263375.1_Wallemia_sebi_v1.0_genomic.fna
159	159	9	2010	1397275	1781964	3465313	2151064	3726271	45.65e6	Genomes/GCA_000264905.1_Stehi1_genomic.fna
195	195	6	2001	981661	2048194	2829066	2116966	4604672	33.07e6	Genomes/GCA_000264995.1_Punctularia_strigosozonata_v1.0_genomic.fna
1531	1531	43	2002	150256	481768	1001567	611140	2110480	69.05e6	Genomes/GCA_000265015.1_Auricularia_subglabra_SS-5_V1.0_genomic.fna
82	82	11	2064	617527	1387690	1955892	1590082	4823741	43.12e6	Genomes/GCA_000271565.1_GanLuc1.0_genomic.fna
283	283	6	2008	2472687	2834592	3823575	2920545	4963567	42.89e6	Genomes/GCA_000271585.1_Trametes_versicolor_v1.0_genomic.fna
1412	1412	6	1998	1366018	3773382	4260458	3592996	8506741	56.77e6	Genomes/GCA_000271605.1_Fomme1_genomic.fna
210	210	7	2003	1349795	2346210	3137141	2381527	4488750	41.86e6	Genomes/GCA_000271625.1_Conpu1_genomic.fna
45	45	5	1662	985129	1591301	5913943	2372477	5913943	27.99e6	Genomes/GCA_000271645.1_Treme1_genomic.fna
542	542	15	2002	210105	581400	1730159	989462	3339588	39.46e6	Genomes/GCA_000275845.1_Dichomitus_squalens_v1.0_genomic.fna
237	237	13	1004	278508	727766	1655678	921907	2081729	33.6e6	Genomes/GCA_000280675.1_ASM28067v1_genomic.fna
169	169	22	1287	247612	476883	700885	499811	1074616	28.51e6	Genomes/GCA_000281105.1_Coni_apol_CBS100218_V1_genomic.fna
502	502	40	2009	78871	252471	427236	294696	1045742	32.11e6	Genomes/GCA_000291705.1_sPop_v1_genomic.fna
99	99	10	2007	756485	1153285	1625698	1171200	1990707	27.6e6	Genomes/GCA_000292625.1_Dacryopinax_sp._DJM_731_SSP1_v1.0_genomic.fna
35	35	6	2024	522744	865807	1115050	833367	1229296	11.4e6	Genomes/GCA_000292725.1_SacArb1.0_genomic.fna
78	78	6	2040	704307	1634549	2638318	1682254	3196803	24.3e6	Genomes/GCA_000293215.1_Trichosporon_asahii_1_genomic.fna
802	802	37	789	45299	199209	496979	272384	948252	27.92e6	Genomes/GCA_000296255.1_OmpOle_1.0_genomic.fna
89	89	11	1006	936189	1592349	2641071	1945807	5164391	51.72e6	Genomes/GCA_000298775.1_ASM29877v1_genomic.fna
1137	1137	6	1992	1628007	3314607	4393293	3022681	5304192	43.13e6	Genomes/GCA_000300595.1_Phanerochaete_carnosa_HHB-10118-Sp_v1.0_genomic.fna
4864	4864	248	1000	11773	56761	155443	91006	530588	60.78e6	Genomes/GCA_000301015.1_CfCabog12_genomic.fna
1506	1144	90	506	58461	151055	301053	218984	1143446	48.76e6	Genomes/GCA_000302655.1_MphMS6_1.0_genomic.fna
281	281	2	502	7715894	8831634	11.68e6	9178563	11.68e6	36.93e6	Genomes/GCA_000303195.2_FP7_genomic.fna
12	12	4	421426	737985	1026670	1484635	1093921	1757339	11.13e6	Genomes/GCA_000304475.1_Ka_CBS2517_genomic.fna
2744	2253	281	502	16689	42567	87023	54883	283825	41.29e6	Genomes/GCA_000308955.1_ETyphina_1.0_genomic.fna
364	364	50	507	44333	98237	175479	119478	340075	15.9e6	Genomes/GCA_000313485.1_ASM31348v1_genomic.fna
861	861	114	2524	33081	80917	137069	89973	345519	28.22e6	Genomes/GCA_000313525.1_ASM31352v1_genomic.fna
1885	1885	132	1000	17101	52072	110800	67973	253987	24.83e6	Genomes/GCA_000313545.1_ASM31354v1_genomic.fna
54	54	5	2038	616813	1455643	5569759	2298009	5569759	24.91e6	Genomes/GCA_000315645.2_PdigPd1_v1_genomic.fna
8	8	3	601572	1012063	1622663	2899497	1893015	2899497	12.48e6	Genomes/GCA_000315875.1_ASM31587v1_genomic.fna
10	10	4	492909	986245	1448821	2450468	1727936	2696728	14.05e6	Genomes/GCA_000315915.1_ASM31591v1_genomic.fna
311	309	53	711	46103	113553	197784	135978	479004	19.15e6	Genomes/GCA_000315935.1_NOKS_genome_assembly_20110720_genomic.fna
93	93	9	14113	206813	957836	1873306	971030	2548689	26.13e6	Genomes/GCA_000317355.2_ASM31735v2_genomic.fna
10	10	3	4151	2795612	3660033	6916777	4689512	6916777	31.77e6	Genomes/GCA_000317715.1_ophiu10_genomic.fna
72	72	5	2011	1734068	2021915	3569176	2668110	5039318	28.92e6	Genomes/GCA_000320565.2_Septoria_musiva_SO2202_v1.0_genomic.fna
15	15	6	8087	1875338	2572835	3445093	2628244	3591957	33.65e6	Genomes/GCA_000320585.2_Heterobasidion_irregulare_v2.0_genomic.fna
740	632	8	500	611422	1644738	2577443	1704893	3648078	37.83e6	Genomes/GCA_000320605.2_Ceriporiopsis_subvermispora_B_v1.0_genomic.fna
94	94	11	1037	295066	574416	1421414	708393	1532102	20.18e6	Genomes/GCA_000320785.2_RHOziaDV1.0_genomic.fna
27	27	7	2211	574818	883984	1877091	1156993	2473901	19.64e6	Genomes/GCA_000328475.2_Umaydis521_2.0_genomic.fna
13	13	5	11588	2571449	3428278	3836986	3137773	3861944	34.17e6	Genomes/GCA_000328965.1_ASM32896v1_genomic.fna
745	745	64	1002	61458	179254	330411	215384	677837	38.42e6	Genomes/GCA_000331835.2_GD12v2_genomic.fna
19	19	7	2076	1159795	1299806	1799481	1480099	2026523	21.87e6	Genomes/GCA_000338955.1_Bauco1_genomic.fna
154	154	7	2011	1256719	1745590	2614853	1899030	3514409	33.21e6	Genomes/GCA_000338995.1_Cocsa1_genomic.fna
20	20	5	2271	1751021	2585404	3286636	2702808	5085740	30.07e6	Genomes/GCA_000340195.1_Dothistroma_septosporum_NZE10_v1.0_genomic.fna
56	56	5	2275	3968884	5874494	8775284	6017740	11.8e6	73.73e6	Genomes/GCA_000340215.1_Mycfi2_genomic.fna
348	348	7	2014	1037816	2475299	3770824	2583733	4998599	48.24e6	Genomes/GCA_000344635.1_Wolco1_genomic.fna
504	504	36	1004	129431	351953	715738	413844	1322583	39.6e6	Genomes/GCA_000344655.2_Fompi3_genomic.fna
442	442	7	1870	957416	1675173	3261817	2029080	4049429	34.43e6	Genomes/GCA_000344685.1_Glotr1_1_genomic.fna
2947	2101	331	500	4949	11355	21232	14046	57658	12.56e6	Genomes/GCA_000344705.1_Cmaltosa_v01_genomic.fna
9	9	4	26062	3495414	3850754	4699286	4143292	5952752	30.14e6	Genomes/GCA_000346795.1_pde_v1.0_genomic.fna
191	191	25	2010	191785	415421	737246	457832	953099	30.9e6	Genomes/GCA_000347355.1_ASM34735v1_genomic.fna
420	414	57	605	75484	189821	398760	226464	732563	34.78e6	Genomes/GCA_000347475.1_Ppaxilli_v.1.0_genomic.fna
8239	5181	672	500	5972	14238	28098	18129	79323	32.96e6	Genomes/GCA_000347735.1_C_canescens_MTCC-10836_BHU_v01_genomic.fna
13	13	5	450632	628580	855641	1310059	949984	1410224	10.84e6	Genomes/GCA_000348985.1_ASM34898v1_genomic.fna
65	65	6	501	160260	510951	752294	466345	812980	7654640	Genomes/GCA_000349305.2_ASM34930v2_genomic.fna
2334	2008	237	500	30626	68823	129816	82002	263509	53.78e6	Genomes/GCA_000349385.1_UCREL1V03_genomic.fna
62	62	9	2834	541885	929502	2427105	1497659	3942248	35.6e6	Genomes/GCA_000349905.1_VVO_genomic.fna
207	207	13	899	374114	960244	1483938	965590	2250620	32.09e6	Genomes/GCA_000354255.1_CocheC4_1_genomic.fna
407	407	8	1967	1056383	1904541	3178801	1973025	3665432	38.25e6	Genomes/GCA_000359705.1_Setospaeria_trucica_Et28A_v1.0_genomic.fna
19	19	5	2368	1673963	2379483	3694484	2497360	3760447	28.72e6	Genomes/GCA_000365145.2_Phia_euro_CBS_101466_V1_genomic.fna
19	19	4	1228	1613379	3197044	3633287	3253995	5725642	28.98e6	Genomes/GCA_000365165.2_Clad_carr_CBS_160_54_V1_genomic.fna
1181	1181	192	526	15925	38867	70600	47893	230372	24.94e6	Genomes/GCA_000372705.1_YLSCbra_1.0_genomic.fna
83777	58433	11285	500	924	2096	4960	3412	100988	91.32e6	Genomes/GCA_000382605.1_LAG_Assembly_genomic.fna
1297	1193	148	502	35295	83655	179039	108465	480852	42.49e6	Genomes/GCA_000385595.1_UCRNP2V3_genomic.fna
399	398	56	505	74709	172950	304973	196910	512974	29.86e6	Genomes/GCA_000389695.3_Cfim3.0_genomic.fna
624	535	45	510	141033	334293	592236	413715	1628100	47.35e6	Genomes/GCA_000392275.1_UCRPA7V03_genomic.fna
82	82	9	643	249373	436658	570613	436343	792435	9624672	Genomes/GCA_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna
74	64	13	565	268165	445317	860376	566385	1398088	18.43e6	Genomes/GCA_000403515.1_ASM40351v1_genomic.fna
22	22	8	116898	1491344	2089504	2949815	2242957	3577693	39.17e6	Genomes/GCA_000409485.1_GLAREA_genomic.fna
45	45	8	8137	499725	1444141	2894481	1697906	4366329	32.5e6	Genomes/GCA_000410735.1_Opiceae_UAMHv01_genomic.fna
39	39	10	2219	596426	909735	1254340	936264	1968073	22.96e6	Genomes/GCA_000417875.1_Pflocc_1.0_genomic.fna
1111	1111	127	960	137358	326594	579480	369697	1316631	129.8e6	Genomes/GCA_000439145.3_ASM43914v3_genomic.fna
1279	1007	57	501	92083	190204	404402	266284	937433	39.41e6	Genomes/GCA_000441935.1_MHA_v2_genomic.fna
36	36	9	918	1470536	1692590	2163131	1751410	2812195	34.38e6	Genomes/GCA_000442125.1_Cafla_v1_genomic.fna
712	677	91	501	33928	71416	156213	97932	346987	22.77e6	Genomes/GCA_000442785.1_Cf_30_300r_Split10plusN_genomic.fna
27	27	4	11090	413836	931375	1451338	918516	1683839	10.25e6	Genomes/GCA_000442885.1_ZYBA0_genomic.fna
240	240	11	922	1016515	1429331	1699279	1406099	2222659	35.59e6	Genomes/GCA_000444155.1_Clmac_v1_genomic.fna
908	908	57	1769	50557	177944	395618	236389	799183	36.78e6	Genomes/GCA_000464535.1_EPUS_genomic.fna
54	54	8	2314	844621	1463698	2253109	1528514	2654556	32.22e6	Genomes/GCA_000465215.2_Pysem1.0_genomic.fna
1091	892	125	500	42115	90260	168473	110797	412304	38.18e6	Genomes/GCA_000467715.1_ASM46771v1_genomic.fna
3976	3254	442	500	11881	27049	51018	33171	132928	39.6e6	Genomes/GCA_000467735.1_ASM46773v1_genomic.fna
1003	1003	60	501	74350	188607	314835	212812	829589	35.17e6	Genomes/GCA_000472125.2_Hirsutella_thompsonii_MTCC6686_genomic.fna
30	30	10	2487	1249843	1574776	1945357	1587612	2363967	35.79e6	Genomes/GCA_000482085.2_C_metacorallifera_KoLRI002260_v2_genomic.fna
45	41	7	510	498324	720506	1718293	988671	2209416	17.32e6	Genomes/GCA_000497045.1_PSEUBRA1_genomic.fna
4516	3356	229	502	6410	25956	99401	70022	500105	30.14e6	Genomes/GCA_000497225.1_AmaJack1.0_genomic.fna
422	422	5	500	2772513	4138480	4770560	4006732	6187784	43.9e6	Genomes/GCA_000497325.3_ASM49732v3_genomic.fna
41	41	7	2049	404365	674080	1329265	709387	1386278	12.71e6	Genomes/GCA_000497715.1_SpaArb1.0_genomic.fna
5686	2939	307	500	13998	33515	62785	40379	217806	33.68e6	Genomes/GCA_000498615.1_Hsolani1.0_genomic.fna
41096	40927	5053	500	1323	4217	11788	17765	590597	93.53e6	Genomes/GCA_000500245.1_Cro_ribi_1.0_genomic.fna
1241	1241	88	502	56002	130148	284716	166026	590720	39.24e6	Genomes/GCA_000503235.1_SBOR_1_genomic.fna
3263	3257	164	500	29322	80182	148170	100375	528484	43.36e6	Genomes/GCA_000504365.2_ASM50436v2_genomic.fna
617	610	73	501	48896	116570	210460	130836	381636	26.49e6	Genomes/GCA_000504385.2_ASM50438v2_genomic.fna
12491	8734	1077	500	1600	5249	13311	8488	70765	22.85e6	Genomes/GCA_000504465.1_CryAan1.0_genomic.fna
67	67	13	1124	335865	709378	1096236	708707	1514436	25.43e6	Genomes/GCA_000507405.3_Cryp_heve_BCC8398_V1_genomic.fna
62	62	7	1106	538197	1042441	2097183	1217232	2538512	22.59e6	Genomes/GCA_000507465.3_Kwon_mang_CBS8507_V2_genomic.fna
13	13	5	1289	1598359	2116074	2592839	2303038	3949953	23.86e6	Genomes/GCA_000512565.2_Cryp_deje_CBS10117_V1_genomic.fna
