GCA	GCA_Name	Clade	Rep	BGCome_Size	Genome_Size	Unique_Proteins	CAZy_Total_Count
GCA_000604185	Neurospora_sublineolata_FGSC_5508_GCA_000604185	Pezizomycotina	FALSE	577560	34340910	6721	236
GCA_003988815	Chlorencoelia_torta_GCA_003988815	Pezizomycotina	TRUE	2467271	42153480	10181	349
GCA_000146915	Parastagonospora_nodorum_SN15_GCA_000146915	Pezizomycotina	TRUE	3566149	37047270	11463	532
GCA_001599595	Beverwykella_pulmonaria_GCA_001599595	Pezizomycotina	TRUE	4416498	44295518	12808	623
GCA_003868215	Pseudophaeomoniella_oleicola_GCA_003868215	Pezizomycotina	TRUE	1845198	26600371	8904	345
GCA_000611775	Umbilicaria_muehlenbergii_GCA_000611775	Pezizomycotina	TRUE	1813591	34592441	8363	207
GCA_001513895	Graphilbum_fragrans_GCA_001513895	Pezizomycotina	TRUE	1351256	34074671	8256	361
GCA_003012165	Paramyrothecium_roridum_GCA_003012165	Pezizomycotina	TRUE	3767193	44736802	12797	809
GCA_001604925	Phyllosticta_capitalensis_GCA_001604925	Pezizomycotina	TRUE	1198186	32358281	9319	335
GCA_900465125	Plenodomus_biglobosus/Leptosphaeria_biglobosa_'brassicae'_group_GCA_900465125	Pezizomycotina	TRUE	1912441	34950111	9131	461
GCA_003016335	Corynespora_cassiicola_Philippines_GCA_003016335	Pezizomycotina	TRUE	4436637	44703665	17083	714
GCA_002572855	Emmonsia_crescens_GCA_002572855	Pezizomycotina	TRUE	1097976	33739611	8894	204
GCA_001692915	Glonium_stellatum_GCA_001692915	Pezizomycotina	TRUE	1768264	40170011	14191	498
GCA_900290415	Podospora_comata_GCA_900290415	Pezizomycotina	TRUE	2496526	34157309	12580	467
GCA_000349385	Eutypa_lata_UCREL1_GCA_000349385	Pezizomycotina	TRUE	3267375	53595975	11666	614
GCA_900073065	Phialocephala_subalpina_GCA_900073065	Pezizomycotina	TRUE	5505573	66853248	20171	835
GCA_003795315	Valsa_malicola_GCA_003795315	Pezizomycotina	TRUE	3848048	38171725	10559	465
GCA_002865625	Hyaloscypha_hepaticicola_GCA_002865625	Pezizomycotina	TRUE	3280553	56764259	16763	466
GCA_003788565	Ascobolus_immersus_RN42_GCA_003788565	Pezizomycotina	TRUE	864709	58885632	17754	351
GCA_001563115	Colletotrichum_nymphaeae_SA-01_GCA_001563115	Pezizomycotina	TRUE	3904645	49675139	14341	759
GCA_000385595	Neofusicoccum_parvum_UCRNP2_GCA_000385595	Pezizomycotina	TRUE	2820706	42408988	10364	541
GCA_002105025	Clohesyomyces_aquaticus_GCA_002105025	Pezizomycotina	TRUE	4202908	49677730	15796	626
GCA_000003515	Uncinocarpus_reesii_1704_GCA_000003515	Pezizomycotina	TRUE	1514770	22166369	7760	166
GCA_001566295	Microdochium_bolleyi_GCA_001566295	Pezizomycotina	TRUE	2814412	38805954	13138	525
GCA_001692735	Lepidopterella_palustris_CBS_459.81_GCA_001692735	Pezizomycotina	TRUE	1663867	45634574	13842	317
GCA_003019895	Coniella_lustricola_GCA_003019895	Pezizomycotina	TRUE	2712082	36366900	11303	432
GCA_004000055	Arthrobotrys_flagrans_GCA_004000055	Pezizomycotina	TRUE	642452	36645795	10115	345
GCA_000365145	Cyphellophora_europaea_CBS_101466_GCA_000365145	Pezizomycotina	TRUE	1491602	28719617	11088	372
GCA_000968615	Thielaviopsis_punctulata_GCA_000968615	Pezizomycotina	TRUE	527486	27394489	5246	219
GCA_002127715	Hortaea_werneckii_EXF-2000_GCA_002127715	Pezizomycotina	TRUE	1828911	49768822	12509	811
GCA_003790465	Morchella_conica_CCBAS932_GCA_003790465	Pezizomycotina	TRUE	676359	47195706	11560	357
GCA_003013795	Elsinoe_australis_GCA_003013795	Pezizomycotina	TRUE	1562526	23210997	9241	447
GCA_003073855	Periconia_macrospinosa_GCA_003073855	Pezizomycotina	TRUE	6700813	53989243	18671	691
GCA_003788615	Terfezia_boudieri_ATCC_MYA-4762_GCA_003788615	Pezizomycotina	TRUE	438430	59614192	11856	185
GCA_003118255	Trichophyton_mentagrophytes_GCA_003118255	Pezizomycotina	TRUE	2131043	22631310	7702	200
GCA_001636715	Ascosphaera_apis_ARSEF_7405_GCA_001636715	Pezizomycotina	TRUE	750100	20034979	6442	170
GCA_003610855	Erysiphe_neolycopersici_GCA_003610855	Pezizomycotina	TRUE	114874	39635999	6694	144
GCA_000392275	Phaeoacremonium_minimum_UCRPA7_GCA_000392275	Pezizomycotina	TRUE	1469578	47302611	8833	438
GCA_001619985	Xylona_heveae_TC161_GCA_001619985	Pezizomycotina	TRUE	1622670	24318220	8195	201
GCA_000354255	Bipolaris_maydis_ATCC_48331_GCA_000354255	Pezizomycotina	TRUE	3835495	32084566	12691	544
GCA_000721755	Aureobasidium_subglaciale_EXF-2481_GCA_000721755	Pezizomycotina	TRUE	1936074	25790867	10790	448
GCA_000151645	Tuber_melanosporum_GCA_000151645	Pezizomycotina	TRUE	451448	123533734	7412	187
GCA_000225545	Orbilia_oligospora_ATCC_24927_GCA_000225545	Pezizomycotina	TRUE	1103214	39966211	11477	387
GCA_000338955	Baudoinia_panamericana_UAMH_10762_GCA_000338955	Pezizomycotina	TRUE	1293462	21865565	10496	304
GCA_000226115	Thermothielavioides_terrestris_NRRL_8126_GCA_000226115	Pezizomycotina	TRUE	2091629	36912256	9755	393
GCA_000516985	Pestalotiopsis_fici_W106-1_GCA_000516985	Pezizomycotina	TRUE	6120631	51862766	15412	859
GCA_002105095	Pseudomassariella_vexata_GCA_002105095	Pezizomycotina	TRUE	4469028	44711451	12526	607
GCA_001481775	Trichoderma_gamsii_GCA_001481775	Pezizomycotina	TRUE	3137760	37907704	11166	433
GCA_001642045	Paraphaeosphaeria_sporulosa_GCA_001642045	Pezizomycotina	TRUE	5545732	38084891	14722	675
GCA_001636725	Cordyceps_fumosorosea_ARSEF_2679_GCA_001636725	Pezizomycotina	TRUE	3133737	33399778	10041	332
GCA_000464535	Endocarpon_pusillum_Z07020_GCA_000464535	Pezizomycotina	TRUE	1989075	36775230	9227	219
GCA_000836435	Fonsecaea_multimorphosa_CBS_102226_GCA_000836435	Pezizomycotina	TRUE	1937094	33428689	12367	329
GCA_003019875	Amorphotheca_resinae_ATCC_22711_GCA_003019875	Pezizomycotina	TRUE	1390539	28460023	9621	290
GCA_001662655	Pseudogymnoascus_verrucosus_GCA_001662655	Pezizomycotina	TRUE	2232339	30157364	10678	582
