name	gca	clade	bgcome_size	genome_size	cazy_count	protein_count
Bifiguratus_GCA_002261195.1	GCA_002261195	Other	322691	19180058	255	5697
Chytridiales_GCA_027604305.1	GCA_027604305	Other	167986	26939298	231	8731
Scedosporium_GCA_000812075.1	GCA_000812075	BGC_Enriched_Pezizomycotina	1721282	39422603	405	10006
Clydaea_GCA_027604065.1	GCA_027604065	Other	109388	24632018	169	8647
Physocladia_GCA_027596945.1	GCA_027596945	Other	217739	44073083	346	12792
Rhizoclosmatium_GCA_027604365.1	GCA_027604365	Other	193570	30544921	352	11857
Cryphonectria_GCA_003264845.1	GCA_003264845	BGC_Enriched_Pezizomycotina	3706221	40208438	501	10703
Rhizoclosmatium_GCA_002104985.1	GCA_002104985	Other	542899	57017234	362	16986
Allomyces_GCA_027604705.1	GCA_027604705	Other	181548	26480077	138	8889
Ascobolus_GCA_003788565.2	GCA_003788565	Other	864709	58885632	351	17876
Batrachochytrium_GCA_000149865.1	GCA_000149865	Other	268079	23577733	143	7005
Rhizopus_GCA_002083745.1	GCA_002083745	Other	439570	24892044	254	11496
Ustulina_GCA_002081935.3	GCA_002081935	BGC_Enriched_Pezizomycotina	5408965	46510157	517	12062
Polyrhizophydium_GCA_027604665.1	GCA_027604665	Other	113093	23299484	134	8330
Gaertneriomyces_GCA_025558075.1	GCA_025558075	Other	342256	20918219	146	8713
Colletotrichum_GCA_001563115.1	GCA_001563115	BGC_Enriched_Pezizomycotina	3904645	49675139	759	14349
Blyttiomyces_GCA_027604625.1	GCA_027604625	Other	55247	46231986	284	13888
Phlyctochytrium_GCA_025602905.1	GCA_025602905	Other	402159	31548172	165	10962
Neofusicoccum_GCA_000385595.1	GCA_000385595	BGC_Enriched_Pezizomycotina	2820706	42408988	541	10365
Reticulascus_GCA_001557505.1	GCA_001557505	BGC_Enriched_Pezizomycotina	3957835	42868360	676	12199
Rhizophlyctis_GCA_002214945.1	GCA_002214945	Other	306334	46568862	347	11457
Talaromyces_GCA_001270325.1	GCA_001270325	BGC_Enriched_Pezizomycotina	2749749	38748549	557	10355
Orbilia_GCF_000225545.1	GCA_000225545	Other	1103214	39966211	387	11479
Verticillium_GCA_000732205.1	GCA_000732205	BGC_Enriched_Pezizomycotina	2088665	35973570	610	10200
Boothiomyces_GCA_027604245.1	GCA_027604245	Other	170454	12849375	141	6264
Metschnikowia_GCA_002374405.1	GCA_002374405	Other	126603	20362124	121	5637
Baudoinia_GCF_000338955.1	GCA_000338955	BGC_Enriched_Pezizomycotina	1293462	21865565	304	10500
Batrachochytrium_GCA_002006685.2	GCA_002006685	Other	175193	73346731	183	10867
Evernia_GCA_003184365.1	GCA_003184365	BGC_Enriched_Pezizomycotina	5089503	40286858	284	11960
Schizosaccharomyces_GCA_000002945.2	GCA_000002945	Other	233594	12590849	108	4932
Martensiomyces_GCA_025201845.1	GCA_025201845	Other	147067	19261180	219	8382
Chytriomyces_GCA_027604165.1	GCA_027604165	Other	369243	29776287	288	11560
Yarrowia_GCA_000002525.1	GCA_000002525	Other	186198	20501810	123	6448
Thermothielavioides_GCF_000226115.1	GCA_000226115	BGC_Enriched_Pezizomycotina	2091629	36912256	393	9802
Linderina_GCF_002104995.1	GCA_002104995	Other	190944	26202545	266	9350
Paecilomyces_GCA_003990805.1	GCA_003990805	BGC_Enriched_Pezizomycotina	2187407	30833540	290	8405
Batrachochytrium_GCA_000203795.1	GCA_000203795	Other	192889	24130314	162	8700
Neocallimastix_GCA_002104975.1	GCA_002104975	Neocallimastigomycota	2038726	193030081	1249	20214
Microbotryum_GCA_900120095.1	GCA_900120095	Other	227782	33586740	199	13241
Piromyces_GCA_002104945.1	GCA_002104945	Neocallimastigomycota	626259	56455805	601	10978
Mucor_GCA_000950595.1	GCA_000950595	Other	423431	31788096	286	9526
Ophiognomonia_GCA_003671545.1	GCA_003671545	BGC_Enriched_Pezizomycotina	5311010	51190975	698	13399
Terramyces_GCA_027603945.1	GCA_027603945	Other	293934	15585454	161	7848
Coemansia_GCA_002705745.1	GCA_002705745	Other	145583	20641002	171	7341
Hanseniaspora_GCA_900119595.1	GCA_900119595	Other	118542	9035520	87	4070
Fonticula_GCA_000388065.2	GCA_000388065	Other	113902	25403499	32	5407
Kappamyces_GCA_027604465.1	GCA_027604465	Other	115705	11695702	143	5512
Aspergillus_GCA_003574815.1	GCA_003574815	BGC_Enriched_Pezizomycotina	3623676	31178067	491	9905
Pestalotiopsis_GCF_000516985.1	GCA_000516985	BGC_Enriched_Pezizomycotina	6120631	51862766	859	15413
Geranomyces_GCA_027603065.1	GCA_027603065	Other	870820	24132271	187	8866
Chytriomyces_GCA_027604085.1	GCA_027604085	Other	378624	28403704	296	11170
Basidiobolus_GCA_002104905.1	GCA_002104905	Other	1584518	89489060	546	16110
Rozella_GCA_000442015.1	GCA_000442015	Other	9832	11482583	85	6166
Geranomyces_GCA_027601485.1	GCA_027601485	Other	757557	23746804	188	9029
Entophlyctis_GCA_027604545.1	GCA_027604545	Other	205570	26942938	324	9626
Cystobasidiopsis_GCA_001599975.1	GCA_001599975	Other	426531	22128637	208	8044
Chytridium_GCA_025449115.1	GCA_025449115	Other	312706	42380874	195	14273
Thoreauomyces_GCA_027596035.1	GCA_027596035	Other	414522	26324326	189	9403
Elaphomyces_GCA_002240705.1	GCA_002240705	BGC_Enriched_Pezizomycotina	584744	53858501	243	14478
Cladosporium_GCA_000261425.2	GCA_000261425	BGC_Enriched_Pezizomycotina	1273538	26716808	444	8982
Umbelopsis_GCF_025399195.1	GCA_025399195	Other	433491	23060122	348	9923
Endocalyx_GCA_001600455.1	GCA_001600455	BGC_Enriched_Pezizomycotina	6754477	44683250	636	12886
Gorgonomyces_GCA_025526955.1	GCA_025526955	Other	157542	13983420	191	7898
Clohesyomyces_GCA_002105025.1	GCA_002105025	BGC_Enriched_Pezizomycotina	4202908	49677730	626	15811
Pseudomassariella_GCF_002105095.1	GCA_002105095	BGC_Enriched_Pezizomycotina	4469028	44711451	607	12564
Globomyces_GCA_027595885.1	GCA_027595885	Other	337391	16104292	145	6698
Allomyces_GCA_000151295.1	GCA_000151295	Other	329435	52624944	242	16087
Uncinocarpus_GCA_000003515.2	GCA_000003515	BGC_Enriched_Pezizomycotina	1514770	22166369	166	7760
Synchytrium_GCA_006535955.1	GCA_006535955	Other	136332	21374948	155	8031
Neoconidiobolus_GCA_025603075.1	GCA_025603075	Other	203739	24606469	213	8866
Powellomyces_GCA_006536005.1	GCA_006536005	Other	563266	26187520	157	6536
Gyalolechia_GCA_000442125.1	GCA_000442125	BGC_Enriched_Pezizomycotina	3087933	34383966	254	9849
Microdochium_GCA_001566295.1	GCA_001566295	BGC_Enriched_Pezizomycotina	2814412	38805954	525	13165
Entophlyctis_GCA_027603655.1	GCA_027603655	Other	174823	25900143	310	9099
Monosiga_GCA_000002865.1	GCA_000002865	Other	159926	38648792	250	9175
Lepidopterella_GCA_001692735.1	GCA_001692735	BGC_Enriched_Pezizomycotina	1663867	45634574	317	13861
Candida_GCA_001661425.1	GCA_001661425	Other	127836	13099731	139	5830
Coniella_GCA_003019895.1	GCA_003019895	BGC_Enriched_Pezizomycotina	2712082	36366900	432	11314
Cladonia_GCA_002927785.1	GCA_002927785	BGC_Enriched_Pezizomycotina	2654059	32851025	239	10083
Nowakowskiella_GCA_027600645.1	GCA_027600645	Other	295659	22616348	309	8328
Trichoderma_GCF_001481775.2	GCA_001481775	BGC_Enriched_Pezizomycotina	3137760	37907704	433	11171
Anaeromyces_GCA_002104895.1	GCA_002104895	Neocallimastigomycota	2189531	71677735	734	12830
Geranomyces_GCA_027602705.1	GCA_027602705	Other	697394	23386681	169	8698
Zygoascus_GCA_003707925.2	GCA_003707925	Other	154971	13045382	167	5444
Ophioceras_GCA_003049485.1	GCA_003049485	BGC_Enriched_Pezizomycotina	1716453	42851467	471	10871
Protomyces_GCF_002105105.1	GCA_002105105	Other	266007	12928838	193	6722
Neurospora_GCA_000182925.2	GCA_000182925	BGC_Enriched_Pezizomycotina	1255064	41061603	338	8319
Kockiozyma_GCA_003705835.2	GCA_003705835	Other	278149	14037781	152	5826
Pseudozyma_GCF_000417875.1	GCA_000417875	Other	595011	22963180	211	6877
Diaporthe_GCA_001447215.1	GCA_001447215	BGC_Enriched_Pezizomycotina	4507020	54751262	719	12999
Paraphaeosphaeria_GCF_001642045.1	GCA_001642045	BGC_Enriched_Pezizomycotina	5545732	38084891	675	14734
Conidiobolus_GCA_001566745.1	GCA_001566745	Other	417335	31710747	205	10572
Hesseltinella_GCA_002104935.1	GCA_002104935	Other	403269	27216191	247	11139
Helminthosporium_GCA_000498615.1	GCA_000498615	BGC_Enriched_Pezizomycotina	1699501	33028319	502	10016
Synchytrium_GCF_006535985.1	GCA_006535985	Other	213949	26237362	222	6304
Arthrobotrys_GCA_004000055.1	GCA_004000055	Other	642452	36645795	345	10346
Leptoxyphium_GCA_001660795.1	GCA_001660795	BGC_Enriched_Pezizomycotina	1430559	24901912	238	8012
Arthonia_GCA_002989075.1	GCA_002989075	BGC_Enriched_Pezizomycotina	2021288	33401249	308	9690
Mucor_GCA_000401635.1	GCA_000401635	Other	500038	34134616	307	12227
Allomyces_GCA_027604645.1	GCA_027604645	Other	160241	29927322	144	9981
Knufia_GCA_002319055.1	GCA_002319055	BGC_Enriched_Pezizomycotina	792444	27718321	278	9387
Paramicrosporidium_GCA_002794465.1	GCA_002794465	Other	0	7164192	66	3766
Cyphellophora_GCA_000365145.2	GCA_000365145	BGC_Enriched_Pezizomycotina	1491602	28719617	372	11094
Cordyceps_GCF_001636725.1	GCA_001636725	BGC_Enriched_Pezizomycotina	3133737	33399778	332	10061
Aeminium_GCA_004216415.1	GCA_004216415	BGC_Enriched_Pezizomycotina	673408	22581462	295	8118
Entophlyctis_GCA_027604725.1	GCA_027604725	Other	246603	27691203	356	9698
Thielaviopsis_GCA_000968615.1	GCA_000968615	BGC_Enriched_Pezizomycotina	527486	27394489	219	5293
Hortaea_GCA_002127715.1	GCA_002127715	BGC_Enriched_Pezizomycotina	1828911	49768822	811	15620
Chytriomyces_GCA_006535975.1	GCA_006535975	Other	385722	35874199	314	10712
Spizellomyces_GCA_006535965.1	GCA_006535965	Other	600589	22930083	168	8518
Boothiomyces_GCA_027604185.1	GCA_027604185	Other	274584	15700521	161	7605
Neolecta_GCA_001929475.1	GCA_001929475	Other	193498	12984181	86	4892
Saccharomycopsis_GCA_004014935.1	GCA_004014935	Other	127608	16952356	175	5841
Proliferodiscus_GCA_003988795.1	GCA_003988795	BGC_Enriched_Pezizomycotina	4722183	34008678	510	11075
Morchella_GCA_003790465.1	GCA_003790465	Other	676359	47195706	357	11593
Coprinopsis_GCF_000182895.1	GCA_000182895	Agaricomycetes	901156	36192556	448	13356
Endocarpon_GCF_000464535.1	GCA_000464535	BGC_Enriched_Pezizomycotina	1989075	36775230	219	9238
Dimargaris_GCA_003614675.1	GCA_003614675	Other	609786	30652850	122	7384
Cyanodermella_GCA_900618795.1	GCA_900618795	BGC_Enriched_Pezizomycotina	4326105	28302436	360	9603
Linnemannia_GCA_001651415.1	GCA_001651415	Other	217495	49697767	264	14961
Knoxdaviesia_GCA_001510565.1	GCA_001510565	BGC_Enriched_Pezizomycotina	626701	35138057	250	7122
Ogataea_GCA_003706095.1	GCA_003706095	Other	145149	11245592	141	5619
Coniochaeta_GCA_002798055.1	GCA_002798055	BGC_Enriched_Pezizomycotina	1484337	30791717	451	10081
Clonostachys_GCA_000963775.2	GCA_000963775	BGC_Enriched_Pezizomycotina	4203312	54564997	759	15839
Powellomyces_GCA_025526995.1	GCA_025526995	Other	586050	29428253	202	9359
Trigonopsis_GCA_003706805.2	GCA_003706805	Other	296322	11206332	111	4991
Catenaria_GCA_002102555.1	GCA_002102555	Other	202967	41337528	127	12763
Hymenoscyphus_GCA_900536445.1	GCA_900536445	BGC_Enriched_Pezizomycotina	4001601	57164173	532	12648
Elsinoe_GCA_003013795.1	GCA_003013795	BGC_Enriched_Pezizomycotina	1562526	23210997	447	9245
Ramicandelaber_GCA_025201865.1	GCA_025201865	Other	111132	22015078	120	9222
Ramalina_GCA_001956345.1	GCA_001956345	BGC_Enriched_Pezizomycotina	1929509	26808612	179	7644
Zopfochytrium_GCA_025765615.1	GCA_025765615	Other	938506	81192468	406	16589
Phycomyces_GCA_001638985.2	GCA_001638985	Other	385114	53368560	243	16543
Wickerhamomyces_GCF_000313485.1	GCA_000313485	Other	113671	15885344	159	6702
Rhizophlyctis_GCA_027596075.1	GCA_027596075	Other	487318	48126640	423	12571
Ramularia_GCA_004155245.1	GCA_004155245	BGC_Enriched_Pezizomycotina	2926567	32739296	400	9815
Rhizophlyctis_GCA_027596135.1	GCA_027596135	Other	198886	38858396	336	11459
Blastocladiella_GCA_025349905.2	GCA_025349905	Other	101913	19020768	111	9427
Chytriomyces_GCA_027604745.1	GCA_027604745	Other	312302	29545400	299	11511
Drosophila_GCA_000001215.4	GCA_000001215	Other	182201	142470512	268	14569
Wallemia_GCF_000400465.1	GCA_000400465	Other	376695	9624672	112	4864
Chytriomyces_GCA_025435555.1	GCA_025435555	Other	597665	38100491	346	15515
Hysterium_GCA_000467715.1	GCA_000467715	BGC_Enriched_Pezizomycotina	2834001	38112825	509	12506
Periconia_GCA_003073855.1	GCA_003073855	BGC_Enriched_Pezizomycotina	6700813	53989243	691	18735
Pseudopyrenochaeta_GCA_003313425.1	GCA_003313425	BGC_Enriched_Pezizomycotina	3351049	62731430	634	14055
Syncephalis_GCA_025786725.1	GCA_025786725	Other	237973	29358178	151	8845
Venturia_GCA_000738655.1	GCA_000738655	BGC_Enriched_Pezizomycotina	2340445	39145172	449	10802
Terfezia_GCA_003788615.2	GCA_003788615	Other	438430	59614192	185	12110
Globomyces_GCA_025399215.1	GCA_025399215	Other	384909	21545735	218	11534
Malassezia_GCA_002818225.1	GCA_002818225	Other	300681	7581587	79	3791
Chytriomyces_GCA_027604105.1	GCA_027604105	Other	344504	29515939	291	11575
Phlyctochytrium_GCA_027597005.1	GCA_027597005	Other	128174	40169449	222	11035
Neurospora_GCA_000604185.2	GCA_000604185	BGC_Enriched_Pezizomycotina	577560	34340910	236	6741
Piptocephalis_GCA_003614145.1	GCA_003614145	Other	20024	10747656	72	4301
Fonsecaea_GCF_000836435.1	GCA_000836435	BGC_Enriched_Pezizomycotina	1937094	33428689	329	12369
Trichophyton_GCA_003118255.1	GCA_003118255	BGC_Enriched_Pezizomycotina	2131043	22631310	200	7829
Piromyces_GCA_002157105.1	GCA_002157105	Neocallimastigomycota	1565310	42785546	1011	14612
Geranomyces_GCA_025399175.1	GCA_025399175	Other	625272	23655683	187	9406
Chlorencoelia_GCA_003988815.1	GCA_003988815	BGC_Enriched_Pezizomycotina	2467271	42153480	349	10195
Parastagonospora_GCA_000146915.2	GCA_000146915	BGC_Enriched_Pezizomycotina	3566149	37047270	532	11471
Boothiomyces_GCA_027604345.1	GCA_027604345	Other	203421	14240447	147	7120
Siphonaria_GCA_027596065.1	GCA_027596065	Other	214745	37595823	354	12648
Quaeritorhiza_GCA_027596845.1	GCA_027596845	Other	196724	48206616	279	13721
Puccinia_GCA_000149925.1	GCA_000149925	Other	221016	81594436	232	11769
Ascosphaera_GCA_001636715.1	GCA_001636715	BGC_Enriched_Pezizomycotina	750100	20034979	170	6442
Phaeotremella_GCA_001599695.1	GCA_001599695	Other	285896	20507383	193	6862
Beverwykella_GCA_001599595.1	GCA_001599595	BGC_Enriched_Pezizomycotina	4416498	44295518	623	12827
Podochytrium_GCA_027596195.1	GCA_027596195	Other	139734	32060568	324	12043
Fimicolochytrium_GCF_025526975.1	GCA_025526975	Other	595746	30619153	205	10065
Pseudophaeomoniella_GCA_003868215.1	GCA_003868215	BGC_Enriched_Pezizomycotina	1845198	26600371	345	8915
Umbelopsis_GCA_000697415.1	GCA_000697415	Other	634469	21858076	336	8161
Umbilicaria_GCA_000611775.1	GCA_000611775	BGC_Enriched_Pezizomycotina	1813591	34592441	207	8385
Calocera_GCA_001630345.1	GCA_001630345	Agaricomycetes	851086	28798163	301	12363
Graphilbum_GCA_001513895.1	GCA_001513895	BGC_Enriched_Pezizomycotina	1351256	34074671	361	8257
Amorphotheca_GCF_003019875.1	GCA_003019875	BGC_Enriched_Pezizomycotina	1390539	28460023	290	9642
Borealophlyctis_GCA_027604605.1	GCA_027604605	Other	120199	38357164	213	11278
Caulochytrium_GCA_003615045.1	GCA_003615045	Other	153409	21789741	95	6168
Dinochytrium_GCA_027604005.1	GCA_027604005	Other	216813	31461064	200	10330
Saccharomyces_GCF_000146045.2	GCA_000146045	Other	135159	12157105	132	6020
Lobosporangium_GCF_002105155.1	GCA_002105155	Other	166881	42768949	214	11822
Entophlyctis_GCA_025526915.1	GCA_025526915	Other	160962	30915201	160	10117
Paramyrothecium_GCA_003012165.1	GCA_003012165	BGC_Enriched_Pezizomycotina	3767193	44736802	809	12824
Saksenaea_GCA_000697055.1	GCA_000697055	Other	249608	41822797	243	11383
Cladochytrium_GCA_025526935.1	GCA_025526935	Other	618779	50665862	424	16305
Pseudogymnoascus_GCF_001662655.1	GCA_001662655	BGC_Enriched_Pezizomycotina	2232339	30157364	582	10685
Phyllosticta_GCA_001604925.1	GCA_001604925	BGC_Enriched_Pezizomycotina	1198186	32358281	335	9334
Sporopachydermia_GCA_003705295.1	GCA_003705295	Other	128135	16343406	119	5317
Priceomyces_GCA_003705335.1	GCA_003705335	Other	120171	11041343	139	5444
Zygosaccharomyces_GCA_000442885.1	GCA_000442885	Other	170328	10254824	107	4756
Gigaspora_GCA_003550325.1	GCA_003550325	Other	1080977	522850900	315	31247
Plenodomus_GCA_900465125.1	GCA_900465125	BGC_Enriched_Pezizomycotina	1912441	34950111	461	9147
Laccaria_GCF_000143565.1	GCA_000143565	Agaricomycetes	1035640	58682807	275	18261
Serpula_GCA_000218685.1	GCA_000218685	Agaricomycetes	2291438	42400076	252	9652
Stereum_GCF_000264905.1	GCA_000264905	Agaricomycetes	3539980	45647470	512	14064
Punctularia_GCF_000264995.1	GCA_000264995	Agaricomycetes	1949030	33070030	432	11538
Auricularia_GCA_000265015.1	GCA_000265015	Agaricomycetes	2181837	69053342	686	23557
Coniophora_GCF_000271625.1	GCA_000271625	Agaricomycetes	2593152	41864232	391	13756
Fibroporia_GCF_000313525.1	GCA_000313525	Agaricomycetes	1614987	28216918	239	9184
Serendipita_GCA_000313545.1	GCA_000313545	Agaricomycetes	218241	24831560	368	11804
Volvariella_GCA_000349905.1	GCA_000349905	Agaricomycetes	1097461	35597324	394	9482
Papiliotrema_GCA_000442785.1	GCA_000442785	Other	337802	22729856	240	7685
Rhizoctonia_GCA_000524645.1	GCA_000524645	Agaricomycetes	507180	46744031	569	12323
Jaapia_GCA_000697665.1	GCA_000697665	Agaricomycetes	1002713	43275178	354	16375
Botryobasidium_GCA_000697705.1	GCA_000697705	Agaricomycetes	1437691	45748674	396	16503
Tilletiaria_GCF_000711695.1	GCA_000711695	Other	301043	18704010	137	6805
Phlebopus_GCA_000766925.2	GCA_000766925	Agaricomycetes	2134208	30248544	201	8403
Plicaturopsis_GCA_000827205.1	GCA_000827205	Agaricomycetes	1504303	33356897	353	13617
Sphaerobolus_GCA_000827215.1	GCA_000827215	Agaricomycetes	4385115	122311697	742	35181
Collybiopsis_GCA_000827265.1	GCA_000827265	Agaricomycetes	3223702	65218080	624	22046
Piloderma_GCA_000827315.1	GCA_000827315	Agaricomycetes	2406975	52312419	344	21524
Pisolithus_GCA_000827335.1	GCA_000827335	Agaricomycetes	991749	61583381	198	22653
Hebeloma_GCA_000827355.1	GCA_000827355	Agaricomycetes	1310653	36208210	304	15376
Scleroderma_GCA_000827425.1	GCA_000827425	Agaricomycetes	833964	52726854	220	20995
Tulasnella_GCA_000827465.1	GCA_000827465	Agaricomycetes	566508	52040856	486	19554
Paxillus_GCA_000827475.1	GCA_000827475	Agaricomycetes	1531398	49094164	220	13800
Fistulina_GCA_000934395.1	GCA_000934395	Agaricomycetes	1109451	33507160	324	11244
Tremella_GCA_000987905.1	GCA_000987905	Other	81774	23069408	222	9142
Tilletia_GCA_001006505.1	GCA_001006505	Other	497270	20067784	174	6595
Schizopora_GCA_001020605.1	GCA_001020605	Agaricomycetes	1617884	44367805	358	17089
Golubevia_GCA_001599655.1	GCA_001599655	Other	445057	27608265	264	7787
Naganishia_GCA_001599735.1	GCA_001599735	Other	306456	20603200	198	6342
Symbiotaphrina_GCA_001599915.1	GCA_001599915	Other	987466	23664885	241	8635
Cystobasidium_GCA_001599955.1	GCA_001599955	Other	191297	21237208	141	6165
Solicoccozyma_GCA_001600015.1	GCA_001600015	Other	256776	21927784	194	6160
Bullera_GCA_001600095.1	GCA_001600095	Other	313946	19407185	224	7084
Mrakia_GCA_001600395.1	GCA_001600395	Other	162675	28403616	274	8469
Dioszegia_GCA_001600615.1	GCA_001600615	Other	339584	20474481	251	7508
Leucosporidium_GCA_001600635.1	GCA_001600635	Other	247204	27430284	259	9587
Exidia_GCA_001632375.1	GCA_001632375	Agaricomycetes	2611945	71697007	822	26690
Neolentinus_GCA_001632425.1	GCA_001632425	Agaricomycetes	2055670	34346619	312	13157
Grifola_GCA_001683735.1	GCA_001683735	Agaricomycetes	1439626	39285133	310	15039
Cryptococcus_GCA_001720245.1	GCA_001720245	Other	131020	15630362	129	5828
Trametes_GCA_001895945.1	GCA_001895945	Agaricomycetes	1266400	39547191	377	14391
Phanerodontia_GCA_001910725.1	GCA_001910725	Agaricomycetes	2156431	39180953	408	12240
Kockovaella_GCF_002102565.1	GCA_002102565	Other	337869	17465713	268	7392
Naematelia_GCA_002105065.1	GCA_002105065	Other	311737	19786307	238	7964
Stromatinia_GCA_002162485.1	GCA_002162485	Other	3782269	56060548	412	11207
Armillaria_GCA_002307695.1	GCA_002307695	Agaricomycetes	3289747	78368969	603	25695
Cutaneotrichosporon_GCA_002335625.1	GCA_002335625	Other	131612	19940834	182	6079
Amanita_GCA_002554575.1	GCA_002554575	Agaricomycetes	519550	33130127	369	10346
Ganoderma_GCA_002760635.1	GCA_002760635	Agaricomycetes	2189877	48447509	494	15478
Porodaedalea_GCA_002794775.1	GCA_002794775	Agaricomycetes	1258326	53346927	335	12529
Rhodotorula_GCA_002806785.1	GCA_002806785	Other	233537	19918828	180	6706
Glaciozyma_GCA_002917775.1	GCA_002917775	Other	175825	19606075	158	6398
Panaeolus_GCA_002938355.1	GCA_002938355	Agaricomycetes	887448	42940516	557	13420
Gymnopilus_GCA_002938385.1	GCA_002938385	Agaricomycetes	1552339	45480477	419	16222
Heterobasidion_GCA_002994785.1	GCA_002994785	Agaricomycetes	1622088	37709264	295	8442
Takashimella_GCA_003116875.1	GCA_003116875	Other	226010	25079161	262	8432
Testicularia_GCA_003144125.1	GCA_003144125	Other	537183	20685001	167	7069
Meira_GCF_003144205.1	GCA_003144205	Other	514512	17279528	228	7444
