GCA	Phylum_or_Clade	Complete_BGC_Count	BGCome_Size	Strict_NRPS_or_PKSome_Size	Grid
GCA_000182895	clade_2	18.0	0.901156	0.20048	b
GCA_000464535	clade_1	22.0	1.989075	1.409448	b
GCA_900618795	clade_1	57.0	4.326105	1.276017	b
GCA_001510565	clade_1	9.0	0.626701	0.34307	b
GCA_001179705	clade_2	1.0	0.481718	0.044918	b
GCA_002798055	clade_1	3.0	1.484337	0.881251	b
GCA_000963775	clade_1	41.0	4.203312	3.227797	b
GCA_000812885	clade_1	0.0	1.095262	0.426136	b
GCA_900536445	clade_1	19.0	4.001601	1.812186	b
GCA_003013795	clade_1	22.0	1.562526	0.64908	b
GCA_001956345	clade_1	9.0	1.929509	1.186457	b
GCA_004155245	clade_1	34.0	2.926567	2.400576	b
GCA_000400465	clade_2	5.0	0.376695	0.073584	b
GCA_000467715	clade_1	11.0	2.834001	1.594342	b
GCA_003073855	clade_1	45.0	6.700813	3.874896	b
GCA_003313425	clade_1	46.0	3.351049	2.239503	b
GCA_000738655	clade_1	28.0	2.340445	0.781842	b
GCA_000836435	clade_1	26.0	1.937094	0.551818	b
GCA_003118255	clade_1	17.0	2.131043	1.462723	b
GCA_003988815	clade_1	26.0	2.467271	1.334545	b
GCA_000146915	clade_1	43.0	3.566149	1.883216	b
GCA_000149925	clade_2	4.0	0.221016	0.065714	b
GCA_001636715	clade_1	10.0	0.7501	0.20594	b
GCA_001599695	clade_2	6.0	0.285896	0.061703	b
GCA_001599595	clade_1	53.0	4.416498	2.423817	b
GCA_003610855	clade_1	0.0	0.114874	0.059798	b
GCA_003868215	clade_1	25.0	1.845198	0.958021	b
GCA_000611775	clade_1	31.0	1.813591	1.203056	b
GCA_001630345	clade_2	13.0	0.851086	0.129253	b
GCA_001513895	clade_1	19.0	1.351256	0.823754	b
GCA_003019875	clade_1	20.0	1.390539	0.626554	b
GCA_003012165	clade_1	18.0	3.767193	2.618066	b
GCA_001662655	clade_1	26.0	2.232339	1.298561	b
GCA_001604925	clade_1	6.0	1.198186	0.476936	b
GCA_900465125	clade_1	21.0	1.912441	1.166435	b
GCA_025602915	clade_2	4.0	0.174597	0.0	c
GCA_001600175	clade_1	5.0	0.217595	0.0	c
GCA_025765595	clade_2	7.0	0.51207	0.288691	c
GCA_025602895	clade_2	61.0	4.288817	0.245708	c
GCA_001574975	clade_2	5.0	0.196268	0.0	c
GCA_000760515	clade_2	0.0	0.0	0.0	c
GCA_026937265	clade_2	0.0	0.013589	0.0	c
GCA_000708205	clade_1	9.0	0.414063	0.064279	c
GCA_000235945	clade_2	2.0	0.120061	0.0	c
GCA_025558095	clade_2	5.0	0.243785	0.0	c
GCA_027604685	clade_2	0.0	0.209071	0.059559	c
GCA_027600665	clade_2	0.0	0.360067	0.245252	c
GCA_000182565	clade_2	8.0	0.765324	0.356434	c
GCA_027604305	clade_2	2.0	0.167986	0.065807	c
GCA_027604065	clade_2	1.0	0.109388	0.037696	c
GCA_027596945	clade_2	0.0	0.217739	0.074538	c
GCA_002104985	clade_2	9.0	0.542899	0.132529	c
GCA_000149865	clade_2	5.0	0.268079	0.133003	c
GCA_027604665	clade_2	0.0	0.113093	0.009594	c
GCA_025558075	clade_2	5.0	0.342256	0.183303	c
GCA_027604625	clade_2	0.0	0.055247	0.01315	c
GCA_025602905	clade_2	6.0	0.402159	0.211256	c
GCA_002104975	clade_2	26.0	2.038726	1.539134	c
GCA_900120095	clade_1	5.0	0.227782	0.064901	c
GCA_027603945	clade_2	4.0	0.293934	0.197948	c
GCA_027604465	clade_2	0.0	0.115705	0.084782	c
GCA_027603065	clade_2	13.0	0.87082	0.35025	c
GCA_000442015	clade_2	0.0	0.009832	0.0	c
GCA_001599975	clade_1	8.0	0.426531	0.125971	c
GCA_025449115	clade_2	5.0	0.312706	0.151969	c
GCA_027596035	clade_2	0.0	0.414522	0.249117	c
GCA_025526955	clade_2	4.0	0.157542	0.0	c
GCA_000151295	clade_2	10.0	0.329435	0.0	c
GCA_027600645	clade_2	4.0	0.295659	0.040354	c
GCA_002104895	clade_2	13.0	2.189531	1.873127	c
GCA_006535985	clade_2	5.0	0.213949	0.0	c
GCA_002794465	clade_2	0.0	0.0	0.0	c
GCA_027604725	clade_2	2.0	0.246603	0.0	c
GCA_027604185	clade_2	2.0	0.274584	0.104071	c
GCA_000182895	clade_1	18.0	0.901156	0.20048	c
GCA_001179705	clade_1	1.0	0.481718	0.044918	c
GCA_025526995	clade_2	7.0	0.58605	0.340648	c
GCA_002102555	clade_2	5.0	0.202967	0.0	c
GCA_025765615	clade_2	12.0	0.938506	0.452003	c
GCA_027596075	clade_2	5.0	0.487318	0.201758	c
GCA_025349905	clade_2	0.0	0.101913	0.0	c
GCA_000400465	clade_1	5.0	0.376695	0.073584	c
GCA_025435555	clade_2	8.0	0.597665	0.223936	c
GCA_025399215	clade_2	1.0	0.384909	0.313731	c
GCA_000412615	clade_2	0.0	1.059714	0.95642	c
GCA_002157105	clade_2	9.0	1.56531	1.325022	c
GCA_027596065	clade_2	0.0	0.214745	0.091865	c
GCA_027596845	clade_2	0.0	0.196724	0.07154	c
GCA_000149925	clade_1	4.0	0.221016	0.065714	c
GCA_001599695	clade_1	6.0	0.285896	0.061703	c
GCA_027596195	clade_2	1.0	0.139734	0.094003	c
GCA_025526975	clade_2	10.0	0.595746	0.372571	c
GCA_001630345	clade_1	13.0	0.851086	0.129253	c
GCA_027604605	clade_2	0.0	0.120199	0.0	c
GCA_003615045	clade_2	2.0	0.153409	0.0	c
GCA_027604005	clade_2	0.0	0.216813	0.097284	c
GCA_025526935	clade_2	10.0	0.618779	0.20332	c
